name,faction,koosseis,from,to,name_clean
Mai Treial (02.04.2007–07.07.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-02-04,2010-07-07,Mai Treial
Villu Reiljan (02.04.2007–26.05.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-02-04,2010-05-26,Villu Reiljan
Karel Rüütli (02.04.2007–07.07.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-02-04,2010-07-07,Karel Rüütli
Ester Tuiksoo (09.04.2007–07.07.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-09-04,2010-07-07,Ester Tuiksoo
Tarmo Mänd (03.04.2007–12.03.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-03-04,2010-12-03,Tarmo Mänd
Jaanus Marrandi (02.04.2007–07.07.2010),Eestimaa Rahvaliidu fraktsioon,xi,2007-02-04,2010-07-07,Jaanus Marrandi
"Jaan Õunapuu, Villu Reiljani asendusliige (31.05.2010–07.07.2010)",Eestimaa Rahvaliidu fraktsioon,xi,2010-05-31,2010-07-07,Jaan Õunapuu
Valdur Lahtvee,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Valdur Lahtvee
Marek Strandberg,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Marek Strandberg
Mart Jüssi,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Mart Jüssi
Aleksei Lotman,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Aleksei Lotman
Maret Merisaar,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Maret Merisaar
Toomas Trapido,Erakonna Eestimaa Rohelised fraktsioon,xi,2007-04-02,2011-04-03,Toomas Trapido
Mart Laar,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Mart Laar
Andres Herkel,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Andres Herkel
Toomas Tõniste,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Toomas Tõniste
Ene Ergma,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Ene Ergma
Kaia Iva,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Kaia Iva
Mari-Ann Kelam,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Mari-Ann Kelam
Elle Kull,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Elle Kull
Tarmo Kõuts,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Tarmo Kõuts
Marko Mihkelson,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Marko Mihkelson
Erki Nool,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Erki Nool
Mart Nutt,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Mart Nutt
Liisa-Ly Pakosta,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Liisa-Ly Pakosta
Urmas Reinsalu,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Urmas Reinsalu
Sven Sester,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Sven Sester
Margus Tsahkna,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Margus Tsahkna
Peeter Tulviste,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Peeter Tulviste
Ken-Marti Vaher,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Ken-Marti Vaher
Lauri Vahtre,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Lauri Vahtre
Trivimi Velliste,Isamaa ja Res Publica Liidu fraktsioon,xi,2007-04-02,2011-04-03,Trivimi Velliste
Eiki Nestor,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Eiki Nestor
Indrek Saar,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Indrek Saar
Kalev Kotkas,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Kalev Kotkas
Peeter Kreitzberg,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Peeter Kreitzberg
Kalvi Kõva,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Kalvi Kõva
Sven Mikser,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Sven Mikser
Heljo Pikhof,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Heljo Pikhof
Hannes Rumm,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Hannes Rumm
Mark Soosaar,Sotsiaaldemokraatliku Erakonna fraktsioon,xi,2007-04-02,2011-04-03,Mark Soosaar
Peep Aru,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Peep Aru
Rein Aidma,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Rein Aidma
Rain Rosimannus,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Rain Rosimannus
Robert Antropov,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Robert Antropov
Hannes Astok,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Hannes Astok
Ivi Eenmaa,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Ivi Eenmaa
Igor Gräzin,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Igor Gräzin
Tõnu Juul,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Tõnu Juul
Helmer Jõgi,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Helmer Jõgi
Raivo Järvi,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Raivo Järvi
Katrin Karisma-Krumm,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Katrin Karisma-Krumm
Ene Kaups,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Ene Kaups
Urmas Klaas,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Urmas Klaas
Tõnis Kõiv,Eesti Reformierakonna fraktsioon,xi,2007-04-02,2011-04-03,Tõnis Kõiv
