,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
psüühika-,1.3379265069961548,4.341842424848696e-05,3,6,10.034158706665039,1.672837734222412,23
psüühikahäirega,1.1641805171966553,0.0003066827125661,3,6,9.96222972869873,1.7103493213653564,31
õppe-,1.0869876146316528,0.0007807262043653,0,7,9.263880729675293,1.0916067361831665,95
psüühikahäire,1.07806134223938,0.0009091524002171,3,6,10.13713264465332,1.7613797187805176,29
kehvemasse,1.0075798034667969,0.0015465699655036,15,3,11.713019371032715,0.6628704071044922,27
nooremas,0.9930209517478944,0.001898810118509,2,6,11.541715621948242,1.2541048526763916,32
täiskasvanu,0.96046382188797,0.0023305661851179,2,6,10.212821006774902,1.0018099546432495,114
täiskasvanuna,0.9410719275474548,0.0032544943481901,2,6,10.183018684387207,1.0192292928695679,27
õppejõu,0.930381953716278,0.0032007331472178,9,7,9.225064277648926,1.0201314687728882,28
neiu,0.9228813052177428,0.0039751567578339,3,7,10.569844245910645,1.3662043809890747,36
kehvemal,0.9055843949317932,0.0042737322167762,1,4,11.885542869567871,1.0005223751068115,20
täiskasvanuks,0.8992558121681213,0.0046527050450588,2,6,10.15367603302002,1.0222090482711792,58
täiskasvanut,0.8963825106620789,0.0043654360707767,2,6,10.16901683807373,1.0164018869400024,26
kehvemas,0.888231635093689,0.0046077103178346,1,4,11.950114250183105,0.9100170731544495,59
raskemasse,0.8881021738052368,0.0049891755691743,15,3,11.694979667663574,0.6788191795349121,24
noorema,0.8826318979263306,0.0049885184105619,5,1,11.593460083007812,1.4364465475082397,67
tavakooli,0.8755509257316589,0.0051394671720708,9,7,8.927985191345215,1.5530215501785278,49
piinlikum,0.8735748529434204,0.004869693455531,1,4,12.60445785522461,1.0868481397628784,21
kehvem,0.8723452687263489,0.0054600182739892,1,4,12.143444061279297,0.9171121120452881,170
halvemasse,0.8695652484893799,0.0049447971653855,15,3,11.666461944580078,0.6375631093978882,36
õppesse,0.8687995076179504,0.0057790756341614,4,2,10.807843208312988,0.44219064712524414,29
b2,0.8662269711494446,0.0061112151004935,12,7,9.604037284851074,0.7173997759819031,58
erikooli,0.8623186349868774,0.0055054729672672,9,7,8.841840744018555,1.6695858240127563,41
kodu-,0.8472720384597778,0.0060395137576972,3,6,10.077913284301758,1.629146695137024,3466
kersna,0.837932288646698,0.0075962737990005,3,6,8.63589859008789,7.737677097320557,660
põhikooli,0.8346973657608032,0.0068350036295501,9,7,8.876256942749023,1.495154857635498,778
doktoriõpe,0.8317800164222717,0.007353149213878,3,7,9.144845962524414,0.9732528924942017,20
aabi,0.8285438418388367,0.0080363835715976,6,6,10.31826114654541,2.36373233795166,91
kbfi,0.823782205581665,0.0076053563231336,12,7,9.21587085723877,1.7116165161132812,47
eriala,0.822070837020874,0.0081026338829485,0,7,9.478170394897461,1.4164737462997437,422
doktorikraadi,0.8143659830093384,0.0080587627979726,3,7,9.213920593261719,0.9863967299461365,41
noorem,0.8064913749694824,0.0090085314639493,2,6,11.545437812805176,1.328311562538147,94
ema-,0.806091845035553,0.0098587580235005,2,6,10.572134971618652,1.5048258304595947,29
kumu,0.8045994639396667,0.0096415767178499,3,1,10.53244686126709,1.6079721450805664,40
kehvemat,0.8036723732948303,0.0102218858282591,1,4,11.946863174438477,0.981940746307373,24
kõrgkooli,0.800643265247345,0.0104404888920727,9,7,8.963808059692383,1.5665279626846313,178
kehvema,0.7973862886428833,0.0096709319030373,5,1,11.931400299072266,1.1966756582260132,46
"‑,",0.7969388365745544,0.0100122590005219,12,5,9.973597526550293,1.8791818618774414,96
aab,0.7968278527259827,0.0091617343010299,13,5,10.36051082611084,2.7524008750915527,325
vaesem,0.7935248613357544,0.0099763810170571,1,4,12.432180404663086,1.126891016960144,55
nooremat,0.7930804491043091,0.0104345589168642,2,6,11.614641189575195,1.3042038679122925,22
õpilaskodu,0.7920669317245483,0.0106371621733687,9,7,9.211024284362793,1.4781302213668823,30
doktoriõppe,0.7840943336486816,0.0111146793563826,9,7,9.256693840026855,1.0369672775268555,63
kummalisem,0.7826058268547058,0.0109095095319181,1,4,12.703605651855469,1.1265640258789062,37
443,0.7803854942321777,0.0119311943845423,11,0,7.476398944854736,-5.673830509185791,33
õpiks,0.7792355418205261,0.0124124441962778,9,7,9.486534118652344,1.3661935329437256,26
kooli,0.7791330218315125,0.0113201521215021,0,7,8.897411346435547,1.6544528007507324,2922
puu-,0.7789030075073242,0.0121059022364212,3,6,10.144566535949707,1.6502268314361572,29
tõenäolisem,0.7786188721656799,0.0121211054244817,1,4,12.698220252990723,1.1478451490402222,48
kuskohas,0.7711857557296753,0.0115797499130542,3,6,8.319178581237793,12.33729076385498,37
koduõppe,0.7704175710678101,0.0124205132305871,9,7,9.499310493469238,1.0136858224868774,20
sügavam,0.7695401310920715,0.0127741485566024,1,4,12.615482330322266,1.2555186748504639,95
asjasse,0.7690204381942749,0.0122614647343783,4,2,10.912246704101562,0.4385460317134857,399
napib,0.765255868434906,0.0125561218279849,16,5,10.64355754852295,2.661198616027832,196
õppe,0.7622972726821899,0.013584804436558,0,7,9.288825988769531,0.9853876233100891,668
psühholooge,0.7621185779571533,0.0126542927786414,3,6,9.954279899597168,1.755692958831787,22
doktoriõppes,0.7611733078956604,0.0139862225449535,9,7,9.201146125793457,0.9887040257453918,33
sobivam,0.7607893347740173,0.0147749340999639,1,4,12.7736177444458,1.1028716564178467,51
c1,0.7591322064399719,0.0129100192340403,12,7,9.570319175720215,0.733493983745575,72
kasvav,0.7572593092918396,0.0127952470081623,14,5,11.262161254882812,2.6226754188537598,233
vaeslapse,0.7561045289039612,0.0135840251654293,2,6,10.864985466003418,1.5348154306411743,89
huvikooli,0.7550278306007385,0.0135120432034032,9,7,8.868268966674805,1.622671365737915,27
eriarsti,0.7541199922561646,0.0143357490005159,2,6,10.119521141052246,1.4149930477142334,202
aeglasem,0.7522357702255249,0.0151993224586495,1,4,12.64726734161377,1.1796156167984009,78
õpiku,0.7519736289978027,0.0141862277038002,0,7,9.363068580627441,1.2103252410888672,23
vanemas,0.7497705817222595,0.0149640091551478,2,6,11.193132400512695,1.306952953338623,78
diagnoositud,0.7485095858573914,0.016375170084816,3,6,10.143733978271484,1.3782280683517456,26
kehva,0.7482536435127258,0.0142787499851183,19,4,11.764791488647461,0.9257595539093018,166
diagnoosi,0.7421941757202148,0.0150582596726821,3,6,10.20694637298584,1.492842674255371,94
tõsisem,0.7398236989974976,0.0146032100319178,1,4,12.712629318237305,1.1373863220214844,174
ehis-e,0.7391728162765503,0.0170912178853775,3,6,9.33132553100586,1.835539698600769,34
raskemas,0.737693190574646,0.0159042412454193,1,4,12.031149864196777,1.0149730443954468,47
tüüpi,0.7368358373641968,0.0167294112988803,12,6,9.869912147521973,1.9045177698135376,720
keskkooli,0.7327184081077576,0.0161748455850555,9,7,8.901333808898926,1.600143551826477,57
halvemal,0.7269614934921265,0.0175912568408217,1,4,11.907262802124023,0.9986612200737,78
eripedagoogi,0.7263756394386292,0.0189479799772199,3,7,9.577116012573242,1.4744205474853516,41
619,0.7259812355041504,0.0163663719311569,11,0,7.438531875610352,-5.793807506561279,25
täiskasvanud,0.7253076434135437,0.0160919085045372,2,6,10.137182235717773,0.9702937006950378,359
mõnigi,0.7238650918006897,0.0179171437419101,3,7,10.247305870056152,1.6229664087295532,402
b1,0.7232675552368164,0.017915661475821,12,7,9.505508422851562,0.7785699963569641,87
raskemal,0.7195248603820801,0.0168615920820029,1,4,12.01319408416748,1.1459993124008179,20
viletsam,0.7189667820930481,0.0175165138452437,1,4,12.465727806091309,1.0310077667236328,23
vanemliku,0.7187129855155945,0.019058445634948,6,6,10.509116172790527,2.021907091140747,56
vaimse,0.7152729630470276,0.0191832928335087,6,6,10.228214263916016,1.9903137683868408,401
nooremale,0.7142050266265869,0.0193951468717444,2,6,11.536111831665039,1.2209433317184448,20
õppeaasta,0.7141574025154114,0.018829722656696,9,7,9.076725006103516,1.1503472328186035,142
vajav,0.7127659916877747,0.01955571553853,6,6,10.791281700134277,2.2897424697875977,66
kutsekooli,0.7127206921577454,0.0195518424580206,9,7,8.95018196105957,1.5759471654891968,149
halvemas,0.7118030786514282,0.0196000191269514,1,4,11.907266616821289,0.9491048455238342,59
raskem,0.7114441394805908,0.0181083545391531,1,4,12.23098373413086,1.0386126041412354,410
kehvemini,0.7096613645553589,0.0193686537696202,1,4,11.968018531799316,0.9269309639930725,56
sujuvam,0.7096050381660461,0.0191637244437564,1,4,12.696083068847656,1.1355758905410767,28
haigeks,0.7076546549797058,0.0192929974066861,2,6,10.332221984863281,1.2938957214355469,129
ravi-,0.7046215534210205,0.0202478945915977,2,6,10.23484992980957,1.432631254196167,39
õppelaenu,0.7020441293716431,0.0200428810510288,9,7,9.288026809692383,1.0169086456298828,341
tartu,0.7011065483093262,0.0215244089919326,6,7,9.33411693572998,1.6961500644683838,3995
c2,0.6992306113243103,0.0204154288472244,12,7,9.53637981414795,0.7723245024681091,20
319,0.6964375972747803,0.0224745854551903,11,0,7.3128156661987305,-5.797386169433594,25
eaka,0.6950525045394897,0.0200010651788471,2,6,10.802689552307129,1.4754810333251953,51
hilisem,0.6948608756065369,0.0214586730530007,1,4,12.686978340148926,1.1732561588287354,129
hooldekodusse,0.6944770812988281,0.022710076889709,4,2,10.779656410217285,0.5658109188079834,72
513,0.6943301558494568,0.0208176901531235,11,0,7.369381427764893,-5.673067569732666,42
psüühilise,0.6925079822540283,0.0208259916188436,19,6,10.409965515136719,2.121687889099121,35
vaesema,0.6894109845161438,0.0230866816976136,5,1,11.694814682006836,1.57913339138031,38
joobes,0.6875254511833191,0.022478433481889,3,6,10.429838180541992,1.8513364791870117,173
nõrgem,0.6871278285980225,0.0235496969531808,1,4,12.437145233154297,1.0678998231887817,129
süveneb,0.6862472891807556,0.0211585881234188,16,5,10.953076362609863,2.7324626445770264,180
süvenev,0.6845753192901611,0.0216518231200439,16,5,11.200891494750977,2.623823642730713,37
raskema,0.6844477653503418,0.0229933380446859,5,1,12.037684440612793,1.3371074199676514,47
magistriõppe,0.6843494176864624,0.0231049270011084,9,7,9.305708885192871,1.0933880805969238,30
narkootilise,0.6839072704315186,0.0203075070862873,6,6,10.272578239440918,2.014235734939575,33
leviva,0.6819656491279602,0.0230994436604491,19,6,10.580114364624023,2.366459608078003,26
haiglasse,0.6815546154975891,0.0233768266275269,4,2,10.742758750915527,0.5748801231384277,266
kasva,0.6802820563316345,0.0236553909462541,14,5,11.185456275939941,2.6089706420898438,279
noores,0.6796024441719055,0.0243239906857158,2,6,11.383077621459961,1.3034825325012207,41
filosoofilisem,0.678322970867157,0.0247887444903095,1,4,12.78390884399414,1.1127042770385742,21
vanema,0.6779365539550781,0.0236553643416245,10,1,11.25838851928711,1.5923699140548706,481
sünnitusabi,0.6772368550300598,0.0242411648041847,3,6,10.520320892333984,1.9137531518936157,23
sündi,0.6758686304092407,0.0251126806628777,2,6,10.872051239013672,2.0288596153259277,138
valla-,0.675753653049469,0.0247450287508804,6,6,10.14177131652832,1.7174153327941895,326
613,0.6756381988525391,0.0248513059237511,11,0,7.35222864151001,-5.640230178833008,25
kergema,0.6751390099525452,0.0239035960194681,5,1,11.917045593261719,1.487331748008728,62
kasvama,0.674946665763855,0.0232908517703771,5,1,11.610394477844238,2.029435396194458,525
halvema,0.674132764339447,0.0254314981214164,5,1,11.911430358886719,1.319452166557312,31
ohtlikum,0.6730359196662903,0.0258813960778523,1,4,12.660666465759277,1.1316397190093994,69
haiglaravi,0.6728909611701965,0.0241911099861775,2,6,10.264033317565918,1.3521499633789062,85
napi,0.6684313416481018,0.0254095110180345,3,6,10.738995552062988,1.8669633865356445,36
tavaklassis,0.667838454246521,0.024214881803467,3,7,9.00438117980957,1.3738720417022705,24
kuriteo,0.6659030914306641,0.025612448165924,6,6,10.50896167755127,1.7800568342208862,559
õppima,0.6656205058097839,0.0268233390856637,10,1,11.639400482177734,1.939003825187683,959
725,0.6651553511619568,0.0256504030655826,11,0,7.352275371551514,-5.501100540161133,27
surma,0.6643781065940857,0.0265478140203958,7,1,11.640169143676758,1.7362620830535889,387
diagnoosiga,0.6614072918891907,0.0269133110604986,3,6,12.54818344116211,11.00849437713623,35
psühhiaatri,0.6606083512306213,0.0278444641427662,3,6,10.119699478149414,1.8179881572723389,183
haavatavam,0.6603829264640808,0.0263985891981994,1,4,12.605728149414062,1.1011362075805664,27
vähemal,0.6601429581642151,0.026932443432317,1,4,11.827410697937012,1.1965842247009277,119
suuremasse,0.6600715517997742,0.0275266258171754,15,3,11.621753692626953,0.5798876881599426,75
kodulähedane,0.6585454940795898,0.0289052646654405,3,6,10.74689769744873,1.3944416046142578,37
357,0.6585127115249634,0.0260706264353171,11,0,7.37341833114624,-5.606140613555908,23
munitsipaalkooli,0.6556138396263123,0.0283652374587994,9,7,8.92392635345459,1.6254076957702637,41
313,0.6549572944641113,0.0280473975479648,11,0,7.1689887046813965,-5.536406517028809,25
39%,0.6547313332557678,0.0292674503967161,11,0,7.297060966491699,-5.508477687835693,64
oskama,0.6544266939163208,0.0273767812657729,10,1,11.703531265258789,1.9941890239715576,162
ppa-s,0.6534389853477478,0.0278650394591338,12,6,9.004945755004883,9.47658920288086,45
puusse,0.65308678150177,0.0280760573388988,4,2,10.877280235290527,0.44695380330085754,43
aktuaalsem,0.6518921256065369,0.0283860629389214,1,4,12.756757736206055,1.1382148265838623,26
ümberõppe,0.6515828371047974,0.0280924738349027,9,7,9.2919340133667,0.990705668926239,64
logopeedi,0.6512525677680969,0.029630980730681,3,7,9.57512092590332,1.5210862159729004,46
434,0.6484333872795105,0.0294086080932932,11,0,7.510611534118652,-5.723145484924316,25
ülikooli,0.6482505202293396,0.0306538125659586,9,7,8.90759563446045,1.600972056388855,1942
erakooli,0.6479842662811279,0.0298528647526746,9,7,8.914543151855469,1.5872327089309692,100
ilmnema,0.64675372838974,0.0305718162194241,7,1,11.669877052307129,1.9719775915145874,41
kasvamas,0.645596444606781,0.0308146360643606,14,5,11.268342018127441,2.613020896911621,99
õppejõuna,0.6445425748825073,0.0290388037868403,9,7,9.241019248962402,1.0862406492233276,20
kuusse,0.64410001039505,0.0279691008898324,4,2,10.826864242553711,0.4800598919391632,20
õpitud,0.6437975168228149,0.0304382546753433,9,7,9.436077117919922,1.2016596794128418,89
419,0.6433172821998596,0.0306572808576421,11,0,7.412455081939697,-5.828030586242676,29
täisealise,0.6430950164794922,0.0306799896774455,6,6,10.265833854675293,1.9761494398117065,51
noortesse,0.6428097486495972,0.0283768142052681,4,2,10.849908828735352,0.4510003328323364,23
lapsevanema,0.6427301168441772,0.0310825647954238,7,1,10.990006446838379,1.48714280128479,173
479,0.6414823532104492,0.0311842738909843,11,0,7.490987300872803,-5.711231708526611,45
põhikooli-,0.6414260864257812,0.0300096886046306,9,7,8.88050365447998,1.4937083721160889,804
valla,0.641218364238739,0.030102462371511,6,6,10.182823181152344,1.7215361595153809,1150
kasvava,0.6408892273902893,0.0324380580005398,14,5,11.20323657989502,2.616854429244995,166
psühholoogi,0.6404237747192383,0.032410058956958,3,6,10.077921867370605,1.7040584087371826,71
surema,0.6397125124931335,0.030229071675787,5,1,11.791378021240234,1.532837986946106,49
tavakoolis,0.6394323706626892,0.0324387934929195,9,7,8.976802825927734,1.4266992807388306,77
kehvemaks,0.6391574740409851,0.032103143292989,1,4,11.89295768737793,0.8634036779403687,104
kasvab,0.638322651386261,0.031190246124727,14,5,11.140501022338867,2.683856248855591,2707
pere-,0.6370107531547546,0.0308947358983167,2,6,10.713747024536133,1.5195013284683228,55
väiksema,0.635953962802887,0.0325523364487682,5,1,11.777748107910156,1.5426020622253418,887
gümnaasiumi,0.6352484822273254,0.0314313708112121,9,7,8.893664360046387,1.5650815963745117,649
kodulähedases,0.6342741250991821,0.0329980473406583,3,6,11.059813499450684,1.3230711221694946,27
neljas,0.63400799036026,0.0326855931963719,3,6,12.694249153137207,1.0496066808700562,1743
