,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
juurutama,1.1433672904968262,0.0003849283452066,13,0,9.635041236877441,7.861023426055908,20
finantseerima,1.0170462131500244,0.001592046669271,10,0,9.237131118774414,7.696671009063721,56
valmima,1.0089654922485352,0.0018812688718931,16,0,8.038518905639648,8.096757888793945,111
harjuma,0.988479733467102,0.0021354743565933,13,0,8.768990516662598,8.87523365020752,21
taotlema,0.9717726111412048,0.0023005038340796,11,0,9.673895835876465,7.5536603927612305,377
käivituma,0.9612199664115906,0.0025856687370334,13,0,8.208338737487793,8.222179412841797,26
töötama,0.9522829055786132,0.0028392857427802,11,0,8.888930320739746,7.702555179595947,821
määratlema,0.94240140914917,0.0031566011068806,13,0,9.371265411376953,8.539077758789062,35
lisanduma,0.9359405040740968,0.0028107915366072,10,0,8.545391082763672,8.006985664367676,40
tõstatama,0.9274345636367798,0.0033166532895239,19,0,9.759992599487305,8.527399063110352,24
meditsiinilise,0.9253687262535096,0.003381072574809,17,17,9.620368957519531,3.4019646644592285,88
saatekirja,0.9187074899673462,0.0037132851455793,17,-1,10.244165420532227,3.9113929271698,47
täiendama,0.9183430075645448,0.0036405728554839,10,0,9.962170600891113,7.997176647186279,103
keelustama,0.9176082015037536,0.0036903308886485,13,0,8.948089599609375,8.490935325622559,21
motiveerima,0.9148385524749756,0.0035702043455894,10,0,9.324745178222656,6.99238395690918,66
algatama,0.9110559225082396,0.0040616979090909,10,0,9.655784606933594,8.427639961242676,89
põhikooli-,0.8982031345367432,0.0044844741931631,2,10,10.10179615020752,2.4979963302612305,804
oktoobrit,0.8966697454452515,0.0047722615858586,12,11,8.298227310180664,2.586531639099121,39
harv,0.8892601132392883,0.0053535737789316,15,2,6.916950225830078,5.201201915740967,24
kustutatakse,0.8849651217460632,0.0054663745511185,17,8,8.421456336975098,5.970215797424316,66
hindamist,0.8819566369056702,0.0050143741614974,3,-1,9.144468307495117,2.55175518989563,235
hõlmama,0.8776627779006958,0.0056688480004194,10,0,8.930051803588867,7.836485385894775,56
suitsetama,0.8775395750999451,0.0053602965722052,13,0,9.808004379272461,7.237760543823242,21
kerkima,0.8723591566085815,0.0052600259573679,13,0,8.342741966247559,8.217491149902344,32
kõrgema,0.8710278868675232,0.0055558585360284,14,5,7.237442493438721,3.9849953651428223,674
mõtlema,0.8693938851356506,0.0054517209994827,6,0,9.347463607788086,8.351780891418457,1960
puudutama,0.8680658340454102,0.0056245694299271,16,0,8.870219230651855,7.820524215698242,109
järeldusele,0.8585058450698853,0.0060248303746819,18,-1,8.468368530273438,6.717006683349609,513
detailseks,0.8560429811477661,0.0063168413289717,4,7,6.337961673736572,4.496679306030273,26
koolitaja,0.8542131781578064,0.0062154306357147,12,-1,9.021641731262207,3.8498239517211914,22
fikseerima,0.8534867763519287,0.0069358926955399,13,0,9.387711524963379,8.565412521362305,23
sisalduma,0.8533353209495544,0.006681211993836,13,0,8.242082595825195,8.366168022155762,28
alandama,0.8524040579795837,0.0065436423884575,13,0,9.615056991577148,7.73711633682251,34
laenama,0.851768434047699,0.0063712332776205,13,0,9.13064956665039,7.232816219329834,51
probleemne,0.8489157557487488,0.0064642888908602,15,2,6.908388614654541,5.395161151885986,82
piirduma,0.8458548188209534,0.0067020044979724,10,0,8.736228942871094,8.790461540222168,50
lasteaiaõpetaja,0.8453611135482788,0.0063884529598475,17,12,9.281595230102539,4.046126365661621,50
kohanema,0.840316116809845,0.006637962420824,10,0,8.80676555633545,8.737292289733887,47
senisel,0.8396129608154297,0.0069023687151595,17,3,7.777518272399902,3.4669792652130127,80
sünnitama,0.8358656167984009,0.0077284279499513,13,0,9.708096504211426,6.774211406707764,69
kauplema,0.8331739902496338,0.008134451019285,19,0,9.899635314941406,7.531370639801025,20
ravima,0.8328360319137573,0.007181965849306,10,0,9.479866981506348,6.881623268127441,65
täpsustamist,0.8283117413520813,0.0082923300220515,7,9,8.477660179138184,1.6064428091049194,143
tarvitama,0.8280705809593201,0.0082088812940014,13,0,9.758284568786621,7.23658561706543,26
motiveeriv,0.826941728591919,0.0072739805878911,17,2,6.738261699676514,5.323972702026367,53
karmistama,0.8267154693603516,0.0081047163768185,13,0,9.728476524353027,7.912360191345215,23
eraldama,0.824469804763794,0.0078993750179545,11,0,8.973406791687012,7.341717720031738,109
hindamise,0.820777952671051,0.0085684876433871,3,-1,9.822705268859863,3.0376434326171875,797
kulutama,0.8199948668479919,0.0090199636613557,11,0,9.03980827331543,7.360622882843018,225
omama,0.8185379505157471,0.0085779619161874,10,0,9.418570518493652,8.16325569152832,84
mehaaniliselt,0.8177505731582642,0.0079795792865264,12,0,9.705144882202148,7.502431392669678,50
kummastav,0.8166600465774536,0.0085312241824931,15,2,6.654932975769043,5.316967964172363,78
madala,0.8164204359054565,0.0082356805348352,14,5,7.254707336425781,4.13284969329834,330
detailidesse,0.8122352361679077,0.0080241768969131,4,7,6.398034572601318,4.57479190826416,154
pedagoogilise,0.8118615746498108,0.0091340117534894,17,-1,9.124039649963379,3.7080140113830566,34
survestama,0.8118402361869812,0.0090394973692322,13,0,9.278962135314941,7.6388044357299805,28
abipolitseinikuks,0.8114565014839172,0.0088385367109719,12,0,9.906208038330078,5.5838942527771,28
kohtumääruse,0.810337483882904,0.0079577316353657,17,17,10.123149871826172,3.046541213989258,45
kohendamist,0.8087139129638672,0.0093290533011981,12,9,8.471768379211426,1.5622586011886597,20
pääsema,0.8060349225997925,0.008981712851199,13,0,8.55085563659668,8.137303352355957,23
koostama,0.8057252168655396,0.0098536944781244,6,0,9.995196342468262,8.058300018310547,229
töötlema,0.8042911887168884,0.0091482106649753,13,0,10.074569702148438,7.7455573081970215,23
spetsiifiline,0.803037166595459,0.0101600174747273,15,2,6.828621864318848,5.487229824066162,190
delikaatne,0.8013641238212585,0.0098255320037501,15,2,6.905869960784912,5.376921653747559,36
valdama,0.8003389239311218,0.0104472469690384,13,0,9.333698272705078,8.117265701293945,32
liikuma,0.7988994717597961,0.0100665971007428,9,0,8.013607025146484,8.402449607849121,790
täpsustama,0.7985728979110718,0.0104574639115857,16,0,9.552613258361816,8.825735092163086,232
mõjuma,0.7985725402832031,0.0093194713889696,16,0,8.340388298034668,8.214211463928223,46
põhjalikumat,0.7968970537185669,0.0099478493058309,7,9,8.522531509399414,1.6053217649459839,143
koondama,0.7964641451835632,0.01079820516556,11,0,9.315237045288086,7.168222427368164,99
käima,0.795500636100769,0.0105334347081105,9,0,7.97576904296875,8.428787231445312,1431
uuendama,0.7953999042510986,0.0099209916150917,13,0,9.953449249267578,8.088407516479492,43
madalama,0.7937520742416382,0.0102864204054961,14,5,7.192187309265137,3.927781105041504,387
leiti,0.7929859757423401,0.0105188091598291,18,-1,8.2994384765625,6.556553840637207,733
maapiirkonda,0.7927793860435486,0.0104840938879087,12,13,9.769442558288574,5.069422721862793,34
riskima,0.7898659706115723,0.0107073803434483,19,0,8.732540130615234,8.832257270812988,25
selgitamist,0.7865424752235413,0.0106557988873265,12,9,8.518034934997559,1.5618611574172974,61
väikeseks,0.7847270369529724,0.0102433580076813,4,7,6.327245235443115,4.455141544342041,143
tavakooli,0.7843360304832458,0.011019169092909,17,14,9.398172378540039,4.667582988739014,49
analüüsima,0.7837294340133667,0.0119322762389986,6,0,9.899725914001465,8.536955833435059,314
kasvatama,0.7833327054977417,0.0101119554849665,11,0,9.483824729919434,7.228939533233643,122
paljuks,0.7820978164672852,0.011906313014338,13,4,12.392862319946289,6.002701282501221,22
liikumispuudega,0.7818964123725891,0.0111914368982931,17,14,9.753539085388184,4.571146488189697,87
ülalpidamist,0.7814009785652161,0.010996528478176,12,15,9.075923919677734,3.6171653270721436,42
reaalseks,0.7808125019073486,0.0118682086794235,5,4,12.208414077758789,5.82718563079834,82
läbirääkimist,0.7806577682495117,0.0108739404015594,12,9,8.512636184692383,1.6796499490737915,44
maapiirkonnas,0.7804239988327026,0.0118722585528897,17,-1,8.770805358886719,4.556225299835205,192
koolitama,0.7801603078842163,0.0108639300265224,10,0,9.461642265319824,6.974462985992432,67
abiõpetaja,0.7791579961776733,0.0111865104797761,17,-1,9.451104164123535,3.81008243560791,50
