,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
loosungiga,-1.2442829608917236,0.9998650357395796,10,2,12.384358406066895,11.696503639221191,31
tormata,-1.202378749847412,0.999771171270632,5,4,3.9070093631744385,10.012736320495605,35
ideena,-1.1837210655212402,0.999731101527254,3,5,10.622166633605957,9.758638381958008,27
nimekiri,-1.1667228937149048,0.9996657752714916,1,28,11.6477689743042,10.540582656860352,548
toompea,-1.1610833406448364,0.9996338069709854,2,-1,9.992006301879883,12.73049259185791,171
tuld,-1.1608879566192627,0.9996323546220623,1,-1,10.173042297363281,11.258535385131836,90
lipu,-1.1519330739974976,0.9996353283030982,16,20,7.9743475914001465,9.155058860778809,592
käekiri,-1.1313989162445068,0.9995408871299898,1,28,8.982873916625977,12.52780532836914,26
top-up,-1.1122703552246094,0.9993854480338245,19,18,9.434255599975586,10.492331504821777,87
barack,-1.10283625125885,0.9994033227443548,19,-1,8.645186424255371,10.47152328491211,31
sõerd,-1.0955277681350708,0.9992596326706978,9,-1,8.00229549407959,7.669808864593506,1147
pirita,-1.0865263938903809,0.999196964267196,5,4,4.45050048828125,9.882316589355469,72
top,-1.0757886171340942,0.9991969622986102,4,-1,9.281492233276367,10.496252059936523,24
lennukompanii,-1.0729773044586182,0.999158831855235,0,23,7.577530384063721,9.280238151550293,28
loosungit,-1.07016122341156,0.9990856114428056,4,-1,9.158884048461914,11.148592948913574,32
mängita,-1.0694037675857544,0.9990361392949666,15,4,4.637681007385254,10.743760108947754,42
san,-1.0657850503921509,0.9989834339430071,6,3,5.282991409301758,8.533257484436035,21
portfellita,-1.0645588636398315,0.999133030602812,4,4,8.821988105773926,11.986723899841309,33
hoian,-1.0614495277404783,0.9988268222170066,6,3,5.13186502456665,8.632969856262207,55
loos,-1.0510456562042236,0.998946251603319,1,-1,7.567145824432373,12.267732620239258,62
veena,-1.0482932329177856,0.9989778700581838,3,5,10.642094612121582,9.558666229248047,38
üllata,-1.0467000007629397,0.9987905419234456,15,4,4.31003475189209,10.274194717407227,28
portfell,-1.0254414081573486,0.998702790842263,3,-1,8.802179336547852,12.044275283813477,70
reserv,-1.0238486528396606,0.9987203595796386,0,18,10.100727081298828,10.616660118103027,191
kirvega,-1.023195505142212,0.9985415199691,10,2,12.405302047729492,11.655373573303223,34
reservfond,-1.0190799236297607,0.9985704069672706,0,18,10.051238059997559,10.631170272827148,39
aken,-1.0182273387908936,0.9985344578033774,6,3,5.195704460144043,8.322648048400879,50
loosung,-1.017770290374756,0.9986371429068736,1,-1,8.918542861938477,11.130548477172852,124
käive,-1.0167934894561768,0.998451886094292,0,-1,6.705550670623779,12.738851547241211,192
juhina,-1.0139251947402954,0.9984018501512968,14,12,10.246440887451172,8.583122253417969,197
tabel,-1.0120068788528442,0.9984386490351308,12,-1,9.331108093261719,12.400190353393555,287
kokal,-1.0007578134536743,0.998141699470279,9,-1,8.033736228942871,7.710640907287598,22
tunnen,-1.0004103183746338,0.9983440545520124,6,3,5.534295082092285,9.411413192749023,511
ülepeakaela,-0.9958139657974244,0.9981764354011624,19,21,9.29808521270752,8.869560241699219,57
lennukiga,-0.9948379397392272,0.9981497433925912,10,2,12.145830154418945,10.928162574768066,48
visalt,-0.9932962656021118,0.9980325838686078,4,6,10.170957565307617,13.591833114624023,42
pööre,-0.9900106191635132,0.998022979381692,4,12,10.27656078338623,8.338495254516602,53
masina,-0.9881560206413268,0.9978791014243564,3,5,10.456398963928223,9.518234252929688,26
regina,-0.9871034622192384,0.9978431812985276,3,5,10.607502937316895,9.584202766418457,26
paatos,-0.9832133054733276,0.9977381886591344,4,-1,7.926456451416016,11.982236862182617,25
näidake,-0.9814358353614808,0.997826007515288,2,-1,4.729279518127441,10.78454875946045,87
kaela,-0.981165647506714,0.9979935142466936,4,-1,7.151461601257324,8.845352172851562,283
näol,-0.978844940662384,0.997503275081846,3,2,11.700454711914062,11.629436492919922,1399
pildil,-0.9776749014854432,0.998030968930266,17,19,9.826042175292969,12.287091255187988,88
kaabel,-0.9761179685592652,0.9977470978034017,1,19,9.513867378234863,12.02993392944336,59
kaart,-0.970511555671692,0.9975821643609598,1,-1,9.247631072998047,9.390482902526855,125
peita,-0.9696646928787231,0.9976723408053636,5,4,4.289371013641357,9.773333549499512,99
laen,-0.9674478769302368,0.9974870600576842,0,18,10.495149612426758,11.103096008300781,321
oleg,-0.9674193263053894,0.9974958225467528,15,-1,5.256044387817383,10.298858642578125,32
usaldage,-0.9654872417449952,0.9976116720184304,2,4,4.940735340118408,10.398175239562988,22
saldo,-0.9640523791313172,0.9976183692310292,8,29,8.43046760559082,7.929073333740234,39
lennuvälja,-0.9636026620864868,0.9978118608524812,4,23,7.454615116119385,9.172428131103516,31
portfellis,-0.9632070064544678,0.9975335358859388,3,10,8.73039722442627,12.059789657592773,32
pilk,-0.9630977511405944,0.9974055563991664,1,-1,9.132973670959473,11.209230422973633,86
mängida,-0.9627572894096376,0.9973876351898816,5,4,4.202402114868164,10.841273307800293,321
