,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
sõerdile,-1.0212681293487549,0.9986117636701392,16,5,-1.574705719947815,1.658164620399475,30
peangi,-1.0182708501815796,0.9984005813201,1,1,2.7600176334381104,2.9164702892303467,20
jaanus,-1.0041301250457764,0.9982630934540508,0,10,-0.673930287361145,2.131978750228882,1477
krimm,-0.9898381233215332,0.9979317927910472,1,12,0.5517654418945312,0.27949148416519165,52
okupeerinud,-0.9551177620887756,0.9971771977219857,1,23,1.7563453912734985,1.4451262950897217,52
välisministrile,-0.947992205619812,0.9969855732028972,3,-1,0.06760729849338531,1.5092426538467407,85
hansson,-0.9311992526054382,0.9967502510012008,3,13,-0.3845003843307495,1.4420095682144165,92
õnne,-0.925719916820526,0.9964286348363416,7,24,2.074903964996338,-0.051207177340984344,439
viimse,-0.916475772857666,0.9964133058670992,1,23,2.022611618041992,1.1565093994140625,40
andrus,-0.9061837196350098,0.9960957166474302,9,10,-0.9290406703948975,2.2921509742736816,1215
erki,-0.9046477675437928,0.9960519134320992,9,10,-0.4092261493206024,2.4333674907684326,919
uhkusega,-0.898439347743988,0.9959357499660372,1,23,2.1497843265533447,-0.5576037168502808,81
meri,-0.8921148180961609,0.9953253993390369,14,0,-1.2880901098251343,0.9768142700195312,469
lähiajalugu,-0.8915498852729797,0.9951757601715144,1,23,2.05289626121521,0.36751624941825867,28
ennegi,-0.881435215473175,0.99489495390319,3,11,1.005345106124878,1.2081708908081055,146
vankri,-0.8797186613082886,0.9951616098930424,1,1,2.420422315597534,3.167706251144409,30
uhkust,-0.8737557530403137,0.9941595576893636,2,23,2.130594253540039,-0.25750789046287537,113
vilja,-0.8718975186347961,0.9947963238805998,9,10,-0.49875861406326294,2.576873779296875,527
toonases,-0.8657182455062866,0.9948353339191914,1,12,1.1396453380584717,0.4950895309448242,27
manipuleerida,-0.8597765564918518,0.9941826440214,1,20,2.7477641105651855,1.3564050197601318,68
puhuda,-0.8540111184120178,0.9934978218008884,1,20,2.622495412826538,1.3976072072982788,29
jutupunkte,-0.8516029119491577,0.9937448112036594,1,4,3.348304510116577,0.7820056676864624,29
kindlusega,-0.8514081835746765,0.9938115239160188,1,24,2.553518056869507,-0.7943287491798401,52
agenda,-0.848625123500824,0.9936218760823464,1,23,1.3845266103744507,-0.2530224621295929,63
õnnestumine,-0.8480739593505859,0.9927839640158912,1,23,1.223501205444336,-0.9361114501953125,22
