,female_effect_size,female_p_value
euroopa,0.16292664408683777,0.32074006721065496
seaduse,0.16770006716251373,0.31153423788360046
raha,-0.5167389512062073,0.933825317663336
eurot,0.10778218507766724,0.3799057671792201
küsimusi,-0.21592919528484344,0.7375515420538572
tänan,-0.14296779036521912,0.6555948080975497
kolleeg,-0.5340743064880371,0.9413566749829384
ettepaneku,-0.2134646624326706,0.7340588114128249
inimesi,-0.1338241994380951,0.647652076454134
fraktsiooni,0.004320374224334955,0.48819384375041985
eesmärk,-0.16543030738830566,0.6878296373254081
täpselt,-0.09941695630550385,0.6202127644862185
seisukoht,-0.7218805551528931,0.983847286816334
tähelepanu,-0.05135496333241463,0.5658451744040843
esitatud,0.22426272928714752,0.2527613644050609
seadus,-0.20526370406150818,0.7266093502287213
minutit,-0.02270290069282055,0.5318830067987538
seaduseelnõu,0.11549099534749985,0.3724322560633516
algatatud,-0.14322200417518616,0.6592499794836023
eelarve,-0.27980905771255493,0.7999869634049015
tööd,0.04126853868365288,0.4410038864406709
hääletada,-0.37843018770217896,0.8681939283802811
nr,0.310494601726532,0.17803347579786477
töö,-0.20621809363365173,0.7209421547331135
õigus,-0.11384153366088867,0.6313037608740442
omavalitsuste,0.14164459705352783,0.33624650256254296
esitanud,-0.04268461465835571,0.5526408649035565
liiget,-0.06091228127479553,0.5747536659777532
§,0.010501335375010967,0.4874441807583505
muudatusettepanek,-0.29510194063186646,0.8081334656223487
muudatusettepaneku,-0.11903206259012222,0.6344619342797713
juhtivkomisjoni,-0.07417663931846619,0.580502804536582
toetust,-0.04439174383878708,0.5477731062875796
keskerakonna,-0.1926507204771042,0.7081986089772584
1.,0.23869407176971436,0.24440603618982004
võetud,0.2562047243118286,0.22877655813569453
fraktsioon,-0.38576212525367737,0.8689101638221499
lõpetada,-0.17074628174304962,0.6860188040212196
omavalitsuse,0.2455546259880066,0.23263931030622342
erakonna,-0.20845241844654083,0.7288766422424657
riigieelarve,-0.06882315874099731,0.5819617651275982
läbirääkimised,-0.018181249499320984,0.5147334585109941
öelnud,-0.16498470306396484,0.6877916814904711
liige,-0.3638726770877838,0.855745771774769
jäänud,0.21121832728385925,0.27126390928520105
kõnetooli,-0.416300505399704,0.8891729624819561
küsimusele,-0.1853879690170288,0.7064687232682244
ütleb,-0.07998310029506683,0.5992073830234729
laste,0.3662475347518921,0.1410661554317978
kell,-0.3691883683204651,0.8577804843562952
kohaliku,0.3490639328956604,0.1500588608066037
nõukogu,-0.19605490565299988,0.7174353271210665
asju,-0.2829054296016693,0.789977917714818
küsida,-0.21597999334335327,0.7396841469092907
esitada,0.01277699414640665,0.4911754942135491
soovi,-0.0322987362742424,0.5376555336156856
kohalike,0.05074649676680565,0.43789724133444574
küsimused,-0.16550275683403015,0.684723812139058
euro,0.1608853042125702,0.3129251176361244
täielikult,-0.1090695708990097,0.620925088961481
lõpuks,-0.4207167625427246,0.8879875265842974
liikme,0.032820310443639755,0.4540131714650757
jõudnud,-0.07553952932357788,0.5875985258439792
panen,-0.879603385925293,0.9950079230659905
võtnud,0.16900703310966492,0.3034133737451685
seaduses,0.10577566921710968,0.37603878824368286
hääletusele,-0.25646138191223145,0.7742725062404089
kolmas,0.43854445219039917,0.09906302752158114
juhtivkomisjon,-0.221806600689888,0.7422530317124729
arvestada,-0.21314379572868347,0.7309367356640947
võrreldes,0.1610478162765503,0.3142007083678571
andres,-0.18355336785316467,0.6972936162898912
võimaluse,0.1913449764251709,0.2834528123777501
läbirääkimisi,-0.02198956348001957,0.5223126486406697
venemaa,-0.025332005694508553,0.5275677537564569
leidnud,0.2250567227602005,0.25102299532088035
‑,-0.1341286450624466,0.6506112705103193
riikide,0.1609921157360077,0.32090921516343496
jätta,-0.26870837807655334,0.7824782845039646
omavalitsused,0.03648502752184868,0.4624841560330456
esitamise,0.32935306429862976,0.17171616633998177
ühtegi,-0.16774630546569824,0.6885213618118934
reformierakonna,-0.31126391887664795,0.8169797910863945
summa,-0.5805209279060364,0.9576186198847796
esindajad,-0.3096941113471985,0.8180186385599775
öeldud,0.20653624832630157,0.2732072649579037
võimalust,0.056572094559669495,0.4366083123367491
muudatusettepanekut,-0.0717681422829628,0.5856855171744222
hääletustulemused,0.01644268073141575,0.48293634036070043
ettepanekut,-0.19353117048740387,0.7157028270664759
tööle,0.5606577396392822,0.050729150910363674
jüri,-0.4869420528411865,0.9219811898347496
süsteemi,-0.15168863534927368,0.6699939947860174
helme,-0.12008048593997955,0.640311470358263
tähtajaks,-0.0726293995976448,0.5918902081881844
aastatel,0.0955544039607048,0.39375385630186743
väike,0.32826757431030273,0.16612431822483287
arvestamata,-0.07348060607910156,0.5865125933680173
keele,0.10872922837734222,0.37373496177167165
vähe,0.13836704194545746,0.3412994735823256
täiskogu,0.10885059833526611,0.3716085813147417
liikmete,0.1548408716917038,0.3261669808684067
liit,-0.5751035809516907,0.952507520794644
seaduste,0.23692218959331512,0.24254800137137889
