,female_effect_size,female_p_value
euroopa,0.2492380440235138,0.23929432773560078
seaduse,0.6398354172706604,0.032583537181610334
raha,0.061697233468294144,0.42754748573201296
eurot,0.2860109806060791,0.20411847384883264
küsimusi,-0.5471885204315186,0.9454684958593803
tänan,-0.5051427483558655,0.9285275598287475
kolleeg,-0.38566404581069946,0.8676138922179188
ettepaneku,0.23285824060440063,0.248330679082005
inimesi,0.04262729361653328,0.4594378203494399
fraktsiooni,-0.1638948917388916,0.6847140790726315
eesmärk,0.11100774258375168,0.3732244454005018
täpselt,-0.3115629553794861,0.8229170624193392
seisukoht,-0.11229294538497925,0.6226544552205264
tähelepanu,0.14787842333316803,0.337294189750476
esitatud,0.3166264593601227,0.18207977106455786
seadus,0.3550759255886078,0.1493500571871682
minutit,-0.11250713467597961,0.6308772545215691
seaduseelnõu,0.13419660925865173,0.3437336448494709
algatatud,-0.11763027310371399,0.6348075083200416
eelarve,-0.1421770453453064,0.6642665037978173
tööd,0.31548652052879333,0.1769433260681419
hääletada,-0.04019034653902054,0.5476559341816178
nr,-0.07426480948925018,0.5839794855299731
töö,-0.004847900476306677,0.4978318209867856
õigus,0.2700248956680298,0.21109058772825628
omavalitsuste,0.07989602535963058,0.41205771689235826
esitanud,-0.01939033903181553,0.5246858688423973
liiget,-0.09440616518259048,0.6188021362378797
muudatusettepanek,-0.0554167740046978,0.5618296301952137
muudatusettepaneku,-0.26653966307640076,0.7797259198519872
juhtivkomisjoni,-0.4491118788719177,0.9057212181075989
toetust,0.13099747896194458,0.34698926270154284
keskerakonna,-0.14664283394813538,0.6621769556327264
1.,0.11448133736848831,0.37129196468255055
võetud,0.37588781118392944,0.13860345127355334
fraktsioon,-0.12309878319501877,0.6342848972063644
lõpetada,-0.18516182899475098,0.704839907805597
omavalitsuse,0.326250821352005,0.1714531425102711
erakonna,-0.17688250541687012,0.6942416903163269
riigieelarve,0.003998138010501862,0.4941904624864659
läbirääkimised,-0.03332054615020752,0.543650403803299
öelnud,-0.02990318462252617,0.5362000136568554
liige,-0.2957030236721039,0.8028661062719868
jäänud,0.3879774510860443,0.12933204440370027
kõnetooli,-0.20650361478328705,0.7242467817911061
küsimusele,-0.1591014564037323,0.6735807891189749
ütleb,0.21097609400749207,0.2679162783486211
laste,0.33615773916244507,0.16428797015356944
kell,-0.2513546943664551,0.7626779016926973
kohaliku,0.393379807472229,0.126118335922614
nõukogu,-0.06745674461126328,0.5791890279360115
asju,-0.2805350422859192,0.7984682730783637
küsida,0.05606909096240997,0.4393727665001854
esitada,0.18332256376743317,0.2990295949469135
soovi,-0.07642900198698044,0.5902061126635856
kohalike,0.15533709526062012,0.331481855468411
küsimused,-0.3227294981479645,0.8265010026159243
euro,0.20574738085269928,0.27517905907823104
täielikult,-0.12643876671791077,0.6344166885910794
lõpuks,-0.1642754226922989,0.6841566765785914
liikme,-0.2501535415649414,0.7599220829500144
jõudnud,-0.09179437905550003,0.6050676060754643
panen,-0.5232417583465576,0.9343838312285491
võtnud,0.2038899064064026,0.2731242076756779
seaduses,0.5419760346412659,0.054824747605512925
hääletusele,-0.08040264993906021,0.5914982676269414
kolmas,0.3482459783554077,0.1561078177511962
juhtivkomisjon,-0.6067139506340027,0.960666512969479
arvestada,-0.20445676147937775,0.7210430645842496
võrreldes,0.05657719448208809,0.4364253376055812
andres,-0.32027995586395264,0.8289943075718631
võimaluse,0.09460534155368805,0.3887933146012119
läbirääkimisi,0.2627165913581848,0.2246403882692245
venemaa,-0.08983651548624039,0.6057086440788563
leidnud,-0.06902281939983368,0.5778573594595097
