topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Eesti Vabaerakonna fraktsioon,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
aardla pria pealtnagija,0.0018505109019229223,0.0003816793893129771,0.0001774937877174299,0.0,0.003067484662576687,0.0,0.0004701457451810061,0.0006753714542998649,0.00025759917568263783,0.0005342593829304127
aasia aasias saatkonna,0.0037010218038458446,0.0029262086513994912,0.005768548100816472,0.003979739507959479,0.0,0.0051813471502590676,0.005876821814762577,0.0011256190904997748,0.010046367851622875,0.0033391211433150794
abielu kooselu samasooliste,0.004425134765467857,0.015648854961832062,0.005857294994675187,0.008321273516642547,0.0,0.0,0.003526093088857546,0.003376857271499325,0.022926326635754765,0.009616668892747428
abipolitseinik abipolitseiniku abipolitseinike,0.0015286829189798052,0.0005089058524173028,0.0019524316648917288,0.000361794500723589,0.0,0.0025906735751295338,0.0011753643629525152,0.00022512381809995497,0.0038639876352395673,0.00040069453719780956
aituma infotundi jahimehed,0.00040228497867889616,0.0010178117048346056,0.001597444089456869,0.000361794500723589,0.0,0.0,0.0009402914903620122,0.007429085997298514,0.0077279752704791345,0.002270602377454254
ajakirjandus ajakirjanduse ajakirjandust,0.00522970472282565,0.0058524173027989825,0.0056798012069577564,0.003979739507959479,0.006134969325153374,0.0051813471502590676,0.003526093088857546,0.002476361999099505,0.0015455950540958269,0.004274075063443301
alkoholi kange lahja,0.018022367044814545,0.012977099236641221,0.025381611643592473,0.012662807525325614,0.0,0.007772020725388601,0.00846262341325811,0.029266096352994146,0.015713549716640907,0.009483104047014825
ametipalkade riigiteenijate korgemate,0.00016091399147155844,0.0001272264631043257,0.0008874689385871495,0.000723589001447178,0.0,0.0,0.0009402914903620122,0.0011256190904997748,0.0,0.00026712969146520634
ametiuhingute tooandjate keskliit,0.004586048756939416,0.0019083969465648854,0.005502307419240326,0.005426917510853835,0.009202453987730062,0.0025906735751295338,0.0021156558533145277,0.004727600180099055,0.005667181865018032,0.005342593829304127
ammendumiseni kaheni pikendada,0.00040228497867889616,0.0007633587786259542,0.001508697195598154,0.001085383502170767,0.0,0.0025906735751295338,0.0007052186177715092,0.0006753714542998649,0.0007727975270479134,0.0006678242286630158
annetus erjk annetuse,0.0010459409445651299,0.002417302798982188,0.003106141285055023,0.004703328509406657,0.0,0.0025906735751295338,0.0018805829807240243,0.0006753714542998649,0.0007727975270479134,0.0033391211433150794
annetused annetusi annetuste,0.0015286829189798052,0.0021628498727735367,0.0024849130280440185,0.001085383502170767,0.0,0.0,0.003526093088857546,0.011481314723097704,0.0010303967027305513,0.0010685187658608254
apteeke apteegid apteekide,0.005551532705768767,0.006870229007633588,0.008342208022719205,0.002532561505065123,0.0,0.007772020725388601,0.003526093088857546,0.006528590724898694,0.011334363730036065,0.008414585281154
arengufond arengufondi arengufondis,0.00522970472282565,0.0029262086513994912,0.009939652112176074,0.008321273516642547,0.0,0.012953367875647668,0.00846262341325811,0.004502476361999099,0.0061823802163833074,0.00587685321223454
arengukavad arengukavade pohialuste,0.007562957599163247,0.0067430025445292625,0.013578274760383386,0.016642547033285094,0.015337423312883436,0.02072538860103627,0.00846262341325811,0.016434038721296715,0.0072127769191138585,0.013757179110458127
borsile ipo enefit,0.0041033067825247405,0.0013994910941475826,0.004881079162229322,0.003256150506512301,0.012269938650306749,0.0025906735751295338,0.004701457451810061,0.005177847816298964,0.0015455950540958269,0.0021370375317216507
danske filiaali rahapesu,0.0013677689275082467,0.004198473282442748,0.0019524316648917288,0.005426917510853835,0.0,0.0025906735751295338,0.0018805829807240243,0.0009004952723998199,0.00025759917568263783,0.0006678242286630158
deklaratsiooni deklaratsioone deklaratsioonis,0.001770053906187143,0.0011450381679389313,0.0023961661341853034,0.000361794500723589,0.0,0.0,0.0014104372355430183,0.0009004952723998199,0.0010303967027305513,0.0018699078402564446
