topic_words3,Eesti Reformierakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
pagulasi pagulased pagulaste,0.0017749378771742,0.0286259541984732,-1512.78625954207
vagivallale vihakone ohutamine,0.0063010294639687,0.0229007633587786,-263.4447908827039
piirilepingu piirileping piirilepingut,0.0029286474973375,0.0151399491094147,-416.9604441360311
rahvuse rahvust rahvusriik,0.0054135605253816,0.0187022900763358,-245.47115504942985
liitlaste ohutorje keskmaa,0.003727369542066,0.0159033078880407,-326.66303162486645
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0033723819666311,0.015267175572519,-352.71193250301985
kauguhendus avaksite ettekandjalt,0.0026624068157614,0.0136132315521628,-411.31297709924405
viirust vaktsineeritud viiruse,0.0126908058217962,0.0264631043256997,-108.52185981957001
abielu kooselu samasooliste,0.0058572949946751,0.015648854961832,-167.1686328938266
piirivalve valvamise valvamine,0.0005324813631522,0.0090330788804071,-1596.412213740739
loomi loomade loomad,0.0020411785587504,0.0089058524173027,-336.3093262529086
otsevalimise presidenti presidendi,0.0031948881789137,0.0106870229007633,-234.50381679389528
kaitseliit kaitseliidule kaitseliidu,0.004348597799077,0.0115776081424936,-166.23773173391604
humni humn laulda,0.0007099751508697,0.0062340966921119,-778.0725190839852
missiooni missioonile missioon,0.0059460418885339,0.0127226463104325,-113.9683263073932
slovakkia ungari portugal,0.0057685481008164,0.0123409669211195,-113.9354081033481
oigusriik oigusriigi oigusriigist,0.0022186723464678,0.0071246819338422,-221.1236641221463
vallaga vald sauga,0.0034611288604898,0.0086513994910941,-149.95889606577092
salastatud valisteabe riigisaladuse,0.0014199503017394,0.005470737913486,-285.27671755726215
pollumeestele pollumehi pollumehed,0.003727369542066,0.0089058524173027,-138.93129770992277
valismaale valjarande valjaranne,0.0021299254526091,0.0063613231552162,-198.6641221374088
psuhhiaatri alaealine psuhhiaatrilist,0.004348597799077,0.0092875318066157,-113.57532325907445
korruptsiooni korruptsioon korruptsiooniga,0.0009762158324458,0.0041984732824427,-330.076335877886
rail trassi balticu,0.0064785232516861,0.0119592875318066,-84.59897521698446
sigade katku katk,0.0001774937877174,0.0036895674300254,-1978.7022900766608
hadaolukorda eriolukord eriolukorra,0.0061235356762513,0.0111959287531806,-82.83438433455021
elamisluba elamisloa viisa,0.0032836350727724,0.0072519083969465,-120.85001031566074
veb fondi uurimiskomisjon,0.0007987220447284,0.0033078880407124,-314.14758269721034
krimmi agressiooni ukraina,0.0158856940007099,0.0227735368956743,-43.358778625954876
idapiiri piiririba valjaehitamine,0.0010649627263045,0.0036895674300254,-246.45038167941084
piirikontrolli schengeni valispiiri,0.000621228257011,0.0026717557251908,-330.07633587785944
direktiivi direktiiv ulevotmise,0.0066560170394036,0.010941475826972,-64.38473282442784
palgalohe soolist meeste,0.004348597799077,0.0078880407124681,-81.39274030222698
opositsioonis koalitsiooni opositsiooni,0.0142882499112531,0.0199745547073791,-39.79706984021601
valijate erakonda valijaid,0.0052360667376641,0.0089058524173027,-70.08668650537014
oiglase virumaale ulemineku,0.0011537096201632,0.0031806615776081,-175.6899588960846
varude varud varu,0.0003549875754348,0.0019083969465648,-437.5954198473947
iive sundimus iibe,0.0029286474973375,0.0055979643765903,-91.14503816794397
eripensioni valjateenitud staazi,0.0009762158324458,0.0027989821882951,-186.7175572519206
piima toorpiima toodangut,0.0022186723464678,0.0045801526717557,-106.43664122137979
danske filiaali rahapesu,0.0019524316648917,0.0041984732824427,-115.038167938932
inflatsiooni inflatsioon hinnatous,0.0032836350727724,0.0059796437659033,-82.10439447080937
ugri rahvaste polisrahvaste,0.0004437344692935,0.0019083969465648,-330.07633587791577
prokuratuur prokuratuuri prokuror,0.0102058927937522,0.0143765903307888,-40.86558247593782
hoone rkas hoonet,0.0029286474973375,0.0053435114503816,-82.4566273421266
vabatahtlike komandode paasteameti,0.0035498757543485,0.0058524173027989,-64.86259541984955
terviseandmed isikuandmeid terviseandmeid,0.0109158679446219,0.0143765903307888,-31.703593371812
talupidajate kaubanduskoja kaubanduskoda,0.0001774937877174,0.0010178117048346,-473.4351145039102
muundatud geneetiliselt gmo,0.0004437344692935,0.0013994910941475,-215.38931297713373
president ilves presidendi,0.0004437344692935,0.0013994910941475,-215.38931297713373
kala kalurid kalurite,0.0015974440894568,0.0030534351145038,-91.14503816794613
seksuaalse vangistusega vaarkohtlemise,8.874689385871494e-05,0.0007633587786259,-760.1526717556642
jarviku jarvik maaeluministri,0.0120695775647852,0.0151399491094147,-25.438931297709782
lahususe voimude lahusus,0.0028399006034788,0.004325699745547,-52.31870229007791
suuria euroopasse turgis,0.0009762158324458,0.0019083969465648,-95.48924358085077
raamatukogu pimedate raamatukogude,0.0005324813631522,0.0012722646310432,-138.93129770995324
liibanonis missioonil pikendamine,8.874689385871494e-05,0.0005089058524173,-473.4351145038136
tsernoboli represseeritud oigusvastaselt,8.874689385871494e-05,0.0005089058524173,-473.4351145038136
nord stream streami,0.0009762158324458,0.0017811704834605,-82.45662734212944
louis freeh kremli,0.0022186723464678,0.0033078880407124,-49.09312977099426
mes maale maaelu,0.0005324813631522,0.0011450381679389,-115.03816793896165
muuseum muuseumi muuseumide,0.0004437344692935,0.0010178117048346,-129.37404580156408
tarbijakaitse amet ametile,0.0026624068157614,0.0036895674300254,-38.58015267175656
matusetoetust matusetoetus matusetoetuse,0.0008874689385871,0.0015267175572519,-72.03053435115368
metsa metsade mets,0.0067447639332623,0.0082697201017811,-22.609481719565704
est kavatsuste for,8.874689385871494e-05,0.0003816793893129,-330.0763358777757
estonian air airi,0.0013312034078807,0.0020356234096692,-52.916030534353084
lipu laevu kaubalaeva,0.0028399006034788,0.0038167938931297,-34.398854961833266
kantsler kantsleri riigisekretar,0.0017749378771742,0.0025445292620865,-43.3587786259614
toonadalal istungid taiendaval,0.011803336883209,0.0136132315521628,-15.333754232910952
uliopilased uliopilastele uliopilaste,0.0078097266595669,0.0092875318066157,-18.922623178347624
relva relvade relvaluba,0.0028399006034788,0.0036895674300254,-29.91889312977298
etv saateid pbk,0.0051473198438054,0.0062340966921119,-21.11345090813414
korterid kortereid korterit,0.0029286474973375,0.0036895674300254,-25.981956974325847
muraste kase kompleksi,0.0009762158324458,0.0013994910941475,-43.35877862595518
id mobiil kaardi,0.003106141285055,0.0038167938931297,-22.878953107959365
koneleja konsensuslikud repliigi,0.0002662406815761,0.0005089058524173,-91.14503816797009
miili baasvorgu lairiba,0.001863684771033,0.0024173027989821,-29.705561613954796
aardla pria pealtnagija,0.0001774937877174,0.0003816793893129,-115.03816793892409
kaitsekulud kaitsekulutused kaitsekulude,0.0017749378771742,0.0022900763358778,-29.022900763362436
elektri elektrit taastuvenergia,0.0163294284700035,0.0176844783715012,-8.298207766345723
rongi rongide rongid,0.0007099751508697,0.0010178117048346,-43.35877862595734
hiv narkomaania epideemia,0.000621228257011,0.0008905852417302,-43.35877862594241
ts parvlaeva parvlaevad,0.0022186723464678,0.0026717557251908,-20.421374045803734
utah jordaania energia,0.0009762158324458,0.0012722646310432,-30.32616238723385
operatsioonil sojalisel panustamisel,0.0004437344692935,0.0006361323155216,-43.35877862597193
palgatousu opetajate palgatous,0.004348597799077,0.0048346055979643,-11.176195669106406
haaletamissedel haaletamiskasti sedeli,0.0002662406815761,0.0003816793893129,-43.3587786259494
kohanimenoukogu vonnu mulgi,0.0002662406815761,0.0003816793893129,-43.3587786259494
kirik kiriku maarja,0.0010649627263045,0.0012722646310432,-19.46564885496538
maavalitsuste maavalitsused maakonna,0.0025736599219027,0.0027989821882951,-8.754935509343449
hoiu pangad pankade,0.001242456514022,0.0013994910941475,-12.6390403489582
energiaagentuur agentuuri agentuur,0.0005324813631522,0.0006361323155216,-19.465648854976617
lipud lippude lipp,0.0008874689385871,0.0010178117048346,-14.68702290076912
valdkonnad laekumisest fikseeritakse,0.0011537096201632,0.0012722646310432,-10.275983558430381
eriarstide eriarstiabi eriarsti,0.0069222577209797,0.0071246819338422,-2.924251321198295
ajakirjandus ajakirjanduse ajakirjandust,0.0056798012069577,0.0058524173027989,-3.0391221374041577
leping ratifitseerida lepinguga,0.005591054313099,0.0057251908396946,-2.399127589967043
kolledz kolledzi turi,0.0003549875754348,0.0003816793893129,-7.519083969462044
keeleoskust oskuse keeleoskuse,0.002484913028044,0.0025445292620865,-2.399127589967481
