topic_words3,Isamaa fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
pagulasi pagulased pagulaste,0.0054029716343989,0.0286259541984732,-429.8187022900766
rahvuse rahvust rahvusriik,0.004727600180099,0.0187022900763358,-295.59796437659315
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0024763619990995,0.015267175572519,-516.5163081193593
vagivallale vihakone ohutamine,0.0078793336334984,0.0229007633587786,-190.64340239912815
abielu kooselu samasooliste,0.0033768572714993,0.015648854961832,-363.4147582697217
jarviku jarvik maaeluministri,0.004502476361999,0.0151399491094147,-236.25826972010788
piirivalve valvamise valvamine,0.0009004952723998,0.0090330788804071,-903.1234096692306
prokuratuur prokuratuuri prokuror,0.004952723998199,0.0143765903307888,-190.2764284061999
missiooni missioonile missioon,0.0040522287257991,0.0127226463104325,-213.96663839412452
piirilepingu piirileping piirilepingut,0.0060783430886987,0.0151399491094147,-149.08019979267044
slovakkia ungari portugal,0.004502476361999,0.0123409669211195,-174.09287531807013
efsf esm kreekale,0.0015758667266996,0.0076335877862595,-384.405670665236
valijate erakonda valijaid,0.0024763619990995,0.0089058524173027,-259.6345130696243
valismaale valjarande valjaranne,0.0009004952723998,0.0063613231552162,-606.4249363867746
kauguhendus avaksite ettekandjalt,0.0065285907248986,0.0136132315521628,-108.51715363692422
humni humn laulda,0.0015758667266996,0.0062340966921119,-295.5979643766078
liitlaste ohutorje keskmaa,0.0083295812696983,0.0159033078880407,-90.92565848291102
pollumeestele pollumehi pollumehed,0.0033768572714993,0.0089058524173027,-163.7319762510592
kaitseliit kaitseliidule kaitseliidu,0.0054029716343989,0.0115776081424936,-114.28223070398649
psuhhiaatri alaealine psuhhiaatrilist,0.0040522287257991,0.0092875318066157,-129.19564602771027
hoone rkas hoonet,0.0015758667266996,0.0053435114503816,-239.08396946566205
danske filiaali rahapesu,0.0009004952723998,0.0041984732824427,-366.2404580152721
rail trassi balticu,0.0065285907248986,0.0119592875318066,-83.18329384926096
piima toorpiima toodangut,0.0013507429085997,0.0045801526717557,-239.0839694656545
palgalohe soolist meeste,0.0038271049076992,0.0078880407124681,-106.10986379284482
iive sundimus iibe,0.0022512381809995,0.0055979643765903,-148.66157760814662
oiglase virumaale ulemineku,0.0006753714542998,0.0031806615776081,-370.9499575912179
ajakirjandus ajakirjanduse ajakirjandust,0.0024763619990995,0.0058524173027989,-136.3312514457524
oigusriik oigusriigi oigusriigist,0.0033768572714993,0.0071246819338422,-110.98558100084854
salastatud valisteabe riigisaladuse,0.0022512381809995,0.005470737913486,-143.01017811705347
kohtunike kohtususteem kohtuniku,0.0031517334533993,0.0067430025445292,-113.94583787713835
veb fondi uurimiskomisjon,0.0009004952723998,0.0033078880407124,-267.3409669211201
leping ratifitseerida lepinguga,0.0027014858171994,0.0057251908396946,-111.92748091603313
kohtla jarve johvi,0.0002251238180999,0.0021628498727735,-860.7379134862233
taanis saksamaal hollandis,0.0033768572714993,0.0066157760814249,-95.91518235793079
sigade katku katk,0.0013507429085997,0.0036895674300254,-173.15097540288647
direktiivi direktiiv ulevotmise,0.0069788383610986,0.010941475826972,-56.78076007551501
vallaga vald sauga,0.0051778478162989,0.0086513994910941,-67.08485451930639
pohiseadusega riigikohus oiguskantsler,0.0051778478162989,0.0086513994910941,-67.08485451930639
annetus erjk annetuse,0.0006753714542998,0.0024173027989821,-257.9219677693174
etv saateid pbk,0.0033768572714993,0.0062340966921119,-84.61238337574173
vabatahtlike komandode paasteameti,0.0031517334533993,0.0058524173027989,-85.68884042166633
louis freeh kremli,0.0013507429085997,0.0033078880407124,-144.89397794741342
elamisluba elamisloa viisa,0.0042773525438991,0.0072519083969465,-69.54198473282466
suuria euroopasse turgis,0.0004502476361999,0.0019083969465648,-323.8549618320514
aasia aasias saatkonna,0.0011256190904997,0.0029262086513994,-159.96437659034
loomi loomade loomad,0.0056280954524988,0.0089058524173027,-58.23918575063646
korruptsiooni korruptsioon korruptsiooniga,0.0020261143628995,0.0041984732824427,-107.21798134012607
id mobiil kaardi,0.0018009905447996,0.0038167938931297,-111.92748091603126
muraste kase kompleksi,0.0002251238180999,0.0013994910941475,-521.6539440204714
president ilves presidendi,0.0002251238180999,0.0013994910941475,-521.6539440204714
estonian air airi,0.0006753714542998,0.0020356234096692,-201.40797285838187
riigikontrolli auditi auditit,0.0011256190904997,0.0026717557251908,-137.35877862596647
ts parvlaeva parvlaevad,0.0011256190904997,0.0026717557251908,-137.35877862596647
utah jordaania energia,0.0002251238180999,0.0012722646310432,-465.1399491095275
eriarstide eriarstiabi eriarsti,0.004727600180099,0.0071246819338422,-50.70398642917816
viirust vaktsineeritud viiruse,0.0218370103556956,0.0264631043256997,-21.18464888119408
relva relvade relvaluba,0.0020261143628995,0.0036895674300254,-82.10065026859552
rongi rongide rongid,0.0002251238180999,0.0010178117048346,-352.1119592876397
muuseum muuseumi muuseumide,0.0002251238180999,0.0010178117048346,-352.1119592876397
jalitustegevuse jalitustoimingu sideandmete,0.0002251238180999,0.0010178117048346,-352.1119592876397
volitust kaasuses jarvik,0.0009004952723998,0.0020356234096692,-126.05597964376962
otsevalimise presidenti presidendi,0.0081044574515983,0.0106870229007633,-31.86598812553068
moisteid moiste moisted,0.004727600180099,0.0067430025445292,-42.63055858475738
ugri rahvaste polisrahvaste,0.0009004952723998,0.0019083969465648,-111.92748091602571
tarbijakaitse amet ametile,0.0022512381809995,0.0036895674300254,-63.89058524173189
elatisraha elatisabi elatise,0.0002251238180999,0.0008905852417302,-295.5979643766514
lahususe voimude lahusus,0.0029266096352994,0.004325699745547,-47.80583284399899
muundatud geneetiliselt gmo,0.0006753714542998,0.0013994910941475,-107.21798134012643
inflatsiooni inflatsioon hinnatous,0.004502476361999,0.0059796437659033,-32.80788804071521
kaasne lisakulutusi riigieelarvele,0.0024763619990995,0.0035623409669211,-43.85380522785051
valimisliitude volikogusse volikokku,0.0092300765420981,0.0111959287531806,-21.29833054055737
