topic_words3,Eesti Reformierakonna fraktsioon,Isamaa fraktsioon,difference
lng terminali gaasi,0.0038161164359247,0.0162089149031967,-324.74896076563357
elektri elektrit taastuvenergia,0.0163294284700035,0.0335434488968932,-105.41716422293138
uhistranspordi uhistransport uhistransporti,0.0027511537096201,0.0126069338135974,-358.24171036006055
hadaolukorda eriolukord eriolukorra,0.0061235356762513,0.0171094101755965,-179.40410704148167
annetused annetusi annetuste,0.002484913028044,0.0114813147230977,-362.04090821380663
metsa metsade mets,0.0067447639332623,0.0159837910850968,-136.98073414062065
miili baasvorgu lairiba,0.001863684771033,0.0085547050877982,-359.02103299671825
aituma infotundi jahimehed,0.0015974440894568,0.0074290859972985,-365.06078343090616
opositsioonis koalitsiooni opositsiooni,0.0142882499112531,0.024538496172895,-71.7389906063236
viirust vaktsineeritud viiruse,0.0126908058217962,0.0218370103556956,-72.06953334823687
pensionitous pensionitousu pension,0.0057685481008164,0.0126069338135974,-118.54604647941119
lipu laevu kaubalaeva,0.0028399006034788,0.0081044574515983,-185.37820801441296
hanke hankija riigihangete,0.0035498757543485,0.0090049527239981,-153.66951823503345
kala kalurid kalurite,0.0015974440894568,0.0058532192705988,-266.4115263395007
toonadalal istungid taiendaval,0.011803336883209,0.019810895992796,-67.84148574949398
otsevalimise presidenti presidendi,0.0031948881789137,0.0081044574515983,-153.66951823502978
huvihariduse huvitegevuse huviharidus,0.0016861909833155,0.0056280954524988,-233.77568188820862
krimmi agressiooni ukraina,0.0158856940007099,0.0240882485366951,-51.634851682392004
liitlaste ohutorje keskmaa,0.003727369542066,0.0083295812696983,-123.47076606419316
pagulasi pagulased pagulaste,0.0017749378771742,0.0054029716343989,-204.40342188205102
loomi loomade loomad,0.0020411785587504,0.0056280954524988,-175.72773721199061
kauguhendus avaksite ettekandjalt,0.0026624068157614,0.0065285907248986,-145.2138676271959
objekti anu raua,0.0015086971955981,0.004727600180099,-213.3564637021026
vanemahuvitist vanemahuvitise vanemahuvitis,0.0023074192403265,0.0058532192705988,-153.66951823503777
mes maale maaelu,0.0005324813631522,0.0029266096352994,-449.61728950932
kohanimenoukogu vonnu mulgi,0.0002662406815761,0.0027014858171994,-914.6780729402657
kinnisasja maad maa,0.0047035853745118,0.0087798289058982,-86.66247568238276
terviseandmed isikuandmeid terviseandmeid,0.0109158679446219,0.0164340387212967,-50.551827895586875
erimargistatud kutust kutuse,0.0040823571175008,0.0076542098153984,-87.4948613041544
piirilepingu piirileping piirilepingut,0.0029286474973375,0.0060783430886987,-107.54778764684585
varude varud varu,0.0003549875754348,0.0022512381809995,-534.173795587666
lisaeelarve lisaeelarves lisaeelarvega,0.0021299254526091,0.004727600180099,-121.9608284556542
valdkonnad laekumisest fikseeritakse,0.0011537096201632,0.0031517334533993,-173.1825580992786
haiguspaevade haiguspaevi haiguspaeva,0.0015086971955981,0.0036019810895992,-138.74778186826612
idapiiri piiririba valjaehitamine,0.0010649627263045,0.0029266096352994,-174.80864475463412
lapsetoetust lapsetoetus lapsetoetuse,0.0056798012069577,0.0090049527239981,-58.54344889689311
kaitsekulud kaitsekulutused kaitsekulude,0.0017749378771742,0.0038271049076992,-115.61909049978496
opositsiooni koalitsioonil opositsioonil,0.005591054313099,0.0087798289058982,-57.033511288351846
sigade katku katk,0.0001774937877174,0.0013507429085997,-661.0085547051992
eripensioni valjateenitud staazi,0.0009762158324458,0.0024763619990995,-153.6695182350455
haaletamissedel haaletamiskasti sedeli,0.0002662406815761,0.0013507429085997,-407.33903647013284
piirikontrolli schengeni valispiiri,0.000621228257011,0.0018009905447996,-189.90802084002925
talupidajate kaubanduskoja kaubanduskoda,0.0001774937877174,0.0011256190904997,-534.1737955876378
raamatukogu pimedate raamatukogude,0.0005324813631522,0.0015758667266996,-195.94777127423475
keeleoskust oskuse keeleoskuse,0.002484913028044,0.0042773525438991,-72.13288737376936
eelarves riigieelarves reservist,0.0134895278665246,0.0168842863574966,-25.165880708074145
korterelamute kortermajade kredexi,0.0035498757543485,0.0054029716343989,-52.201710941021204
hooldekodus hoolduse hooldekodu,0.0015974440894568,0.0029266096352994,-83.20576316975036
skais arendused infosusteemide,0.0021299254526091,0.0036019810895992,-69.11301215668712
palgatousu opetajate palgatous,0.004348597799077,0.0063034669067987,-44.9540104200169
