topic_words3,Eesti Keskerakonna fraktsioon,Eesti Reformierakonna fraktsioon,difference
ulejaagis struktuurses struktuurse,0.0082066135650494,0.0297302094426695,-262.2713462381793
viirust vaktsineeritud viiruse,0.00362056480811,0.0126908058217962,-250.52005679801735
samba sammas sambasse,0.0023332528763375,0.0104721334753283,-348.8211964305548
maksuamet tolliamet tolliameti,0.0064365596588623,0.0165069222577209,-156.45567092651785
jarviku jarvik maaeluministri,0.004344677769732,0.0120695775647852,-177.80144361614433
untso missioonide liikmesusest,0.0023332528763375,0.0082534611288604,-253.73195989865587
krimmi agressiooni ukraina,0.0075629575991632,0.0158856940007099,-110.04605397321762
salvestisi salvestised salvestiste,0.0047469627484109,0.0110046148384806,-131.82433530080937
teadus teaduse arendustegevuse,0.0033791938209027,0.0085197018104366,-152.12231857599375
arengukavad arengukavade pohialuste,0.0075629575991632,0.0135782747603833,-79.53657127319688
metsa metsade mets,0.0026550808592807,0.0067447639332623,-154.03233614096234
pensionifondide pensionifondid fondid,0.0023332528763375,0.0060347887823926,-158.64272336676123
moisteid moiste moisted,0.0047469627484109,0.009318423855165,-96.30286456923325
arengufond arengufondi arengufondis,0.0052297047228256,0.009939652112176,-90.0614401572872
alkoholi kange lahja,0.0180223670448145,0.0253816116435924,-40.833951392058374
jalitustegevuse jalitustoimingu sideandmete,0.0009654839488293,0.0032836350727724,-240.1025026624192
kohtunike kohtususteem kohtuniku,0.0070802156247485,0.0112708555200567,-59.1880264304388
opositsiooni koalitsioonil opositsioonil,0.0027355378550164,0.005591054313099,-104.38592369855839
annetus erjk annetuse,0.0010459409445651,0.003106141285055,-196.97100024576696
jahimehed jahimeeste jahti,0.0010459409445651,0.003106141285055,-196.97100024576696
vaikesaarte saarte pusiasustusega,0.0016895969104513,0.003727369542066,-120.60702875400028
terviseandmed isikuandmeid terviseandmeid,0.0073215866119559,0.0109158679446219,-49.091563388687675
relva relvade relvaluba,0.0011263979403009,0.0028399006034788,-152.1223185759878
louis freeh kremli,0.000724112961622,0.0022186723464678,-206.39865104720866
tulumaksuvaba maksususteemi tulumaksu,0.0169764261002494,0.0220092296769613,-29.645836803294934
volitust kaasuses jarvik,0.0008045699573577,0.0023074192403265,-186.78913738021353
keskkonnaameti uhendamine uhendamise,0.001448225923244,0.0031948881789137,-120.60702875399498
aituma infotundi jahimehed,0.0004022849786788,0.0015974440894568,-297.09265175726625
direktiivi direktiiv ulevotmise,0.0041033067825247,0.0066560170394036,-62.211050554408175
riigiabi komisjonilt loa,0.0017700539061871,0.0035498757543485,-100.55184432181173
apteeke apteegid apteekide,0.0055515327057687,0.0083422080227192,-50.26855581793939
ammendumiseni kaheni pikendada,0.0004022849786788,0.0015086971955981,-275.03194888186533
liitlaste ohutorje keskmaa,0.0019309678976587,0.003727369542066,-93.03115015974312
teenistuse teenistuses avalikus,0.0020114248933944,0.0038161164359247,-89.72204472843998
treenerite spordi sport,0.0035401078123742,0.0057685481008164,-62.948373511474486
pohiseadusega riigikohus oiguskantsler,0.0091720975138788,0.0125133120340788,-36.42803093997012
soita jalakaija konniteel,0.0057124466972403,0.0084309549165779,-47.589209377672084
rahapesu terrorismi andmeburoo,0.0004022849786788,0.0014199503017394,-252.9712460064644
tooandja tooandjal tootaja,0.0016895969104513,0.0032836350727724,-94.34428723566523
lahususe voimude lahusus,0.0013677689275082,0.0028399006034788,-107.63014470964245
kodakondsust kodakondsuse kodanikuks,0.0072411296162201,0.0101171458998935,-39.71778487752981
valispoliitika valispoliitikas diplomaatia,0.002896451846488,0.0047923322683706,-65.45527156549794
ootuse oigusparase oiguskindluse,0.0016091399147155,0.003106141285055,-93.03115015975311
aasia aasias saatkonna,0.0037010218038458,0.0057685481008164,-55.86366161966934
kandidaadi kandidaati kandidaat,0.002172338884866,0.0038161164359247,-75.66855993373684
hadaolukorda eriolukord eriolukorra,0.0040228497867889,0.0061235356762513,-52.21884984025714
karistuse karistus tingimisi,0.0071606726204843,0.0097621583244586,-36.3301863086481
ametipalkade riigiteenijate korgemate,0.0001609139914715,0.0008874689385871,-451.5175718851536
kasvavad tuleval kasv,0.0016091399147155,0.0029286474973375,-82.0007987220485
vagivalla naistevastase perevagivalla,0.0012873119317724,0.002484913028044,-93.0311501597531
tarbijakaitse amet ametile,0.001448225923244,0.0026624068157614,-83.83919062832797
koosoleku elektrooniline koosolekut,0.0005631989701504,0.0014199503017394,-152.1223185760102
kohtutaiturite kohtutaitur kohtutaituri,0.0013677689275082,0.002484913028044,-81.6763766209408
joustumine joustuma joustada,0.0084479845522568,0.0108271210507632,-28.162178609462963
skais arendused infosusteemide,0.0011263979403009,0.0021299254526091,-89.09173893199085
valimisliitude volikogusse volikokku,0.009091640518143,0.0115370962016329,-26.897848398315162
uuring uuringut uuringu,0.002896451846488,0.004348597799077,-50.135339013136125
korterelamute kortermajade kredexi,0.0022527958806018,0.0035498757543485,-57.57644910999238
katteallikas katteallikaid katteallikat,0.0041837637782605,0.0058572949946751,-40.00061440157145
oigusloome oigusloomes oiguspoliitika,0.0009654839488293,0.001863684771033,-93.03115015975311
valdkonnad laekumisest fikseeritakse,0.0004827419744146,0.0011537096201632,-138.99094781684417
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.002172338884866,0.0033723819666311,-55.24198319725443
opositsioonis koalitsiooni opositsiooni,0.0118271783731595,0.0142882499112531,-20.80861098433025
huvigruppe huvigruppide kaasatud,0.0092525545096146,0.0114483493077742,-23.731768301152783
jaatmeid liigiti prugi,0.0029769088422238,0.0042598509052183,-43.09645108367246
