topic_words3,Eesti Reformierakonna fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0056798012069577,0.0287164418325096,-405.5888540136272
haiguspaevade haiguspaevi haiguspaeva,0.0015086971955981,0.0146921330305863,-873.8291469920727
palgalohe soolist meeste,0.004348597799077,0.0172298650995058,-296.2165713086383
hooldekodus hoolduse hooldekodu,0.0015974440894568,0.0126886603445973,-694.3101375718253
huvihariduse huvitegevuse huviharidus,0.0016861909833155,0.0120208361159342,-612.8988492334386
palgatousu opetajate palgatous,0.004348597799077,0.0156270869507145,-259.3592158380659
psuhhiaatri alaealine psuhhiaatrilist,0.004348597799077,0.0144250033391211,-231.71619923513828
loomi loomade loomad,0.0020411785587504,0.010418057967143,-410.39424858160805
vanemahuvitist vanemahuvitise vanemahuvitis,0.0023074192403265,0.0098837985842126,-328.3486247958148
pensioniiga pensioniea eluiga,0.003106141285055,0.0094831040470148,-205.30176114789583
virumaale virumaa toostusalade,0.0034611288604898,0.0100173634299452,-189.42474648365442
vaesuses suhtelises vaesuse,0.0021299254526091,0.0076131962067583,-257.43956190731205
riigimetsa majandamise noukokku,0.0009762158324458,0.0056097235207693,-474.639678473024
poolte kokkuleppel huvitise,0.0027511537096201,0.0078803258982235,-186.43713619736914
tulubaasi tasandusfondi tulumaksuosa,0.002484913028044,0.0073460665152931,-195.62670533686884
elatisraha elatisabi elatise,0.0010649627263045,0.0048083344463737,-351.5026045145241
pollumeestele pollumehi pollumehed,0.003727369542066,0.0085481501268866,-129.33465626133076
lasteaia lasteaias lasteaiakoha,0.004969826056088,0.0102844931214104,-106.93869373580938
metsa metsade mets,0.0067447639332623,0.0126886603445973,-88.12608521437254
kodualuse maamaksu maamaksust,0.0042598509052183,0.009082409509817,-113.20956324295494
maavalitsuste maavalitsused maakonna,0.0025736599219027,0.0064111125951649,-149.104885249376
puude raskusastme puuet,0.0007099751508697,0.003339121143315,-370.3152130359307
fie fuusilisest isikust,0.0027511537096201,0.0064111125951649,-133.03360233006373
muuseum muuseumi muuseumide,0.0004437344692935,0.002671296914652,-502.00347268607607
kinnisasja maad maa,0.0047035853745118,0.0086817149726192,-84.57653643674541
oppelaenu sugava puudega,0.0008874689385871,0.0032055562975824,-261.202083611605
korruptsiooni korruptsioon korruptsiooniga,0.0009762158324458,0.003339121143315,-242.0474276625082
koolilouna koolitoidu koolitoit,0.0019524316648917,0.0048083344463737,-146.27414791699843
tulubaasi omavalitsustele omavalitsuste,0.004348597799077,0.0081474555896887,-87.35822364206726
hambaravi hammaste hambad,0.0007099751508697,0.002671296914652,-276.25217042874453
koolituse koolitus koolitusele,0.0010649627263045,0.0032055562975824,-201.00173634300978
abielu kooselu samasooliste,0.0058572949946751,0.0096166688927474,-64.18276527799894
talupidajate kaubanduskoja kaubanduskoda,0.0001774937877174,0.0016027781487912,-803.0052090291143
mes maale maaelu,0.0005324813631522,0.002003472685989,-276.25217042879757
eriarstide eriarstiabi eriarsti,0.0069222577209797,0.010418057967143,-50.50086817149801
uliopilased uliopilastele uliopilaste,0.0078097266595669,0.011085882195806,-41.94968247993438
sigade katku katk,0.0001774937877174,0.0012020836115934,-577.2539067718357
vabatahtlike komandode paasteameti,0.0035498757543485,0.0057432883665019,-61.78843328436299
pensionitous pensionitousu pension,0.0057685481008164,0.008414585281154,-45.870072227760694
kala kalurid kalurite,0.0015974440894568,0.0030719914518498,-92.30666488580577
riigireformi riigireformist riigireform,0.0032836350727724,0.0052090289835715,-58.63605023482328
valimisea valimisiga valimisoiguse,0.0031948881789137,0.0050754641378389,-58.86202751435945
humni humn laulda,0.0007099751508697,0.0017363429945238,-144.56391077868395
seksuaalse vangistusega vaarkohtlemise,8.874689385871494e-05,0.0008013890743956,-803.0052090289622
nord stream streami,0.0009762158324458,0.002003472685989,-105.2284565975049
vaikesaarte saarte pusiasustusega,0.003727369542066,0.0054761586750367,-46.917514167414275
