topic_words3,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.003067484662576687,0.0,0.0,0.0,0.0008074283407347598,0.0,0.0
aasia aasias saatkonna,0.0,0.0031746031746031746,0.0044444444444444444,0.012684989429175475,0.0036334275333064193,0.0031282586027111575,0.0016666666666666668
abielu kooselu samasooliste,0.0,0.0,0.0,0.0,0.0016148566814695195,0.0,0.0016666666666666668
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0031746031746031746,0.0,0.023255813953488372,0.0008074283407347598,0.004171011470281543,0.0
aituma infotundi jahimehed,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0010427528675703858,0.0033333333333333335
ajakirjandus ajakirjanduse ajakirjandust,0.006134969325153374,0.0031746031746031746,0.008888888888888889,0.0,0.006459426725878078,0.009384775808133473,0.0033333333333333335
alkoholi kange lahja,0.0,0.009523809523809525,0.022222222222222223,0.006342494714587738,0.011303996770286637,0.018769551616266946,0.0016666666666666668
ametiuhingute tooandjate keskliit,0.009202453987730062,0.0031746031746031746,0.0044444444444444444,0.006342494714587738,0.0036334275333064193,0.0,0.016666666666666666
ammendumiseni kaheni pikendada,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0010427528675703858,0.005
annetus erjk annetuse,0.0,0.0031746031746031746,0.0044444444444444444,0.0021141649048625794,0.0008074283407347598,0.005213764337851929,0.0016666666666666668
annetused annetusi annetuste,0.0,0.0,0.0,0.0,0.003229713362939039,0.0020855057351407717,0.0
apteeke apteegid apteekide,0.0,0.009523809523809525,0.0,0.006342494714587738,0.006055712555510699,0.0020855057351407717,0.0
arengufond arengufondi arengufondis,0.0,0.015873015873015872,0.013333333333333334,0.006342494714587738,0.0044408558740411785,0.011470281543274244,0.0016666666666666668
arengukavad arengukavade pohialuste,0.015337423312883436,0.01904761904761905,0.0,0.012684989429175475,0.0072668550666128385,0.017726798748696558,0.006666666666666667
borsile ipo enefit,0.012269938650306749,0.0031746031746031746,0.0,0.0021141649048625794,0.006459426725878078,0.0031282586027111575,0.0016666666666666668
danske filiaali rahapesu,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0010427528675703858,0.0016666666666666668
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0,0.004228329809725159,0.0,0.0,0.0
direktiivi direktiiv ulevotmise,0.0,0.009523809523809525,0.0,0.0021141649048625794,0.003229713362939039,0.004171011470281543,0.0
domeenide domeeni interneti,0.003067484662576687,0.0,0.0,0.0,0.004037141703673799,0.0020855057351407717,0.0
eelarvele kulude riigieelarvele,0.009202453987730062,0.0031746031746031746,0.0044444444444444444,0.006342494714587738,0.004037141703673799,0.0010427528675703858,0.005
eelarves riigieelarves reservist,0.012269938650306749,0.0031746031746031746,0.03111111111111111,0.004228329809725159,0.021800565199838515,0.009384775808133473,0.0033333333333333335
efsf esm kreekale,0.003067484662576687,0.0,0.0,0.0,0.004844570044408559,0.0031282586027111575,0.0033333333333333335
elamisluba elamisloa viisa,0.0,0.0031746031746031746,0.0044444444444444444,0.008456659619450317,0.003229713362939039,0.004171011470281543,0.006666666666666667
elatisraha elatisabi elatise,0.0,0.0,0.0,0.004228329809725159,0.0004037141703673799,0.0010427528675703858,0.0
elektri elektrit taastuvenergia,0.006134969325153374,0.06031746031746032,0.013333333333333334,0.006342494714587738,0.022204279370205894,0.013555787278415016,0.006666666666666667
ene ergma aplaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668
energiaagentuur agentuuri agentuur,0.0,0.031746031746031744,0.0,0.0,0.011303996770286637,0.0,0.0016666666666666668
eriarstide eriarstiabi eriarsti,0.02147239263803681,0.015873015873015872,0.0044444444444444444,0.014799154334038054,0.023819136051675415,0.0010427528675703858,0.013333333333333334
erimargistatud kutust kutuse,0.024539877300613498,0.012698412698412698,0.022222222222222223,0.0021141649048625794,0.006863140896245458,0.020855057351407715,0.011666666666666667
eripensioni valjateenitud staazi,0.0,0.0,0.0,0.0,0.0016148566814695195,0.0020855057351407717,0.0033333333333333335
erso teatri kontserdi,0.0,0.0,0.0044444444444444444,0.0,0.0024222850222042794,0.0020855057351407717,0.005
est kavatsuste for,0.0,0.0,0.0,0.0,0.0008074283407347598,0.0,0.0
estonian air airi,0.009202453987730062,0.0,0.0,0.0,0.0012111425111021397,0.0,0.0
etv saateid pbk,0.0,0.0,0.0,0.0021141649048625794,0.014129995962858296,0.005213764337851929,0.005
fie fuusilisest isikust,0.006134969325153374,0.006349206349206349,0.0,0.0,0.005651998385143318,0.005213764337851929,0.006666666666666667
haale valimispaeval valimiste,0.0,0.0,0.0,0.004228329809725159,0.0024222850222042794,0.0,0.0016666666666666668
haaletamissedel haaletamiskasti sedeli,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0,0.0
haalte kandidaatidele haaletamisest,0.0,0.0,0.0,0.0021141649048625794,0.0004037141703673799,0.0,0.0
hadaolukorda eriolukord eriolukorra,0.006134969325153374,0.0,0.0044444444444444444,0.0021141649048625794,0.0008074283407347598,0.004171011470281543,0.0033333333333333335
haiguspaevade haiguspaevi haiguspaeva,0.003067484662576687,0.0,0.0,0.0,0.0,0.0010427528675703858,0.0
hambaravi hammaste hambad,0.012269938650306749,0.0,0.013333333333333334,0.0,0.0044408558740411785,0.0010427528675703858,0.0016666666666666668
hanke hankija riigihangete,0.0,0.0031746031746031746,0.013333333333333334,0.0,0.008074283407347598,0.01251303441084463,0.008333333333333333
hansson ardo panga,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0,0.0
hiv narkomaania epideemia,0.0,0.0,0.0,0.0021141649048625794,0.0004037141703673799,0.0010427528675703858,0.0
hoiu pangad pankade,0.0,0.0,0.0,0.0,0.0012111425111021397,0.0010427528675703858,0.0016666666666666668
hooldekodus hoolduse hooldekodu,0.003067484662576687,0.0,0.0044444444444444444,0.0021141649048625794,0.0016148566814695195,0.0010427528675703858,0.0
hoone rkas hoonet,0.0,0.022222222222222223,0.0044444444444444444,0.006342494714587738,0.0024222850222042794,0.0020855057351407717,0.011666666666666667
humni humn laulda,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668
huvigruppe huvigruppide kaasatud,0.006134969325153374,0.009523809523809525,0.008888888888888889,0.014799154334038054,0.005651998385143318,0.017726798748696558,0.005
huvihariduse huvitegevuse huviharidus,0.003067484662576687,0.0031746031746031746,0.0,0.0,0.0004037141703673799,0.0020855057351407717,0.0
id mobiil kaardi,0.0,0.0,0.0,0.006342494714587738,0.002825999192571659,0.0020855057351407717,0.0
