topic_words3,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,difference
elektri elektrit taastuvenergia,0.0061349693251533,0.0603174603174603,-883.1746031746147
kinnisasja maad maa,0.0061349693251533,0.0253968253968253,-313.9682539682574
liiklussurmade liikluses hukkunute,0.0030674846625766,0.019047619047619,-520.952380952397
metsa metsade mets,0.0030674846625766,0.0158730158730158,-417.46031746032975
loomi loomade loomad,0.0030674846625766,0.0126984126984126,-313.9682539682625
moisteid moiste moisted,0.0030674846625766,0.0126984126984126,-313.9682539682625
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.0095238095238095,-210.47619047619852
karistuse karistus tingimisi,0.0030674846625766,0.0095238095238095,-210.47619047619852
slovakkia ungari portugal,0.0030674846625766,0.0095238095238095,-210.47619047619852
katteallikas katteallikaid katteallikat,0.0030674846625766,0.0095238095238095,-210.47619047619852
taanis saksamaal hollandis,0.0061349693251533,0.0126984126984126,-106.9841269841279
soita jalakaija konniteel,0.0061349693251533,0.0126984126984126,-106.9841269841279
pollumeestele pollumehi pollumehed,0.00920245398773,0.0158730158730158,-72.48677248677285
pohiseadusega riigikohus oiguskantsler,0.00920245398773,0.0158730158730158,-72.48677248677285
iive sundimus iibe,0.0030674846625766,0.0063492063492063,-106.98412698413125
valimisea valimisiga valimisoiguse,0.0030674846625766,0.0063492063492063,-106.98412698413125
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.0095238095238095,-55.23809523809674
leping ratifitseerida lepinguga,0.0061349693251533,0.0095238095238095,-55.23809523809674
korterid kortereid korterit,0.0061349693251533,0.0095238095238095,-55.23809523809674
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.0126984126984126,-37.98941798941784
arengukavad arengukavade pohialuste,0.0153374233128834,0.019047619047619,-24.19047619047617
koolis kooli opilased,0.0122699386503067,0.0126984126984126,-3.4920634920630933
valimisliitude volikogusse volikokku,0.0122699386503067,0.0126984126984126,-3.4920634920630933
uuring uuringut uuringu,0.0122699386503067,0.0126984126984126,-3.4920634920630933
fie fuusilisest isikust,0.0061349693251533,0.0063492063492063,-3.492063492063942
kohtutaiturite kohtutaitur kohtutaituri,0.0061349693251533,0.0063492063492063,-3.492063492063942
vagivallale vihakone ohutamine,0.0061349693251533,0.0063492063492063,-3.492063492063942
terviseandmed isikuandmeid terviseandmeid,0.0061349693251533,0.0063492063492063,-3.492063492063942
valispoliitika valispoliitikas diplomaatia,0.0061349693251533,0.0063492063492063,-3.492063492063942
lae korgepalgaliste lagi,0.0030674846625766,0.0031746031746031,-3.492063492063999
mes maale maaelu,0.0030674846625766,0.0031746031746031,-3.492063492063999
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0031746031746031,-3.492063492063999
kantsler kantsleri riigisekretar,0.0030674846625766,0.0031746031746031,-3.492063492063999
huvihariduse huvitegevuse huviharidus,0.0030674846625766,0.0031746031746031,-3.492063492063999
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0031746031746031,-3.492063492063999
ugri rahvaste polisrahvaste,0.0030674846625766,0.0031746031746031,-3.492063492063999
muuseum muuseumi muuseumide,0.0030674846625766,0.0031746031746031,-3.492063492063999
piima toorpiima toodangut,0.0030674846625766,0.0031746031746031,-3.492063492063999
inflatsiooni inflatsioon hinnatous,0.0030674846625766,0.0031746031746031,-3.492063492063999
tooandja tervisesse maksuvabalt,0.0122699386503067,0.0095238095238095,22.380952380952266
vallaga vald sauga,0.00920245398773,0.0063492063492063,31.00529100529108
ulejaagis struktuurses struktuurse,0.00920245398773,0.0063492063492063,31.00529100529108
tapsustatakse ajakohastatakse nouete,0.00920245398773,0.0063492063492063,31.00529100529108
eriarstide eriarstiabi eriarsti,0.0214723926380368,0.0158730158730158,26.077097505669244
maksuamet tolliamet tolliameti,0.0061349693251533,0.0031746031746031,48.25396825396884
riigipuha puhade tahtpaevade,0.0061349693251533,0.0031746031746031,48.25396825396884
kaasne lisakulutusi riigieelarvele,0.0061349693251533,0.0031746031746031,48.25396825396884
ajakirjandus ajakirjanduse ajakirjandust,0.0061349693251533,0.0031746031746031,48.25396825396884
ametiuhingute tooandjate keskliit,0.00920245398773,0.0031746031746031,65.50264550264609
eelarvele kulude riigieelarvele,0.00920245398773,0.0031746031746031,65.50264550264609
erimargistatud kutust kutuse,0.0245398773006134,0.0126984126984126,48.25396825396845
borsile ipo enefit,0.0122699386503067,0.0031746031746031,74.12698412698464
kaibemaksu kaibemaks kaibemaksumaara,0.0122699386503067,0.0031746031746031,74.12698412698464
eelarves riigieelarves reservist,0.0122699386503067,0.0031746031746031,74.12698412698464
inimarengu aruanne aruandes,0.0184049079754601,0.0063492063492063,65.50264550264573
virumaale virumaa toostusalade,0.0153374233128834,0.0031746031746031,79.30158730158774
lapsetoetust lapsetoetus lapsetoetuse,0.0245398773006134,0.0063492063492063,74.12698412698423
opositsioonis koalitsiooni opositsiooni,0.0214723926380368,0.0031746031746031,85.21541950113412
pensioniiga pensioniea eluiga,0.0490797546012269,0.0222222222222222,54.722222222222186
maavalitsuste maavalitsused maakonna,0.0276073619631901,0.0063492063492063,77.00176366843044
tulubaasi omavalitsustele omavalitsuste,0.0276073619631901,0.0031746031746031,88.50088183421539
matusetoetust matusetoetus matusetoetuse,0.0337423312883435,0.0031746031746031,90.59163059163079
tootuid tootute tootu,0.0797546012269938,0.0158730158730158,80.09768009768017
prokuratuur prokuratuuri prokuror,0.0276073619631901,0.0,100.0
toonadalal istungid taiendaval,0.0276073619631901,0.0,100.0
voidusamba vabadussoja uurimiskomisjon,0.0245398773006134,0.0,100.0
vaikesaarte saarte pusiasustusega,0.0153374233128834,0.0,100.0
vaesuses suhtelises vaesuse,0.0153374233128834,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.0122699386503067,0.0,100.0
hambaravi hammaste hambad,0.0122699386503067,0.0,100.0
post posti omniva,0.0122699386503067,0.0,100.0
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0,100.0
valismaale valjarande valjaranne,0.00920245398773,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.00920245398773,0.0,100.0
piirilepingu piirileping piirilepingut,0.00920245398773,0.0,100.0
normitehnika mojude eeskiri,0.00920245398773,0.0,100.0
estonian air airi,0.00920245398773,0.0,100.0
