topic_words3,Eestimaa Rahvaliidu fraktsioon,Fraktsioonitud,difference
pohiseadusega riigikohus oiguskantsler,0.00920245398773,0.0311111111111111,-238.07407407407624
joustumine joustuma joustada,0.0030674846625766,0.0222222222222222,-624.4444444444642
eelarves riigieelarves reservist,0.0122699386503067,0.0311111111111111,-153.55555555555645
karistuse karistus tingimisi,0.0030674846625766,0.0133333333333333,-334.6666666666779
pensionitous pensionitousu pension,0.0030674846625766,0.0133333333333333,-334.6666666666779
pollumeestele pollumehi pollumehed,0.00920245398773,0.0222222222222222,-141.48148148148286
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0222222222222222,-141.48148148148286
tulubaasi omavalitsustele omavalitsuste,0.0276073619631901,0.0444444444444444,-60.98765432098797
tulubaasi tasandusfondi tulumaksuosa,0.0122699386503067,0.0222222222222222,-81.11111111111164
piima toorpiima toodangut,0.0030674846625766,0.0088888888888888,-189.77777777778314
relva relvade relvaluba,0.0030674846625766,0.0088888888888888,-189.77777777778314
elektri elektrit taastuvenergia,0.0061349693251533,0.0133333333333333,-117.33333333333542
kinnisasja maad maa,0.0061349693251533,0.0133333333333333,-117.33333333333542
vaesuses suhtelises vaesuse,0.0153374233128834,0.0222222222222222,-44.88888888888907
normitehnika mojude eeskiri,0.00920245398773,0.0133333333333333,-44.8888888888895
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.0088888888888888,-44.888888888889205
ajakirjandus ajakirjanduse ajakirjandust,0.0061349693251533,0.0088888888888888,-44.888888888889205
taanis saksamaal hollandis,0.0061349693251533,0.0088888888888888,-44.888888888889205
katteallikas katteallikaid katteallikat,0.0030674846625766,0.0044444444444444,-44.88888888889156
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0044444444444444,-44.88888888889156
pealinnast tallinnast viljandisse,0.0030674846625766,0.0044444444444444,-44.88888888889156
puude raskusastme puuet,0.0030674846625766,0.0044444444444444,-44.88888888889156
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.0044444444444444,-44.88888888889156
lae korgepalgaliste lagi,0.0030674846625766,0.0044444444444444,-44.88888888889156
salvestisi salvestised salvestiste,0.0030674846625766,0.0044444444444444,-44.88888888889156
hooldekodus hoolduse hooldekodu,0.0030674846625766,0.0044444444444444,-44.88888888889156
hambaravi hammaste hambad,0.0122699386503067,0.0133333333333333,-8.666666666666819
kaibemaksu kaibemaks kaibemaksumaara,0.0122699386503067,0.0133333333333333,-8.666666666666819
koolis kooli opilased,0.0122699386503067,0.0133333333333333,-8.666666666666819
valimisliitude volikogusse volikokku,0.0122699386503067,0.0133333333333333,-8.666666666666819
valismaale valjarande valjaranne,0.00920245398773,0.0088888888888888,3.40740740740772
vallaga vald sauga,0.00920245398773,0.0088888888888888,3.40740740740772
ulejaagis struktuurses struktuurse,0.00920245398773,0.0088888888888888,3.40740740740772
erimargistatud kutust kutuse,0.0245398773006134,0.0222222222222222,9.444444444444184
vagivallale vihakone ohutamine,0.0061349693251533,0.0044444444444444,27.5555555555554
soita jalakaija konniteel,0.0061349693251533,0.0044444444444444,27.5555555555554
riigiloivude riigiloivud riigiloivu,0.0061349693251533,0.0044444444444444,27.5555555555554
terviseandmed isikuandmeid terviseandmeid,0.0061349693251533,0.0044444444444444,27.5555555555554
muugimaksu muugimaks paadimaksu,0.0061349693251533,0.0044444444444444,27.5555555555554
leping ratifitseerida lepinguga,0.0061349693251533,0.0044444444444444,27.5555555555554
hadaolukorda eriolukord eriolukorra,0.0061349693251533,0.0044444444444444,27.5555555555554
matusetoetust matusetoetus matusetoetuse,0.0337423312883435,0.0266666666666666,20.96969696969704
eelarvele kulude riigieelarvele,0.00920245398773,0.0044444444444444,51.703703703703866
ametiuhingute tooandjate keskliit,0.00920245398773,0.0044444444444444,51.703703703703866
tapsustatakse ajakohastatakse nouete,0.00920245398773,0.0044444444444444,51.703703703703866
vaikesaarte saarte pusiasustusega,0.0153374233128834,0.0088888888888888,42.04444444444489
lapsetoetust lapsetoetus lapsetoetuse,0.0245398773006134,0.0133333333333333,45.666666666666586
post posti omniva,0.0122699386503067,0.0044444444444444,63.777777777778
uuring uuringut uuringu,0.0122699386503067,0.0044444444444444,63.777777777778
maavalitsuste maavalitsused maakonna,0.0276073619631901,0.0133333333333333,51.70370370370369
opositsioonis koalitsiooni opositsiooni,0.0214723926380368,0.0088888888888888,58.603174603175
voidusamba vabadussoja uurimiskomisjon,0.0245398773006134,0.0088888888888888,63.777777777778
inimarengu aruanne aruandes,0.0184049079754601,0.0044444444444444,75.85185185185206
prokuratuur prokuratuuri prokuror,0.0276073619631901,0.0088888888888888,67.8024691358027
eriarstide eriarstiabi eriarsti,0.0214723926380368,0.0044444444444444,79.30158730158749
tootuid tootute tootu,0.0797546012269938,0.0222222222222222,72.13675213675214
pensioniiga pensioniea eluiga,0.0490797546012269,0.0,100.0
toonadalal istungid taiendaval,0.0276073619631901,0.0,100.0
arengukavad arengukavade pohialuste,0.0153374233128834,0.0,100.0
virumaale virumaa toostusalade,0.0153374233128834,0.0,100.0
tooandja tervisesse maksuvabalt,0.0122699386503067,0.0,100.0
borsile ipo enefit,0.0122699386503067,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.00920245398773,0.0,100.0
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.0,100.0
estonian air airi,0.00920245398773,0.0,100.0
piirilepingu piirileping piirilepingut,0.00920245398773,0.0,100.0
maksuamet tolliamet tolliameti,0.0061349693251533,0.0,100.0
riigipuha puhade tahtpaevade,0.0061349693251533,0.0,100.0
fie fuusilisest isikust,0.0061349693251533,0.0,100.0
valispoliitika valispoliitikas diplomaatia,0.0061349693251533,0.0,100.0
kaasne lisakulutusi riigieelarvele,0.0061349693251533,0.0,100.0
korterid kortereid korterit,0.0061349693251533,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0061349693251533,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0061349693251533,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0030674846625766,0.0,100.0
samba sammas sambasse,0.0030674846625766,0.0,100.0
opositsiooni koalitsioonil opositsioonil,0.0030674846625766,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0030674846625766,0.0,100.0
kohtla jarve johvi,0.0030674846625766,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.0030674846625766,0.0,100.0
slovakkia ungari portugal,0.0030674846625766,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0030674846625766,0.0,100.0
liiklussurmade liikluses hukkunute,0.0030674846625766,0.0,100.0
aardla pria pealtnagija,0.0030674846625766,0.0,100.0
kusija vastaja vastasin,0.0030674846625766,0.0,100.0
metsa metsade mets,0.0030674846625766,0.0,100.0
kutsehariduse kutseharidus kutsehariduses,0.0030674846625766,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0030674846625766,0.0,100.0
moisteid moiste moisted,0.0030674846625766,0.0,100.0
pensioni pension sammas,0.0030674846625766,0.0,100.0
volakirjade keskpank volakirju,0.0030674846625766,0.0,100.0
oiglase virumaale ulemineku,0.0030674846625766,0.0,100.0
teekasutustasu autode autod,0.0030674846625766,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0030674846625766,0.0,100.0
memorandumi moistmise memorandum,0.0030674846625766,0.0,100.0
domeenide domeeni interneti,0.0030674846625766,0.0,100.0
valimisea valimisiga valimisoiguse,0.0030674846625766,0.0,100.0
efsf esm kreekale,0.0030674846625766,0.0,100.0
haiguspaevade haiguspaevi haiguspaeva,0.0030674846625766,0.0,100.0
laari laar kandidatuuri,0.0030674846625766,0.0,100.0
louis freeh kremli,0.0030674846625766,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0030674846625766,0.0,100.0
loomi loomade loomad,0.0030674846625766,0.0,100.0
kantsler kantsleri riigisekretar,0.0030674846625766,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0030674846625766,0.0,100.0
ugri rahvaste polisrahvaste,0.0030674846625766,0.0,100.0
mes maale maaelu,0.0030674846625766,0.0,100.0
iive sundimus iibe,0.0030674846625766,0.0,100.0
riigiabi komisjonilt loa,0.0030674846625766,0.0,100.0
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0,100.0
rail trassi balticu,0.0030674846625766,0.0,100.0
muuseum muuseumi muuseumide,0.0030674846625766,0.0,100.0
lipud lippude lipp,0.0,0.0,
magustatud suhkrut joogi,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0,
liitlaste ohutorje keskmaa,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
veb fondi uurimiskomisjon,0.0,0.0,
miili baasvorgu lairiba,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
varude varud varu,0.0,0.0,
valitsemisalade katteallikaks riigieelarves,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
utah jordaania energia,0.0,0.0,
ulikooliga kbfi instituudi,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
lahususe voimude lahusus,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
korterelamute kortermajade kredexi,0.0,0.0,
korrata stenogrammist vabandan,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
treenerite spordi sport,0.0,0.0,
kodakondsust kodakondsuse kodanikuks,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
keskkonnaameti uhendamine uhendamise,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
kauguhendus avaksite ettekandjalt,0.0,0.0,
kasvavad tuleval kasv,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
kandidaati kandidaat valituks,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
tootuna arvele ariuhingu,0.0,0.0,
poolte kokkuleppel huvitise,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
nord stream streami,0.0,0.0,
noukogudesse ariuhingute noukogudes,0.0,0.0,
objekti anu raua,0.0,0.0,
oigusloome oigusloomes oiguspoliitika,0.0,0.0,
oigusriik oigusriigi oigusriigist,0.0,0.0,
omandireformi tagastatud omandireform,0.0,0.0,
ooteala piiriuletuse piiripunkti,0.0,0.0,
otsevalimise presidenti presidendi,0.0,0.0,
pagulasi pagulased pagulaste,0.0,0.0,
palgalohe soolist meeste,0.0,0.0,
