topic_words3,Eestimaa Rahvaliidu fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,difference
moisteid moiste moisted,0.0030674846625766,0.0211416490486257,-589.2177589852173
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0211416490486257,-589.2177589852173
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0190274841437632,-520.2959830866979
muugimaksu muugimaks paadimaksu,0.0061349693251533,0.0232558139534883,-279.06976744186386
koolis kooli opilased,0.0122699386503067,0.0317124735729386,-158.4566596194506
kohtutaiturite kohtutaitur kohtutaituri,0.0061349693251533,0.0211416490486257,-244.60887949260308
karistuse karistus tingimisi,0.0030674846625766,0.0126849894291754,-313.5306553911298
joustumine joustuma joustada,0.0030674846625766,0.0126849894291754,-313.5306553911298
katteallikas katteallikaid katteallikat,0.0030674846625766,0.0126849894291754,-313.5306553911298
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.0105708245243128,-244.60887949260703
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.014799154334038,-141.2262156448223
slovakkia ungari portugal,0.0030674846625766,0.0084566596194503,-175.6871035940876
lapsetoetust lapsetoetus lapsetoetuse,0.0245398773006134,0.0359408033826638,-46.45877378435555
jalitustegevuse jalitustoimingu sideandmete,0.0061349693251533,0.0126849894291754,-106.76532769556155
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.014799154334038,-60.81747709654736
valispoliitika valispoliitikas diplomaatia,0.0061349693251533,0.0105708245243128,-72.30443974630072
puude raskusastme puuet,0.0030674846625766,0.0063424947145877,-106.7653276955649
relva relvade relvaluba,0.0030674846625766,0.0063424947145877,-106.7653276955649
liiklussurmade liikluses hukkunute,0.0030674846625766,0.0063424947145877,-106.7653276955649
valimisliitude volikogusse volikokku,0.0122699386503067,0.014799154334038,-20.61310782241018
uhistranspordi uhistransport uhistransporti,0.0030674846625766,0.0042283298097251,-37.84355179704217
inflatsiooni inflatsioon hinnatous,0.0030674846625766,0.0042283298097251,-37.84355179704217
korruptsiooni korruptsioon korruptsiooniga,0.0030674846625766,0.0042283298097251,-37.84355179704217
opositsiooni koalitsioonil opositsioonil,0.0030674846625766,0.0042283298097251,-37.84355179704217
pensionitous pensionitousu pension,0.0030674846625766,0.0042283298097251,-37.84355179704217
volakirjade keskpank volakirju,0.0030674846625766,0.0042283298097251,-37.84355179704217
mes maale maaelu,0.0030674846625766,0.0042283298097251,-37.84355179704217
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0105708245243128,-14.86962649753319
pohiseadusega riigikohus oiguskantsler,0.00920245398773,0.0105708245243128,-14.86962649753319
elektri elektrit taastuvenergia,0.0061349693251533,0.0063424947145877,-3.382663847780771
