topic_words3,Eestimaa Rahvaliidu fraktsioon,Sotsiaaldemokraadid,difference
pensioniiga pensioniea eluiga,0.0490797546012269,0.0966666666666666,-96.95833333333357
vaikesaarte saarte pusiasustusega,0.0153374233128834,0.045,-193.40000000000063
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0233333333333333,-660.6666666666872
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0233333333333333,-660.6666666666872
lapsetoetust lapsetoetus lapsetoetuse,0.0245398773006134,0.0483333333333333,-96.95833333333397
joustumine joustuma joustada,0.0030674846625766,0.01,-226.00000000000927
koolis kooli opilased,0.0122699386503067,0.0216666666666666,-76.58333333333348
karistuse karistus tingimisi,0.0030674846625766,0.0083333333333333,-171.6666666666733
ametiuhingute tooandjate keskliit,0.00920245398773,0.0166666666666666,-81.11111111111161
vaesuses suhtelises vaesuse,0.0153374233128834,0.0233333333333333,-52.133333333333454
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.0066666666666666,-117.33333333333734
muuseum muuseumi muuseumide,0.0030674846625766,0.0066666666666666,-117.33333333333734
kinnisasja maad maa,0.0061349693251533,0.01,-63.000000000001975
valimisliitude volikogusse volikokku,0.0122699386503067,0.0166666666666666,-35.83333333333333
metsa metsade mets,0.0030674846625766,0.005,-63.00000000000463
valimisea valimisiga valimisoiguse,0.0030674846625766,0.005,-63.00000000000463
kohtutaiturite kohtutaitur kohtutaituri,0.0061349693251533,0.0083333333333333,-35.833333333334444
maksuamet tolliamet tolliameti,0.0061349693251533,0.0083333333333333,-35.833333333334444
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0116666666666666,-26.7777777777779
ulejaagis struktuurses struktuurse,0.00920245398773,0.0116666666666666,-26.7777777777779
muugimaksu muugimaks paadimaksu,0.0061349693251533,0.0066666666666666,-8.666666666666904
taanis saksamaal hollandis,0.0061349693251533,0.0066666666666666,-8.666666666666904
elektri elektrit taastuvenergia,0.0061349693251533,0.0066666666666666,-8.666666666666904
fie fuusilisest isikust,0.0061349693251533,0.0066666666666666,-8.666666666666904
moisteid moiste moisted,0.0030674846625766,0.0033333333333333,-8.666666666668672
pensionitous pensionitousu pension,0.0030674846625766,0.0033333333333333,-8.666666666668672
lae korgepalgaliste lagi,0.0030674846625766,0.0033333333333333,-8.666666666668672
