topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,difference
vee monopolide veeteenuse,0.0126984126984126,0.0577777777777777,-355.0000000000029
tulubaasi omavalitsustele omavalitsuste,0.0031746031746031,0.0444444444444444,-1300.0000000000314
eelarves riigieelarves reservist,0.0031746031746031,0.0311111111111111,-880.0000000000226
matusetoetust matusetoetus matusetoetuse,0.0031746031746031,0.0266666666666666,-740.0000000000176
hanke hankija riigihangete,0.0031746031746031,0.0133333333333333,-320.0000000000088
kusimusena tahtsa tahtsusega,0.0031746031746031,0.0133333333333333,-320.0000000000088
kaibemaksu kaibemaks kaibemaksumaara,0.0031746031746031,0.0133333333333333,-320.0000000000088
vabatahtlike komandode paasteameti,0.0031746031746031,0.0133333333333333,-320.0000000000088
pohiseadusega riigikohus oiguskantsler,0.0158730158730158,0.0311111111111111,-96.00000000000084
alkoholi kange lahja,0.0095238095238095,0.0222222222222222,-133.33333333333366
erimargistatud kutust kutuse,0.0126984126984126,0.0222222222222222,-75.00000000000118
teede teehoiuks teedele,0.0031746031746031,0.0088888888888888,-180.0000000000038
piima toorpiima toodangut,0.0031746031746031,0.0088888888888888,-180.0000000000038
lipu laevu kaubalaeva,0.0031746031746031,0.0088888888888888,-180.0000000000038
opositsioonis koalitsiooni opositsiooni,0.0031746031746031,0.0088888888888888,-180.0000000000038
tervist tervis tervisega,0.0031746031746031,0.0088888888888888,-180.0000000000038
ajakirjandus ajakirjanduse ajakirjandust,0.0031746031746031,0.0088888888888888,-180.0000000000038
lapsetoetust lapsetoetus lapsetoetuse,0.0063492063492063,0.0133333333333333,-110.0000000000011
maavalitsuste maavalitsused maakonna,0.0063492063492063,0.0133333333333333,-110.0000000000011
tootuid tootute tootu,0.0158730158730158,0.0222222222222222,-40.000000000000504
pollumeestele pollumehi pollumehed,0.0158730158730158,0.0222222222222222,-40.000000000000504
karistuse karistus tingimisi,0.0095238095238095,0.0133333333333333,-39.99999999999999
vallaga vald sauga,0.0063492063492063,0.0088888888888888,-39.999999999999694
ulejaagis struktuurses struktuurse,0.0063492063492063,0.0088888888888888,-39.999999999999694
riigimetsa majandamise noukokku,0.0031746031746031,0.0044444444444444,-40.0000000000019
oppelaenu sugava puudega,0.0031746031746031,0.0044444444444444,-40.0000000000019
eelarvele kulude riigieelarvele,0.0031746031746031,0.0044444444444444,-40.0000000000019
lae korgepalgaliste lagi,0.0031746031746031,0.0044444444444444,-40.0000000000019
ametiuhingute tooandjate keskliit,0.0031746031746031,0.0044444444444444,-40.0000000000019
reklaami reklaam alkoholireklaam,0.0031746031746031,0.0044444444444444,-40.0000000000019
jarviku jarvik maaeluministri,0.0031746031746031,0.0044444444444444,-40.0000000000019
annetus erjk annetuse,0.0031746031746031,0.0044444444444444,-40.0000000000019
elamisluba elamisloa viisa,0.0031746031746031,0.0044444444444444,-40.0000000000019
aasia aasias saatkonna,0.0031746031746031,0.0044444444444444,-40.0000000000019
pensionifondide pensionifondid fondid,0.0031746031746031,0.0044444444444444,-40.0000000000019
vanemahuvitist vanemahuvitise vanemahuvitis,0.0031746031746031,0.0044444444444444,-40.0000000000019
koolis kooli opilased,0.0126984126984126,0.0133333333333333,-5.000000000000552
valimisliitude volikogusse volikokku,0.0126984126984126,0.0133333333333333,-5.000000000000552
huvigruppe huvigruppide kaasatud,0.0095238095238095,0.0088888888888888,6.666666666667366
riigikontrolli auditi auditit,0.0095238095238095,0.0088888888888888,6.666666666667366
arengufond arengufondi arengufondis,0.0158730158730158,0.0133333333333333,15.999999999999822
terviseandmed isikuandmeid terviseandmeid,0.0063492063492063,0.0044444444444444,30.000000000000153
teadus teaduse arendustegevuse,0.0063492063492063,0.0044444444444444,30.000000000000153
inimarengu aruanne aruandes,0.0063492063492063,0.0044444444444444,30.000000000000153
tapsustatakse ajakohastatakse nouete,0.0063492063492063,0.0044444444444444,30.000000000000153
vagivallale vihakone ohutamine,0.0063492063492063,0.0044444444444444,30.000000000000153
krimmi agressiooni ukraina,0.0063492063492063,0.0044444444444444,30.000000000000153
taanis saksamaal hollandis,0.0126984126984126,0.0088888888888888,30.000000000000153
katteallikas katteallikaid katteallikat,0.0095238095238095,0.0044444444444444,53.33333333333369
kodualuse maamaksu maamaksust,0.0095238095238095,0.0044444444444444,53.33333333333369
psuhhiaatri alaealine psuhhiaatrilist,0.0095238095238095,0.0044444444444444,53.33333333333369
leping ratifitseerida lepinguga,0.0095238095238095,0.0044444444444444,53.33333333333369
soita jalakaija konniteel,0.0126984126984126,0.0044444444444444,65.00000000000009
uuring uuringut uuringu,0.0126984126984126,0.0044444444444444,65.00000000000009
kinnisasja maad maa,0.0253968253968253,0.0133333333333333,47.49999999999993
eriarstide eriarstiabi eriarsti,0.0158730158730158,0.0044444444444444,72.00000000000016
hoone rkas hoonet,0.0222222222222222,0.0044444444444444,80.00000000000018
uliopilased uliopilastele uliopilaste,0.0222222222222222,0.0044444444444444,80.00000000000018
elektri elektrit taastuvenergia,0.0603174603174603,0.0133333333333333,77.8947368421053
kala kalurid kalurite,0.0380952380952381,0.0,100.0
planeeringu keskkonnamoju keskkonnamojude,0.0380952380952381,0.0,100.0
energiaagentuur agentuuri agentuur,0.0317460317460317,0.0,100.0
pensioniiga pensioniea eluiga,0.0222222222222222,0.0,100.0
arengukavad arengukavade pohialuste,0.019047619047619,0.0,100.0
liiklussurmade liikluses hukkunute,0.019047619047619,0.0,100.0
muundatud geneetiliselt gmo,0.0158730158730158,0.0,100.0
metsa metsade mets,0.0158730158730158,0.0,100.0
tulumaksuvaba maksususteemi tulumaksu,0.0126984126984126,0.0,100.0
jaatmeid liigiti prugi,0.0126984126984126,0.0,100.0
loomi loomade loomad,0.0126984126984126,0.0,100.0
moisteid moiste moisted,0.0126984126984126,0.0,100.0
korterid kortereid korterit,0.0095238095238095,0.0,100.0
tooandja tervisesse maksuvabalt,0.0095238095238095,0.0,100.0
utah jordaania energia,0.0095238095238095,0.0,100.0
slovakkia ungari portugal,0.0095238095238095,0.0,100.0
apteeke apteegid apteekide,0.0095238095238095,0.0,100.0
seksuaalse vangistusega vaarkohtlemise,0.0095238095238095,0.0,100.0
korterelamute kortermajade kredexi,0.0095238095238095,0.0,100.0
direktiivi direktiiv ulevotmise,0.0095238095238095,0.0,100.0
valimisea valimisiga valimisoiguse,0.0063492063492063,0.0,100.0
otsevalimise presidenti presidendi,0.0063492063492063,0.0,100.0
fie fuusilisest isikust,0.0063492063492063,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0063492063492063,0.0,100.0
raamatukogu pimedate raamatukogude,0.0063492063492063,0.0,100.0
poolte kokkuleppel huvitise,0.0063492063492063,0.0,100.0
iive sundimus iibe,0.0063492063492063,0.0,100.0
valispoliitika valispoliitikas diplomaatia,0.0063492063492063,0.0,100.0
miili baasvorgu lairiba,0.0063492063492063,0.0,100.0
tarbijakaitse amet ametile,0.0063492063492063,0.0,100.0
treenerite spordi sport,0.0063492063492063,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0031746031746031,0.0,100.0
piirivalve valvamise valvamine,0.0031746031746031,0.0,100.0
salastatud valisteabe riigisaladuse,0.0031746031746031,0.0,100.0
jahimehed jahimeeste jahti,0.0031746031746031,0.0,100.0
maksuamet tolliamet tolliameti,0.0031746031746031,0.0,100.0
kaasne lisakulutusi riigieelarvele,0.0031746031746031,0.0,100.0
tooandja tooandjal tootaja,0.0031746031746031,0.0,100.0
kantsler kantsleri riigisekretar,0.0031746031746031,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0031746031746031,0.0,100.0
ugri rahvaste polisrahvaste,0.0031746031746031,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.0031746031746031,0.0,100.0
magustatud suhkrut joogi,0.0031746031746031,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0031746031746031,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0031746031746031,0.0,100.0
omandireformi tagastatud omandireform,0.0031746031746031,0.0,100.0
lasteaia lasteaias lasteaiakoha,0.0031746031746031,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0031746031746031,0.0,100.0
oigusriik oigusriigi oigusriigist,0.0031746031746031,0.0,100.0
virumaale virumaa toostusalade,0.0031746031746031,0.0,100.0
mes maale maaelu,0.0031746031746031,0.0,100.0
borsile ipo enefit,0.0031746031746031,0.0,100.0
rahvuse rahvust rahvusriik,0.0031746031746031,0.0,100.0
danske filiaali rahapesu,0.0031746031746031,0.0,100.0
riigipuha puhade tahtpaevade,0.0031746031746031,0.0,100.0
muuseum muuseumi muuseumide,0.0031746031746031,0.0,100.0
pagulasi pagulased pagulaste,0.0031746031746031,0.0,100.0
noukogudesse ariuhingute noukogudes,0.0031746031746031,0.0,100.0
veb fondi uurimiskomisjon,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
viirust vaktsineeritud viiruse,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
kasvavad tuleval kasv,0.0,0.0,
kauguhendus avaksite ettekandjalt,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
keskkonnaameti uhendamine uhendamise,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
kodakondsust kodakondsuse kodanikuks,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
kohtla jarve johvi,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
korrata stenogrammist vabandan,0.0,0.0,
louis freeh kremli,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
kutsehariduse kutseharidus kutsehariduses,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
lahususe voimude lahusus,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
liitlaste ohutorje keskmaa,0.0,0.0,
lipud lippude lipp,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
varude varud varu,0.0,0.0,
teekasutustasu autode autod,0.0,0.0,
valitsemisalade katteallikaks riigieelarves,0.0,0.0,
rongi rongide rongid,0.0,0.0,
riigipalgaliste riigisektoris koondada,0.0,0.0,
riigiabi komisjonilt loa,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
rail trassi balticu,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
rahapesu terrorismi andmeburoo,0.0,0.0,
president ilves presidendi,0.0,0.0,
piirilepingu piirileping piirilepingut,0.0,0.0,
pensioni pension sammas,0.0,0.0,
palgalohe soolist meeste,0.0,0.0,
opositsiooni koalitsioonil opositsioonil,0.0,0.0,
oiglase virumaale ulemineku,0.0,0.0,
objekti anu raua,0.0,0.0,
nord stream streami,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
samba sammas sambasse,0.0,0.0,
valdkonnad laekumisest fikseeritakse,0.0,0.0,
sigade katku katk,0.0,0.0,
ulikooliga kbfi instituudi,0.0,0.0,
uhistranspordi uhistransport uhistransporti,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
