topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0063492063492063,0.0359408033826638,-466.0676532769593
vee monopolide veeteenuse,0.0126984126984126,0.0380549682875264,-199.68287526427275
abipolitseinik abipolitseiniku abipolitseinike,0.0031746031746031,0.0232558139534883,-632.5581395348986
lasteaia lasteaias lasteaiakoha,0.0031746031746031,0.0211416490486257,-565.9619450317251
vanemahuvitist vanemahuvitise vanemahuvitis,0.0031746031746031,0.0190274841437632,-499.3657505285548
koolis kooli opilased,0.0126984126984126,0.0317124735729386,-149.7357293868934
kohtutaiturite kohtutaitur kohtutaituri,0.0063492063492063,0.0211416490486257,-232.98097251585736
aasia aasias saatkonna,0.0031746031746031,0.0126849894291754,-299.5771670190345
otsevalimise presidenti presidendi,0.0063492063492063,0.014799154334038,-133.08668076110033
opositsioonis koalitsiooni opositsiooni,0.0031746031746031,0.0084566596194503,-166.3847780126907
elamisluba elamisloa viisa,0.0031746031746031,0.0084566596194503,-166.3847780126907
kusimusena tahtsa tahtsusega,0.0031746031746031,0.0084566596194503,-166.3847780126907
ooteala piiriuletuse piiripunkti,0.0031746031746031,0.0084566596194503,-166.3847780126907
moisteid moiste moisted,0.0126984126984126,0.0211416490486257,-66.49048625792868
jaatmeid liigiti prugi,0.0126984126984126,0.0190274841437632,-49.84143763213636
huvigruppe huvigruppide kaasatud,0.0095238095238095,0.014799154334038,-55.391120507399386
inimarengu aruanne aruandes,0.0063492063492063,0.0105708245243128,-66.49048625792788
valispoliitika valispoliitikas diplomaatia,0.0063492063492063,0.0105708245243128,-66.49048625792788
kaibemaksu kaibemaks kaibemaksumaara,0.0031746031746031,0.0063424947145877,-99.78858350951725
pensionifondide pensionifondid fondid,0.0031746031746031,0.0063424947145877,-99.78858350951725
ametiuhingute tooandjate keskliit,0.0031746031746031,0.0063424947145877,-99.78858350951725
eelarvele kulude riigieelarvele,0.0031746031746031,0.0063424947145877,-99.78858350951725
reklaami reklaam alkoholireklaam,0.0031746031746031,0.0063424947145877,-99.78858350951725
tulubaasi omavalitsustele omavalitsuste,0.0031746031746031,0.0063424947145877,-99.78858350951725
oigusloome oigusloomes oiguspoliitika,0.0031746031746031,0.0063424947145877,-99.78858350951725
katteallikas katteallikaid katteallikat,0.0095238095238095,0.0126849894291754,-33.19238900634204
karistuse karistus tingimisi,0.0095238095238095,0.0126849894291754,-33.19238900634204
tootuid tootute tootu,0.0158730158730158,0.0190274841437632,-19.873150105708717
tulumaksuvaba maksususteemi tulumaksu,0.0126984126984126,0.014799154334038,-16.543340380550163
valimisliitude volikogusse volikokku,0.0126984126984126,0.014799154334038,-16.543340380550163
kaasne lisakulutusi riigieelarvele,0.0031746031746031,0.0042283298097251,-33.19238900634377
eelarves riigieelarves reservist,0.0031746031746031,0.0042283298097251,-33.19238900634377
tervist tervis tervisega,0.0031746031746031,0.0042283298097251,-33.19238900634377
tooandja tooandjal tootaja,0.0031746031746031,0.0042283298097251,-33.19238900634377
mes maale maaelu,0.0031746031746031,0.0042283298097251,-33.19238900634377
inflatsiooni inflatsioon hinnatous,0.0031746031746031,0.0042283298097251,-33.19238900634377
psuhhiaatri alaealine psuhhiaatrilist,0.0095238095238095,0.0105708245243128,-10.993657505284665
poolte kokkuleppel huvitise,0.0063492063492063,0.0063424947145877,0.10570824524294108
eriarstide eriarstiabi eriarsti,0.0158730158730158,0.014799154334038,6.765327695560163
slovakkia ungari portugal,0.0095238095238095,0.0084566596194503,11.205073995771631
maksuamet tolliamet tolliameti,0.0031746031746031,0.0021141649048625,33.40380549682968
rahvuse rahvust rahvusriik,0.0031746031746031,0.0021141649048625,33.40380549682968
riigimetsa majandamise noukokku,0.0031746031746031,0.0021141649048625,33.40380549682968
jahimehed jahimeeste jahti,0.0031746031746031,0.0021141649048625,33.40380549682968
virumaale virumaa toostusalade,0.0031746031746031,0.0021141649048625,33.40380549682968
piima toorpiima toodangut,0.0031746031746031,0.0021141649048625,33.40380549682968
matusetoetust matusetoetus matusetoetuse,0.0031746031746031,0.0021141649048625,33.40380549682968
oppelaenu sugava puudega,0.0031746031746031,0.0021141649048625,33.40380549682968
vabatahtlike komandode paasteameti,0.0031746031746031,0.0021141649048625,33.40380549682968
borsile ipo enefit,0.0031746031746031,0.0021141649048625,33.40380549682968
ugri rahvaste polisrahvaste,0.0031746031746031,0.0021141649048625,33.40380549682968
valimiskomisjon proteste valimiskasti,0.0031746031746031,0.0021141649048625,33.40380549682968
lae korgepalgaliste lagi,0.0031746031746031,0.0021141649048625,33.40380549682968
annetus erjk annetuse,0.0031746031746031,0.0021141649048625,33.40380549682968
riigipuha puhade tahtpaevade,0.0031746031746031,0.0021141649048625,33.40380549682968
teadus teaduse arendustegevuse,0.0063492063492063,0.0042283298097251,33.40380549682916
vallaga vald sauga,0.0063492063492063,0.0042283298097251,33.40380549682916
alkoholi kange lahja,0.0095238095238095,0.0063424947145877,33.40380549682898
apteeke apteegid apteekide,0.0095238095238095,0.0063424947145877,33.40380549682898
uuring uuringut uuringu,0.0126984126984126,0.0084566596194503,33.40380549682837
pohiseadusega riigikohus oiguskantsler,0.0158730158730158,0.0105708245243128,33.40380549682905
arengukavad arengukavade pohialuste,0.019047619047619,0.0126849894291754,33.40380549682898
ulejaagis struktuurses struktuurse,0.0063492063492063,0.0021141649048625,66.70190274841536
valimisea valimisiga valimisoiguse,0.0063492063492063,0.0021141649048625,66.70190274841536
iive sundimus iibe,0.0063492063492063,0.0021141649048625,66.70190274841536
terviseandmed isikuandmeid terviseandmeid,0.0063492063492063,0.0021141649048625,66.70190274841536
miili baasvorgu lairiba,0.0063492063492063,0.0021141649048625,66.70190274841536
krimmi agressiooni ukraina,0.0063492063492063,0.0021141649048625,66.70190274841536
maavalitsuste maavalitsused maakonna,0.0063492063492063,0.0021141649048625,66.70190274841536
seksuaalse vangistusega vaarkohtlemise,0.0095238095238095,0.0042283298097251,55.60253699788634
taanis saksamaal hollandis,0.0126984126984126,0.0063424947145877,50.05285412262147
soita jalakaija konniteel,0.0126984126984126,0.0063424947145877,50.05285412262147
pollumeestele pollumehi pollumehed,0.0158730158730158,0.0063424947145877,60.042283298097296
arengufond arengufondi arengufondis,0.0158730158730158,0.0063424947145877,60.042283298097296
korterid kortereid korterit,0.0095238095238095,0.0021141649048625,77.8012684989437
riigikontrolli auditi auditit,0.0095238095238095,0.0021141649048625,77.8012684989437
leping ratifitseerida lepinguga,0.0095238095238095,0.0021141649048625,77.8012684989437
korterelamute kortermajade kredexi,0.0095238095238095,0.0021141649048625,77.8012684989437
direktiivi direktiiv ulevotmise,0.0095238095238095,0.0021141649048625,77.8012684989437
tooandja tervisesse maksuvabalt,0.0095238095238095,0.0021141649048625,77.8012684989437
kodualuse maamaksu maamaksust,0.0095238095238095,0.0021141649048625,77.8012684989437
erimargistatud kutust kutuse,0.0126984126984126,0.0021141649048625,83.35095137420767
liiklussurmade liikluses hukkunute,0.019047619047619,0.0063424947145877,66.70190274841448
pensioniiga pensioniea eluiga,0.0222222222222222,0.0084566596194503,61.94503171247361
metsa metsade mets,0.0158730158730158,0.0021141649048625,86.6807610993662
hoone rkas hoonet,0.0222222222222222,0.0063424947145877,71.45877378435532
uliopilased uliopilastele uliopilaste,0.0222222222222222,0.0042283298097251,80.97251585623704
kinnisasja maad maa,0.0253968253968253,0.0063424947145877,75.02642706131084
planeeringu keskkonnamoju keskkonnamojude,0.0380952380952381,0.0084566596194503,77.80126849894296
kala kalurid kalurite,0.0380952380952381,0.0021141649048625,94.45031712473593
elektri elektrit taastuvenergia,0.0603174603174603,0.0063424947145877,89.48481139423619
energiaagentuur agentuuri agentuur,0.0317460317460317,0.0,100.0
muundatud geneetiliselt gmo,0.0158730158730158,0.0,100.0
loomi loomade loomad,0.0126984126984126,0.0,100.0
utah jordaania energia,0.0095238095238095,0.0,100.0
vagivallale vihakone ohutamine,0.0063492063492063,0.0,100.0
treenerite spordi sport,0.0063492063492063,0.0,100.0
fie fuusilisest isikust,0.0063492063492063,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0063492063492063,0.0,100.0
tarbijakaitse amet ametile,0.0063492063492063,0.0,100.0
raamatukogu pimedate raamatukogude,0.0063492063492063,0.0,100.0
ajakirjandus ajakirjanduse ajakirjandust,0.0031746031746031,0.0,100.0
jarviku jarvik maaeluministri,0.0031746031746031,0.0,100.0
magustatud suhkrut joogi,0.0031746031746031,0.0,100.0
muuseum muuseumi muuseumide,0.0031746031746031,0.0,100.0
piirivalve valvamise valvamine,0.0031746031746031,0.0,100.0
