topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Keskerakond,difference
tootuid tootute tootu,0.0158730158730158,0.0649979814291481,-309.4872830036349
kaibemaksu kaibemaks kaibemaksumaara,0.0031746031746031,0.0286637060960839,-802.906742026664
tulubaasi omavalitsustele omavalitsuste,0.0031746031746031,0.0226079935405732,-612.1517965280725
eelarves riigieelarves reservist,0.0031746031746031,0.0218005651998385,-586.717803794929
omandireformi tagastatud omandireform,0.0031746031746031,0.0141299959628582,-345.0948728300438
lasteaia lasteaias lasteaiakoha,0.0031746031746031,0.0100928542591844,-217.92490916431606
vabatahtlike komandode paasteameti,0.0031746031746031,0.0092854259184497,-192.49091643117242
hanke hankija riigihangete,0.0031746031746031,0.0080742834073475,-154.3399273314522
pensioniiga pensioniea eluiga,0.0222222222222222,0.0322971336293903,-45.337101332256516
matusetoetust matusetoetus matusetoetuse,0.0031746031746031,0.0076705692369802,-141.62293096488196
opositsioonis koalitsiooni opositsiooni,0.0031746031746031,0.0076705692369802,-141.62293096488196
eriarstide eriarstiabi eriarsti,0.0158730158730158,0.0238191360516754,-50.060557125555725
tulumaksuvaba maksususteemi tulumaksu,0.0126984126984126,0.0197819943480016,-55.78320549051382
maavalitsuste maavalitsused maakonna,0.0063492063492063,0.011707710940654,-84.39644731530194
virumaale virumaa toostusalade,0.0031746031746031,0.0068631408962454,-116.1889382317352
teede teehoiuks teedele,0.0031746031746031,0.0068631408962454,-116.1889382317352
ajakirjandus ajakirjanduse ajakirjandust,0.0031746031746031,0.006459426725878,-103.47194186516178
borsile ipo enefit,0.0031746031746031,0.006459426725878,-103.47194186516178
inimarengu aruanne aruandes,0.0063492063492063,0.0100928542591844,-58.96245458215553
lapsetoetust lapsetoetus lapsetoetuse,0.0063492063492063,0.0096891400888171,-52.60395639887051
inflatsiooni inflatsioon hinnatous,0.0031746031746031,0.0056519983851433,-78.03794913201814
rahvuse rahvust rahvusriik,0.0031746031746031,0.0052482842147759,-65.32095276544473
koolis kooli opilased,0.0126984126984126,0.0153411384739604,-20.811465482439086
noukogudesse ariuhingute noukogudes,0.0031746031746031,0.0044408558740411,-39.88696003229795
jarviku jarvik maaeluministri,0.0031746031746031,0.0044408558740411,-39.88696003229795
alkoholi kange lahja,0.0095238095238095,0.0113039967702866,-18.691966088009597
vallaga vald sauga,0.0063492063492063,0.0076705692369802,-20.811465482439086
piima toorpiima toodangut,0.0031746031746031,0.0040371417036737,-27.169963665724545
tervist tervis tervisega,0.0031746031746031,0.0040371417036737,-27.169963665724545
eelarvele kulude riigieelarvele,0.0031746031746031,0.0040371417036737,-27.169963665724545
ametiuhingute tooandjate keskliit,0.0031746031746031,0.0036334275333064,-14.452967299154295
aasia aasias saatkonna,0.0031746031746031,0.0036334275333064,-14.452967299154295
ulejaagis struktuurses struktuurse,0.0063492063492063,0.0068631408962454,-8.094469115865895
elamisluba elamisloa viisa,0.0031746031746031,0.003229713362939,-1.7359709325808899
kaasne lisakulutusi riigieelarvele,0.0031746031746031,0.003229713362939,-1.7359709325808899
maksuamet tolliamet tolliameti,0.0031746031746031,0.003229713362939,-1.7359709325808899
vee monopolide veeteenuse,0.0126984126984126,0.0121114251110213,4.6225272507065185
ooteala piiriuletuse piiripunkti,0.0031746031746031,0.0028259991925716,10.981025433992501
riigimetsa majandamise noukokku,0.0031746031746031,0.0028259991925716,10.981025433992501
kusimusena tahtsa tahtsusega,0.0031746031746031,0.0028259991925716,10.981025433992501
fie fuusilisest isikust,0.0063492063492063,0.0056519983851433,10.981025433992329
pensionifondide pensionifondid fondid,0.0031746031746031,0.0024222850222042,23.698021800565908
reklaami reklaam alkoholireklaam,0.0031746031746031,0.0024222850222042,23.698021800565908
lipu laevu kaubalaeva,0.0031746031746031,0.0024222850222042,23.698021800565908
utah jordaania energia,0.0095238095238095,0.0080742834073475,15.22002422285105
otsevalimise presidenti presidendi,0.0063492063492063,0.0044408558740411,30.056519983852127
muuseum muuseumi muuseumide,0.0031746031746031,0.0016148566814695,49.13201453370956
salastatud valisteabe riigisaladuse,0.0031746031746031,0.0016148566814695,49.13201453370956
iive sundimus iibe,0.0063492063492063,0.0036334275333064,42.773516350423755
krimmi agressiooni ukraina,0.0063492063492063,0.0036334275333064,42.773516350423755
apteeke apteegid apteekide,0.0095238095238095,0.0060557125555106,36.41501816713855
oppelaenu sugava puudega,0.0031746031746031,0.0012111425111021,61.849010900282956
vanemahuvitist vanemahuvitise vanemahuvitis,0.0031746031746031,0.0012111425111021,61.849010900282956
pagulasi pagulased pagulaste,0.0031746031746031,0.0012111425111021,61.849010900282956
riigikontrolli auditi auditit,0.0095238095238095,0.0056519983851433,40.6540169559952
huvigruppe huvigruppide kaasatud,0.0095238095238095,0.0056519983851433,40.6540169559952
oigusriik oigusriigi oigusriigist,0.0031746031746031,0.0008074283407347,74.56600726685636
kantsler kantsleri riigisekretar,0.0031746031746031,0.0008074283407347,74.56600726685636
annetus erjk annetuse,0.0031746031746031,0.0008074283407347,74.56600726685636
abipolitseinik abipolitseiniku abipolitseinike,0.0031746031746031,0.0008074283407347,74.56600726685636
tooandja tooandjal tootaja,0.0031746031746031,0.0008074283407347,74.56600726685636
oigusloome oigusloomes oiguspoliitika,0.0031746031746031,0.0008074283407347,74.56600726685636
