topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Sotsiaaldemokraadid,difference
pensioniiga pensioniea eluiga,0.0222222222222222,0.0966666666666666,-335.0000000000001
lapsetoetust lapsetoetus lapsetoetuse,0.0063492063492063,0.0483333333333333,-661.2500000000055
lasteaia lasteaias lasteaiakoha,0.0031746031746031,0.0233333333333333,-635.0000000000163
vanemahuvitist vanemahuvitise vanemahuvitis,0.0031746031746031,0.0233333333333333,-635.0000000000163
ametiuhingute tooandjate keskliit,0.0031746031746031,0.0166666666666666,-425.00000000001023
tootuid tootute tootu,0.0158730158730158,0.035,-120.50000000000105
tulubaasi omavalitsustele omavalitsuste,0.0031746031746031,0.0133333333333333,-320.0000000000088
opositsioonis koalitsiooni opositsiooni,0.0031746031746031,0.0116666666666666,-267.50000000000654
poolte kokkuleppel huvitise,0.0063492063492063,0.015,-136.25000000000185
koolis kooli opilased,0.0126984126984126,0.0216666666666666,-70.62500000000081
jarviku jarvik maaeluministri,0.0031746031746031,0.0083333333333333,-162.50000000000512
hanke hankija riigihangete,0.0031746031746031,0.0083333333333333,-162.50000000000512
maksuamet tolliamet tolliameti,0.0031746031746031,0.0083333333333333,-162.50000000000512
ulejaagis struktuurses struktuurse,0.0063492063492063,0.0116666666666666,-83.75000000000037
elamisluba elamisloa viisa,0.0031746031746031,0.0066666666666666,-110.00000000000286
vabatahtlike komandode paasteameti,0.0031746031746031,0.0066666666666666,-110.00000000000286
muuseum muuseumi muuseumide,0.0031746031746031,0.0066666666666666,-110.00000000000286
riigikontrolli auditi auditit,0.0095238095238095,0.0133333333333333,-39.99999999999999
valimisliitude volikogusse volikokku,0.0126984126984126,0.0166666666666666,-31.2500000000005
eelarvele kulude riigieelarvele,0.0031746031746031,0.005,-57.5000000000037
rahvuse rahvust rahvusriik,0.0031746031746031,0.005,-57.5000000000037
krimmi agressiooni ukraina,0.0063492063492063,0.0083333333333333,-31.2500000000005
kohtutaiturite kohtutaitur kohtutaituri,0.0063492063492063,0.0083333333333333,-31.2500000000005
inimarengu aruanne aruandes,0.0063492063492063,0.0083333333333333,-31.2500000000005
tooandja tervisesse maksuvabalt,0.0095238095238095,0.0116666666666666,-22.499999999999595
fie fuusilisest isikust,0.0063492063492063,0.0066666666666666,-4.999999999999773
lae korgepalgaliste lagi,0.0031746031746031,0.0033333333333333,-5.000000000001422
matusetoetust matusetoetus matusetoetuse,0.0031746031746031,0.0033333333333333,-5.000000000001422
teede teehoiuks teedele,0.0031746031746031,0.0033333333333333,-5.000000000001422
kusimusena tahtsa tahtsusega,0.0031746031746031,0.0033333333333333,-5.000000000001422
ajakirjandus ajakirjanduse ajakirjandust,0.0031746031746031,0.0033333333333333,-5.000000000001422
eelarves riigieelarves reservist,0.0031746031746031,0.0033333333333333,-5.000000000001422
erimargistatud kutust kutuse,0.0126984126984126,0.0116666666666666,8.124999999999813
karistuse karistus tingimisi,0.0095238095238095,0.0083333333333333,12.500000000000133
valispoliitika valispoliitikas diplomaatia,0.0063492063492063,0.005,21.249999999999385
vallaga vald sauga,0.0063492063492063,0.005,21.249999999999385
valimisea valimisiga valimisoiguse,0.0063492063492063,0.005,21.249999999999385
