topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,difference
muugimaksu muugimaks paadimaksu,0.0044444444444444,0.0232558139534883,-423.25581395349195
lapsetoetust lapsetoetus lapsetoetuse,0.0133333333333333,0.0359408033826638,-169.55602536997915
vanemahuvitist vanemahuvitise vanemahuvitis,0.0044444444444444,0.0190274841437632,-328.11839323467626
koolis kooli opilased,0.0133333333333333,0.0317124735729386,-137.84355179704008
eriarstide eriarstiabi eriarsti,0.0044444444444444,0.014799154334038,-232.98097251585835
aasia aasias saatkonna,0.0044444444444444,0.0126849894291754,-185.41226215644934
katteallikas katteallikaid katteallikat,0.0044444444444444,0.0126849894291754,-185.41226215644934
psuhhiaatri alaealine psuhhiaatrilist,0.0044444444444444,0.0105708245243128,-137.84355179704036
inimarengu aruanne aruandes,0.0044444444444444,0.0105708245243128,-137.84355179704036
huvigruppe huvigruppide kaasatud,0.0088888888888888,0.014799154334038,-66.49048625792916
untso missioonide liikmesusest,0.0088888888888888,0.014799154334038,-66.49048625792916
uuring uuringut uuringu,0.0044444444444444,0.0084566596194503,-90.27484143763364
elamisluba elamisloa viisa,0.0044444444444444,0.0084566596194503,-90.27484143763364
vaikesaarte saarte pusiasustusega,0.0088888888888888,0.0126849894291754,-42.70613107822468
kirik kiriku maarja,0.0044444444444444,0.0063424947145877,-42.70613107822468
puude raskusastme puuet,0.0044444444444444,0.0063424947145877,-42.70613107822468
pensionifondide pensionifondid fondid,0.0044444444444444,0.0063424947145877,-42.70613107822468
ametiuhingute tooandjate keskliit,0.0044444444444444,0.0063424947145877,-42.70613107822468
reklaami reklaam alkoholireklaam,0.0044444444444444,0.0063424947145877,-42.70613107822468
eelarvele kulude riigieelarvele,0.0044444444444444,0.0063424947145877,-42.70613107822468
soita jalakaija konniteel,0.0044444444444444,0.0063424947145877,-42.70613107822468
hoone rkas hoonet,0.0044444444444444,0.0063424947145877,-42.70613107822468
valimisliitude volikogusse volikokku,0.0133333333333333,0.014799154334038,-10.993657505285286
missiooni missioonile missioon,0.0044444444444444,0.0042283298097251,4.862579281184309
majandusaasta koondaruanne raamatupidamise,0.0044444444444444,0.0042283298097251,4.862579281184309
teadus teaduse arendustegevuse,0.0044444444444444,0.0042283298097251,4.862579281184309
uliopilased uliopilastele uliopilaste,0.0044444444444444,0.0042283298097251,4.862579281184309
opositsioonis koalitsiooni opositsiooni,0.0088888888888888,0.0084566596194503,4.8625792811831765
karistuse karistus tingimisi,0.0133333333333333,0.0126849894291754,4.862579281184253
tootuid tootute tootu,0.0222222222222222,0.0190274841437632,14.37632135306551
relva relvade relvaluba,0.0088888888888888,0.0063424947145877,28.646934460887664
taanis saksamaal hollandis,0.0088888888888888,0.0063424947145877,28.646934460887664
teenuseid teenused teenust,0.0044444444444444,0.0021141649048625,52.431289640593285
annetus erjk annetuse,0.0044444444444444,0.0021141649048625,52.431289640593285
salvestisi salvestised salvestiste,0.0044444444444444,0.0021141649048625,52.431289640593285
hadaolukorda eriolukord eriolukorra,0.0044444444444444,0.0021141649048625,52.431289640593285
oppelaenu sugava puudega,0.0044444444444444,0.0021141649048625,52.431289640593285
lng terminali gaasi,0.0044444444444444,0.0021141649048625,52.431289640593285
riigimetsa majandamise noukokku,0.0044444444444444,0.0021141649048625,52.431289640593285
leping ratifitseerida lepinguga,0.0044444444444444,0.0021141649048625,52.431289640593285
hooldekodus hoolduse hooldekodu,0.0044444444444444,0.0021141649048625,52.431289640593285
terviseandmed isikuandmeid terviseandmeid,0.0044444444444444,0.0021141649048625,52.431289640593285
kodualuse maamaksu maamaksust,0.0044444444444444,0.0021141649048625,52.431289640593285
lae korgepalgaliste lagi,0.0044444444444444,0.0021141649048625,52.431289640593285
krimmi agressiooni ukraina,0.0044444444444444,0.0021141649048625,52.431289640593285
kusimusena tahtsa tahtsusega,0.0133333333333333,0.0084566596194503,36.57505285412259
vallaga vald sauga,0.0088888888888888,0.0042283298097251,52.43128964059215
tervist tervis tervisega,0.0088888888888888,0.0042283298097251,52.43128964059215
prokuratuur prokuratuuri prokuror,0.0088888888888888,0.0042283298097251,52.43128964059215
arengufond arengufondi arengufondis,0.0133333333333333,0.0063424947145877,52.43128964059213
elektri elektrit taastuvenergia,0.0133333333333333,0.0063424947145877,52.43128964059213
kinnisasja maad maa,0.0133333333333333,0.0063424947145877,52.43128964059213
kaibemaksu kaibemaks kaibemaksumaara,0.0133333333333333,0.0063424947145877,52.43128964059213
joustumine joustuma joustada,0.0222222222222222,0.0126849894291754,42.91754756871063
voidusamba vabadussoja uurimiskomisjon,0.0088888888888888,0.0021141649048625,76.21564482029663
riigikontrolli auditi auditit,0.0088888888888888,0.0021141649048625,76.21564482029663
koolilouna koolitoidu koolitoit,0.0088888888888888,0.0021141649048625,76.21564482029663
valijate erakonda valijaid,0.0088888888888888,0.0021141649048625,76.21564482029663
ootuse oigusparase oiguskindluse,0.0088888888888888,0.0021141649048625,76.21564482029663
ulejaagis struktuurses struktuurse,0.0088888888888888,0.0021141649048625,76.21564482029663
piima toorpiima toodangut,0.0088888888888888,0.0021141649048625,76.21564482029663
kohtunike kohtususteem kohtuniku,0.0222222222222222,0.0105708245243128,52.43128964059235
pensionitous pensionitousu pension,0.0133333333333333,0.0042283298097251,68.28752642706166
vee monopolide veeteenuse,0.0577777777777777,0.0380549682875264,34.13563181005037
maavalitsuste maavalitsused maakonna,0.0133333333333333,0.0021141649048625,84.1437632135312
vabatahtlike komandode paasteameti,0.0133333333333333,0.0021141649048625,84.1437632135312
alkoholi kange lahja,0.0222222222222222,0.0063424947145877,71.45877378435532
pollumeestele pollumehi pollumehed,0.0222222222222222,0.0063424947145877,71.45877378435532
tulubaasi tasandusfondi tulumaksuosa,0.0222222222222222,0.0063424947145877,71.45877378435532
pohiseadusega riigikohus oiguskantsler,0.0311111111111111,0.0105708245243128,66.02234974328029
vaesuses suhtelises vaesuse,0.0222222222222222,0.0042283298097251,80.97251585623704
erimargistatud kutust kutuse,0.0222222222222222,0.0021141649048625,90.48625792811875
kolledz kolledzi turi,0.0266666666666666,0.0042283298097251,84.14376321353085
matusetoetust matusetoetus matusetoetuse,0.0266666666666666,0.0021141649048625,92.0718816067656
eelarves riigieelarves reservist,0.0311111111111111,0.0042283298097251,86.40893989731218
tulubaasi omavalitsustele omavalitsuste,0.0444444444444444,0.0063424947145877,85.72938689217766
normitehnika mojude eeskiri,0.0133333333333333,0.0,100.0
hanke hankija riigihangete,0.0133333333333333,0.0,100.0
hambaravi hammaste hambad,0.0133333333333333,0.0,100.0
teede teehoiuks teedele,0.0088888888888888,0.0,100.0
palgatousu opetajate palgatous,0.0088888888888888,0.0,100.0
lipu laevu kaubalaeva,0.0088888888888888,0.0,100.0
valismaale valjarande valjaranne,0.0088888888888888,0.0,100.0
ajakirjandus ajakirjanduse ajakirjandust,0.0088888888888888,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0044444444444444,0.0,100.0
volitust kaasuses jarvik,0.0044444444444444,0.0,100.0
erso teatri kontserdi,0.0044444444444444,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0044444444444444,0.0,100.0
riigikontrolor karis riigikontrolori,0.0044444444444444,0.0,100.0
idapiiri piiririba valjaehitamine,0.0044444444444444,0.0,100.0
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0044444444444444,0.0,100.0
jarviku jarvik maaeluministri,0.0044444444444444,0.0,100.0
post posti omniva,0.0044444444444444,0.0,100.0
kaitseliit kaitseliidule kaitseliidu,0.0044444444444444,0.0,100.0
pealinnast tallinnast viljandisse,0.0044444444444444,0.0,100.0
kontrollin haaled kandidaadi,0.0044444444444444,0.0,100.0
maantee neljarealiseks ppp,0.0044444444444444,0.0,100.0
vagivalla naistevastase perevagivalla,0.0044444444444444,0.0,100.0
vagivallale vihakone ohutamine,0.0044444444444444,0.0,100.0
raamatukogu pimedate raamatukogude,0.0,0.0,
samba sammas sambasse,0.0,0.0,
salastatud valisteabe riigisaladuse,0.0,0.0,
rongi rongide rongid,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
riigipalgaliste riigisektoris koondada,0.0,0.0,
riigiabi komisjonilt loa,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
pagulasi pagulased pagulaste,0.0,0.0,
president ilves presidendi,0.0,0.0,
piirivalve valvamise valvamine,0.0,0.0,
piirilepingu piirileping piirilepingut,0.0,0.0,
pensioni pension sammas,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
omandireformi tagastatud omandireform,0.0,0.0,
oigusriik oigusriigi oigusriigist,0.0,0.0,
sigade katku katk,0.0,0.0,
tarbijakaitse amet ametile,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
