topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0019880715705765406,0.0,0.0026714158504007124,0.0,0.0
aasia aasias saatkonna,0.014084507042253521,0.0,0.001976284584980237,0.004452359750667854,0.004651162790697674,0.0033277870216306157
abielu kooselu samasooliste,0.0,0.0,0.0,0.0026714158504007124,0.0031007751937984496,0.0016638935108153079
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.003952569169960474,0.0,0.0,0.0
aituma infotundi jahimehed,0.0,0.0,0.009881422924901186,0.0,0.0,0.0
ajakirjandus ajakirjanduse ajakirjandust,0.014084507042253521,0.0019880715705765406,0.005928853754940711,0.006233303650934996,0.0,0.004991680532445923
alkoholi kange lahja,0.0,0.003976143141153081,0.015810276679841896,0.005342831700801425,0.006201550387596899,0.0016638935108153079
ametipalkade riigiteenijate korgemate,0.0,0.0019880715705765406,0.0,0.0,0.006201550387596899,0.0
ametiuhingute tooandjate keskliit,0.0,0.0019880715705765406,0.001976284584980237,0.0017809439002671415,0.0,0.0033277870216306157
ammendumiseni kaheni pikendada,0.014084507042253521,0.0,0.001976284584980237,0.0,0.0015503875968992248,0.0
annetus erjk annetuse,0.0,0.0019880715705765406,0.0,0.0008904719501335708,0.004651162790697674,0.0016638935108153079
annetused annetusi annetuste,0.0,0.0,0.0,0.0017809439002671415,0.0015503875968992248,0.0
apteeke apteegid apteekide,0.0,0.0,0.0,0.0,0.004651162790697674,0.0
arengufond arengufondi arengufondis,0.0,0.003976143141153081,0.007905138339920948,0.0026714158504007124,0.004651162790697674,0.0033277870216306157
arengukavad arengukavade pohialuste,0.028169014084507043,0.007952286282306162,0.003952569169960474,0.008014247551202136,0.010852713178294573,0.008319467554076539
borsile ipo enefit,0.0,0.007952286282306162,0.001976284584980237,0.0008904719501335708,0.0,0.0066555740432612314
danske filiaali rahapesu,0.0,0.0019880715705765406,0.0,0.0,0.0015503875968992248,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0,0.0008904719501335708,0.0031007751937984496,0.0
direktiivi direktiiv ulevotmise,0.014084507042253521,0.003976143141153081,0.009881422924901186,0.0026714158504007124,0.004651162790697674,0.0033277870216306157
domeenide domeeni interneti,0.0,0.009940357852882704,0.0,0.01157613535173642,0.0,0.0
eelarvele kulude riigieelarvele,0.0,0.007952286282306162,0.009881422924901186,0.005342831700801425,0.006201550387596899,0.0066555740432612314
eelarves riigieelarves reservist,0.0,0.005964214711729622,0.009881422924901186,0.012466607301869992,0.009302325581395349,0.014975041597337771
efsf esm kreekale,0.0,0.055666003976143144,0.021739130434782608,0.037399821905609976,0.046511627906976744,0.011647254575707155
elamisluba elamisloa viisa,0.0,0.0,0.003952569169960474,0.0017809439002671415,0.0031007751937984496,0.0
elatisraha elatisabi elatise,0.0,0.0,0.001976284584980237,0.0017809439002671415,0.0,0.0016638935108153079
elektri elektrit taastuvenergia,0.028169014084507043,0.05765407554671968,0.017786561264822136,0.019590382902938557,0.04806201550387597,0.03993344425956739
ene ergma aplaus,0.0,0.0019880715705765406,0.001976284584980237,0.0017809439002671415,0.0,0.0016638935108153079
energiaagentuur agentuuri agentuur,0.056338028169014086,0.015904572564612324,0.0,0.006233303650934996,0.0,0.0016638935108153079
eriarstide eriarstiabi eriarsti,0.04225352112676056,0.011928429423459244,0.019762845849802372,0.026714158504007122,0.004651162790697674,0.026622296173044926
erimargistatud kutust kutuse,0.0,0.017892644135188866,0.001976284584980237,0.006233303650934996,0.015503875968992248,0.0066555740432612314
eripensioni valjateenitud staazi,0.0,0.0019880715705765406,0.0,0.0008904719501335708,0.0015503875968992248,0.0
erso teatri kontserdi,0.0,0.0,0.0,0.0,0.0,0.0016638935108153079
estonian air airi,0.0,0.0019880715705765406,0.0,0.0017809439002671415,0.0031007751937984496,0.0
etv saateid pbk,0.0,0.0019880715705765406,0.001976284584980237,0.0017809439002671415,0.0,0.0016638935108153079
fie fuusilisest isikust,0.0,0.0019880715705765406,0.001976284584980237,0.009795191451469279,0.013953488372093023,0.016638935108153077
haale valimispaeval valimiste,0.0,0.003976143141153081,0.001976284584980237,0.007123775601068566,0.0015503875968992248,0.0033277870216306157
haaletamissedel haaletamiskasti sedeli,0.0,0.0,0.0,0.0017809439002671415,0.0,0.0
haalte kandidaatidele haaletamisest,0.0,0.0,0.001976284584980237,0.0008904719501335708,0.0015503875968992248,0.0
hadaolukorda eriolukord eriolukorra,0.0,0.003976143141153081,0.0,0.0008904719501335708,0.0,0.0
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,0.003952569169960474,0.0008904719501335708,0.0,0.0
hambaravi hammaste hambad,0.0,0.005964214711729622,0.0,0.01068566340160285,0.0015503875968992248,0.0033277870216306157
hanke hankija riigihangete,0.0,0.007952286282306162,0.0,0.007123775601068566,0.0015503875968992248,0.008319467554076539
hansson ardo panga,0.0,0.0019880715705765406,0.0,0.0008904719501335708,0.0,0.0016638935108153079
hiv narkomaania epideemia,0.0,0.0,0.0,0.0008904719501335708,0.0,0.0
hooldekodus hoolduse hooldekodu,0.0,0.0,0.0,0.0026714158504007124,0.0,0.008319467554076539
hoone rkas hoonet,0.09859154929577464,0.0019880715705765406,0.021739130434782608,0.0026714158504007124,0.009302325581395349,0.009983361064891847
huvigruppe huvigruppide kaasatud,0.028169014084507043,0.003976143141153081,0.005928853754940711,0.0008904719501335708,0.009302325581395349,0.008319467554076539
huvihariduse huvitegevuse huviharidus,0.014084507042253521,0.0019880715705765406,0.0,0.0,0.0,0.0
id mobiil kaardi,0.014084507042253521,0.0,0.0,0.0017809439002671415,0.0031007751937984496,0.0
idapiiri piiririba valjaehitamine,0.0,0.0019880715705765406,0.005928853754940711,0.0008904719501335708,0.0,0.0
iive sundimus iibe,0.014084507042253521,0.0019880715705765406,0.005928853754940711,0.0008904719501335708,0.0031007751937984496,0.0033277870216306157
inflatsiooni inflatsioon hinnatous,0.0,0.003976143141153081,0.0,0.008014247551202136,0.004651162790697674,0.0016638935108153079
inimarengu aruanne aruandes,0.014084507042253521,0.003976143141153081,0.009881422924901186,0.008904719501335707,0.010852713178294573,0.0016638935108153079
jaatmeid liigiti prugi,0.0,0.005964214711729622,0.003952569169960474,0.0017809439002671415,0.0015503875968992248,0.0016638935108153079
jahimehed jahimeeste jahti,0.014084507042253521,0.0,0.003952569169960474,0.0008904719501335708,0.0015503875968992248,0.0
jalitustegevuse jalitustoimingu sideandmete,0.0,0.013916500994035786,0.009881422924901186,0.0017809439002671415,0.007751937984496124,0.0016638935108153079
jarviku jarvik maaeluministri,0.0,0.003976143141153081,0.0,0.006233303650934996,0.0015503875968992248,0.0
joustumine joustuma joustada,0.0,0.007952286282306162,0.017786561264822136,0.012466607301869992,0.017054263565891473,0.009983361064891847
kaasne lisakulutusi riigieelarvele,0.0,0.0019880715705765406,0.003952569169960474,0.0026714158504007124,0.006201550387596899,0.004991680532445923
kaibemaksu kaibemaks kaibemaksumaara,0.056338028169014086,0.03180914512922465,0.003952569169960474,0.027604630454140695,0.020155038759689922,0.004991680532445923
kaitsekulud kaitsekulutused kaitsekulude,0.014084507042253521,0.0019880715705765406,0.003952569169960474,0.003561887800534283,0.0,0.004991680532445923
kaitseliit kaitseliidule kaitseliidu,0.0,0.003976143141153081,0.005928853754940711,0.0,0.0,0.0
kala kalurid kalurite,0.028169014084507043,0.007952286282306162,0.0,0.007123775601068566,0.0,0.004991680532445923
kandidaadi kandidaati kandidaat,0.0,0.0019880715705765406,0.001976284584980237,0.0017809439002671415,0.004651162790697674,0.0016638935108153079
kandidaati kandidaat valituks,0.0,0.0,0.0,0.003561887800534283,0.0031007751937984496,0.0016638935108153079
kandideerima ametikohale kandidaatide,0.0,0.0,0.0,0.0008904719501335708,0.0031007751937984496,0.0
kantsler kantsleri riigisekretar,0.0,0.0,0.0,0.0017809439002671415,0.0015503875968992248,0.0066555740432612314
karistuse karistus tingimisi,0.0,0.007952286282306162,0.005928853754940711,0.0017809439002671415,0.006201550387596899,0.004991680532445923
kasvavad tuleval kasv,0.0,0.0,0.007905138339920948,0.0,0.009302325581395349,0.0016638935108153079
katteallikas katteallikaid katteallikat,0.0,0.0,0.01383399209486166,0.005342831700801425,0.013953488372093023,0.019966722129783693
