topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Reformierakond,difference
elektri elektrit taastuvenergia,0.028169014084507,0.0480620155038759,-70.62015503875969
tulumaksuvaba maksususteemi tulumaksu,0.028169014084507,0.0403100775193798,-43.100775193798505
pohiseadusega riigikohus oiguskantsler,0.0140845070422535,0.0217054263565891,-54.10852713178282
moisteid moiste moisted,0.0140845070422535,0.0170542635658914,-21.085271317829115
inimarengu aruanne aruandes,0.0140845070422535,0.0108527131782945,22.94573643410893
krimmi agressiooni ukraina,0.0140845070422535,0.0077519379844961,44.96124031007761
kohtunike kohtususteem kohtuniku,0.028169014084507,0.0186046511627906,33.95348837209327
uliopilased uliopilastele uliopilaste,0.028169014084507,0.0170542635658914,39.457364341085444
valimisliitude volikogusse volikokku,0.0140845070422535,0.0062015503875968,55.968992248062655
untso missioonide liikmesusest,0.0140845070422535,0.0046511627906976,66.97674418604699
vabatahtlike komandode paasteameti,0.0140845070422535,0.0046511627906976,66.97674418604699
aasia aasias saatkonna,0.0140845070422535,0.0046511627906976,66.97674418604699
valispoliitika valispoliitikas diplomaatia,0.0140845070422535,0.0046511627906976,66.97674418604699
direktiivi direktiiv ulevotmise,0.0140845070422535,0.0046511627906976,66.97674418604699
iive sundimus iibe,0.0140845070422535,0.0031007751937984,77.98449612403134
id mobiil kaardi,0.0140845070422535,0.0031007751937984,77.98449612403134
teadus teaduse arendustegevuse,0.0140845070422535,0.0031007751937984,77.98449612403134
riigikontrolli auditi auditit,0.0140845070422535,0.0015503875968992,88.99224806201566
jahimehed jahimeeste jahti,0.0140845070422535,0.0015503875968992,88.99224806201566
liiklussurmade liikluses hukkunute,0.0140845070422535,0.0015503875968992,88.99224806201566
ammendumiseni kaheni pikendada,0.0140845070422535,0.0015503875968992,88.99224806201566
arengukavad arengukavade pohialuste,0.028169014084507,0.0108527131782945,61.47286821705447
tooandja tervisesse maksuvabalt,0.028169014084507,0.0108527131782945,61.47286821705447
huvigruppe huvigruppide kaasatud,0.028169014084507,0.0093023255813953,66.97674418604663
rahvuse rahvust rahvusriik,0.028169014084507,0.0046511627906976,83.48837209302349
kaibemaksu kaibemaks kaibemaksumaara,0.056338028169014,0.0201550387596899,64.22480620155038
eriarstide eriarstiabi eriarsti,0.0422535211267605,0.0046511627906976,88.99224806201566
metsa metsade mets,0.0704225352112676,0.0046511627906976,93.3953488372094
hoone rkas hoonet,0.0985915492957746,0.0093023255813953,90.5647840531562
energiaagentuur agentuuri agentuur,0.056338028169014,0.0,100.0
loomi loomade loomad,0.0422535211267605,0.0,100.0
kala kalurid kalurite,0.028169014084507,0.0,100.0
vaesuses suhtelises vaesuse,0.0140845070422535,0.0,100.0
kaitsekulud kaitsekulutused kaitsekulude,0.0140845070422535,0.0,100.0
ajakirjandus ajakirjanduse ajakirjandust,0.0140845070422535,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0140845070422535,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0140845070422535,0.0,100.0
liitlaste ohutorje keskmaa,0.0140845070422535,0.0,100.0
samba sammas sambasse,0.0140845070422535,0.0,100.0
koneleja konsensuslikud repliigi,0.0140845070422535,0.0,100.0
magustatud suhkrut joogi,0.0140845070422535,0.0,100.0
pollumeestele pollumehi pollumehed,0.0140845070422535,0.0,100.0
aardla pria pealtnagija,0.0,0.0,
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
ametiuhingute tooandjate keskliit,0.0,0.0,
maksuamet tolliamet tolliameti,0.0,0.0434108527131782,-inf
domeenide domeeni interneti,0.0,0.0,
koolilouna koolitoidu koolitoit,0.0,0.0077519379844961,-inf
kodakondsust kodakondsuse kodanikuks,0.0,0.0124031007751937,-inf
katteallikas katteallikaid katteallikat,0.0,0.013953488372093,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0031007751937984,-inf
kutsehariduse kutseharidus kutsehariduses,0.0,0.0015503875968992,-inf
korterelamute kortermajade kredexi,0.0,0.0093023255813953,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0031007751937984,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0046511627906976,-inf
kusimusena tahtsa tahtsusega,0.0,0.0031007751937984,-inf
kinnisasja maad maa,0.0,0.0201550387596899,-inf
borsile ipo enefit,0.0,0.0,
elatisraha elatisabi elatise,0.0,0.0,
opositsiooni koalitsioonil opositsioonil,0.0,0.0015503875968992,-inf
tootuna arvele ariuhingu,0.0,0.0,
riigimetsa majandamise noukokku,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
rongi rongide rongid,0.0,0.0,
salastatud valisteabe riigisaladuse,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
tarbijakaitse amet ametile,0.0,0.0,
teatri teater rahvusooper,0.0,0.0,
teenuseid teenused teenust,0.0,0.0,
terviseandmed isikuandmeid terviseandmeid,0.0,0.0,
tervist tervis tervisega,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
relva relvade relvaluba,0.0,0.0,
treenerite spordi sport,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
ugri rahvaste polisrahvaste,0.0,0.0,
ulikooliga kbfi instituudi,0.0,0.0,
vagivalla naistevastase perevagivalla,0.0,0.0,
valdkonnad laekumisest fikseeritakse,0.0,0.0,
valijate erakonda valijaid,0.0,0.0,
valimisea valimisiga valimisoiguse,0.0,0.0,
valitsemisalade katteallikaks riigieelarves,0.0,0.0,
veb fondi uurimiskomisjon,0.0,0.0,
vee monopolide veeteenuse,0.0,0.0,
voidusamba vabadussoja uurimiskomisjon,0.0,0.0,
riigikontrolor karis riigikontrolori,0.0,0.0,
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0,
ene ergma aplaus,0.0,0.0,
korterid kortereid korterit,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
etv saateid pbk,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
hadaolukorda eriolukord eriolukorra,0.0,0.0,
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
hansson ardo panga,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
hooldekodus hoolduse hooldekodu,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
kaitseliit kaitseliidule kaitseliidu,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
president ilves presidendi,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
lipu laevu kaubalaeva,0.0,0.0,
lipud lippude lipp,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
lng terminali gaasi,0.0,0.0,
matusetoetust matusetoetus matusetoetuse,0.0,0.0,
muuseum muuseumi muuseumide,0.0,0.0,
ooteala piiriuletuse piiripunkti,0.0,0.0,
operatsioonil sojalisel panustamisel,0.0,0.0,
pagulasi pagulased pagulaste,0.0,0.0,
pealinnast tallinnast viljandisse,0.0,0.0,
