topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraadid,difference
tulubaasi tasandusfondi tulumaksuosa,0.0118577075098814,0.0449251247920133,-278.8685524126463
elektri elektrit taastuvenergia,0.0177865612648221,0.0399334442595673,-124.51469772601212
fie fuusilisest isikust,0.0019762845849802,0.016638935108153,-741.9301164725576
vanemahuvitist vanemahuvitise vanemahuvitis,0.0039525691699604,0.0149750415973377,-278.8685524126509
palgalohe soolist meeste,0.0177865612648221,0.0332778702163061,-87.09558143834353
lapsetoetust lapsetoetus lapsetoetuse,0.0197628458498023,0.0349417637271214,-76.80532445923492
missiooni missioonile missioon,0.0019762845849802,0.0099833610648918,-405.15806988353455
pohiseadusega riigikohus oiguskantsler,0.0059288537549407,0.0149750415973377,-152.57903494176304
teede teehoiuks teedele,0.0019762845849802,0.0083194675540765,-320.9650582362788
tulubaasi omavalitsustele omavalitsuste,0.0059288537549407,0.0133111480865224,-124.5146977260116
palgatousu opetajate palgatous,0.0059288537549407,0.0133111480865224,-124.5146977260116
borsile ipo enefit,0.0019762845849802,0.0066555740432612,-236.77204658902303
pollumeestele pollumehi pollumehed,0.0019762845849802,0.0066555740432612,-236.77204658902303
taanis saksamaal hollandis,0.0019762845849802,0.0066555740432612,-236.77204658902303
erimargistatud kutust kutuse,0.0019762845849802,0.0066555740432612,-236.77204658902303
vabatahtlike komandode paasteameti,0.0079051383399209,0.0149750415973377,-89.43427620632308
kinnisasja maad maa,0.0098814229249011,0.016638935108153,-68.38602329450984
arengukavad arengukavade pohialuste,0.0039525691699604,0.0083194675540765,-110.48252911813941
metsa metsade mets,0.0039525691699604,0.0083194675540765,-110.48252911813941
krimmi agressiooni ukraina,0.0039525691699604,0.0083194675540765,-110.48252911813941
tootuid tootute tootu,0.0039525691699604,0.0083194675540765,-110.48252911813941
valijate erakonda valijaid,0.0039525691699604,0.0083194675540765,-110.48252911813941
teadus teaduse arendustegevuse,0.0019762845849802,0.0049916805324459,-152.57903494176725
kodakondsust kodakondsuse kodanikuks,0.0019762845849802,0.0049916805324459,-152.57903494176725
virumaale virumaa toostusalade,0.0019762845849802,0.0049916805324459,-152.57903494176725
ootuse oigusparase oiguskindluse,0.0019762845849802,0.0049916805324459,-152.57903494176725
valismaale valjarande valjaranne,0.0019762845849802,0.0049916805324459,-152.57903494176725
tooandja tervisesse maksuvabalt,0.0019762845849802,0.0049916805324459,-152.57903494176725
teenistuse teenistuses avalikus,0.0019762845849802,0.0049916805324459,-152.57903494176725
leping ratifitseerida lepinguga,0.0019762845849802,0.0049916805324459,-152.57903494176725
