topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
riigimetsa majandamise noukokku,0.0046349942062572,0.0442477876106194,-854.6460176991224
loomi loomade loomad,0.0063731170336037,0.0280235988200589,-339.715741485652
lapsetoetust lapsetoetus lapsetoetuse,0.0249130938586326,0.0501474926253687,-101.28970295671313
uliopilased uliopilastele uliopilaste,0.0115874855156431,0.0294985250737463,-154.57227138643069
riigiloivude riigiloivud riigiloivu,0.0086906141367323,0.0250737463126843,-188.5152409046216
palgalohe soolist meeste,0.0081112398609501,0.0221238938053097,-172.75600505689206
teenistuse teenistuses avalikus,0.0046349942062572,0.0162241887905604,-250.03687315634383
maavalitsuste maavalitsused maakonna,0.0017381228273464,0.0117994100294985,-578.8593903638395
aasia aasias saatkonna,0.0034762456546929,0.0132743362831858,-281.8584070796483
estonian air airi,0.0011587485515643,0.0103244837758112,-791.0029498525147
vanemahuvitist vanemahuvitise vanemahuvitis,0.0028968713789107,0.0117994100294985,-307.31563421829895
valimisliitude volikogusse volikokku,0.0011587485515643,0.0088495575221238,-663.716814159291
metsa metsade mets,0.0017381228273464,0.0088495575221238,-409.14454277287524
arengufond arengufondi arengufondis,0.0017381228273464,0.0088495575221238,-409.14454277287524
poolte kokkuleppel huvitise,0.0086906141367323,0.0191740412979351,-120.62930186824062
kandidaati kandidaat valituks,0.0023174971031286,0.0088495575221238,-281.8584070796455
virumaale virumaa toostusalade,0.0017381228273464,0.0073746312684365,-324.287118977396
normitehnika mojude eeskiri,0.0011587485515643,0.0058997050147492,-409.14454277286063
tootuli lepitaja ametiuhingute,0.0011587485515643,0.0058997050147492,-409.14454277286063
hanke hankija riigihangete,0.007531865585168,0.0147492625368731,-95.82482414340795
objekti anu raua,0.0005793742757821,0.0044247787610619,-663.7168141593569
pollumeestele pollumehi pollumehed,0.0046349942062572,0.0103244837758112,-122.7507374631287
opositsiooni koalitsioonil opositsioonil,0.0017381228273464,0.0058997050147492,-239.42969518191683
matusetoetust matusetoetus matusetoetuse,0.0011587485515643,0.0044247787610619,-281.8584070796455
rail trassi balticu,0.0034762456546929,0.0073746312684365,-112.14355948869192
apteeke apteegid apteekide,0.0046349942062572,0.0088495575221238,-90.92920353982274
