topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0,0.0011402508551881414,0.0,0.0016474464579901153
aasia aasias saatkonna,0.006688963210702341,0.00909090909090909,0.004561003420752566,0.0049504950495049506,0.004942339373970346
abielu kooselu samasooliste,0.0,0.0,0.002280501710376283,0.0016501650165016502,0.0016474464579901153
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0022727272727272726,0.0011402508551881414,0.0,0.0
aituma infotundi jahimehed,0.0,0.0022727272727272726,0.0,0.006600660066006601,0.0016474464579901153
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.0,0.002280501710376283,0.006600660066006601,0.008237232289950576
alkoholi kange lahja,0.006688963210702341,0.015909090909090907,0.013683010262257697,0.0033003300330033004,0.0032948929159802307
ametipalkade riigiteenijate korgemate,0.0033444816053511705,0.0,0.0,0.0016501650165016502,0.0016474464579901153
ametiuhingute tooandjate keskliit,0.0,0.0,0.002280501710376283,0.0033003300330033004,0.0032948929159802307
annetus erjk annetuse,0.0033444816053511705,0.0022727272727272726,0.0,0.0016501650165016502,0.0032948929159802307
annetused annetusi annetuste,0.0,0.0,0.0,0.0049504950495049506,0.0016474464579901153
apteeke apteegid apteekide,0.0,0.015909090909090907,0.009122006841505131,0.0016501650165016502,0.0
arengufond arengufondi arengufondis,0.020066889632107024,0.006818181818181818,0.0034207525655644243,0.013201320132013201,0.011532125205930808
arengukavad arengukavade pohialuste,0.0,0.00909090909090909,0.0034207525655644243,0.013201320132013201,0.016474464579901153
borsile ipo enefit,0.0033444816053511705,0.0022727272727272726,0.0,0.0033003300330033004,0.0032948929159802307
danske filiaali rahapesu,0.0,0.0,0.0011402508551881414,0.0,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0022727272727272726,0.0011402508551881414,0.0016501650165016502,0.0
direktiivi direktiiv ulevotmise,0.0033444816053511705,0.0022727272727272726,0.00798175598631699,0.013201320132013201,0.0
eelarvele kulude riigieelarvele,0.0033444816053511705,0.0022727272727272726,0.00798175598631699,0.0033003300330033004,0.009884678747940691
eelarves riigieelarves reservist,0.016722408026755852,0.02727272727272727,0.02394526795895097,0.006600660066006601,0.014827018121911038
