topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,Isamaa,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.003367003367003367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aasia aasias saatkonna,0.0016835016835016834,0.0,0.010723860589812333,0.0,0.00881057268722467,0.001899335232668566,0.0023752969121140144,0.0
abielu kooselu samasooliste,0.003367003367003367,0.009259259259259259,0.005361930294906166,0.0,0.0,0.005698005698005698,0.0023752969121140144,0.018796992481203006
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.002680965147453083,0.0,0.0,0.001899335232668566,0.0,0.0
aituma infotundi jahimehed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203
ajakirjandus ajakirjanduse ajakirjandust,0.010101010101010102,0.0,0.002680965147453083,0.0,0.0,0.003798670465337132,0.0023752969121140144,0.0037593984962406013
alkoholi kange lahja,0.008417508417508417,0.009259259259259259,0.010723860589812333,0.05102040816326531,0.00881057268722467,0.037037037037037035,0.014251781472684086,0.022556390977443608
ametiuhingute tooandjate keskliit,0.0,0.009259259259259259,0.002680965147453083,0.030612244897959183,0.0,0.000949667616334283,0.004750593824228029,0.0037593984962406013
ammendumiseni kaheni pikendada,0.0,0.0,0.002680965147453083,0.0,0.004405286343612335,0.000949667616334283,0.0,0.0
annetus erjk annetuse,0.006734006734006734,0.0030864197530864196,0.0,0.0,0.0,0.001899335232668566,0.0,0.0
annetused annetusi annetuste,0.006734006734006734,0.0,0.010723860589812333,0.0,0.0,0.000949667616334283,0.0,0.0
apteeke apteegid apteekide,0.0,0.0,0.00804289544235925,0.0,0.022026431718061675,0.003798670465337132,0.021377672209026127,0.0037593984962406013
arengufond arengufondi arengufondis,0.0016835016835016834,0.009259259259259259,0.010723860589812333,0.02040816326530612,0.004405286343612335,0.012345679012345678,0.040380047505938245,0.007518796992481203
arengukavad arengukavade pohialuste,0.003367003367003367,0.015432098765432098,0.005361930294906166,0.0,0.004405286343612335,0.006647673314339981,0.011876484560570071,0.011278195488721804
borsile ipo enefit,0.0,0.0,0.002680965147453083,0.0,0.004405286343612335,0.003798670465337132,0.004750593824228029,0.0
danske filiaali rahapesu,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0023752969121140144,0.007518796992481203
direktiivi direktiiv ulevotmise,0.008417508417508417,0.006172839506172839,0.013404825737265416,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0
domeenide domeeni interneti,0.0,0.0,0.0,0.0,0.0,0.0,0.0023752969121140144,0.0
eelarvele kulude riigieelarvele,0.003367003367003367,0.006172839506172839,0.005361930294906166,0.0,0.0,0.001899335232668566,0.007125890736342043,0.007518796992481203
eelarves riigieelarves reservist,0.021885521885521887,0.006172839506172839,0.013404825737265416,0.01020408163265306,0.0,0.014245014245014245,0.004750593824228029,0.0037593984962406013
efsf esm kreekale,0.026936026936026935,0.018518518518518517,0.00804289544235925,0.05102040816326531,0.004405286343612335,0.014245014245014245,0.019002375296912115,0.0037593984962406013
elamisluba elamisloa viisa,0.005050505050505051,0.0030864197530864196,0.0,0.0,0.004405286343612335,0.00949667616334283,0.0023752969121140144,0.007518796992481203
elatisraha elatisabi elatise,0.003367003367003367,0.0,0.002680965147453083,0.0,0.07929515418502203,0.002849002849002849,0.009501187648456057,0.02631578947368421
elektri elektrit taastuvenergia,0.003367003367003367,0.006172839506172839,0.013404825737265416,0.0,0.00881057268722467,0.013295346628679962,0.007125890736342043,0.03383458646616541
energiaagentuur agentuuri agentuur,0.0,0.0030864197530864196,0.002680965147453083,0.0,0.004405286343612335,0.0,0.0,0.0
eriarstide eriarstiabi eriarsti,0.006734006734006734,0.009259259259259259,0.01876675603217158,0.01020408163265306,0.0,0.013295346628679962,0.004750593824228029,0.0037593984962406013
erimargistatud kutust kutuse,0.0,0.0,0.002680965147453083,0.01020408163265306,0.048458149779735685,0.006647673314339981,0.007125890736342043,0.022556390977443608
eripensioni valjateenitud staazi,0.011784511784511785,0.0,0.0,0.02040816326530612,0.0,0.0,0.0023752969121140144,0.0
erso teatri kontserdi,0.0016835016835016834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
estonian air airi,0.005050505050505051,0.0,0.00804289544235925,0.0,0.0,0.004748338081671415,0.0,0.007518796992481203
etv saateid pbk,0.0,0.0,0.0,0.0,0.0,0.003798670465337132,0.007125890736342043,0.0037593984962406013
fie fuusilisest isikust,0.0,0.0,0.0,0.0,0.0,0.001899335232668566,0.0023752969121140144,0.0037593984962406013
haale valimispaeval valimiste,0.0,0.0030864197530864196,0.0,0.0,0.004405286343612335,0.004748338081671415,0.0,0.0037593984962406013
haalte kandidaatidele haaletamisest,0.0,0.0,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
hadaolukorda eriolukord eriolukorra,0.0016835016835016834,0.006172839506172839,0.005361930294906166,0.0,0.0,0.001899335232668566,0.0,0.0037593984962406013
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,0.002680965147453083,0.0,0.0,0.001899335232668566,0.0,0.0
hambaravi hammaste hambad,0.0016835016835016834,0.0030864197530864196,0.0,0.0,0.0,0.004748338081671415,0.0,0.0
hanke hankija riigihangete,0.003367003367003367,0.006172839506172839,0.0,0.0,0.004405286343612335,0.003798670465337132,0.0,0.0
hansson ardo panga,0.0,0.0030864197530864196,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
hiv narkomaania epideemia,0.0,0.0030864197530864196,0.00804289544235925,0.0,0.0,0.000949667616334283,0.0,0.0
hoiu pangad pankade,0.0,0.0,0.0,0.0,0.0,0.001899335232668566,0.0023752969121140144,0.0
hooldekodus hoolduse hooldekodu,0.0016835016835016834,0.0,0.0,0.0,0.0,0.001899335232668566,0.0,0.0037593984962406013
hoone rkas hoonet,0.005050505050505051,0.0,0.0,0.0,0.00881057268722467,0.005698005698005698,0.0,0.0
huvigruppe huvigruppide kaasatud,0.005050505050505051,0.009259259259259259,0.01876675603217158,0.01020408163265306,0.030837004405286344,0.011396011396011397,0.014251781472684086,0.015037593984962405
huvihariduse huvitegevuse huviharidus,0.003367003367003367,0.0,0.0,0.0,0.0,0.001899335232668566,0.0,0.0
id mobiil kaardi,0.003367003367003367,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.004748338081671415,0.007125890736342043,0.0
idapiiri piiririba valjaehitamine,0.005050505050505051,0.0,0.0,0.0,0.0,0.003798670465337132,0.0,0.0
iive sundimus iibe,0.003367003367003367,0.006172839506172839,0.0,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0037593984962406013
inflatsiooni inflatsioon hinnatous,0.003367003367003367,0.0030864197530864196,0.005361930294906166,0.0,0.0,0.001899335232668566,0.0,0.0
inimarengu aruanne aruandes,0.0,0.0030864197530864196,0.002680965147453083,0.01020408163265306,0.0,0.001899335232668566,0.004750593824228029,0.0
jaatmeid liigiti prugi,0.0016835016835016834,0.0030864197530864196,0.0,0.01020408163265306,0.00881057268722467,0.002849002849002849,0.0023752969121140144,0.011278195488721804
