topic_words3,EKRE,Isamaa ja Res Publica Liidu fraktsioon,difference
elatisraha elatisabi elatise,0.0033670033670033,0.079295154185022,-2255.0660792952003
psuhhiaatri alaealine psuhhiaatrilist,0.0016835016835016,0.0616740088105726,-3563.436123348194
joustumine joustuma joustada,0.005050505050505,0.0308370044052863,-510.57268722467484
huvigruppe huvigruppide kaasatud,0.005050505050505,0.0308370044052863,-510.57268722467484
krimmi agressiooni ukraina,0.0151515151515151,0.0440528634361233,-190.74889867841478
koolis kooli opilased,0.0269360269360269,0.0572687224669603,-112.61013215859039
lasteaia lasteaias lasteaiakoha,0.0033670033670033,0.0220264317180616,-554.1850220264424
lapsetoetust lapsetoetus lapsetoetuse,0.0033670033670033,0.0176211453744493,-423.3480176211546
opositsioonis koalitsiooni opositsiooni,0.0202020202020202,0.039647577092511,-96.25550660792948
korterid kortereid korterit,0.0016835016835016,0.013215859030837,-685.0220264317568
tooandja tervisesse maksuvabalt,0.0016835016835016,0.013215859030837,-685.0220264317568
toonadalal istungid taiendaval,0.0033670033670033,0.013215859030837,-292.51101321586674
jaatmeid liigiti prugi,0.0016835016835016,0.0088105726872246,-423.34801762116723
kodualuse maamaksu maamaksust,0.0016835016835016,0.0088105726872246,-423.34801762116723
aasia aasias saatkonna,0.0016835016835016,0.0088105726872246,-423.34801762116723
prokuratuur prokuratuuri prokuror,0.0033670033670033,0.0088105726872246,-161.6740088105758
elektri elektrit taastuvenergia,0.0033670033670033,0.0088105726872246,-161.6740088105758
maksuamet tolliamet tolliameti,0.0033670033670033,0.0088105726872246,-161.6740088105758
vabatahtlike komandode paasteameti,0.0016835016835016,0.0044052863436123,-161.6740088105836
relva relvade relvaluba,0.0016835016835016,0.0044052863436123,-161.6740088105836
metsa metsade mets,0.0016835016835016,0.0044052863436123,-161.6740088105836
opositsiooni koalitsioonil opositsioonil,0.0016835016835016,0.0044052863436123,-161.6740088105836
reklaami reklaam alkoholireklaam,0.0016835016835016,0.0044052863436123,-161.6740088105836
tapsustatakse ajakohastatakse nouete,0.0016835016835016,0.0044052863436123,-161.6740088105836
terviseandmed isikuandmeid terviseandmeid,0.0016835016835016,0.0044052863436123,-161.6740088105836
arengufond arengufondi arengufondis,0.0016835016835016,0.0044052863436123,-161.6740088105836
pensioni pension sammas,0.0016835016835016,0.0044052863436123,-161.6740088105836
pohiseadusega riigikohus oiguskantsler,0.005050505050505,0.0088105726872246,-74.44933920704881
hoone rkas hoonet,0.005050505050505,0.0088105726872246,-74.44933920704881
kodakondsust kodakondsuse kodanikuks,0.0067340067340067,0.0088105726872246,-30.83700440528596
soita jalakaija konniteel,0.0067340067340067,0.0088105726872246,-30.83700440528596
loomi loomade loomad,0.0067340067340067,0.0088105726872246,-30.83700440528596
