topic_words3,EKRE,Keskerakond,difference
alkoholi kange lahja,0.0084175084175084,0.037037037037037,-340.00000000000045
palgatousu opetajate palgatous,0.0084175084175084,0.0322886989553656,-283.5897435897441
tulumaksuvaba maksususteemi tulumaksu,0.0134680134680134,0.0322886989553656,-139.74358974359077
kaibemaksu kaibemaks kaibemaksumaara,0.0033670033670033,0.0151946818613485,-351.2820512820594
pensioni pension sammas,0.0016835016835016,0.0123456790123456,-633.3333333333651
arengufond arengufondi arengufondis,0.0016835016835016,0.0123456790123456,-633.3333333333651
koolilouna koolitoidu koolitoit,0.005050505050505,0.017094017094017,-238.46153846153996
koolis kooli opilased,0.0269360269360269,0.0455840455840455,-69.23076923076916
elektri elektrit taastuvenergia,0.0033670033670033,0.0132953466286799,-294.8717948718009
omandireformi tagastatud omandireform,0.0016835016835016,0.0104463437796771,-520.5128205128506
vabatahtlike komandode paasteameti,0.0016835016835016,0.0085470085470085,-407.69230769233
riigipalgaliste riigisektoris koondada,0.0016835016835016,0.0085470085470085,-407.69230769233
lasteaia lasteaias lasteaiakoha,0.0033670033670033,0.0094966761633428,-182.0512820512868
psuhhiaatri alaealine psuhhiaatrilist,0.0016835016835016,0.0066476733143399,-294.87179487180964
huvigruppe huvigruppide kaasatud,0.005050505050505,0.0113960113960113,-125.64102564102599
eriarstide eriarstiabi eriarsti,0.0067340067340067,0.0132953466286799,-97.4358974358975
reklaami reklaam alkoholireklaam,0.0016835016835016,0.0056980056980056,-238.46153846154948
tulubaasi tasandusfondi tulumaksuosa,0.005050505050505,0.0104463437796771,-106.83760683760863
kohtunike kohtususteem kohtuniku,0.005050505050505,0.0104463437796771,-106.83760683760863
teadus teaduse arendustegevuse,0.0033670033670033,0.0075973409306742,-125.64102564102824
hambaravi hammaste hambad,0.0016835016835016,0.0047483380816714,-182.05128205129517
pensionitous pensionitousu pension,0.0016835016835016,0.0047483380816714,-182.05128205129517
elamisluba elamisloa viisa,0.005050505050505,0.0094966761633428,-88.03418803418933
pohiseadusega riigikohus oiguskantsler,0.005050505050505,0.0094966761633428,-88.03418803418933
joustumine joustuma joustada,0.005050505050505,0.0094966761633428,-88.03418803418933
arengukavad arengukavade pohialuste,0.0033670033670033,0.0066476733143399,-97.43589743589897
terviseandmed isikuandmeid terviseandmeid,0.0016835016835016,0.0037986704653371,-125.64102564103494
korterid kortereid korterit,0.0016835016835016,0.0037986704653371,-125.64102564103494
metsa metsade mets,0.0016835016835016,0.0037986704653371,-125.64102564103494
maantee neljarealiseks ppp,0.0016835016835016,0.0037986704653371,-125.64102564103494
volakirjade keskpank volakirju,0.0016835016835016,0.0037986704653371,-125.64102564103494
abielu kooselu samasooliste,0.0033670033670033,0.0056980056980056,-69.2307692307697
jaatmeid liigiti prugi,0.0016835016835016,0.0028490028490028,-69.23076923077473
tooandja tervisesse maksuvabalt,0.0016835016835016,0.0028490028490028,-69.23076923077473
koneleja konsensuslikud repliigi,0.0016835016835016,0.0028490028490028,-69.23076923077473
korterelamute kortermajade kredexi,0.0016835016835016,0.0028490028490028,-69.23076923077473
samba sammas sambasse,0.0016835016835016,0.0028490028490028,-69.23076923077473
kolledz kolledzi turi,0.0016835016835016,0.0028490028490028,-69.23076923077473
pensioniiga pensioniea eluiga,0.0016835016835016,0.0028490028490028,-69.23076923077473
maksuamet tolliamet tolliameti,0.0033670033670033,0.0047483380816714,-41.02564102564338
suuria euroopasse turgis,0.0033670033670033,0.0047483380816714,-41.02564102564338
id mobiil kaardi,0.0033670033670033,0.0047483380816714,-41.02564102564338
leping ratifitseerida lepinguga,0.0084175084175084,0.0094966761633428,-12.8205128205127
palgalohe soolist meeste,0.0067340067340067,0.0075973409306742,-12.820512820512445
valismaale valjarande valjaranne,0.0067340067340067,0.0075973409306742,-12.820512820512445
hoone rkas hoonet,0.005050505050505,0.0056980056980056,-12.82051282051202
lapsetoetust lapsetoetus lapsetoetuse,0.0033670033670033,0.0037986704653371,-12.820512820514116
prokuratuur prokuratuuri prokuror,0.0033670033670033,0.0037986704653371,-12.820512820514116
hanke hankija riigihangete,0.0033670033670033,0.0037986704653371,-12.820512820514116
teekasutustasu autode autod,0.0033670033670033,0.0037986704653371,-12.820512820514116
aasia aasias saatkonna,0.0016835016835016,0.0018993352326685,-12.820512820514498
untso missioonide liikmesusest,0.0016835016835016,0.0018993352326685,-12.820512820514498
hooldekodus hoolduse hooldekodu,0.0016835016835016,0.0018993352326685,-12.820512820514498
hadaolukorda eriolukord eriolukorra,0.0016835016835016,0.0018993352326685,-12.820512820514498
riigimetsa majandamise noukokku,0.0016835016835016,0.0018993352326685,-12.820512820514498
tapsustatakse ajakohastatakse nouete,0.0016835016835016,0.0018993352326685,-12.820512820514498
oigusriik oigusriigi oigusriigist,0.0016835016835016,0.0018993352326685,-12.820512820514498
tarbijakaitse amet ametile,0.0016835016835016,0.0018993352326685,-12.820512820514498
kantsler kantsleri riigisekretar,0.0016835016835016,0.0018993352326685,-12.820512820514498
rail trassi balticu,0.0016835016835016,0.0018993352326685,-12.820512820514498
estonian air airi,0.005050505050505,0.0047483380816714,5.982905982905335
pensionifondide pensionifondid fondid,0.0101010101010101,0.0094966761633428,5.982905982906271
tulubaasi omavalitsustele omavalitsuste,0.0151515151515151,0.0142450142450142,5.982905982905958
elatisraha elatisabi elatise,0.0033670033670033,0.0028490028490028,15.384615384615156
uuring uuringut uuringu,0.0033670033670033,0.0028490028490028,15.384615384615156
idapiiri piiririba valjaehitamine,0.005050505050505,0.0037986704653371,24.786324786324663
kaitsekulud kaitsekulutused kaitsekulude,0.0016835016835016,0.0009496676163342,43.58974358974572
opositsiooni koalitsioonil opositsioonil,0.0016835016835016,0.0009496676163342,43.58974358974572
kodualuse maamaksu maamaksust,0.0016835016835016,0.0009496676163342,43.58974358974572
lipud lippude lipp,0.0016835016835016,0.0009496676163342,43.58974358974572
rongi rongide rongid,0.0016835016835016,0.0009496676163342,43.58974358974572
kasvavad tuleval kasv,0.0016835016835016,0.0009496676163342,43.58974358974572
vallaga vald sauga,0.0084175084175084,0.0066476733143399,21.02564102564182
sigade katku katk,0.0151515151515151,0.0123456790123456,18.51851851851876
piima toorpiima toodangut,0.0101010101010101,0.0075973409306742,24.786324786325412
inflatsiooni inflatsioon hinnatous,0.0033670033670033,0.0018993352326685,43.58974358974443
huvihariduse huvitegevuse huviharidus,0.0033670033670033,0.0018993352326685,43.58974358974443
eelarvele kulude riigieelarvele,0.0033670033670033,0.0018993352326685,43.58974358974443
toonadalal istungid taiendaval,0.0033670033670033,0.0018993352326685,43.58974358974443
teenistuse teenistuses avalikus,0.005050505050505,0.0028490028490028,43.58974358974399
opositsioonis koalitsiooni opositsiooni,0.0202020202020202,0.0151946818613485,24.786324786324922
kodakondsust kodakondsuse kodanikuks,0.0067340067340067,0.0037986704653371,43.589743589743776
utah jordaania energia,0.0033670033670033,0.0009496676163342,71.7948717948737
varude varud varu,0.0033670033670033,0.0009496676163342,71.7948717948737
valdkonnad laekumisest fikseeritakse,0.0033670033670033,0.0009496676163342,71.7948717948737
iive sundimus iibe,0.0033670033670033,0.0009496676163342,71.7948717948737
taanis saksamaal hollandis,0.0101010101010101,0.0056980056980056,43.58974358974455
soita jalakaija konniteel,0.0067340067340067,0.0028490028490028,57.69230769230821
loomi loomade loomad,0.0067340067340067,0.0028490028490028,57.69230769230821
eelarves riigieelarves reservist,0.0218855218855218,0.0142450142450142,34.91124260355025
vagivallale vihakone ohutamine,0.0101010101010101,0.0047483380816714,52.99145299145314
annetus erjk annetuse,0.0067340067340067,0.0018993352326685,71.79487179487263
piirivalve valvamise valvamine,0.0067340067340067,0.0018993352326685,71.79487179487263
pealinnast tallinnast viljandisse,0.0067340067340067,0.0018993352326685,71.79487179487263
ulejaagis struktuurses struktuurse,0.0101010101010101,0.0037986704653371,62.393162393162704
ajakirjandus ajakirjanduse ajakirjandust,0.0101010101010101,0.0037986704653371,62.393162393162704
katteallikas katteallikaid katteallikat,0.0101010101010101,0.0037986704653371,62.393162393162704
jarviku jarvik maaeluministri,0.0134680134680134,0.0056980056980056,57.69230769230821
annetused annetusi annetuste,0.0067340067340067,0.0009496676163342,85.89743589743706
piirikontrolli schengeni valispiiri,0.0067340067340067,0.0009496676163342,85.89743589743706
rahvuse rahvust rahvusriik,0.0168350168350168,0.0075973409306742,54.87179487179515
kaasne lisakulutusi riigieelarvele,0.0101010101010101,0.0028490028490028,71.79487179487228
otsevalimise presidenti presidendi,0.0117845117845117,0.0037986704653371,67.76556776556781
pollumeestele pollumehi pollumehed,0.0252525252525252,0.0132953466286799,47.35042735042749
efsf esm kreekale,0.0269360269360269,0.0142450142450142,47.115384615384706
krimmi agressiooni ukraina,0.0151515151515151,0.0056980056980056,62.39316239316292
direktiivi direktiiv ulevotmise,0.0084175084175084,0.0009496676163342,88.71794871794968
valimisea valimisiga valimisoiguse,0.0101010101010101,0.0018993352326685,81.19658119658185
valimisliitude volikogusse volikokku,0.0185185185185185,0.0066476733143399,64.1025641025645
missiooni missioonile missioon,0.0168350168350168,0.0047483380816714,71.79487179487182
riigiloivude riigiloivud riigiloivu,0.0134680134680134,0.0018993352326685,85.89743589743632
liitlaste ohutorje keskmaa,0.0134680134680134,0.0018993352326685,85.89743589743632
kaitseliit kaitseliidule kaitseliidu,0.0218855218855218,0.0075973409306742,65.28599605522697
slovakkia ungari portugal,0.0252525252525252,0.0085470085470085,66.15384615384627
valijate erakonda valijaid,0.0218855218855218,0.0047483380816714,78.30374753451675
piirilepingu piirileping piirilepingut,0.0353535353535353,0.0028490028490028,91.94139194139206
pagulasi pagulased pagulaste,0.1599326599326599,0.0180436847103513,88.71794871794876
eripensioni valjateenitud staazi,0.0117845117845117,0.0,100.0
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0101010101010101,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.005050505050505,0.0,100.0
aardla pria pealtnagija,0.0033670033670033,0.0,100.0
relva relvade relvaluba,0.0016835016835016,0.0,100.0
volitust kaasuses jarvik,0.0016835016835016,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0016835016835016,0.0,100.0
erso teatri kontserdi,0.0016835016835016,0.0,100.0
