topic_words3,EKRE,Sotsiaaldemokraadid,difference
palgalohe soolist meeste,0.0067340067340067,0.075187969924812,-1016.5413533834637
lapsetoetust lapsetoetus lapsetoetuse,0.0033670033670033,0.037593984962406,-1016.5413533834803
psuhhiaatri alaealine psuhhiaatrilist,0.0016835016835016,0.0413533834586466,-2356.3909774437298
elektri elektrit taastuvenergia,0.0033670033670033,0.0338345864661654,-904.8872180451323
joustumine joustuma joustada,0.005050505050505,0.0300751879699248,-495.48872180451707
elatisraha elatisabi elatise,0.0033670033670033,0.0263157894736842,-681.5789473684363
terviseandmed isikuandmeid terviseandmeid,0.0016835016835016,0.018796992481203,-1016.5413533835138
abielu kooselu samasooliste,0.0033670033670033,0.018796992481203,-458.27067669174016
pensioni pension sammas,0.0016835016835016,0.0150375939849624,-793.2330827068109
riigimetsa majandamise noukokku,0.0016835016835016,0.0150375939849624,-793.2330827068109
kohtunike kohtususteem kohtuniku,0.005050505050505,0.018796992481203,-272.1804511278231
pohiseadusega riigikohus oiguskantsler,0.005050505050505,0.018796992481203,-272.1804511278231
alkoholi kange lahja,0.0084175084175084,0.0225563909774436,-167.9699248120305
untso missioonide liikmesusest,0.0016835016835016,0.0112781954887218,-569.9248120301082
tooandja tervisesse maksuvabalt,0.0016835016835016,0.0112781954887218,-569.9248120301082
jaatmeid liigiti prugi,0.0016835016835016,0.0112781954887218,-569.9248120301082
huvigruppe huvigruppide kaasatud,0.005050505050505,0.0150375939849624,-197.7443609022585
arengukavad arengukavade pohialuste,0.0033670033670033,0.0112781954887218,-234.96240601504414
relva relvade relvaluba,0.0016835016835016,0.0075187969924812,-346.6165413534054
arengufond arengufondi arengufondis,0.0016835016835016,0.0075187969924812,-346.6165413534054
koolilouna koolitoidu koolitoit,0.005050505050505,0.0112781954887218,-123.3082706766939
eelarvele kulude riigieelarvele,0.0033670033670033,0.0075187969924812,-123.30827067669607
lasteaia lasteaias lasteaiakoha,0.0033670033670033,0.0075187969924812,-123.30827067669607
maksuamet tolliamet tolliameti,0.0033670033670033,0.0075187969924812,-123.30827067669607
kaasne lisakulutusi riigieelarvele,0.0101010101010101,0.0150375939849624,-48.872180451127775
kusimusena tahtsa tahtsusega,0.0016835016835016,0.0037593984962406,-123.30827067670272
tarbijakaitse amet ametile,0.0016835016835016,0.0037593984962406,-123.30827067670272
tapsustatakse ajakohastatakse nouete,0.0016835016835016,0.0037593984962406,-123.30827067670272
hadaolukorda eriolukord eriolukorra,0.0016835016835016,0.0037593984962406,-123.30827067670272
hooldekodus hoolduse hooldekodu,0.0016835016835016,0.0037593984962406,-123.30827067670272
vabatahtlike komandode paasteameti,0.0016835016835016,0.0037593984962406,-123.30827067670272
metsa metsade mets,0.0016835016835016,0.0037593984962406,-123.30827067670272
miili baasvorgu lairiba,0.0016835016835016,0.0037593984962406,-123.30827067670272
kauguhendus avaksite ettekandjalt,0.0016835016835016,0.0037593984962406,-123.30827067670272
korterid kortereid korterit,0.0016835016835016,0.0037593984962406,-123.30827067670272
kasvavad tuleval kasv,0.0016835016835016,0.0037593984962406,-123.30827067670272
elamisluba elamisloa viisa,0.005050505050505,0.0075187969924812,-48.87218045112925
estonian air airi,0.005050505050505,0.0075187969924812,-48.87218045112925
toonadalal istungid taiendaval,0.0033670033670033,0.0037593984962406,-11.65413533834804
prokuratuur prokuratuuri prokuror,0.0033670033670033,0.0037593984962406,-11.65413533834804
iive sundimus iibe,0.0033670033670033,0.0037593984962406,-11.65413533834804
krimmi agressiooni ukraina,0.0151515151515151,0.0150375939849624,0.751879699247822
katteallikas katteallikaid katteallikat,0.0101010101010101,0.0075187969924812,25.563909774436112
koolis kooli opilased,0.0269360269360269,0.0225563909774436,16.25939849624052
eriarstide eriarstiabi eriarsti,0.0067340067340067,0.0037593984962406,44.17293233082681
piirikontrolli schengeni valispiiri,0.0067340067340067,0.0037593984962406,44.17293233082681
pollumeestele pollumehi pollumehed,0.0252525252525252,0.018796992481203,25.563909774435967
riigiloivude riigiloivud riigiloivu,0.0134680134680134,0.0075187969924812,44.17293233082681
vallaga vald sauga,0.0084175084175084,0.0037593984962406,55.338345864661584
valimisliitude volikogusse volikokku,0.0185185185185185,0.0112781954887218,39.09774436090221
sigade katku katk,0.0151515151515151,0.0075187969924812,50.375939849623904
valimisea valimisiga valimisoiguse,0.0101010101010101,0.0037593984962406,62.78195488721806
ajakirjandus ajakirjanduse ajakirjandust,0.0101010101010101,0.0037593984962406,62.78195488721806
vagivallale vihakone ohutamine,0.0101010101010101,0.0037593984962406,62.78195488721806
rahvuse rahvust rahvusriik,0.0168350168350168,0.0075187969924812,55.338345864661584
otsevalimise presidenti presidendi,0.0117845117845117,0.0037593984962406,68.09881847475812
opositsioonis koalitsiooni opositsiooni,0.0202020202020202,0.0075187969924812,62.78195488721806
tulubaasi omavalitsustele omavalitsuste,0.0151515151515151,0.0037593984962406,75.18796992481197
kaitseliit kaitseliidule kaitseliidu,0.0218855218855218,0.0075187969924812,65.644881434355
eelarves riigieelarves reservist,0.0218855218855218,0.0037593984962406,82.82244071717749
valijate erakonda valijaid,0.0218855218855218,0.0037593984962406,82.82244071717749
slovakkia ungari portugal,0.0252525252525252,0.0037593984962406,85.11278195488718
efsf esm kreekale,0.0269360269360269,0.0037593984962406,86.04323308270675
