topic_words3,Eesti Vabaerakonna fraktsioon,Reformierakond,difference
arengufond arengufondi arengufondis,0.0092592592592592,0.0403800475059382,-336.1045130641354
salvestisi salvestised salvestiste,0.0185185185185185,0.0475059382422802,-156.53206650831333
kohtunike kohtususteem kohtuniku,0.0030864197530864,0.0237529691211401,-669.5961995249442
untso missioonide liikmesusest,0.0061728395061728,0.0237529691211401,-284.7980997624721
reklaami reklaam alkoholireklaam,0.0030864197530864,0.0166270783847981,-438.71733966746183
suuria euroopasse turgis,0.0030864197530864,0.014251781472684,-361.75771971496454
missiooni missioonile missioon,0.015432098765432,0.0308788598574821,-100.09501187648529
krimmi agressiooni ukraina,0.0092592592592592,0.0213776722090261,-130.87885985748335
kaasne lisakulutusi riigieelarvele,0.0030864197530864,0.01187648456057,-284.79809976247043
sularaha kommertspangad pangad,0.0030864197530864,0.01187648456057,-284.79809976247043
tapsustatakse ajakohastatakse nouete,0.0030864197530864,0.01187648456057,-284.79809976247043
valispoliitika valispoliitikas diplomaatia,0.0030864197530864,0.009501187648456,-207.83847980997635
valijate erakonda valijaid,0.0030864197530864,0.009501187648456,-207.83847980997635
kinnisasja maad maa,0.0030864197530864,0.009501187648456,-207.83847980997635
kaitseliit kaitseliidule kaitseliidu,0.0092592592592592,0.0166270783847981,-79.57244655582063
valimisea valimisiga valimisoiguse,0.0061728395061728,0.01187648456057,-92.39904988123523
riigikontrolli auditi auditit,0.0061728395061728,0.01187648456057,-92.39904988123523
vagivallale vihakone ohutamine,0.0030864197530864,0.007125890736342,-130.8788598574823
id mobiil kaardi,0.0030864197530864,0.007125890736342,-130.8788598574823
alkoholi kange lahja,0.0092592592592592,0.014251781472684,-53.91923990498818
huvigruppe huvigruppide kaasatud,0.0092592592592592,0.014251781472684,-53.91923990498818
vabatahtlike komandode paasteameti,0.0061728395061728,0.009501187648456,-53.91923990498818
riigipalgaliste riigisektoris koondada,0.0030864197530864,0.004750593824228,-53.91923990498818
psuhhiaatri alaealine psuhhiaatrilist,0.0030864197530864,0.004750593824228,-53.91923990498818
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0030864197530864,0.004750593824228,-53.91923990498818
operatsioonil sojalisel panustamisel,0.0030864197530864,0.004750593824228,-53.91923990498818
palgalohe soolist meeste,0.0030864197530864,0.004750593824228,-53.91923990498818
inimarengu aruanne aruandes,0.0030864197530864,0.004750593824228,-53.91923990498818
elektri elektrit taastuvenergia,0.0061728395061728,0.007125890736342,-15.43942992874113
toonadalal istungid taiendaval,0.0061728395061728,0.007125890736342,-15.43942992874113
eelarvele kulude riigieelarvele,0.0061728395061728,0.007125890736342,-15.43942992874113
efsf esm kreekale,0.0185185185185185,0.0190023752969121,-2.612826603325447
konkurss konkursi konkurssi,0.0030864197530864,0.002375296912114,23.040380047505906
korteriuhistu korteriomanike korteriuhistute,0.0030864197530864,0.002375296912114,23.040380047505906
tootuna arvele ariuhingu,0.0030864197530864,0.002375296912114,23.040380047505906
keskkonnaameti uhendamine uhendamise,0.0030864197530864,0.002375296912114,23.040380047505906
korrata stenogrammist vabandan,0.0030864197530864,0.002375296912114,23.040380047505906
elamisluba elamisloa viisa,0.0030864197530864,0.002375296912114,23.040380047505906
kaibemaksu kaibemaks kaibemaksumaara,0.0030864197530864,0.002375296912114,23.040380047505906
jaatmeid liigiti prugi,0.0030864197530864,0.002375296912114,23.040380047505906
piirikontrolli schengeni valispiiri,0.0030864197530864,0.002375296912114,23.040380047505906
valimiskomisjon proteste valimiskasti,0.0030864197530864,0.002375296912114,23.040380047505906
piirilepingu piirileping piirilepingut,0.0061728395061728,0.004750593824228,23.040380047505906
jarviku jarvik maaeluministri,0.0061728395061728,0.004750593824228,23.040380047505906
eelarves riigieelarves reservist,0.0061728395061728,0.004750593824228,23.040380047505906
kutsehariduse kutseharidus kutsehariduses,0.0061728395061728,0.004750593824228,23.040380047505906
slovakkia ungari portugal,0.0092592592592592,0.007125890736342,23.04038004750591
noukogudesse ariuhingute noukogudes,0.0123456790123456,0.009501187648456,23.040380047505906
arengukavad arengukavade pohialuste,0.015432098765432,0.01187648456057,23.040380047505913
joustumine joustuma joustada,0.0185185185185185,0.014251781472684,23.040380047506325
pagulasi pagulased pagulaste,0.0185185185185185,0.014251781472684,23.040380047506325
palgatousu opetajate palgatous,0.0123456790123456,0.007125890736342,42.28028503562943
eriarstide eriarstiabi eriarsti,0.0092592592592592,0.004750593824228,48.69358669833727
opositsiooni koalitsioonil opositsioonil,0.0092592592592592,0.004750593824228,48.69358669833727
ametiuhingute tooandjate keskliit,0.0092592592592592,0.004750593824228,48.69358669833727
tulubaasi omavalitsustele omavalitsuste,0.0092592592592592,0.004750593824228,48.69358669833727
tulumaksuvaba maksususteemi tulumaksu,0.0216049382716049,0.014251781472684,34.03461146929108
oigusloome oigusloomes oiguspoliitika,0.0061728395061728,0.002375296912114,61.52019002375295
kodakondsust kodakondsuse kodanikuks,0.0061728395061728,0.002375296912114,61.52019002375295
iive sundimus iibe,0.0061728395061728,0.002375296912114,61.52019002375295
leping ratifitseerida lepinguga,0.0061728395061728,0.002375296912114,61.52019002375295
lahususe voimude lahusus,0.0061728395061728,0.002375296912114,61.52019002375295
direktiivi direktiiv ulevotmise,0.0061728395061728,0.002375296912114,61.52019002375295
piirivalve valvamise valvamine,0.0061728395061728,0.002375296912114,61.52019002375295
maavalitsuste maavalitsused maakonna,0.0061728395061728,0.002375296912114,61.52019002375295
moisteid moiste moisted,0.0308641975308641,0.0190023752969121,38.432304038004595
uliopilased uliopilastele uliopilaste,0.015432098765432,0.007125890736342,53.82422802850354
terviseandmed isikuandmeid terviseandmeid,0.0092592592592592,0.002375296912114,74.34679334916864
abielu kooselu samasooliste,0.0092592592592592,0.002375296912114,74.34679334916864
sigade katku katk,0.0092592592592592,0.002375296912114,74.34679334916864
kantsler kantsleri riigisekretar,0.0092592592592592,0.002375296912114,74.34679334916864
piima toorpiima toodangut,0.0092592592592592,0.002375296912114,74.34679334916864
ulikooliga kbfi instituudi,0.0123456790123456,0.002375296912114,80.76009501187647
karistuse karistus tingimisi,0.0123456790123456,0.002375296912114,80.76009501187647
opositsioonis koalitsiooni opositsiooni,0.0216049382716049,0.007125890736342,67.01730573464553
katteallikas katteallikaid katteallikat,0.0185185185185185,0.004750593824228,74.34679334916878
koolis kooli opilased,0.037037037037037,0.01187648456057,67.93349168646097
teadus teaduse arendustegevuse,0.0493827160493827,0.01187648456057,75.95011876484574
valimisliitude volikogusse volikokku,0.1265432098765432,0.007125890736342,94.368808296159
otsevalimise presidenti presidendi,0.0123456790123456,0.0,100.0
objekti anu raua,0.0123456790123456,0.0,100.0
koneleja konsensuslikud repliigi,0.0123456790123456,0.0,100.0
rahvuse rahvust rahvusriik,0.0092592592592592,0.0,100.0
pealinnast tallinnast viljandisse,0.0092592592592592,0.0,100.0
riigireformi riigireformist riigireform,0.0092592592592592,0.0,100.0
kohanimenoukogu vonnu mulgi,0.0061728395061728,0.0,100.0
ulejaagis struktuurses struktuurse,0.0061728395061728,0.0,100.0
kusija vastaja vastasin,0.0061728395061728,0.0,100.0
vallaga vald sauga,0.0061728395061728,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0061728395061728,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0061728395061728,0.0,100.0
hanke hankija riigihangete,0.0061728395061728,0.0,100.0
virumaale virumaa toostusalade,0.0061728395061728,0.0,100.0
normitehnika mojude eeskiri,0.0061728395061728,0.0,100.0
kaitsekulud kaitsekulutused kaitsekulude,0.0030864197530864,0.0,100.0
utah jordaania energia,0.0030864197530864,0.0,100.0
omandireformi tagastatud omandireform,0.0030864197530864,0.0,100.0
hiv narkomaania epideemia,0.0030864197530864,0.0,100.0
kauguhendus avaksite ettekandjalt,0.0030864197530864,0.0,100.0
hansson ardo panga,0.0030864197530864,0.0,100.0
kandideerima ametikohale kandidaatide,0.0030864197530864,0.0,100.0
hambaravi hammaste hambad,0.0030864197530864,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.0030864197530864,0.0,100.0
energiaagentuur agentuuri agentuur,0.0030864197530864,0.0,100.0
pensionitous pensionitousu pension,0.0030864197530864,0.0,100.0
riigikontrolor karis riigikontrolori,0.0030864197530864,0.0,100.0
haale valimispaeval valimiste,0.0030864197530864,0.0,100.0
president ilves presidendi,0.0030864197530864,0.0,100.0
lasteaia lasteaias lasteaiakoha,0.0030864197530864,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0030864197530864,0.0,100.0
laari laar kandidatuuri,0.0030864197530864,0.0,100.0
lapsetoetust lapsetoetus lapsetoetuse,0.0030864197530864,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0030864197530864,0.0,100.0
muundatud geneetiliselt gmo,0.0030864197530864,0.0,100.0
annetus erjk annetuse,0.0030864197530864,0.0,100.0
rongi rongide rongid,0.0,0.0,
tooandja tooandjal tootaja,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
tootuli lepitaja ametiuhingute,0.0,0.0,
teekasutustasu autode autod,0.0,0.0,
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0,
uhistranspordi uhistransport uhistransporti,0.0,0.0,
uuring uuringut uuringu,0.0,0.0,
vaesuses suhtelises vaesuse,0.0,0.0,
valdkonnad laekumisest fikseeritakse,0.0,0.0,
rail trassi balticu,0.0,0.0,
varude varud varu,0.0,0.0,
veb fondi uurimiskomisjon,0.0,0.0,
vee monopolide veeteenuse,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
riigimetsa majandamise noukokku,0.0,0.0,
maantee neljarealiseks ppp,0.0,0.0,
puude raskusastme puuet,0.0,0.0,
post posti omniva,0.0,0.0,
kolledz kolledzi turi,0.0,0.0,
kodualuse maamaksu maamaksust,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0,
jahimehed jahimeeste jahti,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
huvihariduse huvitegevuse huviharidus,0.0,0.0,
hoone rkas hoonet,0.0,0.0,
hooldekodus hoolduse hooldekodu,0.0,0.0,
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
estonian air airi,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
liitlaste ohutorje keskmaa,0.0,0.0,
miili baasvorgu lairiba,0.0,0.0,
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
oiglase virumaale ulemineku,0.0,0.0,
nord stream streami,0.0,0.0,
