topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,difference
palgatousu opetajate palgatous,0.0044052863436123,0.0322886989553656,-632.9534662868049
alkoholi kange lahja,0.0088105726872246,0.037037037037037,-320.3703703703733
tulumaksuvaba maksususteemi tulumaksu,0.0088105726872246,0.0322886989553656,-266.47673314340244
koolilouna koolitoidu koolitoit,0.0044052863436123,0.017094017094017,-288.03418803418896
kaibemaksu kaibemaks kaibemaksumaara,0.0044052863436123,0.0151946818613485,-244.91927825261368
efsf esm kreekale,0.0044052863436123,0.0142450142450142,-223.36182336182492
pensioni pension sammas,0.0044052863436123,0.0123456790123456,-180.24691358024737
kinnisasja maad maa,0.0044052863436123,0.0123456790123456,-180.24691358024737
arengufond arengufondi arengufondis,0.0044052863436123,0.0123456790123456,-180.24691358024737
kohtunike kohtususteem kohtuniku,0.0044052863436123,0.0104463437796771,-137.13200379867206
elamisluba elamisloa viisa,0.0044052863436123,0.0094966761633428,-115.57454890788328
vabatahtlike komandode paasteameti,0.0044052863436123,0.0085470085470085,-94.01709401709448
riigipuha puhade tahtpaevade,0.0044052863436123,0.0085470085470085,-94.01709401709448
pollumeestele pollumehi pollumehed,0.0088105726872246,0.0132953466286799,-50.902184235518064
elektri elektrit taastuvenergia,0.0088105726872246,0.0132953466286799,-50.902184235518064
palgalohe soolist meeste,0.0044052863436123,0.0075973409306742,-72.45963912630572
rahvuse rahvust rahvusriik,0.0044052863436123,0.0075973409306742,-72.45963912630572
valimisliitude volikogusse volikokku,0.0044052863436123,0.0066476733143399,-50.90218423551695
arengukavad arengukavade pohialuste,0.0044052863436123,0.0066476733143399,-50.90218423551695
vallaga vald sauga,0.0044052863436123,0.0066476733143399,-50.90218423551695
jarviku jarvik maaeluministri,0.0044052863436123,0.0056980056980056,-29.344729344728158
reklaami reklaam alkoholireklaam,0.0044052863436123,0.0056980056980056,-29.344729344728158
taanis saksamaal hollandis,0.0044052863436123,0.0056980056980056,-29.344729344728158
pohiseadusega riigikohus oiguskantsler,0.0088105726872246,0.0094966761633428,-7.7872744539416425
leping ratifitseerida lepinguga,0.0088105726872246,0.0094966761633428,-7.7872744539416425
haale valimispaeval valimiste,0.0044052863436123,0.0047483380816714,-7.7872744539416425
valijate erakonda valijaid,0.0044052863436123,0.0047483380816714,-7.7872744539416425
borsile ipo enefit,0.0044052863436123,0.0037986704653371,13.77018043684714
katteallikas katteallikaid katteallikat,0.0044052863436123,0.0037986704653371,13.77018043684714
metsa metsade mets,0.0044052863436123,0.0037986704653371,13.77018043684714
hanke hankija riigihangete,0.0044052863436123,0.0037986704653371,13.77018043684714
terviseandmed isikuandmeid terviseandmeid,0.0044052863436123,0.0037986704653371,13.77018043684714
otsevalimise presidenti presidendi,0.0044052863436123,0.0037986704653371,13.77018043684714
normitehnika mojude eeskiri,0.0044052863436123,0.0028490028490028,35.32763532763592
hoone rkas hoonet,0.0088105726872246,0.0056980056980056,35.32763532763592
karistuse karistus tingimisi,0.0088105726872246,0.0056980056980056,35.32763532763592
moisteid moiste moisted,0.0088105726872246,0.0056980056980056,35.32763532763592
tapsustatakse ajakohastatakse nouete,0.0044052863436123,0.0018993352326685,56.88509021842471
liitlaste ohutorje keskmaa,0.0044052863436123,0.0018993352326685,56.88509021842471
valispoliitika valispoliitikas diplomaatia,0.0044052863436123,0.0018993352326685,56.88509021842471
planeeringu keskkonnamoju keskkonnamojude,0.0044052863436123,0.0018993352326685,56.88509021842471
kala kalurid kalurite,0.0044052863436123,0.0018993352326685,56.88509021842471
ulikooliga kbfi instituudi,0.0044052863436123,0.0018993352326685,56.88509021842471
valimisea valimisiga valimisoiguse,0.0044052863436123,0.0018993352326685,56.88509021842471
maksuamet tolliamet tolliameti,0.0088105726872246,0.0047483380816714,46.10636277302918
koolis kooli opilased,0.0572687224669603,0.0455840455840455,20.403243480166623
louis freeh kremli,0.0044052863436123,0.0009496676163342,78.44254510921348
ammendumiseni kaheni pikendada,0.0044052863436123,0.0009496676163342,78.44254510921348
opositsiooni koalitsioonil opositsioonil,0.0044052863436123,0.0009496676163342,78.44254510921348
kodakondsust kodakondsuse kodanikuks,0.0088105726872246,0.0037986704653371,56.88509021842357
prokuratuur prokuratuuri prokuror,0.0088105726872246,0.0037986704653371,56.88509021842357
loomi loomade loomad,0.0088105726872246,0.0028490028490028,67.66381766381797
kaasne lisakulutusi riigieelarvele,0.0088105726872246,0.0028490028490028,67.66381766381797
jaatmeid liigiti prugi,0.0088105726872246,0.0028490028490028,67.66381766381797
soita jalakaija konniteel,0.0088105726872246,0.0028490028490028,67.66381766381797
riigiloivude riigiloivud riigiloivu,0.0088105726872246,0.0018993352326685,78.44254510921235
aasia aasias saatkonna,0.0088105726872246,0.0018993352326685,78.44254510921235
kodualuse maamaksu maamaksust,0.0088105726872246,0.0009496676163342,89.22127255460674
korterid kortereid korterit,0.013215859030837,0.0037986704653371,71.2567268122826
lasteaia lasteaias lasteaiakoha,0.0220264317180616,0.0094966761633428,56.88509021842354
tooandja tervisesse maksuvabalt,0.013215859030837,0.0028490028490028,78.44254510921213
toonadalal istungid taiendaval,0.013215859030837,0.0018993352326685,85.62836340614169
lapsetoetust lapsetoetus lapsetoetuse,0.0176211453744493,0.0037986704653371,78.44254510921192
huvigruppe huvigruppide kaasatud,0.0308370044052863,0.0113960113960113,63.04436304436331
riigiabi komisjonilt loa,0.0220264317180616,0.0009496676163342,95.68850902184272
ootuse oigusparase oiguskindluse,0.0220264317180616,0.0009496676163342,95.68850902184272
salvestisi salvestised salvestiste,0.026431718061674,0.0075973409306742,71.2567268122826
apteeke apteegid apteekide,0.0220264317180616,0.0037986704653371,82.75403608736951
joustumine joustuma joustada,0.0308370044052863,0.0094966761633428,69.20363587030259
opositsioonis koalitsiooni opositsiooni,0.039647577092511,0.0151946818613485,61.675635749709876
treenerite spordi sport,0.039647577092511,0.0066476733143399,83.23309064049825
krimmi agressiooni ukraina,0.0440528634361233,0.0056980056980056,87.06552706552728
erimargistatud kutust kutuse,0.0484581497797356,0.0066476733143399,86.28161961495309
psuhhiaatri alaealine psuhhiaatrilist,0.0616740088105726,0.0066476733143399,89.221272554606
elatisraha elatisabi elatise,0.079295154185022,0.0028490028490028,96.40709085153536
kulukuse krediidi kiirlaenude,0.013215859030837,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.0088105726872246,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0088105726872246,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0044052863436123,0.0,100.0
poolte kokkuleppel huvitise,0.0044052863436123,0.0,100.0
energiaagentuur agentuuri agentuur,0.0044052863436123,0.0,100.0
danske filiaali rahapesu,0.0044052863436123,0.0,100.0
relva relvade relvaluba,0.0044052863436123,0.0,100.0
kinnitamise paevakorra paevakord,0.0044052863436123,0.0,100.0
ts parvlaeva parvlaevad,0.0044052863436123,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0,0.0,
aardla pria pealtnagija,0.0,0.0,
kauguhendus avaksite ettekandjalt,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
domeenide domeeni interneti,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
uhistranspordi uhistransport uhistransporti,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
omandireformi tagastatud omandireform,0.0,0.0104463437796771,-inf
korrata stenogrammist vabandan,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
ooteala piiriuletuse piiripunkti,0.0,0.0,
operatsioonil sojalisel panustamisel,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
puude raskusastme puuet,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
miili baasvorgu lairiba,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
majandusaasta koondaruanne raamatupidamise,0.0,0.0,
kutsehariduse kutseharidus kutsehariduses,0.0,0.0,
kusimusena tahtsa tahtsusega,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0,
teatri teater rahvusooper,0.0,0.0,
tootuna arvele ariuhingu,0.0,0.0,
objekti anu raua,0.0,0.0,
missiooni missioonile missioon,0.0,0.0047483380816714,-inf
kohanimenoukogu vonnu mulgi,0.0,0.0009496676163342,-inf
utah jordaania energia,0.0,0.0009496676163342,-inf
muugimaksu muugimaks paadimaksu,0.0,0.0009496676163342,-inf
muuseum muuseumi muuseumide,0.0,0.0028490028490028,-inf
nord stream streami,0.0,0.0028490028490028,-inf
riigikontrolor karis riigikontrolori,0.0,0.0037986704653371,-inf
