topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Reformierakond,difference
arengufond arengufondi arengufondis,0.0044052863436123,0.0403800475059382,-816.6270783848045
kohtunike kohtususteem kohtuniku,0.0044052863436123,0.0237529691211401,-439.19239904988456
efsf esm kreekale,0.0044052863436123,0.0190023752969121,-331.3539192399081
salvestisi salvestised salvestiste,0.026431718061674,0.0475059382422802,-79.7307996832935
reklaami reklaam alkoholireklaam,0.0044052863436123,0.0166270783847981,-277.43467933491985
moisteid moiste moisted,0.0088105726872246,0.0190023752969121,-115.67695961995406
valimisea valimisiga valimisoiguse,0.0044052863436123,0.01187648456057,-169.59619952494114
tapsustatakse ajakohastatakse nouete,0.0044052863436123,0.01187648456057,-169.59619952494114
arengukavad arengukavade pohialuste,0.0044052863436123,0.01187648456057,-169.59619952494114
valijate erakonda valijaid,0.0044052863436123,0.009501187648456,-115.67695961995292
relva relvade relvaluba,0.0044052863436123,0.009501187648456,-115.67695961995292
vabatahtlike komandode paasteameti,0.0044052863436123,0.009501187648456,-115.67695961995292
kinnisasja maad maa,0.0044052863436123,0.009501187648456,-115.67695961995292
valispoliitika valispoliitikas diplomaatia,0.0044052863436123,0.009501187648456,-115.67695961995292
tulumaksuvaba maksususteemi tulumaksu,0.0088105726872246,0.014251781472684,-61.757719714964686
alkoholi kange lahja,0.0088105726872246,0.014251781472684,-61.757719714964686
palgatousu opetajate palgatous,0.0044052863436123,0.007125890736342,-61.757719714964686
pensioni pension sammas,0.0044052863436123,0.007125890736342,-61.757719714964686
riigipuha puhade tahtpaevade,0.0044052863436123,0.007125890736342,-61.757719714964686
koolilouna koolitoidu koolitoit,0.0044052863436123,0.007125890736342,-61.757719714964686
valimisliitude volikogusse volikokku,0.0044052863436123,0.007125890736342,-61.757719714964686
kaasne lisakulutusi riigieelarvele,0.0088105726872246,0.01187648456057,-34.79809976247058
kulukuse krediidi kiirlaenude,0.013215859030837,0.014251781472684,-7.8384798099756345
taanis saksamaal hollandis,0.0044052863436123,0.004750593824228,-7.838479809976463
katteallikas katteallikaid katteallikat,0.0044052863436123,0.004750593824228,-7.838479809976463
opositsiooni koalitsioonil opositsioonil,0.0044052863436123,0.004750593824228,-7.838479809976463
borsile ipo enefit,0.0044052863436123,0.004750593824228,-7.838479809976463
palgalohe soolist meeste,0.0044052863436123,0.004750593824228,-7.838479809976463
jarviku jarvik maaeluministri,0.0044052863436123,0.004750593824228,-7.838479809976463
apteeke apteegid apteekide,0.0220264317180616,0.0213776722090261,2.94536817102118
pollumeestele pollumehi pollumehed,0.0088105726872246,0.007125890736342,19.12114014251766
pohiseadusega riigikohus oiguskantsler,0.0088105726872246,0.007125890736342,19.12114014251766
soita jalakaija konniteel,0.0088105726872246,0.007125890736342,19.12114014251766
elektri elektrit taastuvenergia,0.0088105726872246,0.007125890736342,19.12114014251766
ts parvlaeva parvlaevad,0.0044052863436123,0.002375296912114,46.08076009501177
elamisluba elamisloa viisa,0.0044052863436123,0.002375296912114,46.08076009501177
kaibemaksu kaibemaks kaibemaksumaara,0.0044052863436123,0.002375296912114,46.08076009501177
terviseandmed isikuandmeid terviseandmeid,0.0044052863436123,0.002375296912114,46.08076009501177
kala kalurid kalurite,0.0044052863436123,0.002375296912114,46.08076009501177
ulikooliga kbfi instituudi,0.0044052863436123,0.002375296912114,46.08076009501177
metsa metsade mets,0.0044052863436123,0.002375296912114,46.08076009501177
poolte kokkuleppel huvitise,0.0044052863436123,0.002375296912114,46.08076009501177
maksuamet tolliamet tolliameti,0.0088105726872246,0.004750593824228,46.08076009501177
riigiloivude riigiloivud riigiloivu,0.0088105726872246,0.004750593824228,46.08076009501177
prokuratuur prokuratuuri prokuror,0.0088105726872246,0.004750593824228,46.08076009501177
toonadalal istungid taiendaval,0.013215859030837,0.007125890736342,46.08076009501218
leping ratifitseerida lepinguga,0.0088105726872246,0.002375296912114,73.04038004750589
karistuse karistus tingimisi,0.0088105726872246,0.002375296912114,73.04038004750589
aasia aasias saatkonna,0.0088105726872246,0.002375296912114,73.04038004750589
kodakondsust kodakondsuse kodanikuks,0.0088105726872246,0.002375296912114,73.04038004750589
jaatmeid liigiti prugi,0.0088105726872246,0.002375296912114,73.04038004750589
tooandja tervisesse maksuvabalt,0.013215859030837,0.004750593824228,64.05384006334145
korterid kortereid korterit,0.013215859030837,0.002375296912114,82.02692003167073
huvigruppe huvigruppide kaasatud,0.0308370044052863,0.014251781472684,53.78350865286753
joustumine joustuma joustada,0.0308370044052863,0.014251781472684,53.78350865286753
krimmi agressiooni ukraina,0.0440528634361233,0.0213776722090261,51.4726840855107
ootuse oigusparase oiguskindluse,0.0220264317180616,0.004750593824228,78.4323040380048
riigiabi komisjonilt loa,0.0220264317180616,0.004750593824228,78.4323040380048
treenerite spordi sport,0.039647577092511,0.014251781472684,64.05384006334145
opositsioonis koalitsiooni opositsiooni,0.039647577092511,0.007125890736342,82.02692003167074
erimargistatud kutust kutuse,0.0484581497797356,0.007125890736342,85.29475275318512
koolis kooli opilased,0.0572687224669603,0.01187648456057,79.2618308057739
psuhhiaatri alaealine psuhhiaatrilist,0.0616740088105726,0.004750593824228,92.29725144214459
elatisraha elatisabi elatise,0.079295154185022,0.009501187648456,88.01794668778048
lasteaia lasteaias lasteaiakoha,0.0220264317180616,0.0,100.0
lapsetoetust lapsetoetus lapsetoetuse,0.0176211453744493,0.0,100.0
hoone rkas hoonet,0.0088105726872246,0.0,100.0
kodualuse maamaksu maamaksust,0.0088105726872246,0.0,100.0
loomi loomade loomad,0.0088105726872246,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.0088105726872246,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0088105726872246,0.0,100.0
kinnitamise paevakorra paevakord,0.0044052863436123,0.0,100.0
danske filiaali rahapesu,0.0044052863436123,0.0,100.0
normitehnika mojude eeskiri,0.0044052863436123,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0044052863436123,0.0,100.0
planeeringu keskkonnamoju keskkonnamojude,0.0044052863436123,0.0,100.0
otsevalimise presidenti presidendi,0.0044052863436123,0.0,100.0
louis freeh kremli,0.0044052863436123,0.0,100.0
liitlaste ohutorje keskmaa,0.0044052863436123,0.0,100.0
rahvuse rahvust rahvusriik,0.0044052863436123,0.0,100.0
energiaagentuur agentuuri agentuur,0.0044052863436123,0.0,100.0
vallaga vald sauga,0.0044052863436123,0.0,100.0
ammendumiseni kaheni pikendada,0.0044052863436123,0.0,100.0
haale valimispaeval valimiste,0.0044052863436123,0.0,100.0
hanke hankija riigihangete,0.0044052863436123,0.0,100.0
uuring uuringut uuringu,0.0,0.0,
rail trassi balticu,0.0,0.0,
