topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,Isamaa,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0,0.0,0.0,0.001564945226917058,0.0007892659826361484,0.0
aasia aasias saatkonna,0.002190580503833516,0.0036188178528347406,0.003683241252302026,0.0,0.004694835680751174,0.0031570639305445935,0.0018083182640144665
abielu kooselu samasooliste,0.03176341730558598,0.0036188178528347406,0.0,0.009404388714733543,0.001564945226917058,0.0023677979479084454,0.007233273056057866
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.0,0.0,0.0,0.0007892659826361484,0.0018083182640144665
aituma infotundi jahimehed,0.001095290251916758,0.0012062726176115801,0.0,0.02821316614420063,0.001564945226917058,0.0007892659826361484,0.0018083182640144665
ajakirjandus ajakirjanduse ajakirjandust,0.0032858707557502738,0.0048250904704463205,0.001841620626151013,0.006269592476489028,0.001564945226917058,0.004735595895816891,0.0018083182640144665
alkoholi kange lahja,0.0208105147864184,0.019300361881785282,0.01289134438305709,0.08463949843260188,0.02034428794992175,0.05998421468034728,0.05244122965641953
ametipalkade riigiteenijate korgemate,0.001095290251916758,0.0,0.003683241252302026,0.009404388714733543,0.0,0.0015785319652722968,0.0
ametiuhingute tooandjate keskliit,0.002190580503833516,0.0012062726176115801,0.003683241252302026,0.01567398119122257,0.001564945226917058,0.010260457774269928,0.003616636528028933
ammendumiseni kaheni pikendada,0.001095290251916758,0.0036188178528347406,0.0,0.0,0.0,0.004735595895816891,0.0
annetus erjk annetuse,0.002190580503833516,0.0036188178528347406,0.0,0.0,0.001564945226917058,0.0007892659826361484,0.0018083182640144665
annetused annetusi annetuste,0.002190580503833516,0.0024125452352231603,0.0,0.009404388714733543,0.0,0.0007892659826361484,0.0
apteeke apteegid apteekide,0.001095290251916758,0.0048250904704463205,0.007366482504604052,0.003134796238244514,0.001564945226917058,0.0015785319652722968,0.003616636528028933
arengufond arengufondi arengufondis,0.002190580503833516,0.006031363088057901,0.009208103130755065,0.012539184952978056,0.003129890453834116,0.007103393843725336,0.009041591320072333
arengukavad arengukavade pohialuste,0.0032858707557502738,0.014475271411338963,0.009208103130755065,0.006269592476489028,0.006259780907668232,0.007892659826361484,0.012658227848101266
borsile ipo enefit,0.0,0.0036188178528347406,0.001841620626151013,0.0,0.003129890453834116,0.003946329913180742,0.0
danske filiaali rahapesu,0.0,0.009650180940892641,0.001841620626151013,0.0,0.0,0.0,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.002190580503833516,0.0,0.0,0.0,0.001564945226917058,0.0007892659826361484,0.0
direktiivi direktiiv ulevotmise,0.00547645125958379,0.0012062726176115801,0.003683241252302026,0.009404388714733543,0.006259780907668232,0.0031570639305445935,0.003616636528028933
domeenide domeeni interneti,0.001095290251916758,0.0,0.0,0.0,0.0,0.0,0.0
eelarvele kulude riigieelarvele,0.004381161007667032,0.0012062726176115801,0.001841620626151013,0.006269592476489028,0.0,0.0055248618784530384,0.0018083182640144665
eelarves riigieelarves reservist,0.012048192771084338,0.008443908323281062,0.016574585635359115,0.003134796238244514,0.012519561815336464,0.016574585635359115,0.003616636528028933
efsf esm kreekale,0.002190580503833516,0.0012062726176115801,0.001841620626151013,0.0,0.0,0.003946329913180742,0.0
elamisluba elamisloa viisa,0.014238773274917854,0.0,0.003683241252302026,0.003134796238244514,0.0,0.003946329913180742,0.0054249547920434
elatisraha elatisabi elatise,0.0,0.0,0.0,0.0,0.001564945226917058,0.0,0.0
elektri elektrit taastuvenergia,0.004381161007667032,0.0,0.014732965009208104,0.025078369905956112,0.003129890453834116,0.008681925808997633,0.009041591320072333
ene ergma aplaus,0.0,0.0012062726176115801,0.0,0.0,0.0,0.0007892659826361484,0.0
energiaagentuur agentuuri agentuur,0.001095290251916758,0.0,0.0,0.0,0.0,0.0015785319652722968,0.0
eriarstide eriarstiabi eriarsti,0.008762322015334063,0.009650180940892641,0.029465930018416207,0.0,0.006259780907668232,0.007892659826361484,0.009041591320072333
erimargistatud kutust kutuse,0.001095290251916758,0.0024125452352231603,0.0,0.003134796238244514,0.001564945226917058,0.0007892659826361484,0.0018083182640144665
eripensioni valjateenitud staazi,0.001095290251916758,0.0,0.0,0.006269592476489028,0.0,0.0007892659826361484,0.003616636528028933
est kavatsuste for,0.0,0.0012062726176115801,0.0,0.0,0.0,0.0,0.0
estonian air airi,0.0,0.0012062726176115801,0.0,0.0,0.001564945226917058,0.0007892659826361484,0.0
etv saateid pbk,0.007667031763417305,0.0,0.001841620626151013,0.006269592476489028,0.003129890453834116,0.006314127861089187,0.0054249547920434
fie fuusilisest isikust,0.001095290251916758,0.0024125452352231603,0.0,0.0,0.006259780907668232,0.0015785319652722968,0.0
haale valimispaeval valimiste,0.0065717415115005475,0.008443908323281062,0.001841620626151013,0.003134796238244514,0.026604068857589983,0.028413575374901343,0.0018083182640144665
haaletamissedel haaletamiskasti sedeli,0.0,0.0,0.0,0.0,0.001564945226917058,0.0007892659826361484,0.0
haalte kandidaatidele haaletamisest,0.0,0.0012062726176115801,0.0,0.0,0.0,0.0,0.0
hadaolukorda eriolukord eriolukorra,0.0,0.0012062726176115801,0.0055248618784530384,0.0,0.0,0.0015785319652722968,0.0018083182640144665
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,0.001841620626151013,0.0,0.0,0.0,0.0
hambaravi hammaste hambad,0.0,0.0,0.001841620626151013,0.0,0.001564945226917058,0.0015785319652722968,0.003616636528028933
hanke hankija riigihangete,0.004381161007667032,0.008443908323281062,0.001841620626151013,0.0438871473354232,0.00782472613458529,0.004735595895816891,0.0
hansson ardo panga,0.0,0.006031363088057901,0.0,0.0,0.0,0.006314127861089187,0.0
hoiu pangad pankade,0.0,0.0,0.001841620626151013,0.003134796238244514,0.001564945226917058,0.0023677979479084454,0.003616636528028933
hooldekodus hoolduse hooldekodu,0.0032858707557502738,0.0012062726176115801,0.011049723756906077,0.0,0.004694835680751174,0.0031570639305445935,0.007233273056057866
hoone rkas hoonet,0.004381161007667032,0.018094089264173704,0.003683241252302026,0.0,0.004694835680751174,0.0007892659826361484,0.0018083182640144665
humni humn laulda,0.001095290251916758,0.0,0.0,0.0,0.001564945226917058,0.0,0.0
huvigruppe huvigruppide kaasatud,0.0032858707557502738,0.015681544028950542,0.009208103130755065,0.012539184952978056,0.010954616588419406,0.007103393843725336,0.0162748643761302
huvihariduse huvitegevuse huviharidus,0.0,0.0048250904704463205,0.0,0.0,0.00782472613458529,0.0055248618784530384,0.0054249547920434
id mobiil kaardi,0.01095290251916758,0.0024125452352231603,0.001841620626151013,0.0,0.001564945226917058,0.007103393843725336,0.0
idapiiri piiririba valjaehitamine,0.001095290251916758,0.0,0.0,0.0,0.001564945226917058,0.0,0.0
iive sundimus iibe,0.008762322015334063,0.0024125452352231603,0.01289134438305709,0.0,0.003129890453834116,0.0023677979479084454,0.003616636528028933
inflatsiooni inflatsioon hinnatous,0.0,0.0,0.0,0.003134796238244514,0.0,0.0023677979479084454,0.0
inimarengu aruanne aruandes,0.001095290251916758,0.012062726176115802,0.0,0.006269592476489028,0.003129890453834116,0.0031570639305445935,0.003616636528028933
jaatmeid liigiti prugi,0.004381161007667032,0.0,0.001841620626151013,0.0,0.0,0.0031570639305445935,0.0054249547920434
jahimehed jahimeeste jahti,0.001095290251916758,0.0,0.001841620626151013,0.0,0.0,0.0023677979479084454,0.0018083182640144665
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0,0.001841620626151013,0.0,0.0,0.0007892659826361484,0.0
jarviku jarvik maaeluministri,0.01095290251916758,0.007237635705669481,0.003683241252302026,0.003134796238244514,0.001564945226917058,0.003946329913180742,0.0
joustumine joustuma joustada,0.0,0.009650180940892641,0.009208103130755065,0.006269592476489028,0.004694835680751174,0.004735595895816891,0.014466546112115732
kaasne lisakulutusi riigieelarvele,0.00547645125958379,0.0012062726176115801,0.003683241252302026,0.0,0.001564945226917058,0.003946329913180742,0.0
kaibemaksu kaibemaks kaibemaksumaara,0.001095290251916758,0.0012062726176115801,0.001841620626151013,0.0,0.003129890453834116,0.0023677979479084454,0.0018083182640144665
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0012062726176115801,0.0,0.0,0.003129890453834116,0.0023677979479084454,0.0
kaitseliit kaitseliidule kaitseliidu,0.012048192771084338,0.0048250904704463205,0.007366482504604052,0.0,0.003129890453834116,0.007103393843725336,0.003616636528028933
kala kalurid kalurite,0.001095290251916758,0.0,0.007366482504604052,0.012539184952978056,0.001564945226917058,0.0,0.0
kandidaadi kandidaati kandidaat,0.001095290251916758,0.0024125452352231603,0.003683241252302026,0.0,0.00782472613458529,0.0,0.0018083182640144665
kandidaati kandidaat valituks,0.0032858707557502738,0.0012062726176115801,0.001841620626151013,0.0,0.001564945226917058,0.0,0.0
kandideerima ametikohale kandidaatide,0.001095290251916758,0.0036188178528347406,0.003683241252302026,0.0,0.001564945226917058,0.0015785319652722968,0.0018083182640144665
kantsler kantsleri riigisekretar,0.004381161007667032,0.0024125452352231603,0.009208103130755065,0.009404388714733543,0.001564945226917058,0.003946329913180742,0.0018083182640144665
karistuse karistus tingimisi,0.013143483023001095,0.008443908323281062,0.01841620626151013,0.0219435736677116,0.017214397496087636,0.01973164956590371,0.003616636528028933
