topic_words3,EKRE,Isamaa,difference
alkoholi kange lahja,0.0208105147864184,0.0846394984326018,-306.71506352087073
hanke hankija riigihangete,0.004381161007667,0.0438871473354232,-901.7241379310418
metsa metsade mets,0.0262869660460021,0.0626959247648902,-138.50574712643734
elektri elektrit taastuvenergia,0.004381161007667,0.0250783699059561,-472.41379310345224
aituma infotundi jahimehed,0.0010952902519167,0.0282131661442006,-2475.862068965651
terviseandmed isikuandmeid terviseandmeid,0.0010952902519167,0.0250783699059561,-2189.655172413913
vaikesaarte saarte pusiasustusega,0.0010952902519167,0.0219435736677116,-1903.4482758621748
maavalitsuste maavalitsused maakonna,0.0076670317634173,0.0250783699059561,-227.0935960591134
ametiuhingute tooandjate keskliit,0.0021905805038335,0.0156739811912225,-615.5172413793124
kala kalurid kalurite,0.0010952902519167,0.012539184952978,-1044.827586206952
arengufond arengufondi arengufondis,0.0021905805038335,0.012539184952978,-472.4137931034499
huvigruppe huvigruppide kaasatud,0.0032858707557502,0.012539184952978,-281.6091954023057
tapsustatakse ajakohastatakse nouete,0.0010952902519167,0.0094043887147335,-758.6206896552139
ametipalkade riigiteenijate korgemate,0.0010952902519167,0.0094043887147335,-758.6206896552139
magustatud suhkrut joogi,0.0010952902519167,0.0094043887147335,-758.6206896552139
virumaale virumaa toostusalade,0.0010952902519167,0.0094043887147335,-758.6206896552139
kasvavad tuleval kasv,0.0010952902519167,0.0094043887147335,-758.6206896552139
annetused annetusi annetuste,0.0021905805038335,0.0094043887147335,-329.31034482758736
liiklussurmade liikluses hukkunute,0.0021905805038335,0.0094043887147335,-329.31034482758736
teekasutustasu autode autod,0.004381161007667,0.012539184952978,-186.20689655172492
reklaami reklaam alkoholireklaam,0.0065717415115005,0.0156739811912225,-138.50574712643743
miili baasvorgu lairiba,0.0010952902519167,0.006269592476489,-472.413793103476
ootuse oigusparase oiguskindluse,0.0010952902519167,0.006269592476489,-472.413793103476
inimarengu aruanne aruandes,0.0010952902519167,0.006269592476489,-472.413793103476
oigusloome oigusloomes oiguspoliitika,0.0010952902519167,0.006269592476489,-472.413793103476
lng terminali gaasi,0.0010952902519167,0.006269592476489,-472.413793103476
eripensioni valjateenitud staazi,0.0010952902519167,0.006269592476489,-472.413793103476
korterelamute kortermajade kredexi,0.0010952902519167,0.006269592476489,-472.413793103476
moisteid moiste moisted,0.0032858707557502,0.0094043887147335,-186.20689655172927
karistuse karistus tingimisi,0.013143483023001,0.0219435736677116,-66.95402298850696
kantsler kantsleri riigisekretar,0.004381161007667,0.0094043887147335,-114.65517241379371
soita jalakaija konniteel,0.004381161007667,0.0094043887147335,-114.65517241379371
kinnisasja maad maa,0.0120481927710843,0.018808777429467,-56.11285266457657
toonadalal istungid taiendaval,0.0076670317634173,0.012539184952978,-63.54679802955603
maksuamet tolliamet tolliameti,0.013143483023001,0.018808777429467,-43.10344827586246
direktiivi direktiiv ulevotmise,0.0054764512595837,0.0094043887147335,-71.72413793103651
uhistranspordi uhistransport uhistransporti,0.0054764512595837,0.0094043887147335,-71.72413793103651
valismaale valjarande valjaranne,0.0054764512595837,0.0094043887147335,-71.72413793103651
arengukavad arengukavade pohialuste,0.0032858707557502,0.006269592476489,-90.80459770115286
ajakirjandus ajakirjanduse ajakirjandust,0.0032858707557502,0.006269592476489,-90.80459770115286
korterid kortereid korterit,0.0032858707557502,0.006269592476489,-90.80459770115286
erimargistatud kutust kutuse,0.0010952902519167,0.0031347962382445,-186.206896551738
muundatud geneetiliselt gmo,0.0010952902519167,0.0031347962382445,-186.206896551738
kirik kiriku maarja,0.0010952902519167,0.0031347962382445,-186.206896551738
riigipuha puhade tahtpaevade,0.0010952902519167,0.0031347962382445,-186.206896551738
apteeke apteegid apteekide,0.0010952902519167,0.0031347962382445,-186.206896551738
poolte kokkuleppel huvitise,0.0010952902519167,0.0031347962382445,-186.206896551738
ooteala piiriuletuse piiripunkti,0.0010952902519167,0.0031347962382445,-186.206896551738
keskkonnaameti uhendamine uhendamise,0.0010952902519167,0.0031347962382445,-186.206896551738
valimisea valimisiga valimisoiguse,0.0010952902519167,0.0031347962382445,-186.206896551738
teede teehoiuks teedele,0.0010952902519167,0.0031347962382445,-186.206896551738
omandireformi tagastatud omandireform,0.0010952902519167,0.0031347962382445,-186.206896551738
valimisliitude volikogusse volikokku,0.008762322015334,0.012539184952978,-43.10344827586248
lipu laevu kaubalaeva,0.004381161007667,0.006269592476489,-43.10344827586248
otsevalimise presidenti presidendi,0.004381161007667,0.006269592476489,-43.10344827586248
palgatousu opetajate palgatous,0.004381161007667,0.006269592476489,-43.10344827586248
eelarvele kulude riigieelarvele,0.004381161007667,0.006269592476489,-43.10344827586248
untso missioonide liikmesusest,0.0021905805038335,0.0031347962382445,-43.10344827586248
tsernoboli represseeritud oigusvastaselt,0.0021905805038335,0.0031347962382445,-43.10344827586248
kauguhendus avaksite ettekandjalt,0.0021905805038335,0.0031347962382445,-43.10344827586248
ts parvlaeva parvlaevad,0.0021905805038335,0.0031347962382445,-43.10344827586248
kutsehariduse kutseharidus kutsehariduses,0.0021905805038335,0.0031347962382445,-43.10344827586248
pealinnast tallinnast viljandisse,0.0032858707557502,0.0031347962382445,4.597701149423571
riigireformi riigireformist riigireform,0.0065717415115005,0.006269592476489,4.597701149425019
etv saateid pbk,0.0076670317634173,0.006269592476489,18.22660098522198
valispoliitika valispoliitikas diplomaatia,0.004381161007667,0.0031347962382445,28.448275862068762
kohtunike kohtususteem kohtuniku,0.0120481927710843,0.0094043887147335,21.94357366771171
oigusriik oigusriigi oigusriigist,0.008762322015334,0.006269592476489,28.448275862068762
pohiseadusega riigikohus oiguskantsler,0.0054764512595837,0.0031347962382445,42.75862068965449
teadus teaduse arendustegevuse,0.0054764512595837,0.0031347962382445,42.75862068965449
tulumaksuvaba maksususteemi tulumaksu,0.0098576122672508,0.006269592476489,36.39846743295033
opositsioonis koalitsiooni opositsiooni,0.0142387732749178,0.0094043887147335,33.95225464190987
lahususe voimude lahusus,0.0065717415115005,0.0031347962382445,52.29885057471251
haale valimispaeval valimiste,0.0065717415115005,0.0031347962382445,52.29885057471251
missiooni missioonile missioon,0.0065717415115005,0.0031347962382445,52.29885057471251
kodakondsust kodakondsuse kodanikuks,0.0109529025191675,0.006269592476489,42.75862068965501
palgalohe soolist meeste,0.0120481927710843,0.006269592476489,47.96238244514114
prokuratuur prokuratuuri prokuror,0.0076670317634173,0.0031347962382445,59.11330049261099
leping ratifitseerida lepinguga,0.0076670317634173,0.0031347962382445,59.11330049261099
piirilepingu piirileping piirilepingut,0.0076670317634173,0.0031347962382445,59.11330049261099
vallaga vald sauga,0.0240963855421686,0.0156739811912225,34.952978056426424
loomi loomade loomad,0.013143483023001,0.006269592476489,52.29885057471251
jarviku jarvik maaeluministri,0.0109529025191675,0.0031347962382445,71.3793103448275
eelarves riigieelarves reservist,0.0120481927710843,0.0031347962382445,73.98119122257057
piima toorpiima toodangut,0.013143483023001,0.0031347962382445,76.14942528735624
elamisluba elamisloa viisa,0.0142387732749178,0.0031347962382445,77.98408488063663
