topic_words3,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,difference
metsa metsade mets,0.0144752714113389,0.0478821362799263,-230.78575813382565
valispoliitika valispoliitikas diplomaatia,0.0024125452352231,0.0239410681399631,-892.3572744014953
eriarstide eriarstiabi eriarsti,0.0096501809408926,0.0294659300184162,-205.34069981583917
rail trassi balticu,0.0132689987937273,0.0331491712707182,-149.82420894023238
skais arendused infosusteemide,0.0036188178528347,0.0165745856353591,-358.01104972376163
prokuratuur prokuratuuri prokuror,0.0036188178528347,0.0165745856353591,-358.01104972376163
palgalohe soolist meeste,0.0012062726176115,0.012891344383057,-968.6924493554965
iive sundimus iibe,0.0024125452352231,0.012891344383057,-434.34622467772607
kinnisasja maad maa,0.0024125452352231,0.012891344383057,-434.34622467772607
hooldekodus hoolduse hooldekodu,0.0012062726176115,0.011049723756906,-816.0220994475685
pollumeestele pollumehi pollumehed,0.0036188178528347,0.012891344383057,-256.2308164518124
riigipalgaliste riigisektoris koondada,0.0012062726176115,0.009208103130755,-663.3517495396402
karistuse karistus tingimisi,0.008443908323281,0.0184162062615101,-118.10049986845692
kantsler kantsleri riigisekretar,0.0024125452352231,0.009208103130755,-281.6758747698043
lahususe voimude lahusus,0.0024125452352231,0.009208103130755,-281.6758747698043
vaikesaarte saarte pusiasustusega,0.0012062726176115,0.007366482504604,-510.6813996317123
missiooni missioonile missioon,0.0012062726176115,0.007366482504604,-510.6813996317123
teenuseid teenused teenust,0.0012062726176115,0.007366482504604,-510.6813996317123
vanemahuvitist vanemahuvitise vanemahuvitis,0.0012062726176115,0.007366482504604,-510.6813996317123
eelarves riigieelarves reservist,0.008443908323281,0.0165745856353591,-96.29044988161138
miili baasvorgu lairiba,0.0012062726176115,0.005524861878453,-358.01104972378425
oigusriik oigusriigi oigusriigist,0.0012062726176115,0.005524861878453,-358.01104972378425
hadaolukorda eriolukord eriolukorra,0.0012062726176115,0.005524861878453,-358.01104972378425
magustatud suhkrut joogi,0.0036188178528347,0.009208103130755,-154.450583179866
oigusloome oigusloomes oiguspoliitika,0.0024125452352231,0.007366482504604,-205.34069981584344
riigireformi riigireformist riigireform,0.008443908323281,0.0147329650092081,-74.4803998947658
vagivallale vihakone ohutamine,0.0060313630880579,0.011049723756906,-83.20441988950152
toovoimereformi toovoimega toovoimereform,0.0048250904704463,0.009208103130755,-90.8379373848982
palgatousu opetajate palgatous,0.0036188178528347,0.007366482504604,-103.56046654389282
slovakkia ungari portugal,0.0036188178528347,0.007366482504604,-103.56046654389282
pohiseadusega riigikohus oiguskantsler,0.0036188178528347,0.007366482504604,-103.56046654389282
soita jalakaija konniteel,0.0024125452352231,0.005524861878453,-129.0055248618826
teekasutustasu autode autod,0.0024125452352231,0.005524861878453,-129.0055248618826
ts parvlaeva parvlaevad,0.0024125452352231,0.005524861878453,-129.0055248618826
psuhhiaatri alaealine psuhhiaatrilist,0.0024125452352231,0.005524861878453,-129.0055248618826
direktiivi direktiiv ulevotmise,0.0012062726176115,0.003683241252302,-205.34069981585614
piima toorpiima toodangut,0.0012062726176115,0.003683241252302,-205.34069981585614
kohtutaiturite kohtutaitur kohtutaituri,0.0012062726176115,0.003683241252302,-205.34069981585614
valimiskomisjon proteste valimiskasti,0.0012062726176115,0.003683241252302,-205.34069981585614
valismaale valjarande valjaranne,0.0012062726176115,0.003683241252302,-205.34069981585614
kaasne lisakulutusi riigieelarvele,0.0012062726176115,0.003683241252302,-205.34069981585614
ametiuhingute tooandjate keskliit,0.0012062726176115,0.003683241252302,-205.34069981585614
vabatahtlike komandode paasteameti,0.0012062726176115,0.003683241252302,-205.34069981585614
liitlaste ohutorje keskmaa,0.0012062726176115,0.003683241252302,-205.34069981585614
muundatud geneetiliselt gmo,0.0012062726176115,0.003683241252302,-205.34069981585614
taanis saksamaal hollandis,0.0072376357056694,0.011049723756906,-52.670349907919636
arengufond arengufondi arengufondis,0.0060313630880579,0.009208103130755,-52.67034990791791
apteeke apteegid apteekide,0.0048250904704463,0.007366482504604,-52.67034990791857
kaitseliit kaitseliidule kaitseliidu,0.0048250904704463,0.007366482504604,-52.67034990791857
lasteaia lasteaias lasteaiakoha,0.0036188178528347,0.005524861878453,-52.670349907919636
leping ratifitseerida lepinguga,0.0024125452352231,0.003683241252302,-52.67034990792172
lae korgepalgaliste lagi,0.0024125452352231,0.003683241252302,-52.67034990792172
pagulasi pagulased pagulaste,0.0024125452352231,0.003683241252302,-52.67034990792172
kandidaadi kandidaati kandidaat,0.0024125452352231,0.003683241252302,-52.67034990792172
