topic_words3,Eesti Vabaerakonna fraktsioon,Isamaa,difference
alkoholi kange lahja,0.0193003618817852,0.0846394984326018,-338.53840125392
metsa metsade mets,0.0144752714113389,0.0626959247648902,-333.1243469174517
hanke hankija riigihangete,0.008443908323281,0.0438871473354232,-419.7492163009443
aituma infotundi jahimehed,0.0012062726176115,0.0282131661442006,-2238.871473354385
vaikesaarte saarte pusiasustusega,0.0012062726176115,0.0219435736677116,-1719.1222570534126
kinnisasja maad maa,0.0024125452352231,0.018808777429467,-679.6238244514267
ametiuhingute tooandjate keskliit,0.0012062726176115,0.0156739811912225,-1199.3730407524317
maksuamet tolliamet tolliameti,0.0048250904704463,0.018808777429467,-289.8119122257052
terviseandmed isikuandmeid terviseandmeid,0.0096501809408926,0.0250783699059561,-159.87460815047123
karistuse karistus tingimisi,0.008443908323281,0.0219435736677116,-159.87460815047214
teekasutustasu autode autod,0.0024125452352231,0.012539184952978,-419.7492163009511
direktiivi direktiiv ulevotmise,0.0012062726176115,0.0094043887147335,-679.6238244514591
valismaale valjarande valjaranne,0.0012062726176115,0.0094043887147335,-679.6238244514591
soita jalakaija konniteel,0.0024125452352231,0.0094043887147335,-289.81191222571334
annetused annetusi annetuste,0.0024125452352231,0.0094043887147335,-289.81191222571334
tapsustatakse ajakohastatakse nouete,0.0024125452352231,0.0094043887147335,-289.81191222571334
kantsler kantsleri riigisekretar,0.0024125452352231,0.0094043887147335,-289.81191222571334
uhistranspordi uhistransport uhistransporti,0.0024125452352231,0.0094043887147335,-289.81191222571334
toonadalal istungid taiendaval,0.0048250904704463,0.012539184952978,-159.87460815047018
vanemahuvitist vanemahuvitise vanemahuvitis,0.0012062726176115,0.006269592476489,-419.7492163009727
eelarvele kulude riigieelarvele,0.0012062726176115,0.006269592476489,-419.7492163009727
palgalohe soolist meeste,0.0012062726176115,0.006269592476489,-419.7492163009727
kohtutaiturite kohtutaitur kohtutaituri,0.0012062726176115,0.006269592476489,-419.7492163009727
riigiloivude riigiloivud riigiloivu,0.0012062726176115,0.006269592476489,-419.7492163009727
korterid kortereid korterit,0.0012062726176115,0.006269592476489,-419.7492163009727
miili baasvorgu lairiba,0.0012062726176115,0.006269592476489,-419.7492163009727
korterelamute kortermajade kredexi,0.0012062726176115,0.006269592476489,-419.7492163009727
oigusriik oigusriigi oigusriigist,0.0012062726176115,0.006269592476489,-419.7492163009727
ootuse oigusparase oiguskindluse,0.0012062726176115,0.006269592476489,-419.7492163009727
lng terminali gaasi,0.0012062726176115,0.006269592476489,-419.7492163009727
magustatud suhkrut joogi,0.0036188178528347,0.0094043887147335,-159.87460815047194
abielu kooselu samasooliste,0.0036188178528347,0.0094043887147335,-159.87460815047194
arengufond arengufondi arengufondis,0.0060313630880579,0.012539184952978,-107.8996865203753
reklaami reklaam alkoholireklaam,0.008443908323281,0.0156739811912225,-85.62472010747926
planeeringu keskkonnamoju keskkonnamojude,0.0024125452352231,0.006269592476489,-159.87460815047555
oigusloome oigusloomes oiguspoliitika,0.0024125452352231,0.006269592476489,-159.87460815047555
maavalitsuste maavalitsused maakonna,0.0193003618817852,0.0250783699059561,-29.93730407523562
treenerite spordi sport,0.0012062726176115,0.0031347962382445,-159.87460815048635
valimisea valimisiga valimisoiguse,0.0012062726176115,0.0031347962382445,-159.87460815048635
tooandja tooandjal tootaja,0.0012062726176115,0.0031347962382445,-159.87460815048635
piima toorpiima toodangut,0.0012062726176115,0.0031347962382445,-159.87460815048635
muundatud geneetiliselt gmo,0.0012062726176115,0.0031347962382445,-159.87460815048635
missiooni missioonile missioon,0.0012062726176115,0.0031347962382445,-159.87460815048635
teenistuse teenistuses avalikus,0.0012062726176115,0.0031347962382445,-159.87460815048635
kauguhendus avaksite ettekandjalt,0.0012062726176115,0.0031347962382445,-159.87460815048635
