topic_words3,Fraktsioonitud,Keskerakond,difference
vagivallale vihakone ohutamine,0.011049723756906,0.0438184663536776,-296.55712050078506
haale valimispaeval valimiste,0.001841620626151,0.0266040688575899,-1344.6009389671417
soita jalakaija konniteel,0.005524861878453,0.0219092331768388,-296.55712050078506
magustatud suhkrut joogi,0.009208103130755,0.0266040688575899,-188.92018779342837
tulumaksuvaba maksususteemi tulumaksu,0.001841620626151,0.0140845070422535,-664.7887323943704
rahvuse rahvust rahvusriik,0.005524861878453,0.0156494522691705,-183.25508607198802
maavalitsuste maavalitsused maakonna,0.009208103130755,0.0203442879499217,-120.93896713615122
teekasutustasu autode autod,0.005524861878453,0.0140845070422535,-154.92957746479013
maksuamet tolliamet tolliameti,0.003683241252302,0.0109546165884194,-197.4178403755888
valijate erakonda valijaid,0.003683241252302,0.0109546165884194,-197.4178403755888
hanke hankija riigihangete,0.001841620626151,0.0078247261345852,-324.8826291079793
lapsetoetust lapsetoetus lapsetoetuse,0.001841620626151,0.0078247261345852,-324.8826291079793
pensionitous pensionitousu pension,0.001841620626151,0.0062597809076682,-239.90610328638562
alkoholi kange lahja,0.012891344383057,0.0203442879499217,-57.81354795439372
kandidaadi kandidaati kandidaat,0.003683241252302,0.0078247261345852,-112.44131455398967
loomi loomade loomad,0.011049723756906,0.0172143974960876,-55.79029733959388
krimmi agressiooni ukraina,0.007366482504604,0.0125195618153364,-69.95305164319282
objekti anu raua,0.001841620626151,0.0046948356807511,-154.92957746478652
majandusaasta koondaruanne raamatupidamise,0.001841620626151,0.0046948356807511,-154.92957746478652
opositsiooni koalitsioonil opositsioonil,0.001841620626151,0.0046948356807511,-154.92957746478652
korrata stenogrammist vabandan,0.001841620626151,0.0046948356807511,-154.92957746478652
toonadalal istungid taiendaval,0.001841620626151,0.0046948356807511,-154.92957746478652
kohtunike kohtususteem kohtuniku,0.007366482504604,0.0109546165884194,-48.708920187794405
leping ratifitseerida lepinguga,0.003683241252302,0.0062597809076682,-69.95305164319282
piima toorpiima toodangut,0.003683241252302,0.0062597809076682,-69.95305164319282
direktiivi direktiiv ulevotmise,0.003683241252302,0.0062597809076682,-69.95305164319282
riigiabi komisjonilt loa,0.005524861878453,0.0078247261345852,-41.6275430359931
borsile ipo enefit,0.001841620626151,0.0031298904538341,-69.95305164319282
korterelamute kortermajade kredexi,0.001841620626151,0.0031298904538341,-69.95305164319282
pensionifondide pensionifondid fondid,0.001841620626151,0.0031298904538341,-69.95305164319282
kaibemaksu kaibemaks kaibemaksumaara,0.001841620626151,0.0031298904538341,-69.95305164319282
katteallikas katteallikaid katteallikat,0.001841620626151,0.0031298904538341,-69.95305164319282
kodakondsust kodakondsuse kodanikuks,0.001841620626151,0.0031298904538341,-69.95305164319282
etv saateid pbk,0.001841620626151,0.0031298904538341,-69.95305164319282
rail trassi balticu,0.0331491712707182,0.0375586854460093,-13.302034428794823
pohiseadusega riigikohus oiguskantsler,0.007366482504604,0.0093896713615023,-27.46478873239463
huvigruppe huvigruppide kaasatud,0.009208103130755,0.0109546165884194,-18.967136150235532
aasia aasias saatkonna,0.003683241252302,0.0046948356807511,-27.464788732393263
reklaami reklaam alkoholireklaam,0.003683241252302,0.0046948356807511,-27.464788732393263
tulubaasi tasandusfondi tulumaksuosa,0.003683241252302,0.0046948356807511,-27.464788732393263
teadus teaduse arendustegevuse,0.003683241252302,0.0046948356807511,-27.464788732393263
valimiskomisjon proteste valimiskasti,0.003683241252302,0.0046948356807511,-27.464788732393263
virumaale virumaa toostusalade,0.003683241252302,0.0046948356807511,-27.464788732393263
hoone rkas hoonet,0.003683241252302,0.0046948356807511,-27.464788732393263
koolis kooli opilased,0.0257826887661141,0.028169014084507,-9.25553319919535
opositsioonis koalitsiooni opositsiooni,0.011049723756906,0.0125195618153364,-13.302034428795201
palgalohe soolist meeste,0.012891344383057,0.0140845070422535,-9.255533199195776
ulejaagis struktuurses struktuurse,0.012891344383057,0.0140845070422535,-9.255533199195776
uuring uuringut uuringu,0.005524861878453,0.0062597809076682,-13.302034428795201
miili baasvorgu lairiba,0.005524861878453,0.0062597809076682,-13.302034428795201
otsevalimise presidenti presidendi,0.005524861878453,0.0062597809076682,-13.302034428795201
slovakkia ungari portugal,0.007366482504604,0.0078247261345852,-6.22065727699483
valimisliitude volikogusse volikokku,0.0276243093922651,0.028169014084507,-1.9718309859156946
riigireformi riigireformist riigireform,0.0147329650092081,0.0140845070422535,4.401408450704346
suuria euroopasse turgis,0.001841620626151,0.001564945226917,15.023474178406302
treenerite spordi sport,0.001841620626151,0.001564945226917,15.023474178406302
louis freeh kremli,0.001841620626151,0.001564945226917,15.023474178406302
vagivalla naistevastase perevagivalla,0.001841620626151,0.001564945226917,15.023474178406302
valimisea valimisiga valimisoiguse,0.001841620626151,0.001564945226917,15.023474178406302
id mobiil kaardi,0.001841620626151,0.001564945226917,15.023474178406302
ajakirjandus ajakirjanduse ajakirjandust,0.001841620626151,0.001564945226917,15.023474178406302
kandidaati kandidaat valituks,0.001841620626151,0.001564945226917,15.023474178406302
hoiu pangad pankade,0.001841620626151,0.001564945226917,15.023474178406302
hambaravi hammaste hambad,0.001841620626151,0.001564945226917,15.023474178406302
koolilouna koolitoidu koolitoit,0.001841620626151,0.001564945226917,15.023474178406302
ootuse oigusparase oiguskindluse,0.001841620626151,0.001564945226917,15.023474178406302
karistuse karistus tingimisi,0.0184162062615101,0.0172143974960876,6.525821596244176
planeeringu keskkonnamoju keskkonnamojude,0.003683241252302,0.0031298904538341,15.023474178403593
valismaale valjarande valjaranne,0.003683241252302,0.0031298904538341,15.023474178403593
terviseandmed isikuandmeid terviseandmeid,0.003683241252302,0.0031298904538341,15.023474178403593
uhistranspordi uhistransport uhistransporti,0.003683241252302,0.0031298904538341,15.023474178403593
pagulasi pagulased pagulaste,0.003683241252302,0.0031298904538341,15.023474178403593
lasteaia lasteaias lasteaiakoha,0.005524861878453,0.0046948356807511,15.023474178404497
moisteid moiste moisted,0.011049723756906,0.0093896713615023,15.023474178403587
vallaga vald sauga,0.0349907918968692,0.0312989045383411,10.551025450951357
arengukavad arengukavade pohialuste,0.009208103130755,0.0062597809076682,32.01877934272287
eelarves riigieelarves reservist,0.0165745856353591,0.0125195618153364,24.465310380803658
