topic_words3,Fraktsioonitud,Sotsiaaldemokraadid,difference
koolis kooli opilased,0.0257826887661141,0.0940325497287522,-264.7119607336615
palgalohe soolist meeste,0.012891344383057,0.0542495479204339,-320.8214931542259
alkoholi kange lahja,0.012891344383057,0.0524412296564195,-306.79411004908553
loomi loomade loomad,0.011049723756906,0.0433996383363472,-292.76672694394483
reklaami reklaam alkoholireklaam,0.003683241252302,0.0162748643761302,-341.86256781193805
vanemahuvitist vanemahuvitise vanemahuvitis,0.007366482504604,0.0198915009041591,-170.0271247739617
oppelaenu sugava puudega,0.009208103130755,0.0180831826401446,-96.38336347197175
vagivalla naistevastase perevagivalla,0.001841620626151,0.0072332730560578,-292.76672694394125
koolilouna koolitoidu koolitoit,0.001841620626151,0.0072332730560578,-292.76672694394125
soita jalakaija konniteel,0.005524861878453,0.0126582278481012,-129.1139240506333
virumaale virumaa toostusalade,0.003683241252302,0.0090415913200723,-145.47920433996467
metsa metsade mets,0.0478821362799263,0.0614828209764918,-28.404506885519492
huvigruppe huvigruppide kaasatud,0.009208103130755,0.0162748643761302,-76.74502712477522
uuring uuringut uuringu,0.005524861878453,0.0108499095840868,-96.38336347197244
lapsetoetust lapsetoetus lapsetoetuse,0.001841620626151,0.0054249547920434,-194.57504520795868
jaatmeid liigiti prugi,0.001841620626151,0.0054249547920434,-194.57504520795868
poolte kokkuleppel huvitise,0.001841620626151,0.0054249547920434,-194.57504520795868
opositsiooni koalitsioonil opositsioonil,0.001841620626151,0.0054249547920434,-194.57504520795868
etv saateid pbk,0.001841620626151,0.0054249547920434,-194.57504520795868
treenerite spordi sport,0.001841620626151,0.0054249547920434,-194.57504520795868
joustumine joustuma joustada,0.009208103130755,0.0144665461121157,-57.10669077757762
lasteaia lasteaias lasteaiakoha,0.005524861878453,0.0090415913200723,-63.65280289330977
psuhhiaatri alaealine psuhhiaatrilist,0.005524861878453,0.0090415913200723,-63.65280289330977
missiooni missioonile missioon,0.007366482504604,0.0108499095840868,-47.28752260397934
tulumaksuvaba maksususteemi tulumaksu,0.001841620626151,0.0036166365280289,-96.38336347197065
pealinnast tallinnast viljandisse,0.001841620626151,0.0036166365280289,-96.38336347197065
riigimetsa majandamise noukokku,0.001841620626151,0.0036166365280289,-96.38336347197065
hambaravi hammaste hambad,0.001841620626151,0.0036166365280289,-96.38336347197065
pensionifondide pensionifondid fondid,0.001841620626151,0.0036166365280289,-96.38336347197065
hoiu pangad pankade,0.001841620626151,0.0036166365280289,-96.38336347197065
arengukavad arengukavade pohialuste,0.009208103130755,0.0126582278481012,-37.46835443038
taanis saksamaal hollandis,0.011049723756906,0.0144665461121157,-30.922242314648003
kinnisasja maad maa,0.012891344383057,0.0162748643761302,-26.246447946268002
teadus teaduse arendustegevuse,0.003683241252302,0.0054249547920434,-47.28752260397934
elamisluba elamisloa viisa,0.003683241252302,0.0054249547920434,-47.28752260397934
piima toorpiima toodangut,0.003683241252302,0.0054249547920434,-47.28752260397934
pensioni pension sammas,0.003683241252302,0.0054249547920434,-47.28752260397934
rahvuse rahvust rahvusriik,0.005524861878453,0.0072332730560578,-30.922242314647093
korrata stenogrammist vabandan,0.001841620626151,0.0018083182640144,1.8083182640173945
tootuna arvele ariuhingu,0.001841620626151,0.0018083182640144,1.8083182640173945
korterelamute kortermajade kredexi,0.001841620626151,0.0018083182640144,1.8083182640173945
haale valimispaeval valimiste,0.001841620626151,0.0018083182640144,1.8083182640173945
kodakondsust kodakondsuse kodanikuks,0.001841620626151,0.0018083182640144,1.8083182640173945
viirust vaktsineeritud viiruse,0.001841620626151,0.0018083182640144,1.8083182640173945
pensionitous pensionitousu pension,0.001841620626151,0.0018083182640144,1.8083182640173945
eelarvele kulude riigieelarvele,0.001841620626151,0.0018083182640144,1.8083182640173945
jahimehed jahimeeste jahti,0.001841620626151,0.0018083182640144,1.8083182640173945
objekti anu raua,0.001841620626151,0.0018083182640144,1.8083182640173945
ootuse oigusparase oiguskindluse,0.001841620626151,0.0018083182640144,1.8083182640173945
ajakirjandus ajakirjanduse ajakirjandust,0.001841620626151,0.0018083182640144,1.8083182640173945
kaibemaksu kaibemaks kaibemaksumaara,0.001841620626151,0.0018083182640144,1.8083182640173945
lae korgepalgaliste lagi,0.003683241252302,0.0036166365280289,1.8083182640146744
direktiivi direktiiv ulevotmise,0.003683241252302,0.0036166365280289,1.8083182640146744
valijate erakonda valijaid,0.003683241252302,0.0036166365280289,1.8083182640146744
uhistranspordi uhistransport uhistransporti,0.003683241252302,0.0036166365280289,1.8083182640146744
kusimusena tahtsa tahtsusega,0.003683241252302,0.0036166365280289,1.8083182640146744
leping ratifitseerida lepinguga,0.003683241252302,0.0036166365280289,1.8083182640146744
ametiuhingute tooandjate keskliit,0.003683241252302,0.0036166365280289,1.8083182640146744
oigusriik oigusriigi oigusriigist,0.005524861878453,0.0054249547920434,1.8083182640137836
tulubaasi omavalitsustele omavalitsuste,0.005524861878453,0.0054249547920434,1.8083182640137836
salvestisi salvestised salvestiste,0.007366482504604,0.0072332730560578,1.8083182640146744
arengufond arengufondi arengufondis,0.009208103130755,0.0090415913200723,1.808318264014126
magustatud suhkrut joogi,0.009208103130755,0.0090415913200723,1.808318264014126
vagivallale vihakone ohutamine,0.011049723756906,0.0108499095840868,1.8083182640137836
pohiseadusega riigikohus oiguskantsler,0.007366482504604,0.0054249547920434,26.35623869801033
miili baasvorgu lairiba,0.005524861878453,0.0036166365280289,34.53887884267645
teekasutustasu autode autod,0.005524861878453,0.0036166365280289,34.53887884267645
tooandja tervisesse maksuvabalt,0.005524861878453,0.0036166365280289,34.53887884267645
kandideerima ametikohale kandidaatide,0.003683241252302,0.0018083182640144,50.9041591320087
valimiskomisjon proteste valimiskasti,0.003683241252302,0.0018083182640144,50.9041591320087
terviseandmed isikuandmeid terviseandmeid,0.003683241252302,0.0018083182640144,50.9041591320087
hoone rkas hoonet,0.003683241252302,0.0018083182640144,50.9041591320087
aasia aasias saatkonna,0.003683241252302,0.0018083182640144,50.9041591320087
liitlaste ohutorje keskmaa,0.003683241252302,0.0018083182640144,50.9041591320087
maksuamet tolliamet tolliameti,0.003683241252302,0.0018083182640144,50.9041591320087
kandidaadi kandidaati kandidaat,0.003683241252302,0.0018083182640144,50.9041591320087
hooldekodus hoolduse hooldekodu,0.011049723756906,0.0072332730560578,34.53887884267645
maavalitsuste maavalitsused maakonna,0.009208103130755,0.0054249547920434,41.08499095840826
krimmi agressiooni ukraina,0.007366482504604,0.0036166365280289,50.904159132007344
kaitseliit kaitseliidule kaitseliidu,0.007366482504604,0.0036166365280289,50.904159132007344
kohtunike kohtususteem kohtuniku,0.007366482504604,0.0036166365280289,50.904159132007344
palgatousu opetajate palgatous,0.007366482504604,0.0036166365280289,50.904159132007344
apteeke apteegid apteekide,0.007366482504604,0.0036166365280289,50.904159132007344
slovakkia ungari portugal,0.007366482504604,0.0036166365280289,50.904159132007344
elektri elektrit taastuvenergia,0.0147329650092081,0.0090415913200723,38.63019891500925
riigireformi riigireformist riigireform,0.0147329650092081,0.0090415913200723,38.63019891500925
hadaolukorda eriolukord eriolukorra,0.005524861878453,0.0018083182640144,67.26943942133914
ts parvlaeva parvlaevad,0.005524861878453,0.0018083182640144,67.26943942133914
otsevalimise presidenti presidendi,0.005524861878453,0.0018083182640144,67.26943942133914
kohanimenoukogu vonnu mulgi,0.005524861878453,0.0018083182640144,67.26943942133914
opositsioonis koalitsiooni opositsiooni,0.011049723756906,0.0054249547920434,50.90415913200689
toovoimereformi toovoimega toovoimereform,0.009208103130755,0.0036166365280289,60.72332730560587
oigusloome oigusloomes oiguspoliitika,0.007366482504604,0.0018083182640144,75.45207956600434
noukogudesse ariuhingute noukogudes,0.007366482504604,0.0018083182640144,75.45207956600434
normitehnika mojude eeskiri,0.007366482504604,0.0018083182640144,75.45207956600434
vaikesaarte saarte pusiasustusega,0.007366482504604,0.0018083182640144,75.45207956600434
valimisliitude volikogusse volikokku,0.0276243093922651,0.0162748643761302,41.084990958408476
moisteid moiste moisted,0.011049723756906,0.0036166365280289,67.26943942133823
kantsler kantsleri riigisekretar,0.009208103130755,0.0018083182640144,80.36166365280347
lahususe voimude lahusus,0.009208103130755,0.0018083182640144,80.36166365280347
pollumeestele pollumehi pollumehed,0.012891344383057,0.0036166365280289,71.94523378971849
iive sundimus iibe,0.012891344383057,0.0036166365280289,71.94523378971849
samba sammas sambasse,0.012891344383057,0.0018083182640144,85.97261689485963
eelarves riigieelarves reservist,0.0165745856353591,0.0036166365280289,78.1796262808923
prokuratuur prokuratuuri prokuror,0.0165745856353591,0.0018083182640144,89.08981314044644
karistuse karistus tingimisi,0.0184162062615101,0.0036166365280289,80.36166365280305
eriarstide eriarstiabi eriarsti,0.0294659300184162,0.0090415913200723,69.31509945750463
valispoliitika valispoliitikas diplomaatia,0.0239410681399631,0.0036166365280289,84.89358742523308
rail trassi balticu,0.0331491712707182,0.0054249547920434,83.63471971066907
vallaga vald sauga,0.0349907918968692,0.0054249547920434,84.4960502522128
skais arendused infosusteemide,0.0165745856353591,0.0,100.0
ulejaagis struktuurses struktuurse,0.012891344383057,0.0,100.0
riigipalgaliste riigisektoris koondada,0.009208103130755,0.0,100.0
kala kalurid kalurite,0.007366482504604,0.0,100.0
teenuseid teenused teenust,0.007366482504604,0.0,100.0
riigiabi komisjonilt loa,0.005524861878453,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.005524861878453,0.0,100.0
jarviku jarvik maaeluministri,0.003683241252302,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.003683241252302,0.0,100.0
pagulasi pagulased pagulaste,0.003683241252302,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.003683241252302,0.0,100.0
riigikontrolli auditi auditit,0.003683241252302,0.0,100.0
ametipalkade riigiteenijate korgemate,0.003683241252302,0.0,100.0
planeeringu keskkonnamoju keskkonnamojude,0.003683241252302,0.0,100.0
tervist tervis tervisega,0.003683241252302,0.0,100.0
