topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,difference
valimisliitude volikogusse volikokku,0.0014409221902017,0.0882740447957839,-6026.218708827526
teadus teaduse arendustegevuse,0.0028818443804034,0.0223978919631093,-677.2068511199084
kirik kiriku maarja,0.0028818443804034,0.0184453227931488,-540.0527009222764
vallaga vald sauga,0.0014409221902017,0.0158102766798418,-997.233201581043
pealinnast tallinnast viljandisse,0.0014409221902017,0.0131752305665349,-814.3610013175405
normitehnika mojude eeskiri,0.0028818443804034,0.0144927536231884,-402.89855072464775
terviseandmed isikuandmeid terviseandmeid,0.0028818443804034,0.0131752305665349,-357.1805006587703
noukogudesse ariuhingute noukogudes,0.0014409221902017,0.0105401844532279,-631.4888010540311
etv saateid pbk,0.0072046109510086,0.0184453227931488,-156.02108036890695
tulubaasi omavalitsustele omavalitsuste,0.0028818443804034,0.0118577075098814,-311.4624505928929
huvigruppe huvigruppide kaasatud,0.0057636887608069,0.0158102766798418,-174.30830039525603
riigikontrolli auditi auditit,0.0014409221902017,0.0092226613965744,-540.0527009222764
riigipalgaliste riigisektoris koondada,0.0014409221902017,0.0092226613965744,-540.0527009222764
kodakondsust kodakondsuse kodanikuks,0.0043227665706051,0.0131752305665349,-204.78700043918016
arengukavad arengukavade pohialuste,0.0043227665706051,0.0131752305665349,-204.78700043918016
riigipuha puhade tahtpaevade,0.0014409221902017,0.0079051383399209,-448.6166007905215
lasteaia lasteaias lasteaiakoha,0.0014409221902017,0.0079051383399209,-448.6166007905215
muuseum muuseumi muuseumide,0.0014409221902017,0.0079051383399209,-448.6166007905215
uuring uuringut uuringu,0.0043227665706051,0.0118577075098814,-174.3083003952619
tulumaksuvaba maksususteemi tulumaksu,0.0043227665706051,0.0118577075098814,-174.3083003952619
arengufond arengufondi arengufondis,0.0028818443804034,0.0092226613965744,-220.02635046113818
uliopilased uliopilastele uliopilaste,0.0115273775216138,0.0210803689064558,-82.87220026350461
tantsupeo laulu traditsiooni,0.0014409221902017,0.0065876152832674,-357.1805006587668
lipu laevu kaubalaeva,0.0028818443804034,0.0079051383399209,-174.30830039526077
ts parvlaeva parvlaevad,0.0014409221902017,0.0052700922266139,-265.7444005270121
koolis kooli opilased,0.0230547550432276,0.0329380764163372,-42.86890645586301
kohtunike kohtususteem kohtuniku,0.0115273775216138,0.0184453227931488,-60.013175230566304
metsa metsade mets,0.0028818443804034,0.0065876152832674,-128.5902503293834
est kavatsuste for,0.0028818443804034,0.0065876152832674,-128.5902503293834
opositsiooni koalitsioonil opositsioonil,0.0028818443804034,0.0065876152832674,-128.5902503293834
valispoliitika valispoliitikas diplomaatia,0.0014409221902017,0.0039525691699604,-174.30830039525736
skais arendused infosusteemide,0.0014409221902017,0.0039525691699604,-174.30830039525736
kusimusena tahtsa tahtsusega,0.0014409221902017,0.0039525691699604,-174.30830039525736
untso missioonide liikmesusest,0.0014409221902017,0.0039525691699604,-174.30830039525736
maksuamet tolliamet tolliameti,0.0014409221902017,0.0039525691699604,-174.30830039525736
ulejaagis struktuurses struktuurse,0.0043227665706051,0.0079051383399209,-82.87220026350717
joustumine joustuma joustada,0.0057636887608069,0.0092226613965744,-60.013175230566304
uhistranspordi uhistransport uhistransporti,0.0028818443804034,0.0052700922266139,-82.87220026350603
kutsehariduse kutseharidus kutsehariduses,0.0043227665706051,0.0065876152832674,-52.39350021958893
vanemahuvitist vanemahuvitise vanemahuvitis,0.0014409221902017,0.0026350461133069,-82.87220026350258
aasia aasias saatkonna,0.0014409221902017,0.0026350461133069,-82.87220026350258
nord stream streami,0.0014409221902017,0.0026350461133069,-82.87220026350258
kinnisasja maad maa,0.0014409221902017,0.0026350461133069,-82.87220026350258
salastatud valisteabe riigisaladuse,0.0014409221902017,0.0026350461133069,-82.87220026350258
erso teatri kontserdi,0.0014409221902017,0.0026350461133069,-82.87220026350258
keskkonnaameti uhendamine uhendamise,0.0014409221902017,0.0026350461133069,-82.87220026350258
kandidaati kandidaat valituks,0.0014409221902017,0.0026350461133069,-82.87220026350258
id mobiil kaardi,0.0014409221902017,0.0026350461133069,-82.87220026350258
hansson ardo panga,0.0014409221902017,0.0026350461133069,-82.87220026350258
ajakirjandus ajakirjanduse ajakirjandust,0.0057636887608069,0.0079051383399209,-37.154150197628006
haale valimispaeval valimiste,0.0072046109510086,0.0092226613965744,-28.010540184453482
taanis saksamaal hollandis,0.0086455331412103,0.0105401844532279,-21.914800175670425
omandireformi tagastatud omandireform,0.0086455331412103,0.0105401844532279,-21.914800175670425
konkurss konkursi konkurssi,0.0028818443804034,0.0039525691699604,-37.15415019762867
teenuseid teenused teenust,0.0028818443804034,0.0039525691699604,-37.15415019762867
toonadalal istungid taiendaval,0.0028818443804034,0.0039525691699604,-37.15415019762867
virumaale virumaa toostusalade,0.0043227665706051,0.0052700922266139,-21.91480017567068
kaitseliit kaitseliidule kaitseliidu,0.0043227665706051,0.0052700922266139,-21.91480017567068
hoone rkas hoonet,0.0043227665706051,0.0052700922266139,-21.91480017567068
borsile ipo enefit,0.0057636887608069,0.0065876152832674,-14.29512516468972
palgatousu opetajate palgatous,0.0086455331412103,0.0092226613965744,-6.6754501537114725
eelarves riigieelarves reservist,0.0100864553314121,0.0105401844532279,-4.4984001505737945
