topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
koolis kooli opilased,0.025,0.0725190839694656,-190.0763358778624
tulumaksuvaba maksususteemi tulumaksu,0.03125,0.0687022900763358,-119.84732824427455
valispoliitika valispoliitikas diplomaatia,0.00625,0.0229007633587786,-266.4122137404577
opositsioonis koalitsiooni opositsiooni,0.0125,0.0267175572519083,-113.74045801526637
tulubaasi omavalitsustele omavalitsuste,0.00625,0.0114503816793893,-83.20610687022881
opositsiooni koalitsioonil opositsioonil,0.00625,0.0114503816793893,-83.20610687022881
kodakondsust kodakondsuse kodanikuks,0.00625,0.0114503816793893,-83.20610687022881
huvigruppe huvigruppide kaasatud,0.01875,0.0229007633587786,-22.13740458015255
kinnisasja maad maa,0.00625,0.0076335877862595,-22.137404580151994
viirust vaktsineeritud viiruse,0.00625,0.0076335877862595,-22.137404580151994
elamisluba elamisloa viisa,0.00625,0.0076335877862595,-22.137404580151994
lipu laevu kaubalaeva,0.00625,0.0076335877862595,-22.137404580151994
vaesuses suhtelises vaesuse,0.00625,0.0076335877862595,-22.137404580151994
valimisliitude volikogusse volikokku,0.0125,0.0114503816793893,8.3969465648856
pohiseadusega riigikohus oiguskantsler,0.0125,0.0114503816793893,8.3969465648856
uliopilased uliopilastele uliopilaste,0.025,0.0229007633587786,8.3969465648856
virumaale virumaa toostusalade,0.01875,0.015267175572519,18.575063613231997
toonadalal istungid taiendaval,0.01875,0.015267175572519,18.575063613231997
arengukavad arengukavade pohialuste,0.04375,0.0381679389312977,12.758996728462401
kohtunike kohtususteem kohtuniku,0.00625,0.0038167938931297,38.9312977099248
keeleoskust oskuse keeleoskuse,0.00625,0.0038167938931297,38.9312977099248
ajakirjandus ajakirjanduse ajakirjandust,0.00625,0.0038167938931297,38.9312977099248
direktiivi direktiiv ulevotmise,0.00625,0.0038167938931297,38.9312977099248
vanemahuvitist vanemahuvitise vanemahuvitis,0.00625,0.0038167938931297,38.9312977099248
maksuamet tolliamet tolliameti,0.00625,0.0038167938931297,38.9312977099248
psuhhiaatri alaealine psuhhiaatrilist,0.00625,0.0038167938931297,38.9312977099248
reklaami reklaam alkoholireklaam,0.00625,0.0038167938931297,38.9312977099248
oigusriik oigusriigi oigusriigist,0.0125,0.0076335877862595,38.931297709924
ulikooliga kbfi instituudi,0.0125,0.0038167938931297,69.4656488549624
maavalitsuste maavalitsused maakonna,0.0125,0.0038167938931297,69.4656488549624
karistuse karistus tingimisi,0.0125,0.0038167938931297,69.4656488549624
terviseandmed isikuandmeid terviseandmeid,0.01875,0.0076335877862595,59.287531806616
missiooni missioonile missioon,0.01875,0.0076335877862595,59.287531806616
salvestisi salvestised salvestiste,0.01875,0.0076335877862595,59.287531806616
joustumine joustuma joustada,0.01875,0.0076335877862595,59.287531806616
metsa metsade mets,0.01875,0.0038167938931297,79.64376590330826
pollumeestele pollumehi pollumehed,0.01875,0.0038167938931297,79.64376590330826
riigikontrolli auditi auditit,0.025,0.0038167938931297,84.7328244274812
moisteid moiste moisted,0.03125,0.0038167938931297,87.78625954198496
vallaga vald sauga,0.03125,0.0038167938931297,87.78625954198496
krimmi agressiooni ukraina,0.0375,0.0076335877862595,79.64376590330801
teadus teaduse arendustegevuse,0.04375,0.0038167938931297,91.27589967284639
riigireformi riigireformist riigireform,0.06875,0.015267175572519,77.79319916724509
skais arendused infosusteemide,0.025,0.0,100.0
rail trassi balticu,0.025,0.0,100.0
keskkonnaameti uhendamine uhendamise,0.01875,0.0,100.0
kirik kiriku maarja,0.01875,0.0,100.0
