topic_words3,Reformierakond,Sotsiaaldemokraadid,difference
palgatousu opetajate palgatous,0.0077972709551656,0.0383747178329571,-392.1557562076806
loomi loomade loomad,0.0038986354775828,0.0338600451467268,-768.5101580135528
pollumeestele pollumehi pollumehed,0.0009746588693957,0.0225733634311512,-2216.0270880361404
riigireformi riigireformist riigireform,0.0038986354775828,0.0203160270880361,-421.10609480813207
samba sammas sambasse,0.0389863547758284,0.0677200902934537,-73.70203160270901
apteeke apteegid apteekide,0.0058479532163742,0.0225733634311512,-286.0045146726901
arengukavad arengukavade pohialuste,0.0097465886939571,0.0248306997742663,-154.76297968397265
korterelamute kortermajade kredexi,0.0038986354775828,0.0158013544018058,-305.30474040632356
vaesuses suhtelises vaesuse,0.0058479532163742,0.0180586907449209,-208.80361173815106
mes maale maaelu,0.0009746588693957,0.0090293453724604,-826.4108352144481
treenerite spordi sport,0.0058479532163742,0.0158013544018058,-170.2031602708824
pensionitous pensionitousu pension,0.0263157894736842,0.0428893905191873,-62.9796839729118
kantsler kantsleri riigisekretar,0.0019493177387914,0.0090293453724604,-363.205417607224
soita jalakaija konniteel,0.0009746588693957,0.0067720090293453,-594.808126410836
psuhhiaatri alaealine psuhhiaatrilist,0.0009746588693957,0.0067720090293453,-594.808126410836
valimisea valimisiga valimisoiguse,0.0009746588693957,0.0067720090293453,-594.808126410836
huvihariduse huvitegevuse huviharidus,0.0009746588693957,0.0067720090293453,-594.808126410836
metsa metsade mets,0.0009746588693957,0.0067720090293453,-594.808126410836
taanis saksamaal hollandis,0.0009746588693957,0.0067720090293453,-594.808126410836
kirik kiriku maarja,0.0009746588693957,0.0067720090293453,-594.808126410836
lipu laevu kaubalaeva,0.0029239766081871,0.0090293453724604,-208.80361173814936
hoone rkas hoonet,0.0019493177387914,0.0067720090293453,-247.40406320541805
valispoliitika valispoliitikas diplomaatia,0.0019493177387914,0.0067720090293453,-247.40406320541805
kauguhendus avaksite ettekandjalt,0.0019493177387914,0.0067720090293453,-247.40406320541805
liiklussurmade liikluses hukkunute,0.0009746588693957,0.0045146726862302,-363.205417607224
tantsupeo laulu traditsiooni,0.0009746588693957,0.0045146726862302,-363.205417607224
puude raskusastme puuet,0.0009746588693957,0.0045146726862302,-363.205417607224
