topic_words3,Isamaa,Keskerakond,difference
hadaolukorda eriolukord eriolukorra,0.0316091954022988,0.0694143167028199,-119.60165647801242
pensionitous pensionitousu pension,0.0043103448275862,0.0281995661605206,-554.2299349240789
etv saateid pbk,0.0014367816091954,0.0216919739696312,-1409.761388286334
riigiloivude riigiloivud riigiloivu,0.0014367816091954,0.0151843817787418,-956.8329718004311
direktiivi direktiiv ulevotmise,0.0043103448275862,0.0173535791757049,-302.60303687635434
ajakirjandus ajakirjanduse ajakirjandust,0.0028735632183908,0.0130151843817787,-352.92841648589956
krimmi agressiooni ukraina,0.007183908045977,0.0195227765726681,-171.7570498915404
huvigruppe huvigruppide kaasatud,0.007183908045977,0.0173535791757049,-141.5618221258126
ametiuhingute tooandjate keskliit,0.007183908045977,0.0173535791757049,-141.5618221258126
moisteid moiste moisted,0.0028735632183908,0.0108459869848156,-277.4403470715836
katteallikas katteallikaid katteallikat,0.0028735632183908,0.0108459869848156,-277.4403470715836
pohiseadusega riigikohus oiguskantsler,0.0057471264367816,0.0151843817787418,-164.20824295010777
valispoliitika valispoliitikas diplomaatia,0.0043103448275862,0.0130151843817787,-201.95227765726634
deklaratsiooni deklaratsioone deklaratsioonis,0.0014367816091954,0.0086767895878524,-503.90455531452807
haiguspaevade haiguspaevi haiguspaeva,0.014367816091954,0.0260303687635574,-81.17136659435978
koolis kooli opilased,0.0100574712643678,0.0195227765726681,-94.1121784939574
keskkonnaameti uhendamine uhendamise,0.0014367816091954,0.0065075921908893,-352.92841648589604
tootuid tootute tootu,0.0014367816091954,0.0065075921908893,-352.92841648589604
loomi loomade loomad,0.0043103448275862,0.0108459869848156,-151.62689804772234
kandidaati kandidaat valituks,0.0028735632183908,0.0086767895878524,-201.95227765726403
lisaeelarve lisaeelarves lisaeelarvega,0.0100574712643678,0.0173535791757049,-72.5441586612947
salvestisi salvestised salvestiste,0.007183908045977,0.0130151843817787,-81.17136659435978
virumaale virumaa toostusalade,0.0043103448275862,0.0086767895878524,-101.30151843817599
apteeke apteegid apteekide,0.0129310344827586,0.0195227765726681,-50.976138828633545
kinnisasja maad maa,0.0028735632183908,0.0065075921908893,-126.46420824294799
kusimusena tahtsa tahtsusega,0.0014367816091954,0.0043383947939262,-201.95227765726403
tapsustatakse ajakohastatakse nouete,0.0014367816091954,0.0043383947939262,-201.95227765726403
riigireformi riigireformist riigireform,0.0014367816091954,0.0043383947939262,-201.95227765726403
rail trassi balticu,0.0014367816091954,0.0043383947939262,-201.95227765726403
humni humn laulda,0.0014367816091954,0.0043383947939262,-201.95227765726403
otsevalimise presidenti presidendi,0.0014367816091954,0.0043383947939262,-201.95227765726403
koolituse koolitus koolitusele,0.0014367816091954,0.0043383947939262,-201.95227765726403
eriarstide eriarstiabi eriarsti,0.0014367816091954,0.0043383947939262,-201.95227765726403
slovakkia ungari portugal,0.0014367816091954,0.0043383947939262,-201.95227765726403
uuring uuringut uuringu,0.0014367816091954,0.0043383947939262,-201.95227765726403
metsa metsade mets,0.0172413793103448,0.0238611713665943,-38.39479392624717
pollumeestele pollumehi pollumehed,0.0086206896551724,0.0130151843817787,-50.97613882863317
tulubaasi omavalitsustele omavalitsuste,0.007183908045977,0.0108459869848156,-50.9761388286334
kasvavad tuleval kasv,0.0057471264367816,0.0086767895878524,-50.976138828632
teadus teaduse arendustegevuse,0.0057471264367816,0.0086767895878524,-50.976138828632
tarbijakaitse amet ametile,0.0043103448275862,0.0065075921908893,-50.976138828632
hooldekodus hoolduse hooldekodu,0.0028735632183908,0.0043383947939262,-50.976138828632
lng terminali gaasi,0.0028735632183908,0.0043383947939262,-50.976138828632
vallaga vald sauga,0.0014367816091954,0.0021691973969631,-50.976138828632
ugri rahvaste polisrahvaste,0.0014367816091954,0.0021691973969631,-50.976138828632
teekasutustasu autode autod,0.0014367816091954,0.0021691973969631,-50.976138828632
huvihariduse huvitegevuse huviharidus,0.0014367816091954,0.0021691973969631,-50.976138828632
korterid kortereid korterit,0.0014367816091954,0.0021691973969631,-50.976138828632
varude varud varu,0.0014367816091954,0.0021691973969631,-50.976138828632
kinnitamise paevakorra paevakord,0.0014367816091954,0.0021691973969631,-50.976138828632
teede teehoiuks teedele,0.0014367816091954,0.0021691973969631,-50.976138828632
objekti anu raua,0.0014367816091954,0.0021691973969631,-50.976138828632
kulukuse krediidi kiirlaenude,0.0014367816091954,0.0021691973969631,-50.976138828632
annetus erjk annetuse,0.0014367816091954,0.0021691973969631,-50.976138828632
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0014367816091954,0.0021691973969631,-50.976138828632
riigipalgaliste riigisektoris koondada,0.0014367816091954,0.0021691973969631,-50.976138828632
viirust vaktsineeritud viiruse,0.0244252873563218,0.0260303687635574,-6.571392114329294
terviseandmed isikuandmeid terviseandmeid,0.028735632183908,0.0303687635574837,-5.683297180043448
kodakondsust kodakondsuse kodanikuks,0.0057471264367816,0.0065075921908893,-13.232104121474004
riigiabi komisjonilt loa,0.0043103448275862,0.0043383947939262,-0.6507592190879967
rahvuse rahvust rahvusriik,0.0043103448275862,0.0043383947939262,-0.6507592190879967
arengufond arengufondi arengufondis,0.0043103448275862,0.0043383947939262,-0.6507592190879967
kaasne lisakulutusi riigieelarvele,0.0043103448275862,0.0043383947939262,-0.6507592190879967
miili baasvorgu lairiba,0.0043103448275862,0.0043383947939262,-0.6507592190879967
opositsioonis koalitsiooni opositsiooni,0.0158045977011494,0.0151843817787418,3.924275290869903
lasteaia lasteaias lasteaiakoha,0.007183908045977,0.0065075921908893,9.414316702820805
id mobiil kaardi,0.0028735632183908,0.0021691973969631,24.511930585684
kaitseliit kaitseliidule kaitseliidu,0.0028735632183908,0.0021691973969631,24.511930585684
kauguhendus avaksite ettekandjalt,0.0028735632183908,0.0021691973969631,24.511930585684
hoone rkas hoonet,0.0028735632183908,0.0021691973969631,24.511930585684
estonian air airi,0.0028735632183908,0.0021691973969631,24.511930585684
teenuseid teenused teenust,0.0028735632183908,0.0021691973969631,24.511930585684
salastatud valisteabe riigisaladuse,0.0028735632183908,0.0021691973969631,24.511930585684
oigusriik oigusriigi oigusriigist,0.0028735632183908,0.0021691973969631,24.511930585684
leping ratifitseerida lepinguga,0.0057471264367816,0.0043383947939262,24.511930585684
majandusaasta koondaruanne raamatupidamise,0.0057471264367816,0.0043383947939262,24.511930585684
mes maale maaelu,0.0057471264367816,0.0043383947939262,24.511930585684
elektri elektrit taastuvenergia,0.0186781609195402,0.0151843817787418,18.705156015351463
tooandja tooandjal tootaja,0.0043103448275862,0.0021691973969631,49.674620390456006
jaatmeid liigiti prugi,0.0043103448275862,0.0021691973969631,49.674620390456006
prokuratuur prokuratuuri prokuror,0.0043103448275862,0.0021691973969631,49.674620390456006
inimarengu aruanne aruandes,0.0043103448275862,0.0021691973969631,49.674620390456006
haale valimispaeval valimiste,0.0043103448275862,0.0021691973969631,49.674620390456006
konkurss konkursi konkurssi,0.0043103448275862,0.0021691973969631,49.674620390456006
maksuamet tolliamet tolliameti,0.0043103448275862,0.0021691973969631,49.674620390456006
rahapesu terrorismi andmeburoo,0.007183908045977,0.0043383947939262,39.609544468547206
pensioni pension sammas,0.007183908045977,0.0043383947939262,39.609544468547206
toonadalal istungid taiendaval,0.0100574712643678,0.0065075921908893,35.29594050201486
valijate erakonda valijaid,0.0057471264367816,0.0021691973969631,62.255965292842
opositsiooni koalitsioonil opositsioonil,0.0057471264367816,0.0021691973969631,62.255965292842
psuhhiaatri alaealine psuhhiaatrilist,0.0057471264367816,0.0021691973969631,62.255965292842
lapsetoetust lapsetoetus lapsetoetuse,0.0057471264367816,0.0021691973969631,62.255965292842
tooandja tervisesse maksuvabalt,0.0057471264367816,0.0021691973969631,62.255965292842
