topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
aasia aasias saatkonna,0.007425742574257425,0.006068487212830516,0.011029411764705883,0.0,0.0008857395925597874,0.0011976047904191617
abielu kooselu samasooliste,0.0,0.0039011703511053317,0.0012254901960784314,0.0,0.0044286979627989375,0.004790419161676647
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.0,0.0,0.0008857395925597874,0.0
aituma infotundi jahimehed,0.0024752475247524753,0.00043346337234503684,0.003676470588235294,0.0,0.0008857395925597874,0.0011976047904191617
ajakirjandus ajakirjanduse ajakirjandust,0.0024752475247524753,0.0039011703511053317,0.0012254901960784314,0.0,0.002657218777679362,0.0011976047904191617
alkoholi kange lahja,0.0024752475247524753,0.004334633723450368,0.0024509803921568627,0.0,0.015057573073516387,0.0
ametipalkade riigiteenijate korgemate,0.0,0.0,0.0012254901960784314,0.0,0.0,0.0
ametiuhingute tooandjate keskliit,0.027227722772277228,0.0039011703511053317,0.003676470588235294,0.0,0.0,0.0023952095808383233
ammendumiseni kaheni pikendada,0.0024752475247524753,0.0013003901170351106,0.0012254901960784314,0.02040816326530612,0.0008857395925597874,0.0
annetus erjk annetuse,0.0024752475247524753,0.002167316861725184,0.003676470588235294,0.061224489795918366,0.001771479185119575,0.009580838323353293
annetused annetusi annetuste,0.0,0.00043346337234503684,0.0012254901960784314,0.0,0.00354295837023915,0.0023952095808383233
apteeke apteegid apteekide,0.0049504950495049506,0.0008669267446900737,0.0024509803921568627,0.0,0.0,0.0
arengufond arengufondi arengufondis,0.0024752475247524753,0.003034243606415258,0.00980392156862745,0.0,0.00354295837023915,0.004790419161676647
arengukavad arengukavade pohialuste,0.009900990099009901,0.010403120936280884,0.030637254901960783,0.0,0.030115146147032774,0.023952095808383235
borsile ipo enefit,0.0,0.002167316861725184,0.003676470588235294,0.0,0.0070859167404783,0.0
danske filiaali rahapesu,0.0024752475247524753,0.004768097095795405,0.0,0.0,0.001771479185119575,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0049504950495049506,0.002600780234070221,0.003676470588235294,0.0,0.001771479185119575,0.0011976047904191617
direktiivi direktiiv ulevotmise,0.007425742574257425,0.011270047680970958,0.004901960784313725,0.0,0.007971656333038087,0.0
eelarvele kulude riigieelarvele,0.007425742574257425,0.002167316861725184,0.0024509803921568627,0.0,0.0008857395925597874,0.0011976047904191617
eelarves riigieelarves reservist,0.017326732673267328,0.011270047680970958,0.01715686274509804,0.0,0.012400354295837024,0.011976047904191617
efsf esm kreekale,0.012376237623762377,0.006935413957520589,0.006127450980392157,0.0,0.0,0.0
elamisluba elamisloa viisa,0.0,0.004768097095795405,0.0012254901960784314,0.0,0.0008857395925597874,0.0
elatisraha elatisabi elatise,0.0,0.0008669267446900737,0.0,0.0,0.0,0.003592814371257485
elektri elektrit taastuvenergia,0.012376237623762377,0.027308192457737322,0.03799019607843137,0.0,0.054030115146147036,0.032335329341317366
energiaagentuur agentuuri agentuur,0.0,0.0013003901170351106,0.0,0.0,0.0008857395925597874,0.0
eriarstide eriarstiabi eriarsti,0.009900990099009901,0.002167316861725184,0.003676470588235294,0.0,0.002657218777679362,0.008383233532934131
erimargistatud kutust kutuse,0.0049504950495049506,0.0,0.0012254901960784314,0.0,0.002657218777679362,0.0
eripensioni valjateenitud staazi,0.0,0.0017338534893801473,0.0,0.0,0.0,0.0
erso teatri kontserdi,0.0,0.00043346337234503684,0.0,0.0,0.0008857395925597874,0.0
est kavatsuste for,0.0,0.00043346337234503684,0.0,0.0,0.0,0.0
estonian air airi,0.0,0.00043346337234503684,0.0,0.0,0.0008857395925597874,0.0
etv saateid pbk,0.007425742574257425,0.007802340702210663,0.0012254901960784314,0.0,0.00354295837023915,0.0023952095808383233
fie fuusilisest isikust,0.0,0.0,0.0024509803921568627,0.0,0.001771479185119575,0.0023952095808383233
haale valimispaeval valimiste,0.0049504950495049506,0.003034243606415258,0.0012254901960784314,0.0,0.00354295837023915,0.0011976047904191617
haaletamissedel haaletamiskasti sedeli,0.0,0.0013003901170351106,0.0012254901960784314,0.0,0.001771479185119575,0.0
haalte kandidaatidele haaletamisest,0.0,0.0,0.0012254901960784314,0.0,0.001771479185119575,0.0
hadaolukorda eriolukord eriolukorra,0.012376237623762377,0.01907238838318162,0.00857843137254902,0.02040816326530612,0.04162976085031001,0.005988023952095809
haiguspaevade haiguspaevi haiguspaeva,0.019801980198019802,0.0034677069787602947,0.012254901960784314,0.04081632653061224,0.00354295837023915,0.05269461077844311
hambaravi hammaste hambad,0.0,0.0,0.0012254901960784314,0.0,0.0,0.0011976047904191617
hanke hankija riigihangete,0.0049504950495049506,0.0013003901170351106,0.0,0.0,0.0070859167404783,0.0
hansson ardo panga,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0
hiv narkomaania epideemia,0.0024752475247524753,0.0017338534893801473,0.0012254901960784314,0.0,0.0,0.0011976047904191617
hoiu pangad pankade,0.0049504950495049506,0.003034243606415258,0.003676470588235294,0.0,0.0008857395925597874,0.003592814371257485
hooldekodus hoolduse hooldekodu,0.0024752475247524753,0.00043346337234503684,0.003676470588235294,0.0,0.002657218777679362,0.023952095808383235
hoone rkas hoonet,0.007425742574257425,0.007368877329865626,0.0024509803921568627,0.02040816326530612,0.002657218777679362,0.0
humni humn laulda,0.0,0.003034243606415258,0.0,0.0,0.0,0.0
huvigruppe huvigruppide kaasatud,0.009900990099009901,0.0082358040745557,0.013480392156862746,0.0,0.00974313551815766,0.005988023952095809
huvihariduse huvitegevuse huviharidus,0.007425742574257425,0.0013003901170351106,0.006127450980392157,0.0,0.01682905225863596,0.08502994011976048
id mobiil kaardi,0.0024752475247524753,0.006935413957520589,0.0012254901960784314,0.0,0.00354295837023915,0.0011976047904191617
idapiiri piiririba valjaehitamine,0.0024752475247524753,0.0017338534893801473,0.0012254901960784314,0.0,0.007971656333038087,0.0
iive sundimus iibe,0.0024752475247524753,0.004334633723450368,0.004901960784313725,0.0,0.001771479185119575,0.0011976047904191617
inflatsiooni inflatsioon hinnatous,0.0024752475247524753,0.0017338534893801473,0.007352941176470588,0.0,0.0044286979627989375,0.004790419161676647
inimarengu aruanne aruandes,0.0024752475247524753,0.0013003901170351106,0.003676470588235294,0.0,0.0008857395925597874,0.008383233532934131
jaatmeid liigiti prugi,0.007425742574257425,0.0013003901170351106,0.0024509803921568627,0.0,0.0008857395925597874,0.0023952095808383233
jahimehed jahimeeste jahti,0.0024752475247524753,0.0008669267446900737,0.0,0.0,0.0,0.0
jalitustegevuse jalitustoimingu sideandmete,0.0049504950495049506,0.0013003901170351106,0.00857843137254902,0.0,0.0,0.0
jarviku jarvik maaeluministri,0.0024752475247524753,0.017771998266146512,0.003676470588235294,0.0,0.0044286979627989375,0.003592814371257485
joustumine joustuma joustada,0.019801980198019802,0.005635023840485479,0.006127450980392157,0.0,0.011514614703277236,0.0023952095808383233
kaasne lisakulutusi riigieelarvele,0.0,0.0017338534893801473,0.0012254901960784314,0.0,0.0008857395925597874,0.0
kaibemaksu kaibemaks kaibemaksumaara,0.0049504950495049506,0.002167316861725184,0.003676470588235294,0.02040816326530612,0.001771479185119575,0.0
kaitsekulud kaitsekulutused kaitsekulude,0.0024752475247524753,0.004768097095795405,0.0024509803921568627,0.02040816326530612,0.007971656333038087,0.0011976047904191617
kaitseliit kaitseliidule kaitseliidu,0.007425742574257425,0.011703511053315995,0.003676470588235294,0.0,0.006200177147918512,0.003592814371257485
kala kalurid kalurite,0.0,0.0034677069787602947,0.0,0.0,0.0,0.0
kandidaadi kandidaati kandidaat,0.0024752475247524753,0.0,0.0012254901960784314,0.0,0.0008857395925597874,0.0011976047904191617
kandidaati kandidaat valituks,0.0,0.0008669267446900737,0.0012254901960784314,0.0,0.0008857395925597874,0.0
kandideerima ametikohale kandidaatide,0.0024752475247524753,0.0008669267446900737,0.003676470588235294,0.0,0.0,0.0
kantsler kantsleri riigisekretar,0.0024752475247524753,0.002167316861725184,0.0,0.0,0.0044286979627989375,0.0
karistuse karistus tingimisi,0.0024752475247524753,0.007368877329865626,0.004901960784313725,0.0,0.010628875110717449,0.0023952095808383233
kasvavad tuleval kasv,0.007425742574257425,0.0,0.003676470588235294,0.0,0.001771479185119575,0.0
katteallikas katteallikaid katteallikat,0.009900990099009901,0.0017338534893801473,0.0012254901960784314,0.0,0.005314437555358724,0.0023952095808383233
kauguhendus avaksite ettekandjalt,0.039603960396039604,0.03727785002167317,0.011029411764705883,0.0,0.013286093888396812,0.016766467065868262
keeleoskust oskuse keeleoskuse,0.0,0.00043346337234503684,0.0,0.0,0.001771479185119575,0.0
keskkonnaameti uhendamine uhendamise,0.0,0.0013003901170351106,0.0024509803921568627,0.0,0.0008857395925597874,0.0
kinnisasja maad maa,0.007425742574257425,0.0,0.003676470588235294,0.02040816326530612,0.007971656333038087,0.0011976047904191617
kinnitamise paevakorra paevakord,0.0,0.0008669267446900737,0.0,0.0,0.0,0.003592814371257485
kirik kiriku maarja,0.0,0.00043346337234503684,0.0012254901960784314,0.0,0.0008857395925597874,0.0
kodakondsust kodakondsuse kodanikuks,0.0,0.007368877329865626,0.004901960784313725,0.02040816326530612,0.011514614703277236,0.009580838323353293
kodualuse maamaksu maamaksust,0.0024752475247524753,0.0,0.0,0.02040816326530612,0.0044286979627989375,0.0023952095808383233
kohanimenoukogu vonnu mulgi,0.0,0.0,0.0,0.0,0.0,0.0011976047904191617
kohtla jarve johvi,0.0,0.003034243606415258,0.0,0.0,0.0,0.0011976047904191617
kohtunike kohtususteem kohtuniku,0.0049504950495049506,0.006935413957520589,0.01715686274509804,0.0,0.002657218777679362,0.0023952095808383233
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0008669267446900737,0.0024509803921568627,0.0,0.0008857395925597874,0.003592814371257485
koneleja konsensuslikud repliigi,0.0,0.0,0.0,0.0,0.0008857395925597874,0.0011976047904191617
konkurss konkursi konkurssi,0.0,0.0,0.0012254901960784314,0.0,0.0,0.0
