topic_words3,EKRE,Fraktsioonitud,difference
annetus erjk annetuse,0.0021673168617251,0.0612244897959183,-2724.89795918378
tarbijakaitse amet ametile,0.0039011703511053,0.0408163265306122,-946.2585034013678
haiguspaevade haiguspaevi haiguspaeva,0.0034677069787602,0.0408163265306122,-1077.0408163265615
majandusaasta koondaruanne raamatupidamise,0.00086692674469,0.0408163265306122,-4608.163265306518
tulumaksuvaba maksususteemi tulumaksu,0.0021673168617251,0.0204081632653061,-841.63265306126
normitehnika mojude eeskiri,0.0021673168617251,0.0204081632653061,-841.63265306126
varude varud varu,0.0021673168617251,0.0204081632653061,-841.63265306126
kaibemaksu kaibemaks kaibemaksumaara,0.0021673168617251,0.0204081632653061,-841.63265306126
maantee neljarealiseks ppp,0.0021673168617251,0.0204081632653061,-841.63265306126
korterid kortereid korterit,0.0026007802340702,0.0204081632653061,-684.6938775510259
piima toorpiima toodangut,0.0026007802340702,0.0204081632653061,-684.6938775510259
maksuamet tolliamet tolliameti,0.0017338534893801,0.0204081632653061,-1077.0408163265615
valispoliitika valispoliitikas diplomaatia,0.0017338534893801,0.0204081632653061,-1077.0408163265615
vallaga vald sauga,0.0030342436064152,0.0204081632653061,-572.594752186601
uhistranspordi uhistransport uhistransporti,0.0013003901170351,0.0204081632653061,-1469.387755102052
pensionitous pensionitousu pension,0.0013003901170351,0.0204081632653061,-1469.387755102052
ammendumiseni kaheni pikendada,0.0013003901170351,0.0204081632653061,-1469.387755102052
vaesuses suhtelises vaesuse,0.0013003901170351,0.0204081632653061,-1469.387755102052
objekti anu raua,0.0039011703511053,0.0204081632653061,-423.1292517006839
ulejaagis struktuurses struktuurse,0.0039011703511053,0.0204081632653061,-423.1292517006839
muugimaksu muugimaks paadimaksu,0.000433463372345,0.0408163265306122,-9316.326530613036
mes maale maaelu,0.00086692674469,0.0204081632653061,-2254.081632653259
kaitsekulud kaitsekulutused kaitsekulude,0.0047680970957954,0.0204081632653061,-328.01484230055655
valimisliitude volikogusse volikokku,0.0195058517555266,0.0408163265306122,-109.2517006802725
kodakondsust kodakondsuse kodanikuks,0.0073688773298656,0.0204081632653061,-176.95078031212554
hoone rkas hoonet,0.0073688773298656,0.0204081632653061,-176.95078031212554
opositsioonis koalitsiooni opositsiooni,0.023840485478977,0.0408163265306122,-71.20593692022264
salastatud valisteabe riigisaladuse,0.0104031209362808,0.0204081632653061,-96.17346938775648
vagivallale vihakone ohutamine,0.0320762895535327,0.0408163265306122,-27.247655819084354
