topic_words3,EKRE,Reformierakond,difference
opositsiooni koalitsioonil opositsioonil,0.0056350238404854,0.0294117647058823,-421.94570135747244
arengukavad arengukavade pohialuste,0.0104031209362808,0.0306372549019607,-194.5006127450996
koolis kooli opilased,0.0151712180320762,0.0367647058823529,-142.33193277311042
lapsetoetust lapsetoetus lapsetoetuse,0.0013003901170351,0.0110294117647058,-748.1617647058829
soita jalakaija konniteel,0.0047680970957954,0.0147058823529411,-208.42245989304686
volakirjade keskpank volakirju,0.0017338534893801,0.0098039215686274,-465.44117647060074
valispoliitika valispoliitikas diplomaatia,0.0017338534893801,0.0098039215686274,-465.44117647060074
haiguspaevade haiguspaevi haiguspaeva,0.0034677069787602,0.0122549019607843,-253.40073529412686
kohtunike kohtususteem kohtuniku,0.0069354139575205,0.017156862745098,-147.38051470588496
majandusaasta koondaruanne raamatupidamise,0.00086692674469,0.008578431372549,-889.5220588236112
jalitustegevuse jalitustoimingu sideandmete,0.0013003901170351,0.008578431372549,-559.6813725490234
salvestisi salvestised salvestiste,0.0099696575639358,0.0208333333333333,-108.96739130434847
uhistranspordi uhistransport uhistransporti,0.0013003901170351,0.0073529411764705,-465.441176470586
arengufond arengufondi arengufondis,0.0030342436064152,0.0098039215686274,-223.1092436974835
lipu laevu kaubalaeva,0.0030342436064152,0.0098039215686274,-223.1092436974835
valimisliitude volikogusse volikokku,0.0195058517555266,0.0318627450980392,-63.349673202614774
inflatsiooni inflatsioon hinnatous,0.0017338534893801,0.0073529411764705,-324.0808823529476
untso missioonide liikmesusest,0.0017338534893801,0.0073529411764705,-324.0808823529476
uuring uuringut uuringu,0.00086692674469,0.0061274509803921,-606.8014705882889
lisaeelarve lisaeelarves lisaeelarvega,0.0026007802340702,0.008578431372549,-229.84068627451174
huvihariduse huvitegevuse huviharidus,0.0013003901170351,0.0061274509803921,-371.20098039215634
pensionitous pensionitousu pension,0.0013003901170351,0.0061274509803921,-371.20098039215634
riigikontrolor karis riigikontrolori,0.00086692674469,0.0049019607843137,-465.44117647063337
valdkonnad laekumisest fikseeritakse,0.0017338534893801,0.0061274509803921,-253.40073529412402
maksuamet tolliamet tolliameti,0.0017338534893801,0.0061274509803921,-253.40073529412402
elektri elektrit taastuvenergia,0.0273081924577373,0.0379901960784313,-39.11647992530329
kutsehariduse kutseharidus kutsehariduses,0.0013003901170351,0.0049019607843137,-276.96078431372666
kusimusena tahtsa tahtsusega,0.0013003901170351,0.0049019607843137,-276.96078431372666
aituma infotundi jahimehed,0.000433463372345,0.0036764705882352,-748.1617647059327
rahapesu terrorismi andmeburoo,0.000433463372345,0.0036764705882352,-748.1617647059327
hooldekodus hoolduse hooldekodu,0.000433463372345,0.0036764705882352,-748.1617647059327
tulumaksuvaba maksususteemi tulumaksu,0.0021673168617251,0.0061274509803921,-182.7205882353025
riigikontrolli auditi auditit,0.00086692674469,0.0036764705882352,-324.0808823529664
pensioniiga pensioniea eluiga,0.00086692674469,0.0036764705882352,-324.0808823529664
vaikesaarte saarte pusiasustusega,0.00086692674469,0.0036764705882352,-324.0808823529664
kandideerima ametikohale kandidaatide,0.00086692674469,0.0036764705882352,-324.0808823529664
aasia aasias saatkonna,0.0060684872128305,0.0110294117647058,-81.74894957983105
huvigruppe huvigruppide kaasatud,0.0082358040745557,0.0134803921568627,-63.68034055727502
eelarves riigieelarves reservist,0.0112700476809709,0.017156862745098,-52.23416289592804
teadus teaduse arendustegevuse,0.0065019505851755,0.0110294117647058,-69.63235294117656
planeeringu keskkonnamoju keskkonnamojude,0.000433463372345,0.0024509803921568,-465.4411764706218
muugimaksu muugimaks paadimaksu,0.000433463372345,0.0024509803921568,-465.4411764706218
tervist tervis tervisega,0.000433463372345,0.0024509803921568,-465.4411764706218
maavalitsuste maavalitsused maakonna,0.000433463372345,0.0024509803921568,-465.4411764706218
lng terminali gaasi,0.000433463372345,0.0024509803921568,-465.4411764706218
koosoleku elektrooniline koosolekut,0.000433463372345,0.0024509803921568,-465.4411764706218
vaesuses suhtelises vaesuse,0.0013003901170351,0.0036764705882352,-182.72058823528917
ts parvlaeva parvlaevad,0.0013003901170351,0.0036764705882352,-182.72058823528917
inimarengu aruanne aruandes,0.0013003901170351,0.0036764705882352,-182.72058823528917
pohiseadusega riigikohus oiguskantsler,0.0104031209362808,0.0147058823529411,-41.36029411764747
prokuratuur prokuratuuri prokuror,0.0190723883831816,0.0245098039215686,-28.50935828877005
kohtutaiturite kohtutaitur kohtutaituri,0.00086692674469,0.0024509803921568,-182.7205882353109
apteeke apteegid apteekide,0.00086692674469,0.0024509803921568,-182.7205882353109
tarbijakaitse amet ametile,0.0039011703511053,0.0061274509803921,-57.0669934640521
