topic_words3,Keskerakond,Reformierakond,difference
valimisliitude volikogusse volikokku,0.0049504950495049,0.0318627450980392,-543.6274509803984
opositsiooni koalitsioonil opositsioonil,0.0024752475247524,0.0294117647058823,-1088.235294117681
elektri elektrit taastuvenergia,0.0123762376237623,0.0379901960784313,-206.9607843137268
viirust vaktsineeritud viiruse,0.0321782178217821,0.0649509803921568,-101.84766214178008
arengukavad arengukavade pohialuste,0.0099009900990099,0.0306372549019607,-209.4362745098031
kohtunike kohtususteem kohtuniku,0.0049504950495049,0.017156862745098,-246.56862745098312
prokuratuur prokuratuuri prokuror,0.0099009900990099,0.0245098039215686,-147.5490196078429
volakirjade keskpank volakirju,0.0024752475247524,0.0098039215686274,-296.07843137255907
valispoliitika valispoliitikas diplomaatia,0.0024752475247524,0.0098039215686274,-296.07843137255907
arengufond arengufondi arengufondis,0.0024752475247524,0.0098039215686274,-296.07843137255907
lapsetoetust lapsetoetus lapsetoetuse,0.0049504950495049,0.0110294117647058,-122.79411764705941
untso missioonide liikmesusest,0.0024752475247524,0.0073529411764705,-197.05882352941725
inflatsiooni inflatsioon hinnatous,0.0024752475247524,0.0073529411764705,-197.05882352941725
terviseandmed isikuandmeid terviseandmeid,0.0148514851485148,0.0220588235294117,-48.52941176470596
tarbijakaitse amet ametile,0.0024752475247524,0.0061274509803921,-147.5490196078484
uuring uuringut uuringu,0.0024752475247524,0.0061274509803921,-147.5490196078484
tulumaksuvaba maksususteemi tulumaksu,0.0024752475247524,0.0061274509803921,-147.5490196078484
valdkonnad laekumisest fikseeritakse,0.0024752475247524,0.0061274509803921,-147.5490196078484
ulejaagis struktuurses struktuurse,0.0024752475247524,0.0061274509803921,-147.5490196078484
taanis saksamaal hollandis,0.0024752475247524,0.0061274509803921,-147.5490196078484
jalitustegevuse jalitustoimingu sideandmete,0.0049504950495049,0.008578431372549,-73.28431372549154
psuhhiaatri alaealine psuhhiaatrilist,0.0099009900990099,0.0147058823529411,-48.52941176470513
karistuse karistus tingimisi,0.0024752475247524,0.0049019607843137,-98.03921568627952
iive sundimus iibe,0.0024752475247524,0.0049019607843137,-98.03921568627952
aasia aasias saatkonna,0.0074257425742574,0.0110294117647058,-48.52941176470528
huvigruppe huvigruppide kaasatud,0.0099009900990099,0.0134803921568627,-36.151960784313296
liitlaste ohutorje keskmaa,0.0049504950495049,0.0073529411764705,-48.5294117647056
treenerite spordi sport,0.0049504950495049,0.0073529411764705,-48.5294117647056
slovakkia ungari portugal,0.0049504950495049,0.0073529411764705,-48.5294117647056
koolis kooli opilased,0.0321782178217821,0.0367647058823529,-14.253393665158514
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0074257425742574,0.0098039215686274,-32.026143790849446
jarviku jarvik maaeluministri,0.0024752475247524,0.0036764705882352,-48.5294117647066
hooldekodus hoolduse hooldekodu,0.0024752475247524,0.0036764705882352,-48.5294117647066
kandideerima ametikohale kandidaatide,0.0024752475247524,0.0036764705882352,-48.5294117647066
vaesuses suhtelises vaesuse,0.0024752475247524,0.0036764705882352,-48.5294117647066
riigikontrolli auditi auditit,0.0024752475247524,0.0036764705882352,-48.5294117647066
nord stream streami,0.0024752475247524,0.0036764705882352,-48.5294117647066
annetus erjk annetuse,0.0024752475247524,0.0036764705882352,-48.5294117647066
inimarengu aruanne aruandes,0.0024752475247524,0.0036764705882352,-48.5294117647066
aituma infotundi jahimehed,0.0024752475247524,0.0036764705882352,-48.5294117647066
pensioniiga pensioniea eluiga,0.0024752475247524,0.0036764705882352,-48.5294117647066
maantee neljarealiseks ppp,0.0024752475247524,0.0036764705882352,-48.5294117647066
vallaga vald sauga,0.0024752475247524,0.0024509803921568,0.9803921568622694
alkoholi kange lahja,0.0024752475247524,0.0024509803921568,0.9803921568622694
lng terminali gaasi,0.0024752475247524,0.0024509803921568,0.9803921568622694
liiklussurmade liikluses hukkunute,0.0024752475247524,0.0024509803921568,0.9803921568622694
koosoleku elektrooniline koosolekut,0.0024752475247524,0.0024509803921568,0.9803921568622694
veb fondi uurimiskomisjon,0.0024752475247524,0.0024509803921568,0.9803921568622694
leping ratifitseerida lepinguga,0.0024752475247524,0.0024509803921568,0.9803921568622694
virumaale virumaa toostusalade,0.0024752475247524,0.0024509803921568,0.9803921568622694
varude varud varu,0.0024752475247524,0.0024509803921568,0.9803921568622694
vagivallale vihakone ohutamine,0.0024752475247524,0.0024509803921568,0.9803921568622694
kaitsekulud kaitsekulutused kaitsekulude,0.0024752475247524,0.0024509803921568,0.9803921568622694
miili baasvorgu lairiba,0.0049504950495049,0.0049019607843137,0.9803921568622495
krimmi agressiooni ukraina,0.0099009900990099,0.0098039215686274,0.9803921568632384
opositsioonis koalitsiooni opositsiooni,0.0123762376237623,0.0122549019607843,0.9803921568622526
pohiseadusega riigikohus oiguskantsler,0.0148514851485148,0.0147058823529411,0.9803921568629205
eelarves riigieelarves reservist,0.0173267326732673,0.017156862745098,0.9803921568628268
toonadalal istungid taiendaval,0.0123762376237623,0.0110294117647058,10.882352941176592
maksuamet tolliamet tolliameti,0.0074257425742574,0.0061274509803921,17.483660130719432
huvihariduse huvitegevuse huviharidus,0.0074257425742574,0.0061274509803921,17.483660130719432
kaibemaksu kaibemaks kaibemaksumaara,0.0049504950495049,0.0036764705882352,25.735294117648206
hoiu pangad pankade,0.0049504950495049,0.0036764705882352,25.735294117648206
vabatahtlike komandode paasteameti,0.0049504950495049,0.0036764705882352,25.735294117648206
rahvuse rahvust rahvusriik,0.0049504950495049,0.0036764705882352,25.735294117648206
deklaratsiooni deklaratsioone deklaratsioonis,0.0049504950495049,0.0036764705882352,25.735294117648206
id mobiil kaardi,0.0024752475247524,0.0012254901960784,50.49019607843114
riigireformi riigireformist riigireform,0.0024752475247524,0.0012254901960784,50.49019607843114
ammendumiseni kaheni pikendada,0.0024752475247524,0.0012254901960784,50.49019607843114
ajakirjandus ajakirjanduse ajakirjandust,0.0024752475247524,0.0012254901960784,50.49019607843114
tulubaasi tasandusfondi tulumaksuosa,0.0024752475247524,0.0012254901960784,50.49019607843114
riigipalgaliste riigisektoris koondada,0.0024752475247524,0.0012254901960784,50.49019607843114
korterelamute kortermajade kredexi,0.0024752475247524,0.0012254901960784,50.49019607843114
hiv narkomaania epideemia,0.0024752475247524,0.0012254901960784,50.49019607843114
tootuli lepitaja ametiuhingute,0.0024752475247524,0.0012254901960784,50.49019607843114
piima toorpiima toodangut,0.0024752475247524,0.0012254901960784,50.49019607843114
idapiiri piiririba valjaehitamine,0.0024752475247524,0.0012254901960784,50.49019607843114
valimisea valimisiga valimisoiguse,0.0024752475247524,0.0012254901960784,50.49019607843114
kandidaadi kandidaati kandidaat,0.0024752475247524,0.0012254901960784,50.49019607843114
kutsehariduse kutseharidus kutsehariduses,0.0074257425742574,0.0049019607843137,33.98692810457528
direktiivi direktiiv ulevotmise,0.0074257425742574,0.0049019607843137,33.98692810457528
hadaolukorda eriolukord eriolukorra,0.0123762376237623,0.008578431372549,30.686274509803656
apteeke apteegid apteekide,0.0049504950495049,0.0024509803921568,50.490196078432135
rail trassi balticu,0.0049504950495049,0.0024509803921568,50.490196078432135
oiglase virumaale ulemineku,0.0049504950495049,0.0024509803921568,50.490196078432135
kaitseliit kaitseliidule kaitseliidu,0.0074257425742574,0.0036764705882352,50.49019607843247
kinnisasja maad maa,0.0074257425742574,0.0036764705882352,50.49019607843247
kasvavad tuleval kasv,0.0074257425742574,0.0036764705882352,50.49019607843247
haiguspaevade haiguspaevi haiguspaeva,0.0198019801980198,0.0122549019607843,38.11274509803928
rongi rongide rongid,0.0049504950495049,0.0012254901960784,75.24509803921606
erimargistatud kutust kutuse,0.0049504950495049,0.0012254901960784,75.24509803921606
normitehnika mojude eeskiri,0.0049504950495049,0.0012254901960784,75.24509803921606
pealinnast tallinnast viljandisse,0.0049504950495049,0.0012254901960784,75.24509803921606
haale valimispaeval valimiste,0.0049504950495049,0.0012254901960784,75.24509803921606
tantsupeo laulu traditsiooni,0.0049504950495049,0.0012254901960784,75.24509803921606
pensionitous pensionitousu pension,0.0123762376237623,0.0061274509803921,50.490196078431524
efsf esm kreekale,0.0123762376237623,0.0061274509803921,50.490196078431524
tulubaasi omavalitsustele omavalitsuste,0.0074257425742574,0.0024509803921568,66.99346405228832
loomi loomade loomad,0.0074257425742574,0.0024509803921568,66.99346405228832
tervist tervis tervisega,0.0074257425742574,0.0024509803921568,66.99346405228832
hoone rkas hoonet,0.0074257425742574,0.0024509803921568,66.99346405228832
eelarvele kulude riigieelarvele,0.0074257425742574,0.0024509803921568,66.99346405228832
jaatmeid liigiti prugi,0.0074257425742574,0.0024509803921568,66.99346405228832
eriarstide eriarstiabi eriarsti,0.0099009900990099,0.0036764705882352,62.86764705882448
lisaeelarve lisaeelarves lisaeelarvega,0.0173267326732673,0.008578431372549,50.49019607843142
poolte kokkuleppel huvitise,0.0074257425742574,0.0012254901960784,83.49673202614416
palgatousu opetajate palgatous,0.0074257425742574,0.0012254901960784,83.49673202614416
etv saateid pbk,0.0074257425742574,0.0012254901960784,83.49673202614416
uliopilased uliopilastele uliopilaste,0.0247524752475247,0.0122549019607843,50.490196078431325
katteallikas katteallikaid katteallikat,0.0099009900990099,0.0012254901960784,87.62254901960816
tooandja tooandjal tootaja,0.0099009900990099,0.0012254901960784,87.62254901960816
teede teehoiuks teedele,0.0099009900990099,0.0012254901960784,87.62254901960816
teadus teaduse arendustegevuse,0.0247524752475247,0.0110294117647058,55.44117647058848
tootuid tootute tootu,0.0123762376237623,0.0012254901960784,90.09803921568647
joustumine joustuma joustada,0.0198019801980198,0.0061274509803921,69.05637254901988
ametiuhingute tooandjate keskliit,0.0272277227722772,0.0036764705882352,86.49732620320889
kauguhendus avaksite ettekandjalt,0.0396039603960396,0.0110294117647058,72.15073529411785
otsevalimise presidenti presidendi,0.042079207920792,0.0049019607843137,88.35063437139566
objekti anu raua,0.0668316831683168,0.0049019607843137,92.66521423384172
tooandja tervisesse maksuvabalt,0.0049504950495049,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.0049504950495049,0.0,100.0
reklaami reklaam alkoholireklaam,0.0049504950495049,0.0,100.0
hanke hankija riigihangete,0.0049504950495049,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0024752475247524,0.0,100.0
laari laar kandidatuuri,0.0024752475247524,0.0,100.0
samba sammas sambasse,0.0024752475247524,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0024752475247524,0.0,100.0
kantsler kantsleri riigisekretar,0.0024752475247524,0.0,100.0
raamatukogu pimedate raamatukogude,0.0024752475247524,0.0,100.0
omandireformi tagastatud omandireform,0.0024752475247524,0.0,100.0
pensionifondide pensionifondid fondid,0.0024752475247524,0.0,100.0
oppelaenu sugava puudega,0.0024752475247524,0.0,100.0
pagulasi pagulased pagulaste,0.0024752475247524,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.0024752475247524,0.0,100.0
kodualuse maamaksu maamaksust,0.0024752475247524,0.0,100.0
pensioni pension sammas,0.0024752475247524,0.0,100.0
jahimehed jahimeeste jahti,0.0024752475247524,0.0,100.0
teatri teater rahvusooper,0.0024752475247524,0.0,100.0
