topic_words3,Isamaa fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
kauguhendus avaksite ettekandjalt,0.0132860938883968,0.0372778500216731,-180.57795116312647
terviseandmed isikuandmeid terviseandmeid,0.0150575730735163,0.0390117035110533,-159.0836074351731
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0017714791851195,0.0203727785002167,-1050.0433463372813
vagivallale vihakone ohutamine,0.0115146147032772,0.0320762895535327,-178.57023773798872
rahvuse rahvust rahvusriik,0.0026572187776793,0.0173385348938014,-552.5068631700746
jarviku jarvik maaeluministri,0.0044286979627989,0.0177719982661465,-301.29172084959134
missiooni missioonile missioon,0.0017714791851195,0.0134373645426961,-658.5392284352268
prokuratuur prokuratuuri prokuror,0.007971656333038,0.0190723883831816,-139.25251649569176
psuhhiaatri alaealine psuhhiaatrilist,0.0088573959255978,0.0195058517555266,-120.22106631989715
otsevalimise presidenti presidendi,0.0106288751107174,0.0212397052449068,-99.8302268458324
moisteid moiste moisted,0.0017714791851195,0.0082358040745557,-364.91114000868885
valijate erakonda valijaid,0.0008857395925597,0.0069354139575205,-683.0082358041418
oiglase virumaale ulemineku,0.0017714791851195,0.0078023407022106,-340.44213263980697
piirivalve valvamise valvamine,0.0017714791851195,0.0073688773298656,-315.9731252709307
aasia aasias saatkonna,0.0008857395925597,0.0060684872128305,-585.1322063286311
elamisluba elamisloa viisa,0.0008857395925597,0.0047680970957954,-438.3181621153538
hoone rkas hoonet,0.0026572187776793,0.0073688773298656,-177.31541684728194
vabatahtlike komandode paasteameti,0.0017714791851195,0.0056350238404854,-218.0970957954143
kohtunike kohtususteem kohtuniku,0.0026572187776793,0.0069354139575205,-161.00274526802758
loomi loomade loomad,0.0097431355181576,0.0164716081491114,-69.05859636678989
kaitseliit kaitseliidule kaitseliidu,0.0062001771479185,0.0117035110533159,-88.76091398848111
valimisliitude volikogusse volikokku,0.012400354295837,0.0195058517555266,-57.3007616570684
salastatud valisteabe riigisaladuse,0.0053144375553587,0.0104031209362808,-95.75205895101794
pohiseadusega riigikohus oiguskantsler,0.0053144375553587,0.0104031209362808,-95.75205895101794
etv saateid pbk,0.0035429583702391,0.0078023407022106,-120.22106631989726
viirust vaktsineeritud viiruse,0.0487156775907883,0.0602514087559601,-23.67970997359812
oigusriik oigusriigi oigusriigist,0.0044286979627989,0.0086692674469007,-95.75205895101944
danske filiaali rahapesu,0.0017714791851195,0.0047680970957954,-169.1590810576617
id mobiil kaardi,0.0035429583702391,0.0069354139575205,-95.75205895101885
hoiu pangad pankade,0.0008857395925597,0.0030342436064152,-242.5661031643099
sigade katku katk,0.0008857395925597,0.0030342436064152,-242.5661031643099
iive sundimus iibe,0.0017714791851195,0.0043346337234503,-144.69007368877976
korruptsiooni korruptsioon korruptsiooniga,0.0053144375553587,0.0086692674469007,-63.1267157925156
piima toorpiima toodangut,0.0008857395925597,0.0026007802340702,-193.62808842655454
louis freeh kremli,0.0008857395925597,0.0026007802340702,-193.62808842655454
leping ratifitseerida lepinguga,0.0008857395925597,0.0026007802340702,-193.62808842655454
direktiivi direktiiv ulevotmise,0.007971656333038,0.0112700476809709,-41.376487020180925
tooandja tooandjal tootaja,0.0008857395925597,0.0021673168617251,-144.69007368878795
eelarvele kulude riigieelarvele,0.0008857395925597,0.0021673168617251,-144.69007368878795
slovakkia ungari portugal,0.0053144375553587,0.0078023407022106,-46.814044213263465
krimmi agressiooni ukraina,0.0115146147032772,0.0147377546597312,-27.991730852589065
vallaga vald sauga,0.0017714791851195,0.0030342436064152,-71.28305158214528
lipud lippude lipp,0.0008857395925597,0.0017338534893801,-95.75205895103262
kaasne lisakulutusi riigieelarvele,0.0008857395925597,0.0017338534893801,-95.75205895103262
ajakirjandus ajakirjanduse ajakirjandust,0.0026572187776793,0.0039011703511053,-46.81404421326623
lahususe voimude lahusus,0.0035429583702391,0.0047680970957954,-34.57954052882706
korterid kortereid korterit,0.0017714791851195,0.0026007802340702,-46.81404421326898
tootuid tootute tootu,0.0017714791851195,0.0026007802340702,-46.81404421326898
deklaratsiooni deklaratsioone deklaratsioonis,0.0017714791851195,0.0026007802340702,-46.81404421326898
ugri rahvaste polisrahvaste,0.0017714791851195,0.0026007802340702,-46.81404421326898
energiaagentuur agentuuri agentuur,0.0008857395925597,0.0013003901170351,-46.81404421327728
pollumeestele pollumehi pollumehed,0.0008857395925597,0.0013003901170351,-46.81404421327728
poolte kokkuleppel huvitise,0.0008857395925597,0.0013003901170351,-46.81404421327728
lapsetoetust lapsetoetus lapsetoetuse,0.0008857395925597,0.0013003901170351,-46.81404421327728
ootuse oigusparase oiguskindluse,0.0008857395925597,0.0013003901170351,-46.81404421327728
ts parvlaeva parvlaevad,0.0008857395925597,0.0013003901170351,-46.81404421327728
keskkonnaameti uhendamine uhendamise,0.0008857395925597,0.0013003901170351,-46.81404421327728
inimarengu aruanne aruandes,0.0008857395925597,0.0013003901170351,-46.81404421327728
ammendumiseni kaheni pikendada,0.0008857395925597,0.0013003901170351,-46.81404421327728
jaatmeid liigiti prugi,0.0008857395925597,0.0013003901170351,-46.81404421327728
taanis saksamaal hollandis,0.0044286979627989,0.0052015604681404,-17.451235370611208
tulumaksuvaba maksususteemi tulumaksu,0.0017714791851195,0.0021673168617251,-22.345036844387057
kaibemaksu kaibemaks kaibemaksumaara,0.0017714791851195,0.0021673168617251,-22.345036844387057
annetus erjk annetuse,0.0017714791851195,0.0021673168617251,-22.345036844387057
rail trassi balticu,0.0026572187776793,0.0030342436064152,-14.188701054761365
palgalohe soolist meeste,0.0035429583702391,0.0039011703511053,-10.11053315994864
ulejaagis struktuurses struktuurse,0.0035429583702391,0.0039011703511053,-10.11053315994864
tulubaasi omavalitsustele omavalitsuste,0.0044286979627989,0.0047680970957954,-7.663632423061031
liitlaste ohutorje keskmaa,0.0132860938883968,0.0134373645426961,-1.1385637913594044
riigipuha puhade tahtpaevade,0.0008857395925597,0.00086692674469,2.1239705244893408
utah jordaania energia,0.0008857395925597,0.00086692674469,2.1239705244893408
teatri teater rahvusooper,0.0008857395925597,0.00086692674469,2.1239705244893408
pensioniiga pensioniea eluiga,0.0008857395925597,0.00086692674469,2.1239705244893408
koolituse koolitus koolitusele,0.0008857395925597,0.00086692674469,2.1239705244893408
kandidaati kandidaat valituks,0.0008857395925597,0.00086692674469,2.1239705244893408
riigikontrolli auditi auditit,0.0008857395925597,0.00086692674469,2.1239705244893408
kohtutaiturite kohtutaitur kohtutaituri,0.0008857395925597,0.00086692674469,2.1239705244893408
reklaami reklaam alkoholireklaam,0.0017714791851195,0.0017338534893801,2.1239705244892204
untso missioonide liikmesusest,0.0017714791851195,0.0017338534893801,2.1239705244892204
volakirjade keskpank volakirju,0.0017714791851195,0.0017338534893801,2.1239705244892204
maksuamet tolliamet tolliameti,0.0017714791851195,0.0017338534893801,2.1239705244892204
riigireformi riigireformist riigireform,0.0017714791851195,0.0017338534893801,2.1239705244892204
raamatukogu pimedate raamatukogude,0.0017714791851195,0.0017338534893801,2.1239705244892204
haiguspaevade haiguspaevi haiguspaeva,0.0035429583702391,0.0034677069787602,2.1239705244919764
uliopilased uliopilastele uliopilaste,0.0097431355181576,0.0095361941915908,2.1239705244901703
abielu kooselu samasooliste,0.0044286979627989,0.0039011703511053,11.91157347204159
arengufond arengufondi arengufondis,0.0035429583702391,0.0030342436064152,14.358474208929778
lasteaia lasteaias lasteaiakoha,0.0035429583702391,0.0030342436064152,14.358474208929778
haale valimispaeval valimiste,0.0035429583702391,0.0030342436064152,14.358474208929778
maantee neljarealiseks ppp,0.0026572187776793,0.0021673168617251,18.436642103743495
eriarstide eriarstiabi eriarsti,0.0026572187776793,0.0021673168617251,18.436642103743495
noukogudesse ariuhingute noukogudes,0.0026572187776793,0.0021673168617251,18.436642103743495
nord stream streami,0.0026572187776793,0.0021673168617251,18.436642103743495
eelarves riigieelarves reservist,0.012400354295837,0.0112700476809709,9.115115487027353
haaletamissedel haaletamiskasti sedeli,0.0017714791851195,0.0013003901170351,26.59297789336551
kutsehariduse kutseharidus kutsehariduses,0.0017714791851195,0.0013003901170351,26.59297789336551
kusimusena tahtsa tahtsusega,0.0017714791851195,0.0013003901170351,26.59297789336551
salvestisi salvestised salvestiste,0.0115146147032772,0.0099696575639358,13.417358540895732
huvigruppe huvigruppide kaasatud,0.0097431355181576,0.0082358040745557,15.47070181660506
pealinnast tallinnast viljandisse,0.0008857395925597,0.000433463372345,51.06198526224467
