topic_words3,EKRE,Fraktsioonitud,Isamaa,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0,0.0019011406844106464,0.0,0.0,0.0
aasia aasias saatkonna,0.0,0.0,0.0019011406844106464,0.0,0.003838771593090211,0.0
abielu kooselu samasooliste,0.002336448598130841,0.0,0.0009505703422053232,0.011494252873563218,0.0,0.0019880715705765406
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.0,0.005747126436781609,0.0,0.0
aituma infotundi jahimehed,0.000778816199376947,0.0,0.0028517110266159697,0.0,0.0019193857965451055,0.0
ajakirjandus ajakirjanduse ajakirjandust,0.007009345794392523,0.0,0.0,0.0,0.003838771593090211,0.005964214711729622
alkoholi kange lahja,0.007009345794392523,0.0,0.005703422053231939,0.005747126436781609,0.005758157389635317,0.0
ametiuhingute tooandjate keskliit,0.0,0.0,0.004752851711026616,0.0,0.003838771593090211,0.005964214711729622
ammendumiseni kaheni pikendada,0.000778816199376947,0.0,0.0009505703422053232,0.0,0.0,0.0019880715705765406
annetus erjk annetuse,0.002336448598130841,0.0,0.0,0.0,0.005758157389635317,0.0
annetused annetusi annetuste,0.006230529595015576,0.0,0.030418250950570342,0.005747126436781609,0.013435700575815739,0.003976143141153081
apteeke apteegid apteekide,0.003115264797507788,0.0,0.0009505703422053232,0.005747126436781609,0.003838771593090211,0.0
arengufond arengufondi arengufondis,0.004672897196261682,0.015384615384615385,0.0028517110266159697,0.005747126436781609,0.003838771593090211,0.0019880715705765406
arengukavad arengukavade pohialuste,0.006230529595015576,0.0,0.013307984790874524,0.0,0.023032629558541268,0.007952286282306162
borsile ipo enefit,0.0,0.0,0.0028517110266159697,0.0,0.0,0.0
danske filiaali rahapesu,0.000778816199376947,0.0,0.0,0.0,0.0019193857965451055,0.0019880715705765406
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0,0.005747126436781609,0.0,0.007952286282306162
direktiivi direktiiv ulevotmise,0.020249221183800622,0.0,0.011406844106463879,0.0,0.01727447216890595,0.0019880715705765406
domeenide domeeni interneti,0.0,0.0,0.0009505703422053232,0.0,0.0,0.0
eelarvele kulude riigieelarvele,0.0,0.0,0.0009505703422053232,0.0,0.0019193857965451055,0.003976143141153081
eelarves riigieelarves reservist,0.0132398753894081,0.0,0.013307984790874524,0.011494252873563218,0.0019193857965451055,0.007952286282306162
efsf esm kreekale,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406
elamisluba elamisloa viisa,0.005451713395638629,0.0,0.0038022813688212928,0.005747126436781609,0.015355086372360844,0.005964214711729622
elektri elektrit taastuvenergia,0.035046728971962614,0.0,0.05228136882129278,0.0,0.05566218809980806,0.027833001988071572
eriarstide eriarstiabi eriarsti,0.012461059190031152,0.0,0.0038022813688212928,0.040229885057471264,0.023032629558541268,0.013916500994035786
erimargistatud kutust kutuse,0.003894080996884735,0.0,0.019961977186311788,0.011494252873563218,0.003838771593090211,0.005964214711729622
eripensioni valjateenitud staazi,0.002336448598130841,0.0,0.0,0.0,0.0,0.005964214711729622
erso teatri kontserdi,0.0,0.015384615384615385,0.0,0.0,0.0,0.0
etv saateid pbk,0.005451713395638629,0.0,0.005703422053231939,0.005747126436781609,0.003838771593090211,0.005964214711729622
fie fuusilisest isikust,0.000778816199376947,0.0,0.0028517110266159697,0.0,0.0,0.0
haale valimispaeval valimiste,0.0,0.0,0.0,0.005747126436781609,0.0019193857965451055,0.0019880715705765406
haalte kandidaatidele haaletamisest,0.0,0.0,0.0,0.0,0.0,0.0019880715705765406
hadaolukorda eriolukord eriolukorra,0.0132398753894081,0.0,0.004752851711026616,0.0,0.003838771593090211,0.0019880715705765406
haiguspaevade haiguspaevi haiguspaeva,0.000778816199376947,0.0,0.0019011406844106464,0.017241379310344827,0.0,0.0
hambaravi hammaste hambad,0.000778816199376947,0.0,0.0,0.0,0.0,0.0
hanke hankija riigihangete,0.003115264797507788,0.0,0.011406844106463879,0.0,0.003838771593090211,0.005964214711729622
hansson ardo panga,0.000778816199376947,0.0,0.0,0.0,0.0,0.0
