topic_words3,Isamaa,Reformierakond,difference
tulumaksuvaba maksususteemi tulumaksu,0.0038022813688212,0.0307101727447216,-707.6775431861978
eriarstide eriarstiabi eriarsti,0.0038022813688212,0.0230326295585412,-505.7581573896483
inflatsiooni inflatsioon hinnatous,0.0133079847908745,0.0326295585412667,-145.18782561009024
piirilepingu piirileping piirilepingut,0.0028517110266159,0.0153550863723608,-438.4516954574652
elamisluba elamisloa viisa,0.0038022813688212,0.0153550863723608,-303.8387715930989
katteallikas katteallikaid katteallikat,0.0019011406844106,0.0115163147792706,-505.7581573896483
pohiseadusega riigikohus oiguskantsler,0.0019011406844106,0.0115163147792706,-505.7581573896483
koolis kooli opilased,0.0247148288973384,0.0422264875239923,-70.85486490476887
huvigruppe huvigruppide kaasatud,0.0057034220532319,0.0134357005758157,-135.5726167626369
arengukavad arengukavade pohialuste,0.0133079847908745,0.0230326295585412,-73.07375925418133
leping ratifitseerida lepinguga,0.0009505703422053,0.0057581573896353,-505.7581573896483
uuring uuringut uuringu,0.0009505703422053,0.0057581573896353,-505.7581573896483
valispoliitika valispoliitikas diplomaatia,0.0009505703422053,0.0057581573896353,-505.7581573896483
volakirjade keskpank volakirju,0.0038022813688212,0.0095969289827255,-152.3992322456868
ulejaagis struktuurses struktuurse,0.0066539923954372,0.0134357005758157,-101.91938579654641
viirust vaktsineeritud viiruse,0.0228136882129277,0.0326295585412667,-43.026231605886075
tapsustatakse ajakohastatakse nouete,0.0019011406844106,0.0057581573896353,-202.87907869482416
taanis saksamaal hollandis,0.0019011406844106,0.0057581573896353,-202.87907869482416
palgalohe soolist meeste,0.0019011406844106,0.0057581573896353,-202.87907869482416
korterid kortereid korterit,0.0076045627376425,0.0134357005758157,-76.67946257197846
krimmi agressiooni ukraina,0.0760456273764258,0.0902111324376199,-18.627639155470256
teenistuse teenistuses avalikus,0.0009505703422053,0.0038387715930902,-303.8387715930989
noukogudesse ariuhingute noukogudes,0.0009505703422053,0.0038387715930902,-303.8387715930989
apteeke apteegid apteekide,0.0009505703422053,0.0038387715930902,-303.8387715930989
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0009505703422053,0.0038387715930902,-303.8387715930989
tarbijakaitse amet ametile,0.0009505703422053,0.0038387715930902,-303.8387715930989
vagivallale vihakone ohutamine,0.0038022813688212,0.0076775431861804,-101.91938579654946
direktiivi direktiiv ulevotmise,0.0114068441064638,0.0172744721689059,-51.439539347409415
joustumine joustuma joustada,0.0085551330798479,0.0134357005758157,-57.048411175090344
vabatahtlike komandode paasteameti,0.0057034220532319,0.0095969289827255,-68.26615483045491
soita jalakaija konniteel,0.0057034220532319,0.0095969289827255,-68.26615483045491
missiooni missioonile missioon,0.0028517110266159,0.0057581573896353,-101.91938579654945
rahvuse rahvust rahvusriik,0.0028517110266159,0.0057581573896353,-101.91938579654945
aasia aasias saatkonna,0.0019011406844106,0.0038387715930902,-101.91938579654946
slovakkia ungari portugal,0.0066539923954372,0.0095969289827255,-44.228132711818844
iive sundimus iibe,0.0038022813688212,0.0057581573896353,-51.43953934741208
karistuse karistus tingimisi,0.0038022813688212,0.0057581573896353,-51.43953934741208
maksuamet tolliamet tolliameti,0.0009505703422053,0.0019193857965451,-101.91938579654946
