kodualuse maamaksu maamaksust
efsf esm kreekale
uliopilased uliopilastele uliopilaste
arvestamata vaheaeg esitanud
missiooni missioonile missioon
vaheaega kumneminutilist haaletust
haaletada haaletas haaletusele
arvestamata vaheaeg esitanud
teede teehoiuks teedele
missiooni missioonile missioon
abielu kooselu samasooliste
krimmi agressiooni ukraina
palgatousu opetajate palgatous
pollumeestele pollumehi pollumehed
sigade katku katk
vallaga vald sauga
arvestamata vaheaeg esitanud
rail trassi balticu
kruuse urmas lahkunud
metsa metsade mets
jurgen ligi ligil
danske filiaali rahapesu
borsile ipo enefit
omandireformi tagastatud omandireform
jarviku jarvik maaeluministri
samba sammas sambasse
pensionitous pensionitousu pension
viirust vaktsineeritud viiruse
hadaolukorda eriolukord eriolukorra
vorklaev puustusmaa torm
elektri elektrit taastuvenergia
moonika helle helme
kauguhendus avaksite ettekandjalt
krimmi agressiooni ukraina
lng terminali gaasi
inflatsiooni inflatsioon hinnatous
