kodualuse maamaksu maamaksust
efsf esm kreekale
uliopilased uliopilastele uliopilaste
missiooni missioonile missioon
lapsetoetust lapsetoetus lapsetoetuse
terviseandmed isikuandmeid terviseandmeid
teede teehoiuks teedele
valimisliitude volikogusse volikokku
jahimehed jahimeeste jahti
abielu kooselu samasooliste
missiooni missioonile missioon
krimmi agressiooni ukraina
palgatousu opetajate palgatous
pollumeestele pollumehi pollumehed
sigade katku katk
vallaga vald sauga
rail trassi balticu
haale valimispaeval valimiste
metsa metsade mets
ulejaagis struktuurses struktuurse
alkoholi kange lahja
danske filiaali rahapesu
borsile ipo enefit
omandireformi tagastatud omandireform
jarviku jarvik maaeluministri
samba sammas sambasse
pensionitous pensionitousu pension
viirust vaktsineeritud viiruse
hadaolukorda eriolukord eriolukorra
metsa metsade mets
elektri elektrit taastuvenergia
kauguhendus avaksite ettekandjalt
huvihariduse huvitegevuse huviharidus
krimmi agressiooni ukraina
lng terminali gaasi
inflatsiooni inflatsioon hinnatous
