2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
kodualuse maamaksu maamaksust 1.713% -> 10.486% (512.243%),arvestamata vaheaeg esitanud 3.886% -> 8.285% (113.22%),haaletada haaletas haaletusele 6.438% -> 8.449% (31.247%),missiooni missioonile missioon 7.237% -> 6.453% (-10.834%),palgatousu opetajate palgatous 5.663% -> 6.072% (7.228%),vallaga vald sauga 4.777% -> 6.324% (32.384%),kruuse urmas lahkunud 1.141% -> 7.094% (521.783%),danske filiaali rahapesu 2.537% -> 4.279% (68.643%),jarviku jarvik maaeluministri 4.748% -> 10.42% (119.475%),viirust vaktsineeritud viiruse 1.898% -> 12.222% (544.001%),elektri elektrit taastuvenergia 13.583% -> 9.305% (-31.498%),krimmi agressiooni ukraina 5.045% -> 9.933% (96.905%)
efsf esm kreekale 2.474% -> 9.067% (266.535%),missiooni missioonile missioon 4.229% -> 6.062% (43.347%),arvestamata vaheaeg esitanud 23.348% -> 16.527% (-29.212%),abielu kooselu samasooliste 1.645% -> 6.921% (320.822%),pollumeestele pollumehi pollumehed 5.92% -> 5.503% (-7.05%),arvestamata vaheaeg esitanud 7.373% -> 7.473% (1.365%),metsa metsade mets 2.215% -> 5.504% (148.499%),borsile ipo enefit 2.307% -> 4.009% (73.791%),samba sammas sambasse 2.77% -> 8.697% (214.041%),hadaolukorda eriolukord eriolukorra 1.606% -> 8.786% (447.144%),moonika helle helme 2.693% -> 4.496% (66.922%),lng terminali gaasi 1.246% -> 5.101% (309.268%)
uliopilased uliopilastele uliopilaste 6.66% -> 6.79% (1.945%),vaheaega kumneminutilist haaletust 1.6% -> 4.082% (155.102%),teede teehoiuks teedele 1.373% -> 3.9% (183.948%),krimmi agressiooni ukraina 6.25% -> 6.056% (-3.1%),sigade katku katk 0.901% -> 4.213% (367.59%),rail trassi balticu 1.142% -> 3.334% (191.902%),jurgen ligi ligil 1.007% -> 2.878% (185.887%),omandireformi tagastatud omandireform 1.269% -> 3.378% (166.278%),pensionitous pensionitousu pension 4.253% -> 5.336% (25.461%),vorklaev puustusmaa torm 3.358% -> 4.083% (21.613%),kauguhendus avaksite ettekandjalt 1.874% -> 4.156% (121.815%),inflatsiooni inflatsioon hinnatous 1.365% -> 4.631% (239.262%)
palgatousu opetajate palgatous 1.998% -> 3.997% (100.018%),lapsetoetust lapsetoetus lapsetoetuse 6.857% -> 6.579% (-4.051%),jahimehed jahimeeste jahti 0.429% -> 4.41% (927.623%),helir valdor seeder 1.974% -> 5.768% (192.237%),efsf esm kreekale 5.534% -> 4.706% (-14.966%),lugupeetav lugupeetavad eesistuja 2.492% -> 3.507% (40.709%),ulejaagis struktuurses struktuurse 7.919% -> 6.387% (-19.347%),uhistranspordi uhistransport uhistransporti 4.498% -> 4.775% (6.147%),sikkut riina sikkuti 0.989% -> 2.815% (184.609%),metsa metsade mets 3.942% -> 3.886% (-1.405%),huvihariduse huvitegevuse huviharidus 1.756% -> 3.711% (111.305%),kaja kallas kallase 6.944% -> 7.148% (2.938%)
elektri elektrit taastuvenergia 13.796% -> 9.54% (-30.85%),terviseandmed isikuandmeid terviseandmeid 2.4% -> 3.533% (47.223%),valimisliitude volikogusse volikokku 1.888% -> 3.668% (94.216%),toovoimereformi toovoimega toovoimereform 0.987% -> 7.895% (700.0%),pagulasi pagulased pagulaste 0.257% -> 8.159% (3069.924%),haale valimispaeval valimiste 1.558% -> 2.874% (84.536%),alkoholi kange lahja 11.074% -> 7.978% (-27.958%),kodakondsust kodakondsuse kodanikuks 4.383% -> 4.685% (6.885%),jevgeni ossinovski toominister 1.286% -> 2.479% (92.789%),rahvahaaletuse rahvahaaletus rahvahaaletusel 2.044% -> 2.957% (44.678%),protseduurilise protseduuriline protseduurilist 7.728% -> 5.567% (-27.964%),liitlaste ohutorje keskmaa 4.866% -> 5.47% (12.398%)
palgalohe soolist meeste 1.332% -> 2.793% (109.697%),vaheaega haaletust kumneminutilist 0.343% -> 3.32% (868.372%),kinnisasja maad maa 2.06% -> 2.878% (39.721%),valimisea valimisiga valimisoiguse 1.974% -> 4.037% (104.566%),kasitlemise lopetan infotunni 2.317% -> 3.074% (32.694%),ts parvlaeva parvlaevad 0.312% -> 3.076% (887.266%),maris lauri liina 1.275% -> 2.626% (105.902%),humni humn laulda 0.577% -> 3.378% (485.811%),indrek saar saare 0.791% -> 2.017% (154.874%),annetus erjk annetuse 2.336% -> 3.07% (31.415%),helme mart martin 1.288% -> 3.319% (157.706%),pagulasi pagulased pagulaste 1.365% -> 3.758% (175.343%)
maksuamet tolliamet tolliameti 3.33% -> 3.61% (8.397%),kallo kalev laasi 3.429% -> 3.564% (3.945%),noukogudesse ariuhingute noukogudes 2.318% -> 2.739% (18.187%),kodakondsust kodakondsuse kodanikuks 8.553% -> 5.299% (-38.04%),elamisluba elamisloa viisa 1.544% -> 2.543% (64.639%),ernits peeter nutt 13.396% -> 8.709% (-34.983%),rail trassi balticu 7.785% -> 5.857% (-24.766%),idapiiri piiririba valjaehitamine 1.384% -> 2.883% (108.288%),oigusriik oigusriigi oigusriigist 2.967% -> 2.857% (-3.714%),tootuid tootute tootu 0.876% -> 2.394% (173.28%),kruusimae tarmo karilaid 11.358% -> 6.587% (-42.012%),lapsetoetust lapsetoetus lapsetoetuse 1.484% -> 3.624% (144.268%)
laasi efendijevi velmani 1.237% -> 2.321% (87.61%),tamm tarmo kruusimae 7.886% -> 5.696% (-27.768%),maksuamet tolliamet tolliameti 4.979% -> 4.085% (-17.939%),vaarmann urbo eldar 3.618% -> 4.001% (10.585%),teadus teaduse arendustegevuse 3.346% -> 3.15% (-5.866%),abielu kooselu samasooliste 3.946% -> 3.823% (-3.119%),hallemaa helmut terik 0.201% -> 2.979% (1379.593%),kruusimae tarmo karilaid 3.23% -> 3.604% (11.583%),delegatsiooni assamblee parlamentaarse 1.978% -> 2.353% (18.941%),lisaeelarve lisaeelarves lisaeelarvega 0.438% -> 2.703% (517.291%),leo kunnas kunnase 2.342% -> 3.241% (38.39%),kokk aivar rene 5.223% -> 4.664% (-10.687%)
tulumaksuvaba maksususteemi tulumaksu 8.088% -> 5.673% (-29.861%),vaheaeg kumneminutiline vaheaega 0.229% -> 2.894% (1165.991%),kutsehariduse kutseharidus kutsehariduses 1.545% -> 2.228% (44.228%),iva kaia tapsustav 1.974% -> 3.461% (75.342%),otsevalimise presidenti presidendi 1.673% -> 2.467% (47.438%),deklaratsiooni deklaratsioone deklaratsioonis 0.519% -> 2.012% (287.525%),igor grazin grazini 0.47% -> 1.868% (297.663%),veb fondi uurimiskomisjon 0.692% -> 2.523% (264.505%),kodakondsust kodakondsuse kodanikuks 10.287% -> 6.092% (-40.774%),terviseandmed isikuandmeid terviseandmeid 5.839% -> 4.421% (-24.285%),kingo kert kunnase 5.035% -> 4.13% (-17.983%),heiki hepner kranich 5.163% -> 4.564% (-11.61%)
tamm tarmo kruusimae 3.425% -> 2.965% (-13.433%),helmen kutt kuti 2.514% -> 2.772% (10.244%),kulukuse krediidi kiirlaenude 0.258% -> 2.089% (711.281%),ansip andrus ansipi 0.987% -> 3.425% (247.032%),tulumaksuvaba maksususteemi tulumaksu 13.514% -> 6.755% (-50.011%),keeleoskust oskuse keeleoskuse 0.831% -> 2.012% (142.203%),magustatud suhkrut joogi 0.134% -> 3.257% (2326.281%),relva relvade relvaluba 1.153% -> 2.432% (110.892%),katri raik juske 0.198% -> 2.731% (1280.567%),arvestamata vaheaeg esitanud 0.73% -> 2.281% (212.504%),henn polluaas polluaasa 2.81% -> 3.293% (17.185%),lasteaia lasteaias lasteaiakoha 1.84% -> 2.617% (42.271%)
