2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
kodualuse maamaksu maamaksust 0.227% -> 3.958% (1645.02%),missiooni missioonile missioon 0.6% -> 2.633% (338.641%),teede teehoiuks teedele 0.212% -> 1.771% (736.748%),abielu kooselu samasooliste 0.105% -> 2.431% (2205.311%),palgatousu opetajate palgatous 0.557% -> 2.237% (301.615%),vallaga vald sauga 0.643% -> 2.311% (259.264%),metsa metsade mets 0.347% -> 2.288% (559.982%),danske filiaali rahapesu 0.231% -> 1.212% (425.101%),jarviku jarvik maaeluministri 0.612% -> 4.448% (626.286%),viirust vaktsineeritud viiruse 0.233% -> 4.87% (1988.684%),elektri elektrit taastuvenergia 1.302% -> 4.176% (220.791%),krimmi agressiooni ukraina 0.997% -> 5.46% (447.62%)
efsf esm kreekale 0.328% -> 3.423% (944.701%),lapsetoetust lapsetoetus lapsetoetuse 0.973% -> 2.858% (193.603%),valimisliitude volikogusse volikokku 0.291% -> 1.666% (472.321%),missiooni missioonile missioon 0.464% -> 2.266% (388.46%),pollumeestele pollumehi pollumehed 0.582% -> 2.027% (248.139%),rail trassi balticu 0.154% -> 1.218% (692.161%),ulejaagis struktuurses struktuurse 1.239% -> 2.655% (114.204%),borsile ipo enefit 0.21% -> 1.136% (441.131%),samba sammas sambasse 0.357% -> 3.713% (939.225%),hadaolukorda eriolukord eriolukorra 0.197% -> 3.501% (1674.55%),kauguhendus avaksite ettekandjalt 0.18% -> 1.865% (938.742%),lng terminali gaasi 0.246% -> 2.804% (1038.233%)
uliopilased uliopilastele uliopilaste 0.882% -> 2.563% (190.564%),terviseandmed isikuandmeid terviseandmeid 0.341% -> 1.535% (350.502%),jahimehed jahimeeste jahti 0.066% -> 2.003% (2928.232%),krimmi agressiooni ukraina 0.401% -> 2.127% (430.828%),sigade katku katk 0.089% -> 1.552% (1651.328%),haale valimispaeval valimiste 0.21% -> 1.05% (400.792%),alkoholi kange lahja 1.733% -> 3.316% (91.334%),omandireformi tagastatud omandireform 0.115% -> 0.957% (729.108%),pensionitous pensionitousu pension 0.549% -> 2.278% (315.176%),metsa metsade mets 0.484% -> 1.549% (219.773%),huvihariduse huvitegevuse huviharidus 0.168% -> 1.666% (889.527%),inflatsiooni inflatsioon hinnatous 0.27% -> 2.546% (843.535%)
palgatousu opetajate palgatous 0.265% -> 1.509% (470.094%),apteeke apteegid apteekide 0.097% -> 0.82% (742.75%),kinnisasja maad maa 0.318% -> 1.307% (311.733%),toovoimereformi toovoimega toovoimereform 0.063% -> 2.772% (4282.492%),pagulasi pagulased pagulaste 0.025% -> 3.006% (11772.742%),ts parvlaeva parvlaevad 0.042% -> 1.124% (2579.235%),rail trassi balticu 1.218% -> 2.434% (99.811%),uhistranspordi uhistransport uhistransporti 0.409% -> 1.353% (230.509%),koolis kooli opilased 3.279% -> 5.112% (55.887%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.251% -> 1.178% (369.232%),viirust vaktsineeritud viiruse 4.87% -> 7.484% (53.66%),pagulasi pagulased pagulaste 0.27% -> 2.066% (665.768%)
elektri elektrit taastuvenergia 1.827% -> 3.602% (97.092%),karistuse karistus tingimisi 0.454% -> 1.323% (191.273%),noukogudesse ariuhingute noukogudes 0.357% -> 1.244% (248.276%),valimisea valimisiga valimisoiguse 0.127% -> 1.418% (1020.637%),efsf esm kreekale 0.544% -> 1.734% (218.49%),abielu kooselu samasooliste 0.531% -> 1.397% (162.916%),magustatud suhkrut joogi 0.021% -> 1.354% (6343.909%),kodakondsust kodakondsuse kodanikuks 0.399% -> 1.327% (232.807%),kodakondsust kodakondsuse kodanikuks 1.327% -> 2.601% (95.989%),annetus erjk annetuse 0.287% -> 1.223% (326.219%),opositsiooni koalitsioonil opositsioonil 0.281% -> 1.384% (393.37%),liitlaste ohutorje keskmaa 0.962% -> 3.007% (212.594%)
palgalohe soolist meeste 0.176% -> 1.055% (497.679%),aasia aasias saatkonna 0.389% -> 1.151% (195.642%),maksuamet tolliamet tolliameti 0.767% -> 1.856% (141.819%),kodakondsust kodakondsuse kodanikuks 0.548% -> 1.861% (239.424%),elamisluba elamisloa viisa 0.152% -> 0.937% (516.646%),deklaratsiooni deklaratsioone deklaratsioonis 0.07% -> 0.735% (951.662%),teadus teaduse arendustegevuse 0.504% -> 1.322% (162.252%),humni humn laulda 0.052% -> 0.957% (1724.037%),oigusriik oigusriigi oigusriigist 0.383% -> 1.22% (218.629%),tootuid tootute tootu 0.108% -> 0.954% (786.327%),objekti anu raua 0.079% -> 1.032% (1214.06%),lapsetoetust lapsetoetus lapsetoetuse 0.293% -> 1.992% (579.345%)
maksuamet tolliamet tolliameti 0.441% -> 1.363% (208.954%),ametiuhingute tooandjate keskliit 0.195% -> 0.847% (334.968%),koolis kooli opilased 1.773% -> 3.184% (79.601%),kohtunike kohtususteem kohtuniku 0.232% -> 0.912% (292.951%),teadus teaduse arendustegevuse 0.329% -> 1.161% (252.572%),keeleoskust oskuse keeleoskuse 0.112% -> 0.735% (557.289%),koolis kooli opilased 2.531% -> 3.956% (56.284%),idapiiri piiririba valjaehitamine 0.126% -> 0.817% (548.546%),opositsioonis koalitsiooni opositsiooni 1.314% -> 2.35% (78.785%),lisaeelarve lisaeelarves lisaeelarvega 0.054% -> 1.077% (1902.056%),valimisliitude volikogusse volikokku 0.325% -> 1.232% (278.462%),annetused annetusi annetuste 0.141% -> 1.162% (725.593%)
tulumaksuvaba maksususteemi tulumaksu 1.071% -> 2.141% (99.912%),lng terminali gaasi 0.162% -> 0.767% (373.027%),kutsehariduse kutseharidus kutsehariduses 0.238% -> 1.012% (325.015%),piirilepingu piirileping piirilepingut 0.148% -> 0.76% (414.578%),otsevalimise presidenti presidendi 0.165% -> 0.909% (452.221%),lipu laevu kaubalaeva 0.042% -> 0.735% (1652.771%),teekasutustasu autode autod 0.137% -> 0.735% (437.953%),veb fondi uurimiskomisjon 0.063% -> 0.715% (1034.956%),volitust kaasuses jarvik 0.153% -> 0.7% (356.857%),terviseandmed isikuandmeid terviseandmeid 0.717% -> 1.762% (145.565%),otsevalimise presidenti presidendi 0.236% -> 1.079% (357.93%),lasteaia lasteaias lasteaiakoha 0.364% -> 1.439% (295.676%)
volakirjade keskpank volakirju 0.466% -> 0.99% (112.232%),loomi loomade loomad 0.081% -> 0.609% (650.319%),kulukuse krediidi kiirlaenude 0.04% -> 0.949% (2290.709%),erimargistatud kutust kutuse 0.19% -> 0.785% (313.568%),tulumaksuvaba maksususteemi tulumaksu 1.329% -> 2.489% (87.229%),eriarstide eriarstiabi eriarsti 0.993% -> 1.912% (92.558%),loomi loomade loomad 0.2% -> 0.808% (304.88%),relva relvade relvaluba 0.105% -> 0.689% (556.653%),korterelamute kortermajade kredexi 0.153% -> 0.646% (321.715%),elektri elektrit taastuvenergia 0.484% -> 1.302% (168.795%),valdkonnad laekumisest fikseeritakse 0.067% -> 0.704% (945.275%),pensionitous pensionitousu pension 0.504% -> 1.605% (218.169%)
vabatahtlike komandode paasteameti 0.857% -> 1.493% (74.165%),efsf esm kreekale 3.423% -> 4.882% (42.627%),teadus teaduse arendustegevuse 0.093% -> 0.759% (719.672%),alkoholi kange lahja 0.612% -> 1.418% (131.856%),kaitseliit kaitseliidule kaitseliidu 0.354% -> 1.105% (211.61%),vanemahuvitist vanemahuvitise vanemahuvitis 0.126% -> 0.62% (392.445%),reklaami reklaam alkoholireklaam 0.074% -> 0.598% (713.517%),etv saateid pbk 0.451% -> 1.136% (151.689%),toonadalal istungid taiendaval 0.51% -> 1.166% (128.429%),soita jalakaija konniteel 0.305% -> 0.976% (220.182%),piirilepingu piirileping piirilepingut 0.135% -> 0.727% (440.059%),eriarstide eriarstiabi eriarsti 0.469% -> 1.347% (186.992%)
kinnisasja maad maa 0.819% -> 1.428% (74.282%),teenistuse teenistuses avalikus 0.341% -> 0.953% (179.622%),korteriuhistu korteriomanike korteriuhistute 0.106% -> 0.759% (617.213%),sularaha kommertspangad pangad 0.148% -> 0.709% (380.273%),alkoholi kange lahja 1.418% -> 2.587% (82.43%),karistuse karistus tingimisi 0.475% -> 1.145% (140.822%),kohanimenoukogu vonnu mulgi 0.105% -> 0.525% (399.528%),pensioni pension sammas 0.283% -> 0.88% (210.762%),maantee neljarealiseks ppp 0.306% -> 0.861% (181.143%),rail trassi balticu 0.574% -> 1.268% (120.93%),korruptsiooni korruptsioon korruptsiooniga 0.146% -> 0.739% (406.556%),korterid kortereid korterit 0.152% -> 0.83% (444.347%)
fie fuusilisest isikust 0.403% -> 0.844% (109.188%),memorandumi moistmise memorandum 0.097% -> 0.582% (498.08%),inimarengu aruanne aruandes 0.265% -> 0.97% (266.575%),treenerite spordi sport 0.127% -> 0.671% (430.301%),riigipalgaliste riigisektoris koondada 0.266% -> 0.937% (252.369%),maavalitsuste maavalitsused maakonna 0.503% -> 1.176% (133.703%),vagivallale vihakone ohutamine 0.515% -> 1.06% (105.928%),apteeke apteegid apteekide 0.315% -> 0.919% (191.846%),opositsiooni koalitsioonil opositsioonil 0.332% -> 0.861% (159.517%),oiglase virumaale ulemineku 0.359% -> 0.931% (159.642%),kaitseliit kaitseliidule kaitseliidu 0.269% -> 0.809% (200.516%),koolis kooli opilased 3.038% -> 4.612% (51.791%)
pensioni pension sammas 0.176% -> 0.503% (185.047%),kaitseliit kaitseliidule kaitseliidu 0.308% -> 0.9% (191.886%),vallaga vald sauga 0.423% -> 1.202% (183.897%),psuhhiaatri alaealine psuhhiaatrilist 0.38% -> 0.987% (160.148%),piima toorpiima toodangut 0.253% -> 0.881% (247.899%),miili baasvorgu lairiba 0.224% -> 0.756% (238.034%),valimisliitude volikogusse volikokku 1.418% -> 2.151% (51.708%),kirik kiriku maarja 0.084% -> 0.561% (568.813%),alkoholi kange lahja 2.45% -> 3.534% (44.232%),hanke hankija riigihangete 0.09% -> 0.483% (438.053%),liitlaste ohutorje keskmaa 0.415% -> 0.962% (131.655%),erimargistatud kutust kutuse 0.106% -> 0.701% (563.969%)
