topic,from_perc,to_prec,change_perc,year
kodualuse maamaksu maamaksust,0.227,3.958,1645.02,2010 vs 2011
efsf esm kreekale,0.328,3.423,944.701,2010 vs 2011
uliopilased uliopilastele uliopilaste,0.882,2.563,190.564,2010 vs 2011
palgatousu opetajate palgatous,0.265,1.509,470.094,2010 vs 2011
elektri elektrit taastuvenergia,1.827,3.602,97.092,2010 vs 2011
palgalohe soolist meeste,0.176,1.055,497.679,2010 vs 2011
maksuamet tolliamet tolliameti,0.441,1.363,208.954,2010 vs 2011
tulumaksuvaba maksususteemi tulumaksu,1.071,2.141,99.912,2010 vs 2011
volakirjade keskpank volakirju,0.466,0.99,112.232,2010 vs 2011
vabatahtlike komandode paasteameti,0.857,1.493,74.165,2010 vs 2011
kinnisasja maad maa,0.819,1.428,74.282,2010 vs 2011
fie fuusilisest isikust,0.403,0.844,109.188,2010 vs 2011
pensioni pension sammas,0.176,0.503,185.047,2010 vs 2011
haale valimispaeval valimiste,0.126,0.422,234.7,2010 vs 2011
post posti omniva,0.151,0.454,200.372,2010 vs 2011
teenistuse teenistuses avalikus,0.088,0.341,286.193,2010 vs 2011
korterelamute kortermajade kredexi,0.265,0.6,126.812,2010 vs 2011
ulejaagis struktuurses struktuurse,1.159,1.752,51.119,2010 vs 2011
hoone rkas hoonet,0.555,0.99,78.468,2010 vs 2011
kodakondsust kodakondsuse kodanikuks,0.504,0.908,80.223,2010 vs 2011
slovakkia ungari portugal,0.504,0.876,73.787,2010 vs 2011
katteallikas katteallikaid katteallikat,0.491,0.844,71.641,2010 vs 2011
riigipuha puhade tahtpaevade,0.139,0.357,157.462,2010 vs 2011
tulubaasi tasandusfondi tulumaksuosa,1.273,1.785,40.202,2010 vs 2011
koolilouna koolitoidu koolitoit,0.479,0.811,69.383,2010 vs 2011
piirivalve valvamise valvamine,0.025,0.178,608.02,2010 vs 2011
president ilves presidendi,0.05,0.211,318.376,2010 vs 2011
jalitustegevuse jalitustoimingu sideandmete,0.227,0.47,107.4,2010 vs 2011
kaitsekulud kaitsekulutused kaitsekulude,0.113,0.292,157.462,2010 vs 2011
haalte kandidaatidele haaletamisest,0.025,0.146,479.289,2010 vs 2011
haaletamissedel haaletamiskasti sedeli,0.013,0.13,929.848,2010 vs 2011
piirilepingu piirileping piirilepingut,0.164,0.341,107.95,2010 vs 2011
joustumine joustuma joustada,0.655,0.957,46.06,2010 vs 2011
kasvavad tuleval kasv,0.151,0.308,103.824,2010 vs 2011
domeenide domeeni interneti,0.315,0.519,64.776,2010 vs 2011
metsa metsade mets,0.265,0.454,71.641,2010 vs 2011
kandidaadi kandidaati kandidaat,0.076,0.195,157.462,2010 vs 2011
oppelaenu sugava puudega,0.076,0.195,157.462,2010 vs 2011
keskkonnaameti uhendamine uhendamise,0.113,0.243,114.552,2010 vs 2011
ugri rahvaste polisrahvaste,0.05,0.146,189.645,2010 vs 2011
valimiskomisjon proteste valimiskasti,0.05,0.146,189.645,2010 vs 2011
kauguhendus avaksite ettekandjalt,0.101,0.211,109.188,2010 vs 2011
oigusloome oigusloomes oiguspoliitika,0.126,0.243,93.096,2010 vs 2011
direktiivi direktiiv ulevotmise,0.29,0.454,56.716,2010 vs 2011
valispoliitika valispoliitikas diplomaatia,0.353,0.519,47.121,2010 vs 2011
majandusaasta koondaruanne raamatupidamise,0.328,0.487,48.536,2010 vs 2011
puude raskusastme puuet,0.076,0.162,114.552,2010 vs 2011
tsernoboli represseeritud oigusvastaselt,0.088,0.178,102.291,2010 vs 2011
kutsehariduse kutseharidus kutsehariduses,0.252,0.389,54.477,2010 vs 2011
kaibemaksu kaibemaks kaibemaksumaara,1.323,1.606,21.375,2010 vs 2011
ene ergma aplaus,0.126,0.227,80.223,2010 vs 2011
teadus teaduse arendustegevuse,0.365,0.519,42.048,2010 vs 2011
kandideerima ametikohale kandidaatide,0.05,0.114,125.279,2010 vs 2011
ammendumiseni kaheni pikendada,0.239,0.357,49.057,2010 vs 2011
abielu kooselu samasooliste,0.076,0.146,93.096,2010 vs 2011
riigimetsa majandamise noukokku,0.151,0.243,60.914,2010 vs 2011
oigusriik oigusriigi oigusriigist,0.113,0.195,71.641,2010 vs 2011
hansson ardo panga,0.013,0.049,286.193,2010 vs 2011
opositsioonis koalitsiooni opositsiooni,0.693,0.86,24.05,2010 vs 2011
rail trassi balticu,0.239,0.341,42.282,2010 vs 2011
hambaravi hammaste hambad,0.315,0.422,33.88,2010 vs 2011
muraste kase kompleksi,0.05,0.097,93.096,2010 vs 2011
danske filiaali rahapesu,0.05,0.097,93.096,2010 vs 2011
liitlaste ohutorje keskmaa,0.101,0.162,60.914,2010 vs 2011
veb fondi uurimiskomisjon,0.088,0.146,65.511,2010 vs 2011
korterid kortereid korterit,0.265,0.357,34.861,2010 vs 2011
inflatsiooni inflatsioon hinnatous,0.441,0.552,25.053,2010 vs 2011
vagivalla naistevastase perevagivalla,0.34,0.438,28.731,2010 vs 2011
rahvuse rahvust rahvusriik,0.328,0.422,28.731,2010 vs 2011
riigiloivude riigiloivud riigiloivu,0.391,0.487,24.578,2010 vs 2011
pensionifondide pensionifondid fondid,0.29,0.373,28.731,2010 vs 2011
riigipalgaliste riigisektoris koondada,0.164,0.227,38.633,2010 vs 2011
krimmi agressiooni ukraina,0.378,0.47,24.44,2010 vs 2011
eriarstide eriarstiabi eriarsti,1.916,2.109,10.099,2010 vs 2011
teenuseid teenused teenust,0.101,0.146,44.822,2010 vs 2011
korruptsiooni korruptsioon korruptsiooniga,0.101,0.146,44.822,2010 vs 2011
kirik kiriku maarja,0.101,0.146,44.822,2010 vs 2011
valijate erakonda valijaid,0.403,0.487,20.685,2010 vs 2011
rongi rongide rongid,0.076,0.114,50.186,2010 vs 2011
jahimehed jahimeeste jahti,0.063,0.097,54.477,2010 vs 2011
oiglase virumaale ulemineku,0.063,0.097,54.477,2010 vs 2011
idapiiri piiririba valjaehitamine,0.05,0.081,60.914,2010 vs 2011
kinnitamise paevakorra paevakord,0.038,0.065,71.641,2010 vs 2011
koondaruande majandusaasta koondaruanne,0.038,0.065,71.641,2010 vs 2011
magustatud suhkrut joogi,0.038,0.065,71.641,2010 vs 2011
kohtunike kohtususteem kohtuniku,0.832,0.941,13.127,2010 vs 2011
ametipalkade riigiteenijate korgemate,0.0,0.178,141504.043,2010 vs 2011
hooldekodus hoolduse hooldekodu,0.164,0.211,28.731,2010 vs 2011
koneleja konsensuslikud repliigi,0.0,0.114,90011.664,2010 vs 2011
liibanonis missioonil pikendamine,0.315,0.373,18.432,2010 vs 2011
salvestisi salvestised salvestiste,0.227,0.276,21.579,2010 vs 2011
operatsioonil sojalisel panustamisel,0.0,0.049,38519.284,2010 vs 2011
pohiseadusega riigikohus oiguskantsler,0.857,0.941,9.8,2010 vs 2011
riigikontrolli auditi auditit,0.58,0.649,11.94,2010 vs 2011
samba sammas sambasse,0.202,0.243,20.685,2010 vs 2011
ootuse oigusparase oiguskindluse,0.189,0.227,20.149,2010 vs 2011
konkurss konkursi konkurssi,0.088,0.114,28.731,2010 vs 2011
kusija vastaja vastasin,0.088,0.114,28.731,2010 vs 2011
riigikontrolor karis riigikontrolori,0.088,0.114,28.731,2010 vs 2011
valitsemisalade katteallikaks riigieelarves,0.088,0.114,28.731,2010 vs 2011
eelarvele kulude riigieelarvele,0.403,0.454,12.64,2010 vs 2011
kantsler kantsleri riigisekretar,0.164,0.195,18.829,2010 vs 2011
annetus erjk annetuse,0.164,0.195,18.829,2010 vs 2011
elatisraha elatisabi elatise,0.063,0.081,28.731,2010 vs 2011
talupidajate kaubanduskoja kaubanduskoda,0.063,0.081,28.731,2010 vs 2011
deklaratsiooni deklaratsioone deklaratsioonis,0.05,0.065,28.731,2010 vs 2011
kaitseliit kaitseliidule kaitseliidu,0.277,0.308,11.177,2010 vs 2011
lipud lippude lipp,0.038,0.049,28.731,2010 vs 2011
haiguspaevade haiguspaevi haiguspaeva,0.038,0.049,28.731,2010 vs 2011
kontrollin haaled kandidaadi,0.038,0.049,28.731,2010 vs 2011
kaasne lisakulutusi riigieelarvele,0.265,0.292,10.341,2010 vs 2011
kohtla jarve johvi,0.265,0.292,10.341,2010 vs 2011
taanis saksamaal hollandis,0.517,0.552,6.752,2010 vs 2011
koolis kooli opilased,1.853,1.914,3.335,2010 vs 2011
humni humn laulda,0.025,0.032,28.731,2010 vs 2011
koosoleku elektrooniline koosolekut,0.025,0.032,28.731,2010 vs 2011
laari laar kandidatuuri,0.101,0.114,12.64,2010 vs 2011
piima toorpiima toodangut,0.416,0.438,5.325,2010 vs 2011
prokuratuur prokuratuuri prokuror,0.895,0.925,3.347,2010 vs 2011
suuria euroopasse turgis,0.013,0.016,28.731,2010 vs 2011
noukogudesse ariuhingute noukogudes,0.403,0.422,4.594,2010 vs 2011
teede teehoiuks teedele,0.504,0.519,2.985,2010 vs 2011
untso missioonide liikmesusest,0.441,0.454,2.985,2010 vs 2011
utah jordaania energia,0.491,0.503,2.325,2010 vs 2011
uhistranspordi uhistransport uhistransporti,0.189,0.195,2.985,2010 vs 2011
objekti anu raua,0.126,0.13,2.985,2010 vs 2011
teekasutustasu autode autod,0.063,0.065,2.985,2010 vs 2011
ulikooliga kbfi instituudi,0.063,0.065,2.985,2010 vs 2011
korteriuhistu korteriomanike korteriuhistute,0.063,0.065,2.985,2010 vs 2011
tootuli lepitaja ametiuhingute,0.0,0.0,28.731,2010 vs 2011
tarbijakaitse amet ametile,0.164,0.162,-0.976,2010 vs 2011
aardla pria pealtnagija,0.101,0.097,-3.452,2010 vs 2011
memorandumi moistmise memorandum,0.101,0.097,-3.452,2010 vs 2011
riigiabi komisjonilt loa,0.202,0.195,-3.452,2010 vs 2011
tooandja tervisesse maksuvabalt,0.378,0.357,-5.597,2010 vs 2011
arengufond arengufondi arengufondis,0.744,0.714,-3.997,2010 vs 2011
miili baasvorgu lairiba,0.076,0.065,-14.179,2010 vs 2011
kusimusena tahtsa tahtsusega,0.252,0.227,-9.888,2010 vs 2011
moisteid moiste moisted,0.643,0.6,-6.607,2010 vs 2011
lisaeelarve lisaeelarves lisaeelarvega,0.063,0.049,-22.761,2010 vs 2011
rahvaalgatuse rahvaalgatus rahvahaaletus,0.063,0.049,-22.761,2010 vs 2011
sigade katku katk,0.025,0.016,-35.635,2010 vs 2011
huvihariduse huvitegevuse huviharidus,0.101,0.081,-19.543,2010 vs 2011
pagulasi pagulased pagulaste,0.101,0.081,-19.543,2010 vs 2011
tooandja tooandjal tootaja,0.227,0.195,-14.179,2010 vs 2011
toovoimereformi toovoimega toovoimereform,0.139,0.114,-18.08,2010 vs 2011
psuhhiaatri alaealine psuhhiaatrilist,0.403,0.357,-11.497,2010 vs 2011
jarviku jarvik maaeluministri,0.265,0.227,-14.179,2010 vs 2011
inimarengu aruanne aruandes,1.134,1.055,-7.028,2010 vs 2011
kontroll kohaloleku registreeris,0.013,0.0,-98.713,2010 vs 2011
aasia aasias saatkonna,0.441,0.389,-11.727,2010 vs 2011
lahususe voimude lahusus,0.214,0.178,-16.704,2010 vs 2011
korrata stenogrammist vabandan,0.088,0.065,-26.439,2010 vs 2011
mes maale maaelu,0.126,0.097,-22.761,2010 vs 2011
piirikontrolli schengeni valispiiri,0.05,0.032,-35.635,2010 vs 2011
skais arendused infosusteemide,0.164,0.13,-20.781,2010 vs 2011
est kavatsuste for,0.025,0.0,-99.356,2010 vs 2011
estonian air airi,0.202,0.162,-19.543,2010 vs 2011
elamisluba elamisloa viisa,0.454,0.389,-14.179,2010 vs 2011
maantee neljarealiseks ppp,0.277,0.227,-18.08,2010 vs 2011
rahapesu terrorismi andmeburoo,0.063,0.0,-99.743,2010 vs 2011
opositsiooni koalitsioonil opositsioonil,0.176,0.13,-26.439,2010 vs 2011
varude varud varu,0.038,0.016,-57.09,2010 vs 2011
tapsustatakse ajakohastatakse nouete,0.756,0.649,-14.179,2010 vs 2011
riigireformi riigireformist riigireform,0.126,0.081,-35.635,2010 vs 2011
kohtutaiturite kohtutaitur kohtutaituri,0.391,0.0,-99.958,2010 vs 2011
arengukavad arengukavade pohialuste,0.996,0.86,-13.636,2010 vs 2011
lng terminali gaasi,0.227,0.162,-28.483,2010 vs 2011
nord stream streami,0.227,0.162,-28.483,2010 vs 2011
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.088,0.049,-44.83,2010 vs 2011
liiklussurmade liikluses hukkunute,0.491,0.389,-20.781,2010 vs 2011
hadaolukorda eriolukord eriolukorra,0.214,0.146,-31.848,2010 vs 2011
erimargistatud kutust kutuse,0.933,0.779,-16.499,2010 vs 2011
otsevalimise presidenti presidendi,0.353,0.26,-26.439,2010 vs 2011
ts parvlaeva parvlaevad,0.315,0.227,-27.911,2010 vs 2011
vagivallale vihakone ohutamine,0.466,0.357,-23.457,2010 vs 2011
kohanimenoukogu vonnu mulgi,0.05,0.016,-67.817,2010 vs 2011
sularaha kommertspangad pangad,0.164,0.097,-40.586,2010 vs 2011
tootuna arvele ariuhingu,0.101,0.049,-51.726,2010 vs 2011
iive sundimus iibe,0.403,0.292,-27.589,2010 vs 2011
tulubaasi omavalitsustele omavalitsuste,1.664,1.428,-14.179,2010 vs 2011
koolituse koolitus koolitusele,0.126,0.065,-48.508,2010 vs 2011
teatri teater rahvusooper,0.252,0.162,-35.635,2010 vs 2011
vallaga vald sauga,0.693,0.535,-22.761,2010 vs 2011
leping ratifitseerida lepinguga,0.592,0.438,-26.048,2010 vs 2011
hiv narkomaania epideemia,0.063,0.016,-74.254,2010 vs 2011
missiooni missioonile missioon,0.781,0.6,-23.177,2010 vs 2011
pensionitous pensionitousu pension,0.466,0.324,-30.416,2010 vs 2011
annetused annetusi annetuste,0.214,0.114,-46.993,2010 vs 2011
valimisea valimisiga valimisoiguse,0.214,0.114,-46.993,2010 vs 2011
borsile ipo enefit,0.504,0.341,-32.416,2010 vs 2011
